"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"118"	"71"	""	"13"	""	"76"	""	""	""	"10"	""	""	""	"104"	""	""	"3"	""	""	""	""	"29"	""	""	""	"7"	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"45"	""	""	"3"	""	""	"1"	""	""	"2"	""	""	""	"13"	""	""	""	"12"	""	""	""	"11"	""	""	""	"12"	""	""	""	"12"	""	""	"5"	""	""	""	"5"	""	""	"4"	""	""	""	"44"	""	""	"1"	""	""	""	"4"	""	""	""	""	"48"	""	""	""	"469"	""	""	"0"	""	""	"469"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"119"	"72"	""	"9"	""	"196"	""	""	""	"464"	""	""	""	"20"	""	""	"2"	""	""	""	""	"2"	""	""	""	"3"	""	""	"3"	""	""	""	"1"	""	""	""	""	"37"	""	""	"1"	""	""	"5"	""	""	""	"16"	""	""	"7"	""	""	"7"	""	""	"27"	""	""	""	"1"	""	""	""	"2"	""	""	""	"5"	""	""	""	"4"	""	""	""	"4"	""	""	"1"	""	""	""	"2"	""	""	"4"	""	""	""	"4"	""	""	"4"	""	""	""	"0"	""	""	""	""	"7"	""	""	""	"838"	""	""	"0"	""	""	"838"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"120"	"73"	""	"28"	""	"224"	""	""	""	"87"	""	""	""	"113"	""	""	"10"	""	""	""	""	"7"	""	""	""	"10"	""	""	"3"	""	""	""	"4"	""	""	""	""	"1"	""	""	"2"	""	""	"6"	""	""	""	"83"	""	""	"4"	""	""	"2"	""	""	"8"	""	""	""	"4"	""	""	""	"2"	""	""	""	"1"	""	""	""	"4"	""	""	""	"3"	""	""	"0"	""	""	""	"1"	""	""	"3"	""	""	""	"10"	""	""	"3"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"627"	""	""	"0"	""	""	"627"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"121"	"74"	""	"17"	""	"288"	""	""	""	"282"	""	""	""	"8"	""	""	"4"	""	""	""	""	"2"	""	""	""	"1"	""	""	"2"	""	""	""	"1"	""	""	""	""	"3"	""	""	"2"	""	""	"0"	""	""	""	"3"	""	""	"1"	""	""	"1"	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"624"	""	""	"0"	""	""	"624"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"122"	"75"	""	"19"	""	"116"	""	""	""	"86"	""	""	""	"52"	""	""	"2"	""	""	""	""	"10"	""	""	""	"10"	""	""	"3"	""	""	""	"3"	""	""	""	""	"20"	""	""	"72"	""	""	"5"	""	""	""	"158"	""	""	"2"	""	""	"1"	""	""	"11"	""	""	""	"6"	""	""	""	"4"	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"3"	""	""	""	"28"	""	""	"2"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"625"	""	""	"0"	""	""	"625"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"123"	"76"	""	"12"	""	"267"	""	""	""	"244"	""	""	""	"4"	""	""	"6"	""	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	""	"6"	""	""	"1"	""	""	"2"	""	""	""	"5"	""	""	"3"	""	""	"4"	""	""	"9"	""	""	""	"10"	""	""	""	"2"	""	""	""	"5"	""	""	""	"3"	""	""	""	"11"	""	""	"0"	""	""	""	"1"	""	""	"3"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"604"	""	""	"0"	""	""	"604"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"124"	"77"	""	"11"	""	"225"	""	""	""	"398"	""	""	""	"7"	""	""	"4"	""	""	""	""	"3"	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	""	"4"	""	""	"0"	""	""	"2"	""	""	""	"7"	""	""	"6"	""	""	"2"	""	""	"13"	""	""	""	"4"	""	""	""	"3"	""	""	""	"4"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"704"	""	""	"0"	""	""	"704"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"125"	"78"	""	"37"	""	"182"	""	""	""	"26"	""	""	""	"184"	""	""	"5"	""	""	""	""	"8"	""	""	""	"5"	""	""	"1"	""	""	""	"5"	""	""	""	""	"1"	""	""	"0"	""	""	"4"	""	""	""	"37"	""	""	"5"	""	""	"4"	""	""	"7"	""	""	""	"9"	""	""	""	"2"	""	""	""	"4"	""	""	""	"8"	""	""	""	"5"	""	""	"0"	""	""	""	"1"	""	""	"4"	""	""	""	"13"	""	""	"1"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"561"	""	""	"0"	""	""	"561"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"126"	"79"	""	"21"	""	"260"	""	""	""	"101"	""	""	""	"100"	""	""	"3"	""	""	""	""	"3"	""	""	""	"5"	""	""	"3"	""	""	""	"2"	""	""	""	""	"3"	""	""	"1"	""	""	"3"	""	""	""	"20"	""	""	"4"	""	""	"5"	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"548"	""	""	"0"	""	""	"548"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"127"	"80"	""	"5"	""	"63"	""	""	""	"33"	""	""	""	"143"	""	""	"13"	""	""	""	""	"34"	""	""	""	"7"	""	""	"3"	""	""	""	"2"	""	""	""	""	"2"	""	""	"1"	""	""	"5"	""	""	""	"64"	""	""	"8"	""	""	"4"	""	""	"12"	""	""	""	"6"	""	""	""	"10"	""	""	""	"14"	""	""	""	"6"	""	""	""	"15"	""	""	"8"	""	""	""	"6"	""	""	"8"	""	""	""	"59"	""	""	"13"	""	""	""	"10"	""	""	""	""	"13"	""	""	""	"567"	""	""	"0"	""	""	"567"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"128"	"81"	""	"8"	""	"97"	""	""	""	"21"	""	""	""	"272"	""	""	"10"	""	""	""	""	"78"	""	""	""	"7"	""	""	"2"	""	""	""	"10"	""	""	""	""	"3"	""	""	"4"	""	""	"10"	""	""	""	"51"	""	""	"9"	""	""	"9"	""	""	"26"	""	""	""	"5"	""	""	""	"3"	""	""	""	"4"	""	""	""	"4"	""	""	""	"1"	""	""	"7"	""	""	""	"4"	""	""	"2"	""	""	""	"15"	""	""	"6"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"676"	""	""	"0"	""	""	"676"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"129"	"82"	""	"9"	""	"32"	""	""	""	"3"	""	""	""	"163"	""	""	"10"	""	""	""	""	"0"	""	""	""	"3"	""	""	"5"	""	""	""	"3"	""	""	""	""	"4"	""	""	"2"	""	""	"8"	""	""	""	"161"	""	""	"8"	""	""	"5"	""	""	"14"	""	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	""	"2"	""	""	"1"	""	""	""	"18"	""	""	"4"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	"479"	""	""	"0"	""	""	"479"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"130"	"83"	""	"7"	""	"76"	""	""	""	"4"	""	""	""	"169"	""	""	"9"	""	""	""	""	"80"	""	""	""	"3"	""	""	"0"	""	""	""	"6"	""	""	""	""	"5"	""	""	"1"	""	""	"4"	""	""	""	"77"	""	""	"1"	""	""	"10"	""	""	"17"	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	"16"	""	""	"3"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"502"	""	""	"0"	""	""	"502"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"131"	"84"	""	"9"	""	"69"	""	""	""	"10"	""	""	""	"252"	""	""	"9"	""	""	""	""	"15"	""	""	""	"6"	""	""	"2"	""	""	""	"2"	""	""	""	""	"4"	""	""	"4"	""	""	"5"	""	""	""	"44"	""	""	"1"	""	""	"0"	""	""	"4"	""	""	""	"21"	""	""	""	"14"	""	""	""	"12"	""	""	""	"10"	""	""	""	"11"	""	""	"7"	""	""	""	"5"	""	""	"5"	""	""	""	"68"	""	""	"4"	""	""	""	"6"	""	""	""	""	"22"	""	""	""	"621"	""	""	"0"	""	""	"621"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"132"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	"No. of rejected votes"	""	""	"TOTAL"	""	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""
"133"	""	""	"ABDUL HAMID"	""	"MANSOOR ALAM"	""	""	"MUHAMMAD SAKUR"	""	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	"SITARA PARVIN"	""	""	""	"DINA YADAV"	""	""	""	"PABHAT KUMAR"	""	""	""	"PRAKASH GUPTA"	""	""	""	"PREMNATH JAISWAL"	""	""	""	"MOHAMMAD ISRAIL"	""	""	""	"VIMAL KUMAR MANDAL"	""	""	"SHAMBHU MAHALDAR"	""	""	"SAYOGITA SINGH"	""	""	""	"SURYANARAYAN SINGH"	""	""	"ARVIND KUMAR SINGH"	""	""	"KALYAN MITRA"	""	""	"KAILASH PODDAR"	""	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	"TANWEER"	""	""	"NIRAJ KUMAR KASHYAP"	""	""	""	""	"PARSHURAM PASWAN"	""	""	"YAMUNA PRASAD YADAV"	""	""	"RAJESHWAR CHOUDHARY"	""	""	"SAVIRURAHAMAN KHAN"	""	""	""	"SHIV PUJAN PASWAN"	""	""	""	"SANJAY SINGH"	""	""	""	"SAMSAD"	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"85"	""	"15"	""	"95"	""	""	"31"	""	""	""	""	"234"	""	""	"14"	""	""	""	"10"	""	""	""	"9"	""	""	""	"8"	""	""	""	"8"	""	""	""	"8"	""	""	""	"5"	""	""	"12"	""	""	"148"	""	""	""	"13"	""	""	"10"	""	""	"29"	""	""	"9"	""	""	""	""	"3"	""	""	""	"4"	""	""	"6"	""	""	""	""	"10"	""	""	"5"	""	""	"3"	""	""	"3"	""	""	""	"61"	""	""	""	"10"	""	""	""	"3"	""	""	""	"29"	""	""	""	""	"795"	""	""	"0"	""	""	"795"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"135"	"86"	""	"13"	""	"35"	""	""	"27"	""	""	""	""	"242"	""	""	"8"	""	""	""	"43"	""	""	""	"8"	""	""	""	"3"	""	""	""	"57"	""	""	""	"7"	""	""	""	"8"	""	""	"6"	""	""	"106"	""	""	""	"7"	""	""	"0"	""	""	"6"	""	""	"2"	""	""	""	""	"2"	""	""	""	"6"	""	""	"11"	""	""	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"3"	""	""	""	"27"	""	""	""	"2"	""	""	""	"0"	""	""	""	"39"	""	""	""	""	"669"	""	""	"0"	""	""	"669"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"136"	"87"	""	"17"	""	"34"	""	""	"11"	""	""	""	""	"223"	""	""	"5"	""	""	""	"12"	""	""	""	"8"	""	""	""	"5"	""	""	""	"41"	""	""	""	"1"	""	""	""	"2"	""	""	"2"	""	""	"40"	""	""	""	"2"	""	""	"3"	""	""	"2"	""	""	"3"	""	""	""	""	"0"	""	""	""	"4"	""	""	"48"	""	""	""	""	"1"	""	""	"1"	""	""	"21"	""	""	"0"	""	""	""	"12"	""	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"502"	""	""	"0"	""	""	"502"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"137"	"88"	""	"7"	""	"45"	""	""	"244"	""	""	""	""	"53"	""	""	"2"	""	""	""	"31"	""	""	""	"6"	""	""	""	"0"	""	""	""	"16"	""	""	""	"1"	""	""	""	"4"	""	""	"5"	""	""	"16"	""	""	""	"4"	""	""	"1"	""	""	"13"	""	""	"13"	""	""	""	""	"9"	""	""	""	"20"	""	""	"162"	""	""	""	""	"8"	""	""	"4"	""	""	"6"	""	""	"7"	""	""	""	"30"	""	""	""	"8"	""	""	""	"3"	""	""	""	"7"	""	""	""	""	"725"	""	""	"0"	""	""	"725"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"138"	"89"	""	"6"	""	"104"	""	""	"17"	""	""	""	""	"225"	""	""	"8"	""	""	""	"6"	""	""	""	"4"	""	""	""	"1"	""	""	""	"17"	""	""	""	"2"	""	""	""	"1"	""	""	"7"	""	""	"46"	""	""	""	"2"	""	""	"1"	""	""	"3"	""	""	"2"	""	""	""	""	"1"	""	""	""	"1"	""	""	"5"	""	""	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"468"	""	""	"0"	""	""	"468"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"139"	"90"	""	"7"	""	"37"	""	""	"44"	""	""	""	""	"303"	""	""	"1"	""	""	""	"13"	""	""	""	"1"	""	""	""	"1"	""	""	""	"30"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"74"	""	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	""	""	"0"	""	""	""	"1"	""	""	"13"	""	""	""	""	"3"	""	""	"0"	""	""	"2"	""	""	"0"	""	""	""	"18"	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"556"	""	""	"0"	""	""	"556"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"140"	"91"	""	"4"	""	"166"	""	""	"15"	""	""	""	""	"191"	""	""	"4"	""	""	""	"18"	""	""	""	"2"	""	""	""	"1"	""	""	""	"95"	""	""	""	"1"	""	""	""	"3"	""	""	"3"	""	""	"58"	""	""	""	"0"	""	""	"1"	""	""	"7"	""	""	"3"	""	""	""	""	"2"	""	""	""	"3"	""	""	"49"	""	""	""	""	"1"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	"5"	""	""	""	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"642"	""	""	"0"	""	""	"642"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"141"	"92"	""	"4"	""	"110"	""	""	"10"	""	""	""	""	"249"	""	""	"4"	""	""	""	"19"	""	""	""	"2"	""	""	""	"1"	""	""	""	"48"	""	""	""	"0"	""	""	""	"3"	""	""	"3"	""	""	"68"	""	""	""	"4"	""	""	"2"	""	""	"11"	""	""	"3"	""	""	""	""	"3"	""	""	""	"3"	""	""	"12"	""	""	""	""	"4"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	""	"13"	""	""	""	"0"	""	""	""	"1"	""	""	""	"8"	""	""	""	""	"591"	""	""	"0"	""	""	"591"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"142"	"93"	""	"10"	""	"296"	""	""	"21"	""	""	""	""	"138"	""	""	"11"	""	""	""	"15"	""	""	""	"5"	""	""	""	"2"	""	""	""	"4"	""	""	""	"2"	""	""	""	"3"	""	""	"6"	""	""	"74"	""	""	""	"9"	""	""	"13"	""	""	"38"	""	""	"5"	""	""	""	""	"17"	""	""	""	"2"	""	""	"16"	""	""	""	""	"1"	""	""	"4"	""	""	"2"	""	""	"2"	""	""	""	"13"	""	""	""	"5"	""	""	""	"4"	""	""	""	"10"	""	""	""	""	"728"	""	""	"0"	""	""	"728"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"143"	"94"	""	"8"	""	"112"	""	""	"3"	""	""	""	""	"33"	""	""	"3"	""	""	""	"6"	""	""	""	"4"	""	""	""	"0"	""	""	""	"13"	""	""	""	"0"	""	""	""	"1"	""	""	"5"	""	""	"96"	""	""	""	"6"	""	""	"4"	""	""	"8"	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"9"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"318"	""	""	"0"	""	""	"318"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"144"	"95"	""	"16"	""	"273"	""	""	"15"	""	""	""	""	"52"	""	""	"10"	""	""	""	"31"	""	""	""	"4"	""	""	""	"1"	""	""	""	"6"	""	""	""	"1"	""	""	""	"2"	""	""	"8"	""	""	"94"	""	""	""	"6"	""	""	"11"	""	""	"16"	""	""	"6"	""	""	""	""	"16"	""	""	""	"4"	""	""	"5"	""	""	""	""	"4"	""	""	"1"	""	""	"4"	""	""	"4"	""	""	""	"38"	""	""	""	"3"	""	""	""	"2"	""	""	""	"6"	""	""	""	""	"639"	""	""	"0"	""	""	"639"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"145"	"96"	""	"9"	""	"166"	""	""	"13"	""	""	""	""	"93"	""	""	"9"	""	""	""	"13"	""	""	""	"4"	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	"5"	""	""	"69"	""	""	""	"7"	""	""	"11"	""	""	"18"	""	""	"6"	""	""	""	""	"5"	""	""	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	"4"	""	""	"3"	""	""	"7"	""	""	""	"30"	""	""	""	"7"	""	""	""	"6"	""	""	""	"9"	""	""	""	""	"510"	""	""	"0"	""	""	"510"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"146"	"97"	""	"6"	""	"159"	""	""	"5"	""	""	""	""	"103"	""	""	"1"	""	""	""	"13"	""	""	""	"4"	""	""	""	"0"	""	""	""	"5"	""	""	""	"0"	""	""	""	"1"	""	""	"4"	""	""	"208"	""	""	""	"4"	""	""	"0"	""	""	"6"	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	"4"	""	""	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	""	"37"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"569"	""	""	"0"	""	""	"569"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"147"	"98"	""	"25"	""	"137"	""	""	"7"	""	""	""	""	"20"	""	""	"2"	""	""	""	"13"	""	""	""	"3"	""	""	""	"2"	""	""	""	"17"	""	""	""	"1"	""	""	""	"1"	""	""	"8"	""	""	"123"	""	""	""	"6"	""	""	"1"	""	""	"1"	""	""	"4"	""	""	""	""	"8"	""	""	""	"1"	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"38"	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"425"	""	""	"0"	""	""	"425"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"148"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Election to the Legislative assembly from the 141-BARARI constituency.                                     Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"(To be used both for Parliamentary and Assembly elections                                               Total No. of Electors in Assembly constituency/Segment ............................. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	""	"No. of rejected votes"	""	""	"TOTAL"	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	""	"ABDUL HAMID"	""	""	"MANSOOR ALAM"	""	""	"MUHAMMAD SAKUR"	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	"SITARA PARVIN"	""	""	""	"DINA YADAV"	""	""	""	"PABHAT KUMAR"	""	""	"PRAKASH GUPTA"	""	""	""	"PREMNATH JAISWAL"	""	""	""	"MOHAMMAD ISRAIL"	""	""	""	"VIMAL KUMAR MANDAL"	""	""	"SHAMBHU MAHALDAR"	""	""	"SAYOGITA SINGH"	""	""	""	"SURYANARAYAN SINGH"	""	""	"ARVIND KUMAR SINGH"	""	""	"KALYAN MITRA"	""	""	"KAILASH PODDAR"	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	"TANWEER"	""	""	""	"NIRAJ KUMAR KASHYAP"	""	""	"PARSHURAM PASWAN"	""	""	""	"YAMUNA PRASAD YADAV"	""	""	"RAJESHWAR CHOUDHARY"	""	"SAVIRURAHAMAN KHAN"	""	""	""	"SHIV PUJAN PASWAN"	""	""	""	"SANJAY SINGH"	""	""	"SAMSAD"	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"99"	"4"	""	""	"15"	""	""	"255"	""	""	""	"14"	""	""	"1"	""	""	""	"28"	""	""	""	"3"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	"3"	""	""	"7"	""	""	""	"6"	""	""	"2"	""	""	"30"	""	""	"3"	""	""	"4"	""	""	""	"3"	""	""	""	"1"	""	""	"4"	""	""	""	"2"	""	""	"3"	""	"2"	""	""	""	"5"	""	""	""	"2"	""	""	"5"	""	""	""	"49"	""	""	""	"456"	""	""	""	"0"	""	""	"456"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"100"	"26"	""	""	"29"	""	""	"92"	""	""	""	"56"	""	""	"10"	""	""	""	"144"	""	""	""	"5"	""	""	"2"	""	""	""	"5"	""	""	""	"1"	""	""	""	"2"	""	""	"4"	""	""	"60"	""	""	""	"5"	""	""	"2"	""	""	"12"	""	""	"8"	""	""	"3"	""	""	""	"9"	""	""	""	"4"	""	""	"5"	""	""	""	"4"	""	""	"8"	""	"7"	""	""	""	"47"	""	""	""	"8"	""	""	"6"	""	""	""	"18"	""	""	""	"582"	""	""	""	"0"	""	""	"582"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"101"	"4"	""	""	"61"	""	""	"43"	""	""	""	"156"	""	""	"9"	""	""	""	"72"	""	""	""	"4"	""	""	"2"	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	"18"	""	""	""	"1"	""	""	"2"	""	""	"6"	""	""	"2"	""	""	"3"	""	""	""	"3"	""	""	""	"7"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	""	"405"	""	""	""	"0"	""	""	"405"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
