"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"404"	"10"	"174"	"9"	"128"	"26"	"133"	"6"	"3"	"3"	"0"	"0"	"4"	"2"	"103"	"1"	"5"	"0"	"4"	"0"	"1"	"0"	"6"	"2"	"436"	"0"	"436"	"0"
"405"	"11"	"175"	"2"	"80"	"6"	"89"	"2"	"1"	"2"	"0"	"2"	"1"	"3"	"130"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"322"	"0"	"322"	"0"
"406"	"12"	"176"	"5"	"141"	"6"	"113"	"8"	"1"	"0"	"0"	"0"	"0"	"1"	"124"	"2"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"407"	"0"	"407"	"0"
"407"	"13"	"177"	"3"	"69"	"6"	"95"	"19"	"0"	"1"	"0"	"0"	"1"	"4"	"167"	"2"	"0"	"1"	"14"	"0"	"1"	"0"	"0"	"0"	"383"	"0"	"383"	"0"
"408"	"14"	"178"	"4"	"74"	"5"	"82"	"18"	"0"	"3"	"3"	"3"	"0"	"6"	"269"	"1"	"1"	"2"	"1"	"3"	"1"	"1"	"0"	"1"	"478"	"0"	"478"	"0"
"409"	"Total Votes Polled"	""	"165"	"2113"	"137"	"1738"	"142"	"12"	"28"	"8"	"17"	"25"	"31"	"1626"	"19"	"20"	"15"	"43"	"10"	"9"	"3"	"7"	"13"	"6181"	"0"	"6181"	"0"
"410"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"423"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"425"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"426"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"427"	"1"	"179"	"11"	"179"	"1"	"7"	"8"	"0"	"6"	"0"	"3"	"5"	"5"	"199"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"2"	"431"	"0"	"431"	"0"
"428"	"2"	"180"	"0"	"80"	"5"	"51"	"5"	"2"	"2"	"1"	"0"	"2"	"2"	"102"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"254"	"0"	"254"	"0"
"429"	"3"	"181R"	"5"	"187"	"0"	"96"	"19"	"1"	"1"	"1"	"2"	"3"	"6"	"168"	"0"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"3"	"500"	"0"	"500"	"0"
"430"	"4"	"182"	"1"	"92"	"2"	"1"	"94"	"0"	"5"	"2"	"2"	"6"	"2"	"141"	"2"	"0"	"3"	"7"	"3"	"1"	"2"	"2"	"6"	"374"	"0"	"374"	"0"
"431"	"5"	"183"	"1"	"36"	"1"	"1"	"56"	"1"	"2"	"0"	"1"	"0"	"1"	"107"	"0"	"0"	"1"	"5"	"1"	"0"	"0"	"0"	"3"	"217"	"0"	"217"	"0"
"432"	"6"	"184"	"2"	"101"	"2"	"450"	"24"	"2"	"1"	"0"	"0"	"1"	"1"	"16"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"603"	"0"	"603"	"0"
"433"	"7"	"185"	"0"	"28"	"0"	"2"	"286"	"4"	"5"	"1"	"0"	"1"	"1"	"265"	"1"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"602"	"0"	"602"	"0"
"434"	"8"	"186"	"1"	"70"	"6"	"120"	"36"	"1"	"1"	"0"	"0"	"3"	"6"	"224"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"472"	"0"	"472"	"0"
"435"	"9"	"187"	"2"	"113"	"1"	"210"	"54"	"2"	"0"	"3"	"2"	"1"	"5"	"135"	"2"	"0"	"1"	"6"	"2"	"0"	"0"	"0"	"1"	"540"	"0"	"540"	"0"
"436"	"10"	"188"	"1"	"133"	"1"	"2"	"67"	"1"	"1"	"0"	"0"	"1"	"3"	"475"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"686"	"0"	"686"	"0"
"437"	"11"	"189"	"2"	"110"	"0"	"1"	"110"	"1"	"2"	"0"	"1"	"0"	"1"	"511"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"7"	"751"	"0"	"751"	"0"
"438"	"12"	"190"	"2"	"279"	"3"	"3"	"111"	"1"	"3"	"2"	"0"	"0"	"0"	"51"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"457"	"0"	"457"	"0"
"439"	"13"	"191"	"0"	"333"	"2"	"3"	"155"	"2"	"0"	"0"	"0"	"0"	"2"	"34"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"535"	"0"	"535"	"0"
"440"	"14"	"192"	"2"	"185"	"2"	"1"	"105"	"1"	"3"	"1"	"0"	"1"	"1"	"213"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"521"	"0"	"521"	"0"
"441"	"Total Votes Polled"	""	"30"	"1926"	"26"	"948"	"1130"	"19"	"32"	"11"	"11"	"24"	"36"	"2641"	"12"	"6"	"19"	"32"	"8"	"1"	"2"	"3"	"26"	"6943"	"0"	"6943"	"0"
"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"443"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"444"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"445"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"446"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"447"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"448"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"449"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"450"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"451"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"452"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"454"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"455"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"456"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"457"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"459"	"1"	"193"	"2"	"196"	"0"	"2"	"276"	"3"	"6"	"0"	"1"	"3"	"1"	"261"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"755"	"0"	"755"	"0"
"460"	"2"	"194"	"5"	"130"	"4"	"5"	"12"	"0"	"0"	"0"	"2"	"3"	"2"	"112"	"3"	"3"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"286"	"0"	"286"	"0"
"461"	"3"	"195"	"12"	"108"	"4"	"51"	"9"	"1"	"3"	"3"	"2"	"4"	"6"	"163"	"0"	"1"	"2"	"9"	"2"	"1"	"1"	"0"	"1"	"383"	"0"	"383"	"0"
"462"	"4"	"196"	"0"	"132"	"12"	"41"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"192"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"380"	"0"	"380"	"0"
"463"	"5"	"197"	"11"	"582"	"7"	"27"	"15"	"0"	"1"	"0"	"0"	"3"	"6"	"223"	"3"	"2"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"884"	"0"	"884"	"0"
"464"	"6"	"198"	"42"	"126"	"6"	"2"	"11"	"0"	"0"	"0"	"0"	"2"	"7"	"362"	"3"	"1"	"0"	"3"	"0"	"2"	"0"	"0"	"2"	"569"	"0"	"569"	"0"
"465"	"7"	"199"	"8"	"128"	"25"	"18"	"19"	"6"	"5"	"5"	"4"	"7"	"13"	"208"	"13"	"4"	"6"	"24"	"2"	"1"	"0"	"1"	"6"	"503"	"0"	"503"	"0"
"466"	"8"	"200"	"2"	"17"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"387"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"412"	"0"	"412"	"0"
"467"	"9"	"201"	"4"	"85"	"6"	"5"	"14"	"1"	"3"	"0"	"0"	"3"	"7"	"117"	"7"	"7"	"3"	"11"	"1"	"1"	"0"	"1"	"0"	"276"	"0"	"276"	"0"
"468"	"10"	"202"	"6"	"110"	"10"	"103"	"22"	"4"	"6"	"1"	"0"	"6"	"7"	"140"	"10"	"6"	"6"	"26"	"0"	"0"	"0"	"0"	"1"	"464"	"0"	"464"	"0"
"469"	"11"	"203"	"41"	"208"	"37"	"34"	"6"	"4"	"1"	"0"	"0"	"0"	"2"	"72"	"1"	"1"	"1"	"8"	"5"	"1"	"2"	"1"	"2"	"427"	"0"	"427"	"0"
"470"	"12"	"204"	"26"	"25"	"33"	"23"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"14"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"135"	"0"	"135"	"0"
"471"	"13"	"205"	"7"	"135"	"4"	"20"	"9"	"5"	"0"	"0"	"0"	"3"	"2"	"48"	"1"	"0"	"0"	"2"	"2"	"1"	"0"	"2"	"4"	"245"	"0"	"245"	"0"
"472"	"14"	"206"	"11"	"146"	"11"	"118"	"23"	"3"	"5"	"3"	"3"	"4"	"7"	"122"	"1"	"3"	"4"	"11"	"0"	"1"	"1"	"0"	"0"	"477"	"0"	"477"	"0"
"473"	"Total Votes Polled"	""	"177"	"2128"	"159"	"452"	"422"	"27"	"31"	"12"	"12"	"39"	"62"	"2421"	"44"	"33"	"26"	"100"	"12"	"10"	"5"	"6"	"18"	"6196"	"0"	"6196"	"0"
"474"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"475"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"476"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"477"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"478"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"479"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"480"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"481"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"482"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"483"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"484"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"485"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"486"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"487"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"488"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"489"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"490"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"491"	"1"	"207"	"8"	"167"	"3"	"27"	"41"	"2"	"6"	"3"	"0"	"4"	"2"	"243"	"3"	"2"	"3"	"10"	"2"	"0"	"2"	"0"	"7"	"535"	"0"	"535"	"0"
"492"	"2"	"208"	"8"	"89"	"31"	"9"	"6"	"0"	"1"	"0"	"1"	"1"	"1"	"108"	"2"	"3"	"1"	"2"	"2"	"1"	"0"	"0"	"4"	"270"	"0"	"270"	"0"
"493"	"3"	"209"	"1"	"91"	"3"	"14"	"28"	"4"	"1"	"2"	"2"	"3"	"6"	"278"	"5"	"1"	"2"	"11"	"3"	"5"	"0"	"0"	"19"	"479"	"0"	"479"	"0"
"494"	"4"	"210"	"12"	"97"	"21"	"12"	"6"	"1"	"1"	"0"	"0"	"1"	"3"	"143"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"0"	"302"	"0"
"495"	"5"	"211"	"68"	"284"	"15"	"5"	"44"	"3"	"4"	"0"	"2"	"2"	"3"	"258"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"694"	"0"	"694"	"0"
"496"	"6"	"212R"	"10"	"160"	"7"	"3"	"38"	"2"	"5"	"5"	"0"	"4"	"14"	"159"	"4"	"7"	"4"	"13"	"5"	"8"	"5"	"0"	"11"	"464"	"0"	"464"	"0"
"497"	"7"	"213R"	"11"	"292"	"6"	"3"	"15"	"1"	"0"	"1"	"1"	"2"	"3"	"87"	"3"	"2"	"6"	"11"	"6"	"9"	"1"	"2"	"2"	"464"	"0"	"464"	"0"
"498"	"8"	"214"	"7"	"200"	"7"	"11"	"131"	"4"	"3"	"0"	"0"	"4"	"2"	"175"	"2"	"1"	"3"	"10"	"1"	"0"	"1"	"0"	"6"	"568"	"0"	"568"	"0"
"499"	"9"	"215"	"14"	"5"	"455"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"485"	"0"	"485"	"0"
"500"	"10"	"216"	"1"	"216"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"295"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"530"	"0"	"530"	"0"
"501"	"11"	"217"	"4"	"112"	"7"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"24"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"1"	"1"	"166"	"0"	"166"	"0"
"502"	"12"	"218"	"6"	"150"	"4"	"13"	"13"	"0"	"1"	"0"	"1"	"0"	"3"	"115"	"4"	"1"	"3"	"9"	"0"	"1"	"1"	"1"	"5"	"331"	"0"	"331"	"0"
"503"	"13"	"219"	"13"	"142"	"7"	"38"	"21"	"3"	"2"	"2"	"4"	"6"	"10"	"97"	"4"	"4"	"10"	"23"	"2"	"1"	"3"	"3"	"5"	"400"	"0"	"400"	"0"
"504"	"14"	"220"	"6"	"87"	"136"	"24"	"16"	"2"	"3"	"0"	"1"	"3"	"5"	"106"	"4"	"3"	"5"	"19"	"1"	"0"	"1"	"1"	"4"	"427"	"0"	"427"	"0"
"505"	"Total Votes Polled"	""	"169"	"2092"	"714"	"173"	"367"	"22"	"27"	"13"	"12"	"31"	"56"	"2089"	"37"	"25"	"40"	"110"	"23"	"28"	"14"	"8"	"65"	"6115"	"0"	"6115"	"0"
"506"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"507"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"508"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"509"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"510"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"511"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"512"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"513"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"514"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"515"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"516"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"517"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"518"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"519"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"520"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"521"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"523"	"1"	"221"	"17"	"151"	"11"	"38"	"58"	"3"	"2"	"0"	"1"	"1"	"3"	"147"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"438"	"0"	"438"	"0"
"524"	"2"	"222"	"11"	"268"	"6"	"10"	"29"	"2"	"4"	"1"	"3"	"2"	"3"	"54"	"3"	"3"	"4"	"12"	"0"	"5"	"0"	"1"	"4"	"425"	"0"	"425"	"0"
"525"	"3"	"223"	"11"	"75"	"9"	"12"	"13"	"3"	"3"	"2"	"3"	"3"	"8"	"62"	"5"	"2"	"2"	"3"	"2"	"2"	"2"	"3"	"3"	"228"	"0"	"228"	"0"
"526"	"4"	"224"	"19"	"164"	"597"	"12"	"6"	"1"	"2"	"0"	"4"	"0"	"7"	"18"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"4"	"3"	"841"	"0"	"841"	"0"
"527"	"5"	"225"	"2"	"107"	"61"	"6"	"4"	"6"	"1"	"0"	"0"	"0"	"1"	"41"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"0"	"231"	"0"
"528"	"6"	"226"	"8"	"125"	"9"	"5"	"22"	"4"	"1"	"0"	"1"	"2"	"5"	"20"	"3"	"6"	"5"	"31"	"2"	"6"	"1"	"1"	"6"	"263"	"0"	"263"	"0"
"529"	"7"	"227"	"0"	"233"	"17"	"3"	"4"	"2"	"0"	"0"	"0"	"0"	"1"	"190"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"453"	"0"	"453"	"0"
"530"	"8"	"228"	"2"	"56"	"27"	"0"	"9"	"0"	"1"	"0"	"1"	"1"	"6"	"73"	"1"	"0"	"0"	"6"	"3"	"1"	"1"	"1"	"1"	"190"	"0"	"190"	"0"
"531"	"9"	"229R"	"6"	"138"	"3"	"8"	"30"	"2"	"2"	"3"	"2"	"1"	"3"	"118"	"6"	"3"	"6"	"9"	"3"	"1"	"2"	"2"	"5"	"353"	"0"	"353"	"0"
"532"	"10"	"230"	"3"	"86"	"9"	"1"	"6"	"0"	"1"	"1"	"0"	"0"	"1"	"56"	"0"	"0"	"2"	"5"	"0"	"0"	"1"	"0"	"1"	"173"	"0"	"173"	"0"
"533"	"11"	"231"	"29"	"216"	"27"	"21"	"29"	"9"	"9"	"5"	"5"	"2"	"9"	"82"	"2"	"7"	"6"	"6"	"1"	"1"	"0"	"2"	"3"	"471"	"0"	"471"	"0"
"534"	"12"	"232"	"0"	"296"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"358"	"0"	"358"	"0"
"535"	"13"	"233"	"2"	"476"	"83"	"9"	"4"	"0"	"1"	"0"	"1"	"1"	"0"	"23"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"601"	"0"	"601"	"0"
"536"	"14"	"234"	"0"	"513"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"551"	"0"	"551"	"0"
"537"	"Total Votes Polled"	""	"110"	"2904"	"864"	"126"	"217"	"32"	"27"	"12"	"21"	"13"	"48"	"974"	"27"	"24"	"26"	"74"	"12"	"17"	"7"	"14"	"27"	"5576"	"0"	"5576"	"0"
"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
