"Election.to.the.Bihar.Legislative.Assembly.from.the.230..Konch.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"
"164"	"104"	"96"	""	""	""	"71"	""	""	"25"	""	""	""	""	"155"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	"70"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"436"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"436"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"105"	"124"	""	""	""	"2"	""	""	"50"	""	""	""	""	"246"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"430"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"430"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"106"	"215"	""	""	""	"0"	""	""	"231"	""	""	""	""	"302"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"13"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"763"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"763"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"107"	"20"	""	""	""	"4"	""	""	"25"	""	""	""	""	"80"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"2"	""	""	""	""	"79"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"234"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"108"	"17"	""	""	""	"1"	""	""	"80"	""	""	""	""	"97"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	"46"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"252"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"252"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"109"	"14"	""	""	""	"6"	""	""	"2"	""	""	""	""	"68"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	"22"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"129"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"129"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"110"	"2"	""	""	""	"2"	""	""	"221"	""	""	""	""	"67"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"19"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"314"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"314"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"111"	"115"	""	""	""	"133"	""	""	"18"	""	""	""	""	"116"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"7"	""	""	""	""	"61"	""	""	""	""	""	"32"	""	""	""	""	""	""	""	"518"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Total"	"1734"	""	""	""	"338"	""	""	"771"	""	""	""	""	"1814"	""	""	""	""	"31"	""	""	""	""	"14"	""	""	""	""	""	"43"	""	""	""	""	""	""	""	"31"	""	""	""	""	""	"72"	""	""	""	""	""	""	""	"20"	""	""	""	""	"453"	""	""	""	""	""	"67"	""	""	""	""	""	""	""	"5388"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"5388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""
"174"	"of"	""	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""
"175"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""
"176"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""
"178"	"112"	""	"61"	""	""	"3"	""	""	""	"64"	""	""	""	"143"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	"39"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"336"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"336"	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"113"	""	"11"	""	""	"5"	""	""	""	"35"	""	""	""	"52"	""	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	"104"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"237"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"237"	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"114"	""	"47"	""	""	"11"	""	""	""	"40"	""	""	""	"901"	""	""	""	""	""	"14"	""	""	""	""	"0"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	"16"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1051"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1051"	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"115"	""	"292"	""	""	"6"	""	""	""	"3"	""	""	""	"24"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"116"	""	"60"	""	""	"17"	""	""	""	"95"	""	""	""	"267"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	"16"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"464"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"117"	""	"61"	""	""	"5"	""	""	""	"0"	""	""	""	"13"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	"336"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"420"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"420"	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"118"	""	"65"	""	""	"7"	""	""	""	"104"	""	""	""	"70"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	"32"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"119"	""	"124"	""	""	"40"	""	""	""	"13"	""	""	""	"77"	""	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"5"	""	""	""	""	"156"	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"475"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"475"	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"120"	""	"78"	""	""	"8"	""	""	""	"123"	""	""	""	"89"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	"23"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"337"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"337"	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"121"	""	"3"	""	""	"3"	""	""	""	"13"	""	""	""	"36"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"67"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"67"	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"122"	""	"71"	""	""	"2"	""	""	""	"9"	""	""	""	"48"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"5"	""	""	""	""	"44"	""	""	""	""	""	"24"	""	""	""	""	""	""	""	"216"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"216"	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"123"	""	"214"	""	""	"0"	""	""	""	"5"	""	""	""	"164"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"0"	""	""	""	""	"87"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"480"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"480"	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"124"	""	"89"	""	""	"1"	""	""	""	"5"	""	""	""	"42"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"2"	""	""	""	""	"59"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"216"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"216"	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"125"	""	"514"	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"49"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"565"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"565"	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"Total"	""	"1690"	""	""	"110"	""	""	""	"509"	""	""	""	"1926"	""	""	""	""	""	"41"	""	""	""	""	"13"	""	""	""	""	""	"53"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	"62"	""	""	""	""	""	""	""	"29"	""	""	""	""	"974"	""	""	""	""	""	"71"	""	""	""	""	""	""	""	"5505"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5505"	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Election to the Bihar Legislative Assembly from the 230- Konch Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Round No. ……          10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""
"199"	"of"	""	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""
"200"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""
"201"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""
"203"	"126"	""	"86"	""	""	"1"	""	""	""	"2"	""	""	""	"136"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"11"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"238"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"238"	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"127"	""	"11"	""	""	"29"	""	""	""	"9"	""	""	""	"580"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"24"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"654"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"128"	""	"749"	""	""	"12"	""	""	""	"0"	""	""	""	"14"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	"32"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"810"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"810"	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"129"	""	"1"	""	""	"5"	""	""	""	"1"	""	""	""	"372"	""	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"130"	""	"1"	""	""	"0"	""	""	""	"20"	""	""	""	"706"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"730"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"730"	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"131"	""	"256"	""	""	"3"	""	""	""	"5"	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"37"	""	""	""	""	""	""	""	"1"	""	""	""	""	"24"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"353"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"353"	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"132"	""	"78"	""	""	"4"	""	""	""	"5"	""	""	""	"63"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"172"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"172"	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"133"	""	"14"	""	""	"12"	""	""	""	"5"	""	""	""	"728"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"765"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"765"	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"134"	""	"10"	""	""	"1"	""	""	""	"6"	""	""	""	"147"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	"224"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"135"	""	"28"	""	""	"32"	""	""	""	"9"	""	""	""	"369"	""	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	"109"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"577"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"577"	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"136"	""	"87"	""	""	"1"	""	""	""	"6"	""	""	""	"63"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	"65"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"255"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"255"	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"137"	""	"6"	""	""	"4"	""	""	""	"6"	""	""	""	"280"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	"149"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"453"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"453"	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"138"	""	"120"	""	""	"195"	""	""	""	"105"	""	""	""	"130"	""	""	""	""	""	"9"	""	""	""	""	"5"	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"9"	""	""	""	""	"22"	""	""	""	""	""	""	"23"	""	""	""	""	""	""	"646"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"646"	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"139"	""	"98"	""	""	"71"	""	""	""	"164"	""	""	""	"76"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	"47"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"480"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"480"	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Total"	""	"1545"	""	""	"370"	""	""	""	"343"	""	""	""	"3669"	""	""	""	""	""	"34"	""	""	""	""	"20"	""	""	""	""	""	"59"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	"62"	""	""	""	""	""	""	""	"17"	""	""	""	""	"719"	""	""	""	""	""	""	"65"	""	""	""	""	""	""	"6920"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6920"	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"Place     Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Date      27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
