"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"
"144"	"89"	"123"	""	""	"109"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"626"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"861"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"861"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"90"	"2"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	""	""	"472"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"483"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"483"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"91"	"167"	""	""	"2"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"56"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"237"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"237"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"92"	"1"	""	""	"2"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	"489"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"511"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"511"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"93"	"72"	""	""	"15"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"81"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"190"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"190"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"94"	"301"	""	""	"12"	""	""	""	"261"	""	""	""	""	"7"	""	""	""	""	"16"	""	""	""	""	"5"	""	""	""	""	""	"118"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"744"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"744"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"95"	"56"	""	""	"35"	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	"29"	""	""	""	""	"1"	""	""	""	""	""	"185"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"323"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"96"	"69"	""	""	"6"	""	""	""	"18"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	"168"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"290"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"97"	"32"	""	""	"1"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"427"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"501"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"98"	"24"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	""	"4"	""	""	""	""	""	"448"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"491"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"Total"	"1512"	""	""	"320"	""	""	""	"319"	""	""	""	""	"23"	""	""	""	""	"104"	""	""	""	""	"34"	""	""	""	""	""	"4282"	""	""	""	""	""	""	"39"	""	""	""	""	""	""	"22"	""	""	""	""	""	"12"	""	""	""	""	""	"11"	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	"51"	""	""	""	""	""	""	"6767"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6767"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""
"156"	"of"	"DR. BINOD KUMAR YADVENDU"	""	""	""	"DR. RAM KUMAR MEHTA"	""	""	"VENNA   RAY"	""	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""	""
"157"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""
"158"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"1"	"2"	""	""	""	"3"	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""
"160"	"99"	"388"	""	""	""	"18"	""	""	"25"	""	""	""	""	"10"	""	""	""	""	"10"	""	""	""	"14"	""	""	""	""	""	"277"	""	""	""	""	""	""	"18"	""	""	""	""	""	"7"	""	""	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"24"	""	""	""	""	""	""	"817"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"817"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"100"	"264"	""	""	""	"4"	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	""	""	"56"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"101"	"50"	""	""	""	"6"	""	""	"41"	""	""	""	""	"4"	""	""	""	""	"68"	""	""	""	"1"	""	""	""	""	""	"185"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"26"	""	""	""	""	""	""	"403"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"102"	"104"	""	""	""	"6"	""	""	"22"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"189"	""	""	""	""	""	""	"10"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"9"	""	""	""	""	""	""	"356"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"103"	"112"	""	""	""	"5"	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"6"	""	""	""	""	""	"336"	""	""	""	""	""	""	"10"	""	""	""	""	""	"6"	""	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"15"	""	""	""	""	""	""	"515"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"515"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"104"	"93"	""	""	""	"27"	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"15"	""	""	""	"11"	""	""	""	""	""	"208"	""	""	""	""	""	""	"25"	""	""	""	""	""	"9"	""	""	""	""	""	""	"5"	""	""	""	""	"11"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	"23"	""	""	""	""	""	""	"464"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"105"	"222"	""	""	""	"66"	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	"6"	""	""	""	""	""	"220"	""	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"11"	""	""	""	""	""	""	"571"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"571"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"106"	"206"	""	""	""	"4"	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	""	"31"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	"260"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"107"	"69"	""	""	""	"15"	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"397"	""	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"500"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"108"	"182"	""	""	""	"4"	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"48"	""	""	""	"4"	""	""	""	""	""	"96"	""	""	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"8"	""	""	""	""	""	""	"375"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"109"	"261"	""	""	""	"8"	""	""	"17"	""	""	""	""	"7"	""	""	""	""	"28"	""	""	""	"7"	""	""	""	""	""	"270"	""	""	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"14"	""	""	""	""	""	""	"636"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"636"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"110"	"112"	""	""	""	"3"	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	"85"	""	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	"228"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"228"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"111"	"266"	""	""	""	"367"	""	""	"49"	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"88"	""	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"18"	""	""	""	""	""	""	"827"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"827"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"112"	"188"	""	""	""	"186"	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	""	"247"	""	""	""	""	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	""	"663"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"663"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Total"	"2517"	""	""	""	"719"	""	""	"189"	""	""	""	""	"53"	""	""	""	""	"193"	""	""	""	"70"	""	""	""	""	""	"2685"	""	""	""	""	""	""	"103"	""	""	""	""	""	"56"	""	""	""	""	""	""	"37"	""	""	""	""	"48"	""	""	""	""	""	"49"	""	""	""	""	""	""	""	"74"	""	""	""	""	""	"168"	""	""	""	""	""	""	"6961"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6961"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"176"	"of"	""	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""
"177"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"178"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""
"180"	"113"	""	"195"	""	""	"62"	""	""	""	"24"	""	""	""	"4"	""	""	""	""	""	"14"	""	""	""	"1"	""	""	""	""	""	"137"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"450"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"114"	""	"23"	""	""	"78"	""	""	""	"63"	""	""	""	"4"	""	""	""	""	""	"13"	""	""	""	"4"	""	""	""	""	""	"137"	""	""	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"357"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"357"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"115"	""	"496"	""	""	"5"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"25"	""	""	""	"2"	""	""	""	""	""	"67"	""	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"618"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"116"	""	"423"	""	""	"13"	""	""	""	"5"	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	"7"	""	""	""	""	""	"116"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"596"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"596"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"117"	""	"287"	""	""	"3"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"126"	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"427"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"427"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"118"	""	"255"	""	""	"7"	""	""	""	"13"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"24"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"302"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"119"	""	"367"	""	""	"30"	""	""	""	"5"	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	"3"	""	""	""	""	""	"234"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"655"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"120"	""	"65"	""	""	"422"	""	""	""	"7"	""	""	""	"48"	""	""	""	""	""	"4"	""	""	""	"1"	""	""	""	""	""	"241"	""	""	""	""	""	""	"12"	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"826"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"121"	""	"143"	""	""	"196"	""	""	""	"14"	""	""	""	"20"	""	""	""	""	""	"7"	""	""	""	"10"	""	""	""	""	""	"182"	""	""	""	""	""	""	"9"	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"602"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"602"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"122"	""	"284"	""	""	"67"	""	""	""	"7"	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	"5"	""	""	""	""	""	"187"	""	""	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"597"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"597"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"123"	""	"202"	""	""	"43"	""	""	""	"40"	""	""	""	"10"	""	""	""	""	""	"14"	""	""	""	"3"	""	""	""	""	""	"95"	""	""	""	""	""	""	"6"	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"20"	""	""	""	""	""	""	"453"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"453"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"124"	""	"235"	""	""	"51"	""	""	""	"8"	""	""	""	"8"	""	""	""	""	""	"42"	""	""	""	"2"	""	""	""	""	""	"85"	""	""	""	""	""	""	"9"	""	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"481"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"481"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"125"	""	"77"	""	""	"2"	""	""	""	"11"	""	""	""	"7"	""	""	""	""	""	"61"	""	""	""	"5"	""	""	""	""	""	"39"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"234"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
