"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"
"158"	"91"	"18"	""	""	"211"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"15"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"245"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"245"	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"92"	"73"	""	""	"76"	""	""	""	""	"7"	""	""	""	""	""	"6"	""	""	""	""	"180"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"31"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"436"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"436"	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"93"	"70"	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"320"	""	""	""	""	""	""	"35"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"455"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"455"	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"94"	"49"	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"281"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"356"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"95"	"19"	""	""	"17"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"63"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"144"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"144"	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"96"	"43"	""	""	"117"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"95"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"206"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"491"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"491"	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"97"	"70"	""	""	"300"	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	"80"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"24"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"526"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"526"	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"98"	"20"	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"312"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"390"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"390"	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"Total"	"858"	""	""	"2442"	""	""	""	""	"37"	""	""	""	""	""	"23"	""	""	""	""	"1606"	""	""	""	""	""	""	"68"	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"58"	""	""	""	""	""	""	"968"	""	""	""	""	""	""	"126"	""	""	""	""	""	""	"58"	""	""	""	""	""	""	"67"	""	""	""	""	""	""	""	"6336"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6336"	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"168"	"of"	"AJAY PASWAN"	""	""	""	"JITAN  RAM MANJHI"	""	""	""	"VIJAY PRASAD"	""	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""
"169"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"170"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"1"	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"172"	"99"	"227"	""	""	""	"20"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"421"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"675"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"675"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"100"	"40"	""	""	""	"53"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	"202"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"322"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"101"	"62"	""	""	""	"46"	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"39"	""	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	"91"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"285"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"102"	"22"	""	""	""	"12"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"26"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"200"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"18"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"298"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"103"	"14"	""	""	""	"356"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"409"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"409"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"104"	"77"	""	""	""	"82"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"19"	""	""	""	""	""	"11"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"207"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"207"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"105"	"18"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"422"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"446"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"446"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"106"	"15"	""	""	""	"7"	""	""	""	"7"	""	""	""	""	""	"7"	""	""	""	""	"77"	""	""	""	""	""	"7"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	"164"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	"9"	""	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"338"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"107"	"51"	""	""	""	"4"	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	"20"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	"42"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	"1"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"162"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"162"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"108"	"84"	""	""	""	"14"	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"106"	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	"34"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	"5"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"280"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"109"	"83"	""	""	""	"15"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"76"	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"8"	""	""	""	""	""	"37"	""	""	""	""	""	""	""	"24"	""	""	""	""	""	"9"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"272"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"272"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"110"	"4"	""	""	""	"45"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"380"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"442"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"111"	"346"	""	""	""	"7"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	"38"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"413"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"413"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"112"	"506"	""	""	""	"36"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"551"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"551"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"Total"	"1549"	""	""	""	"697"	""	""	""	"27"	""	""	""	""	""	"22"	""	""	""	""	"1188"	""	""	""	""	""	"36"	""	""	""	""	""	""	"23"	""	""	""	""	""	""	"41"	""	""	""	""	""	"1265"	""	""	""	""	""	""	""	"139"	""	""	""	""	""	"55"	""	""	""	""	""	""	"58"	""	""	""	""	""	""	""	"5100"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""
"188"	"of"	""	"AJAY PASWAN"	""	""	"JITAN  RAM MANJHI"	""	""	""	""	"VIJAY PRASAD"	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""
"189"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""
"190"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""
"192"	"113"	""	"32"	""	""	"205"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"49"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"292"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"292"	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"114"	""	"21"	""	""	"214"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"14"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"260"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"115"	""	"30"	""	""	"27"	""	""	""	""	"8"	""	""	""	""	"10"	""	""	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"14"	""	""	""	""	""	"48"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	"3"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"180"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"180"	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"116"	""	"59"	""	""	"438"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"18"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"548"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"548"	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"117"	""	"77"	""	""	"34"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"98"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	"9"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"270"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"270"	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"118"	""	"0"	""	""	"9"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"29"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"40"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"40"	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"119"	""	"10"	""	""	"246"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"283"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"120"	""	"52"	""	""	"53"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"48"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"171"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"171"	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"121"	""	"57"	""	""	"96"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	"8"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	"24"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"218"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"218"	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"122"	""	"13"	""	""	"257"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"14"	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"310"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"123"	""	"0"	""	""	"411"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"124"	""	"67"	""	""	"330"	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	""	"87"	""	""	""	""	""	"20"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"4"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"15"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"566"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"566"	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"125"	""	"240"	""	""	"29"	""	""	""	""	"10"	""	""	""	""	"1"	""	""	""	""	""	"25"	""	""	""	""	""	"6"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	""	"36"	""	""	""	""	""	""	""	"382"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"126"	""	"113"	""	""	"168"	""	""	""	""	"9"	""	""	""	""	"4"	""	""	""	""	""	"14"	""	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	"37"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	"12"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"395"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"395"	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"Total"	""	"771"	""	""	"2517"	""	""	""	""	"62"	""	""	""	""	"23"	""	""	""	""	""	"319"	""	""	""	""	""	"61"	""	""	""	""	""	""	"30"	""	""	""	""	""	""	"47"	""	""	""	""	""	"269"	""	""	""	""	""	""	""	"77"	""	""	""	""	""	"60"	""	""	""	""	""	""	"90"	""	""	""	""	""	""	""	"4326"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"4326"	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"Election to the Bihar Legislative Assembly from the 237-Fatehpur (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
