"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"
"173"	"115"	""	""	""	"3"	""	""	""	"7"	""	""	""	"33"	""	""	""	""	"248"	""	""	""	""	"20"	""	""	""	"1"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"42"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"16"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"399"	""	""	""	""	""	""	""	"399"	""	""	""	""
"174"	"116"	""	""	""	"6"	""	""	""	"9"	""	""	""	"55"	""	""	""	""	"337"	""	""	""	""	"35"	""	""	""	"6"	""	""	""	"21"	""	""	""	"20"	""	""	""	""	"10"	""	""	""	"17"	""	""	""	""	"4"	""	""	""	"6"	""	""	""	""	"9"	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	"12"	""	""	""	"557"	""	""	""	""	""	""	""	"557"	""	""	""	""
"175"	"117"	""	""	""	"4"	""	""	""	"3"	""	""	""	"62"	""	""	""	""	"202"	""	""	""	""	"13"	""	""	""	"1"	""	""	""	"9"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"26"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"340"	""	""	""	""	""	""	""	"340"	""	""	""	""
"176"	"118"	""	""	""	"1"	""	""	""	"4"	""	""	""	"10"	""	""	""	""	"176"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"7"	""	""	""	"27"	""	""	""	""	"12"	""	""	""	"20"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"15"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"294"	""	""	""	""	""	""	""	"294"	""	""	""	""
"177"	"119"	""	""	""	"34"	""	""	""	"35"	""	""	""	"61"	""	""	""	""	"175"	""	""	""	""	"9"	""	""	""	"6"	""	""	""	"4"	""	""	""	"166"	""	""	""	""	"11"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"15"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"532"	""	""	""	""	""	""	""	"532"	""	""	""	""
"178"	"120"	""	""	""	"17"	""	""	""	"13"	""	""	""	"73"	""	""	""	""	"87"	""	""	""	""	"10"	""	""	""	"3"	""	""	""	"7"	""	""	""	"117"	""	""	""	""	"38"	""	""	""	"10"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	""	"31"	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	"7"	""	""	""	"431"	""	""	""	""	""	""	""	"431"	""	""	""	""
"179"	"121"	""	""	""	"14"	""	""	""	"36"	""	""	""	"69"	""	""	""	""	"137"	""	""	""	""	"10"	""	""	""	"5"	""	""	""	"12"	""	""	""	"60"	""	""	""	""	"11"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"8"	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	"16"	""	""	""	"399"	""	""	""	""	""	""	""	"399"	""	""	""	""
"180"	"121  d"	""	""	""	"7"	""	""	""	"6"	""	""	""	"19"	""	""	""	""	"73"	""	""	""	""	"10"	""	""	""	"0"	""	""	""	"6"	""	""	""	"59"	""	""	""	""	"20"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"8"	""	""	""	""	"18"	""	""	""	"5"	""	""	""	""	"8"	""	""	""	""	"13"	""	""	""	"259"	""	""	""	""	""	""	""	"259"	""	""	""	""
"181"	"122"	""	""	""	"175"	""	""	""	"114"	""	""	""	"34"	""	""	""	""	"97"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	"4"	""	""	""	"60"	""	""	""	""	"6"	""	""	""	"10"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"15"	""	""	""	"16"	""	""	""	""	"10"	""	""	""	""	"33"	""	""	""	"593"	""	""	""	""	""	""	""	"593"	""	""	""	""
"182"	";ksx"	""	""	""	"315"	""	""	""	"252"	""	""	""	"932"	""	""	""	""	"2456"	""	""	""	""	"174"	""	""	""	"48"	""	""	""	"127"	""	""	""	"709"	""	""	""	""	"227"	""	""	""	"237"	""	""	""	""	"23"	""	""	""	"54"	""	""	""	""	"263"	""	""	""	"91"	""	""	""	""	"57"	""	""	""	""	"135"	""	""	""	"6100"	""	""	""	"0"	""	""	""	"6100"	""	""	""	""
"183"	"fuokZpu  lapkyu  fu;ekoyh  1962"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"izi=  &20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"¼fu;e  56  ch0  ¼7½  nsf[k;s  ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"¼  fu;e  59,  ds  v/khu fofufnZ\"V  fuokZpu  {ks= ds  ernku  dsUnzksa ij  ernku  ifj.kke  dks  vfHkfyf[kr djus ds  fy,  iz;ksx  fd;s  tkus gsrq½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"23&ehjxat fo/kku  lHkk  fuokZpu  {ks= ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"nle  pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	";ksx"	""	""	""	""	""	""	""
"191"	""	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	"ckcq)hu
[kkWu"	""	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	""	"larks\"k
pkS/kjh"	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	"eq[kyky
jke"	""	""	""	"jk/kofd'kksj
flag"	""	""	""	""	"jkts'k
dqekj flag"	""	""	""	""	"jkeujs'k
izlkn"	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"1"	""	"2"	""	""	""	"3"	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	"15"	""	""	""	"16"	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	"19"	""	""	"20"	""	""	""	""	""	""	""
"193"	"123"	""	"35"	""	""	""	"136"	""	""	"77"	""	""	""	""	"36"	""	""	""	""	"7"	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"24"	""	""	""	"17"	""	""	""	""	"70"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"16"	""	""	""	""	"9"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"447"	""	""	""	""	""	""	"447"	""	""	""	""	""	""	""
"194"	"124"	""	"13"	""	""	""	"5"	""	""	"85"	""	""	""	""	"155"	""	""	""	""	"8"	""	""	""	"4"	""	""	""	"7"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"63"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"7"	""	""	""	""	"368"	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""
"195"	"125"	""	"45"	""	""	""	"32"	""	""	"254"	""	""	""	""	"59"	""	""	""	""	"9"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"7"	""	""	""	""	"11"	""	""	""	"0"	""	""	""	"8"	""	""	""	""	"48"	""	""	""	""	"10"	""	""	""	"4"	""	""	""	""	"17"	""	""	""	""	"515"	""	""	""	""	""	""	"515"	""	""	""	""	""	""	""
"196"	"126"	""	"4"	""	""	""	"96"	""	""	"77"	""	""	""	""	"115"	""	""	""	""	"7"	""	""	""	"12"	""	""	""	"6"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"31"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"40"	""	""	""	""	"8"	""	""	""	"8"	""	""	""	""	"15"	""	""	""	""	"444"	""	""	""	""	""	""	"444"	""	""	""	""	""	""	""
"197"	"127"	""	"45"	""	""	""	"61"	""	""	"131"	""	""	""	""	"48"	""	""	""	""	"6"	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"18"	""	""	""	""	"11"	""	""	""	"7"	""	""	""	"2"	""	""	""	""	"18"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	"370"	""	""	""	""	""	""	"370"	""	""	""	""	""	""	""
"198"	"128"	""	"37"	""	""	""	"32"	""	""	"78"	""	""	""	""	"175"	""	""	""	""	"7"	""	""	""	"5"	""	""	""	"10"	""	""	""	""	"6"	""	""	""	"15"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"30"	""	""	""	""	"14"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"432"	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""
"199"	"129"	""	"130"	""	""	""	"26"	""	""	"78"	""	""	""	""	"63"	""	""	""	""	"6"	""	""	""	"8"	""	""	""	"7"	""	""	""	""	"7"	""	""	""	"163"	""	""	""	""	"21"	""	""	""	"7"	""	""	""	"6"	""	""	""	""	"63"	""	""	""	""	"4"	""	""	""	"7"	""	""	""	""	"18"	""	""	""	""	"614"	""	""	""	""	""	""	"614"	""	""	""	""	""	""	""
"200"	"130"	""	"53"	""	""	""	"119"	""	""	"49"	""	""	""	""	"241"	""	""	""	""	"20"	""	""	""	"2"	""	""	""	"7"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	"521"	""	""	""	""	""	""	"521"	""	""	""	""	""	""	""
"201"	"131"	""	"108"	""	""	""	"130"	""	""	"56"	""	""	""	""	"136"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"8"	""	""	""	""	"26"	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	"4"	""	""	""	"7"	""	""	""	""	"15"	""	""	""	""	"517"	""	""	""	""	""	""	"517"	""	""	""	""	""	""	""
"202"	"132"	""	"18"	""	""	""	"59"	""	""	"192"	""	""	""	""	"80"	""	""	""	""	"13"	""	""	""	"3"	""	""	""	"5"	""	""	""	""	"8"	""	""	""	"12"	""	""	""	""	"9"	""	""	""	"7"	""	""	""	"5"	""	""	""	""	"9"	""	""	""	""	"6"	""	""	""	"10"	""	""	""	""	"16"	""	""	""	""	"452"	""	""	""	""	""	""	"452"	""	""	""	""	""	""	""
"203"	"133"	""	"18"	""	""	""	"114"	""	""	"53"	""	""	""	""	"27"	""	""	""	""	"11"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"16"	""	""	""	"25"	""	""	""	""	"16"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"296"	""	""	""	""	""	""	"296"	""	""	""	""	""	""	""
"204"	"134"	""	"94"	""	""	""	"111"	""	""	"67"	""	""	""	""	"250"	""	""	""	""	"24"	""	""	""	"2"	""	""	""	"14"	""	""	""	""	"1"	""	""	""	"7"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"8"	""	""	""	""	"40"	""	""	""	""	"25"	""	""	""	"4"	""	""	""	""	"10"	""	""	""	""	"662"	""	""	""	""	""	""	"662"	""	""	""	""	""	""	""
"205"	"135"	""	"38"	""	""	""	"85"	""	""	"203"	""	""	""	""	"172"	""	""	""	""	"33"	""	""	""	"8"	""	""	""	"12"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	""	"5"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"22"	""	""	""	""	"27"	""	""	""	"8"	""	""	""	""	"17"	""	""	""	""	"652"	""	""	""	""	""	""	"652"	""	""	""	""	""	""	""
"206"	"136"	""	"237"	""	""	""	"31"	""	""	"132"	""	""	""	""	"50"	""	""	""	""	"0"	""	""	""	"4"	""	""	""	"6"	""	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"21"	""	""	""	"6"	""	""	""	""	"8"	""	""	""	""	"513"	""	""	""	""	""	""	"513"	""	""	""	""	""	""	""
"207"	";ksx"	""	"875"	""	""	""	"1037"	""	""	"1532"	""	""	""	""	"1607"	""	""	""	""	"155"	""	""	""	"65"	""	""	""	"86"	""	""	""	""	"95"	""	""	""	"303"	""	""	""	""	"224"	""	""	""	"41"	""	""	""	"50"	""	""	""	""	"372"	""	""	""	""	"137"	""	""	""	"68"	""	""	""	""	"156"	""	""	""	""	"6803"	""	""	""	"0"	""	""	"6803"	""	""	""	""	""	""	""
"208"	"lgk;d  fuokZph  inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"X;kjgok¡ pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	""	";ksx"	""	""	""	""	""	""
"211"	""	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	""	"ckcq)hu
[kkWu"	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	"larks\"k
pkS/kjh"	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	"eq[kyky
jke"	""	""	""	""	"jk/kofd'kksj
flag"	""	""	""	"jkts'k
dqekj flag"	""	""	""	""	"jkeujs'k
izlkn"	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"1"	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	"12"	""	""	""	""	"13"	""	""	""	"14"	""	""	""	""	"15"	""	""	""	"16"	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	""	""	""
"213"	"137"	""	"30"	""	""	""	"29"	""	""	""	"5"	""	""	""	"72"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"11"	""	""	""	"10"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"9"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"200"	""	""	""	""	""	""	""	"200"	""	""	""	""	""	""
"214"	"138"	""	"85"	""	""	""	"54"	""	""	""	"22"	""	""	""	"99"	""	""	""	""	"12"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	"11"	""	""	""	"14"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"25"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"351"	""	""	""	""	""	""	""	"351"	""	""	""	""	""	""
"215"	"139"	""	"13"	""	""	""	"153"	""	""	""	"19"	""	""	""	"59"	""	""	""	""	"9"	""	""	""	""	"3"	""	""	""	"8"	""	""	""	"5"	""	""	""	"7"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"10"	""	""	""	""	"8"	""	""	""	"15"	""	""	""	""	"6"	""	""	""	""	"323"	""	""	""	""	""	""	""	"323"	""	""	""	""	""	""
"216"	"140"	""	"43"	""	""	""	"128"	""	""	""	"34"	""	""	""	"65"	""	""	""	""	"13"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	"12"	""	""	""	"5"	""	""	""	""	"8"	""	""	""	"6"	""	""	""	""	"5"	""	""	""	"14"	""	""	""	""	"43"	""	""	""	"13"	""	""	""	""	"10"	""	""	""	""	"407"	""	""	""	""	""	""	""	"407"	""	""	""	""	""	""
"217"	"141"	""	"27"	""	""	""	"75"	""	""	""	"59"	""	""	""	"101"	""	""	""	""	"8"	""	""	""	""	"5"	""	""	""	"11"	""	""	""	"9"	""	""	""	"6"	""	""	""	""	"11"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"70"	""	""	""	""	"50"	""	""	""	"6"	""	""	""	""	"9"	""	""	""	""	"454"	""	""	""	""	""	""	""	"454"	""	""	""	""	""	""
"218"	"142"	""	"8"	""	""	""	"18"	""	""	""	"18"	""	""	""	"122"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"6"	""	""	""	"5"	""	""	""	""	"18"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"223"	""	""	""	""	""	""	""	"223"	""	""	""	""	""	""
"219"	"143"	""	"47"	""	""	""	"117"	""	""	""	"28"	""	""	""	"146"	""	""	""	""	"15"	""	""	""	""	"11"	""	""	""	"7"	""	""	""	"18"	""	""	""	"7"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"88"	""	""	""	""	"75"	""	""	""	"4"	""	""	""	""	"9"	""	""	""	""	"582"	""	""	""	""	""	""	""	"582"	""	""	""	""	""	""
"220"	"144"	""	"4"	""	""	""	"33"	""	""	""	"32"	""	""	""	"148"	""	""	""	""	"8"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	""	"74"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"323"	""	""	""	""	""	""	""	"323"	""	""	""	""	""	""
"221"	"145"	""	"38"	""	""	""	"13"	""	""	""	"50"	""	""	""	"140"	""	""	""	""	"7"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"7"	""	""	""	"1"	""	""	""	""	"39"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"41"	""	""	""	""	"37"	""	""	""	"0"	""	""	""	""	"5"	""	""	""	""	"381"	""	""	""	""	""	""	""	"381"	""	""	""	""	""	""
"222"	"146"	""	"53"	""	""	""	"7"	""	""	""	"39"	""	""	""	"55"	""	""	""	""	"11"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"4"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"97"	""	""	""	""	"14"	""	""	""	"4"	""	""	""	""	"9"	""	""	""	""	"308"	""	""	""	""	""	""	""	"308"	""	""	""	""	""	""
"223"	"147"	""	"11"	""	""	""	"21"	""	""	""	"63"	""	""	""	"72"	""	""	""	""	"24"	""	""	""	""	"4"	""	""	""	"9"	""	""	""	"14"	""	""	""	"6"	""	""	""	""	"25"	""	""	""	"2"	""	""	""	""	"7"	""	""	""	"151"	""	""	""	""	"37"	""	""	""	"3"	""	""	""	""	"14"	""	""	""	""	"463"	""	""	""	""	""	""	""	"463"	""	""	""	""	""	""
"224"	"148"	""	"179"	""	""	""	"99"	""	""	""	"106"	""	""	""	"148"	""	""	""	""	"20"	""	""	""	""	"3"	""	""	""	"12"	""	""	""	"9"	""	""	""	"7"	""	""	""	""	"15"	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"22"	""	""	""	""	"30"	""	""	""	"13"	""	""	""	""	"25"	""	""	""	""	"705"	""	""	""	""	""	""	""	"705"	""	""	""	""	""	""
"225"	"149"	""	"30"	""	""	""	"79"	""	""	""	"119"	""	""	""	"141"	""	""	""	""	"14"	""	""	""	""	"7"	""	""	""	"9"	""	""	""	"15"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"7"	""	""	""	"70"	""	""	""	""	"23"	""	""	""	"0"	""	""	""	""	"7"	""	""	""	""	"530"	""	""	""	""	""	""	""	"530"	""	""	""	""	""	""
"226"	"150"	""	"49"	""	""	""	"52"	""	""	""	"37"	""	""	""	"184"	""	""	""	""	"31"	""	""	""	""	"10"	""	""	""	"19"	""	""	""	"95"	""	""	""	"20"	""	""	""	""	"11"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"11"	""	""	""	""	"9"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	"543"	""	""	""	""	""	""	""	"543"	""	""	""	""	""	""
"227"	";ksx"	""	"617"	""	""	""	"878"	""	""	""	"631"	""	""	""	"1552"	""	""	""	""	"184"	""	""	""	""	"57"	""	""	""	"101"	""	""	""	"218"	""	""	""	"94"	""	""	""	""	"154"	""	""	""	"32"	""	""	""	""	"59"	""	""	""	"614"	""	""	""	""	"413"	""	""	""	"72"	""	""	""	""	"117"	""	""	""	""	"5793"	""	""	""	"0"	""	""	""	"5793"	""	""	""	""	""	""
"228"	"fuokZpu  lapkyu  fu;ekoyh  1962"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"izi=  &20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"¼fu;e  56  ch0  ¼7½  nsf[k;s  ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
