"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"Total.of.valid.Votes"	"X..45"	"No..of.rejected.votes"	"X..46"	"TOTAL"	"X..47"	"No..of.tendered.Votes"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"
"215"	"163"	"308"	"11"	""	"4"	""	"1"	""	"15"	""	"8"	""	""	"31"	""	""	"4"	""	""	"188"	""	""	"8"	""	""	"1"	""	"2"	"1"	""	"2"	""	"2"	""	"31"	""	"4"	""	"0"	""	"2"	""	"2"	""	""	"3"	""	"628"	""	"0"	""	"628"	""	"0"	""	""	""	""	""
"216"	"164"	"173"	"7"	""	"5"	""	"5"	""	"262"	""	"14"	""	""	"31"	""	""	"5"	""	""	"176"	""	""	"4"	""	""	"4"	""	"2"	"8"	""	"1"	""	"2"	""	"14"	""	"10"	""	"3"	""	"0"	""	"0"	""	""	"13"	""	"739"	""	"0"	""	"739"	""	"0"	""	""	""	""	""
"217"	"165"	"67"	"2"	""	"11"	""	"0"	""	"141"	""	"8"	""	""	"18"	""	""	"10"	""	""	"195"	""	""	"12"	""	""	"1"	""	"2"	"2"	""	"0"	""	"2"	""	"18"	""	"3"	""	"2"	""	"3"	""	"0"	""	""	"3"	""	"500"	""	"0"	""	"500"	""	"0"	""	""	""	""	""
"218"	"166"	"44"	"1"	""	"33"	""	"2"	""	"29"	""	"1"	""	""	"31"	""	""	"3"	""	""	"264"	""	""	"4"	""	""	"0"	""	"1"	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"2"	""	"416"	""	"0"	""	"416"	""	"0"	""	""	""	""	""
"219"	"167"	"3"	"1"	""	"46"	""	"3"	""	"96"	""	"4"	""	""	"20"	""	""	"7"	""	""	"207"	""	""	"3"	""	""	"0"	""	"0"	"3"	""	"0"	""	"3"	""	"6"	""	"5"	""	"3"	""	"1"	""	"1"	""	""	"0"	""	"412"	""	"0"	""	"412"	""	"0"	""	""	""	""	""
"220"	"168"	"9"	"3"	""	"141"	""	"5"	""	"8"	""	"0"	""	""	"34"	""	""	"6"	""	""	"293"	""	""	"4"	""	""	"3"	""	"0"	"3"	""	"2"	""	"4"	""	"11"	""	"1"	""	"1"	""	"2"	""	"1"	""	""	"0"	""	"531"	""	"0"	""	"531"	""	"0"	""	""	""	""	""
"221"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"222"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"169"	"20"	"4"	""	"7"	""	"7"	""	"45"	""	"7"	""	""	"37"	""	""	"10"	""	""	"309"	""	""	"18"	""	""	"7"	""	"7"	"6"	""	"7"	""	"4"	""	"19"	""	"3"	""	"1"	""	"4"	""	"3"	""	""	"9"	""	"534"	""	"0"	""	"534"	""	"0"	""	""	""	""	""
"224"	"170"	"37"	"5"	""	"16"	""	"9"	""	"40"	""	"8"	""	""	"55"	""	""	"20"	""	""	"349"	""	""	"9"	""	""	"4"	""	"7"	"13"	""	"8"	""	"6"	""	"18"	""	"1"	""	"1"	""	"1"	""	"2"	""	""	"2"	""	"611"	""	"0"	""	"611"	""	"0"	""	""	""	""	""
"225"	"171"	"123"	"8"	""	"8"	""	"1"	""	"4"	""	"4"	""	""	"21"	""	""	"10"	""	""	"198"	""	""	"4"	""	""	"0"	""	"1"	"3"	""	"3"	""	"2"	""	"27"	""	"3"	""	"0"	""	"1"	""	"0"	""	""	"4"	""	"425"	""	"0"	""	"425"	""	"0"	""	""	""	""	""
"226"	"172"	"172"	"15"	""	"7"	""	"9"	""	"96"	""	"12"	""	""	"30"	""	""	"9"	""	""	"229"	""	""	"8"	""	""	"7"	""	"2"	"22"	""	"3"	""	"3"	""	"8"	""	"22"	""	"4"	""	"1"	""	"2"	""	""	"2"	""	"663"	""	"0"	""	"663"	""	"0"	""	""	""	""	""
"227"	"173"	"65"	"5"	""	"4"	""	"9"	""	"100"	""	"13"	""	""	"36"	""	""	"14"	""	""	"169"	""	""	"15"	""	""	"5"	""	"4"	"17"	""	"1"	""	"1"	""	"17"	""	"55"	""	"3"	""	"2"	""	"1"	""	""	"3"	""	"539"	""	"0"	""	"539"	""	"0"	""	""	""	""	""
"228"	"174"	"245"	"9"	""	"47"	""	"8"	""	"55"	""	"11"	""	""	"38"	""	""	"4"	""	""	"253"	""	""	"6"	""	""	"6"	""	"4"	"5"	""	"4"	""	"5"	""	"20"	""	"11"	""	"4"	""	"3"	""	"4"	""	""	"4"	""	"746"	""	"0"	""	"746"	""	"0"	""	""	""	""	""
"229"	"175"	"14"	"3"	""	"3"	""	"2"	""	"392"	""	"6"	""	""	"4"	""	""	"3"	""	""	"35"	""	""	"2"	""	""	"2"	""	"1"	"2"	""	"20"	""	"2"	""	"2"	""	"67"	""	"1"	""	"1"	""	"1"	""	""	"2"	""	"565"	""	"0"	""	"565"	""	"0"	""	""	""	""	""
"230"	"176"	"131"	"9"	""	"7"	""	"5"	""	"126"	""	"12"	""	""	"29"	""	""	"4"	""	""	"135"	""	""	"7"	""	""	"3"	""	"4"	"7"	""	"19"	""	"13"	""	"26"	""	"99"	""	"4"	""	"2"	""	"4"	""	""	"13"	""	"659"	""	"0"	""	"659"	""	"0"	""	""	""	""	""
"231"	"177"	"118"	"2"	""	"7"	""	"1"	""	"63"	""	"3"	""	""	"9"	""	""	"2"	""	""	"88"	""	""	"1"	""	""	"0"	""	"1"	"1"	""	"0"	""	"1"	""	"2"	""	"11"	""	"3"	""	"3"	""	"1"	""	""	"2"	""	"319"	""	"0"	""	"319"	""	"0"	""	""	""	""	""
"232"	"178"	"258"	"12"	""	"5"	""	"6"	""	"94"	""	"9"	""	""	"39"	""	""	"15"	""	""	"270"	""	""	"9"	""	""	"6"	""	"5"	"7"	""	"5"	""	"13"	""	"21"	""	"10"	""	"3"	""	"0"	""	"3"	""	""	"12"	""	"802"	""	"0"	""	"802"	""	"0"	""	""	""	""	""
"233"	"179"	"244"	"19"	""	"7"	""	"11"	""	"50"	""	"15"	""	""	"54"	""	""	"17"	""	""	"335"	""	""	"5"	""	""	"3"	""	"5"	"8"	""	"5"	""	"2"	""	"20"	""	"6"	""	"3"	""	"2"	""	"3"	""	""	"2"	""	"816"	""	"0"	""	"816"	""	"0"	""	""	""	""	""
"234"	"180"	"108"	"3"	""	"11"	""	"2"	""	"6"	""	"5"	""	""	"21"	""	""	"4"	""	""	"239"	""	""	"2"	""	""	"4"	""	"2"	"2"	""	"6"	""	"2"	""	"7"	""	"9"	""	"3"	""	"3"	""	"2"	""	""	"5"	""	"446"	""	"0"	""	"446"	""	"0"	""	""	""	""	""
"235"	"181"	"36"	"3"	""	"1"	""	"2"	""	"20"	""	"1"	""	""	"39"	""	""	"5"	""	""	"520"	""	""	"5"	""	""	"2"	""	"5"	"0"	""	"2"	""	"1"	""	"13"	""	"0"	""	"1"	""	"1"	""	"1"	""	""	"1"	""	"659"	""	"0"	""	"659"	""	"0"	""	""	""	""	""
"236"	"182"	"33"	"8"	""	"9"	""	"5"	""	"70"	""	"10"	""	""	"53"	""	""	"7"	""	""	"335"	""	""	"3"	""	""	"8"	""	"18"	"3"	""	"3"	""	"4"	""	"6"	""	"4"	""	"2"	""	"3"	""	"3"	""	""	"3"	""	"590"	""	"0"	""	"590"	""	"0"	""	""	""	""	""
"237"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""
"238"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"183"	"27"	"3"	""	"5"	""	"4"	""	"58"	""	"6"	""	""	"33"	""	""	"7"	""	""	"235"	""	""	"5"	""	""	"4"	""	"1"	"3"	""	"2"	""	"3"	""	"4"	""	"7"	""	"5"	""	"5"	""	"3"	""	""	"3"	""	"423"	""	"0"	""	"423"	""	"0"	""	""	""	""	""
"240"	"184"	"71"	"8"	""	"24"	""	"2"	""	"29"	""	"6"	""	""	"34"	""	""	"8"	""	""	"306"	""	""	"12"	""	""	"1"	""	"1"	"2"	""	"3"	""	"4"	""	"9"	""	"9"	""	"9"	""	"6"	""	"5"	""	""	"10"	""	"559"	""	"0"	""	"559"	""	"0"	""	""	""	""	""
"241"	"185"	"12"	"3"	""	"4"	""	"6"	""	"45"	""	"5"	""	""	"45"	""	""	"11"	""	""	"261"	""	""	"18"	""	""	"2"	""	"2"	"3"	""	"1"	""	"1"	""	"8"	""	"4"	""	"2"	""	"2"	""	"1"	""	""	"10"	""	"446"	""	"0"	""	"446"	""	"0"	""	""	""	""	""
"242"	"186"	"94"	"7"	""	"6"	""	"9"	""	"106"	""	"15"	""	""	"38"	""	""	"12"	""	""	"378"	""	""	"7"	""	""	"3"	""	"3"	"5"	""	"4"	""	"1"	""	"4"	""	"5"	""	"2"	""	"1"	""	"2"	""	""	"4"	""	"706"	""	"0"	""	"706"	""	"0"	""	""	""	""	""
"243"	"187"	"215"	"9"	""	"10"	""	"5"	""	"8"	""	"9"	""	""	"46"	""	""	"14"	""	""	"369"	""	""	"7"	""	""	"5"	""	"1"	"3"	""	"1"	""	"4"	""	"3"	""	"11"	""	"4"	""	"0"	""	"3"	""	""	"3"	""	"730"	""	"0"	""	"730"	""	"0"	""	""	""	""	""
"244"	"188"	"27"	"1"	""	"3"	""	"1"	""	"13"	""	"2"	""	""	"23"	""	""	"5"	""	""	"303"	""	""	"4"	""	""	"2"	""	"2"	"1"	""	"1"	""	"1"	""	"4"	""	"4"	""	"1"	""	"1"	""	"1"	""	""	"0"	""	"400"	""	"0"	""	"400"	""	"0"	""	""	""	""	""
"245"	"189"	"16"	"2"	""	"6"	""	"4"	""	"54"	""	"9"	""	""	"33"	""	""	"8"	""	""	"402"	""	""	"14"	""	""	"4"	""	"3"	"9"	""	"4"	""	"3"	""	"9"	""	"8"	""	"4"	""	"5"	""	"2"	""	""	"6"	""	"605"	""	"0"	""	"605"	""	"0"	""	""	""	""	""
"246"	"190"	"11"	"2"	""	"3"	""	"4"	""	"15"	""	"13"	""	""	"60"	""	""	"17"	""	""	"387"	""	""	"15"	""	""	"9"	""	"11"	"9"	""	"6"	""	"4"	""	"27"	""	"2"	""	"1"	""	"1"	""	"0"	""	""	"3"	""	"600"	""	"0"	""	"600"	""	"0"	""	""	""	""	""
"247"	"191"	"51"	"8"	""	"46"	""	"12"	""	"42"	""	"18"	""	""	"62"	""	""	"5"	""	""	"425"	""	""	"14"	""	""	"18"	""	"9"	"9"	""	"13"	""	"7"	""	"12"	""	"5"	""	"3"	""	"5"	""	"4"	""	""	"3"	""	"771"	""	"0"	""	"771"	""	"0"	""	""	""	""	""
"248"	"192"	"40"	"1"	""	"23"	""	"12"	""	"382"	""	"14"	""	""	"20"	""	""	"5"	""	""	"139"	""	""	"3"	""	""	"10"	""	"2"	"2"	""	"3"	""	"2"	""	"7"	""	"1"	""	"0"	""	"3"	""	"1"	""	""	"2"	""	"672"	""	"0"	""	"672"	""	"0"	""	""	""	""	""
"249"	"193"	"12"	"3"	""	"5"	""	"2"	""	"243"	""	"3"	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"0"	""	""	"0"	""	"2"	"0"	""	"0"	""	"1"	""	"2"	""	"8"	""	"3"	""	"1"	""	"3"	""	""	"7"	""	"298"	""	"0"	""	"298"	""	"0"	""	""	""	""	""
"250"	"194"	"91"	"13"	""	"54"	""	"9"	""	"61"	""	"9"	""	""	"38"	""	""	"6"	""	""	"223"	""	""	"7"	""	""	"6"	""	"4"	"6"	""	"5"	""	"5"	""	"22"	""	"13"	""	"2"	""	"9"	""	"8"	""	""	"10"	""	"601"	""	"0"	""	"601"	""	"0"	""	""	""	""	""
"251"	"195"	"32"	"7"	""	"54"	""	"9"	""	"16"	""	"22"	""	""	"100"	""	""	"17"	""	""	"497"	""	""	"14"	""	""	"10"	""	"4"	"2"	""	"5"	""	"3"	""	"6"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"1"	""	"799"	""	"0"	""	"799"	""	"0"	""	""	""	""	""
"252"	"196"	"14"	"3"	""	"2"	""	"9"	""	"134"	""	"12"	""	""	"78"	""	""	"13"	""	""	"373"	""	""	"7"	""	""	"5"	""	"3"	"2"	""	"4"	""	"5"	""	"19"	""	"9"	""	"4"	""	"10"	""	"9"	""	""	"25"	""	"740"	""	"0"	""	"740"	""	"0"	""	""	""	""	""
"253"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"Election to the Legislative assembly from the 144-BARSOI constituency.                     Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"(To be used both for Parliamentary and Assembly elections                                         Total No. of Electors in Assembly constituency/Segment Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"260"	""	"AHMAD ASHFAQUE KARIM"	"MD. ALAM"	""	"ZAFEER AHAMAD"	""	"ZAHRUL ISLAM"	""	"DULAL CHANDRA GOSHWAMI"	""	""	"MUKHTAR ALAM"	""	""	"MD. IMRAN ALI"	""	""	"BHARAT LAL DAS"	""	""	"MAHBUB ALAM"	""	""	"S.K.SAMIRUDDIN"	""	"MD. SIDDIQUE"	""	"SUBODH CHANDRA GHOSH"	""	"UPENDRA NATH DAS"	""	"JAMIL AKHATAR"	""	"MD. NAMIRUDDIN"	""	"NAV KUMAR DAS"	""	"RAMNI YADAV"	""	"SHADIK ALAM"	""	"SAHIN SHIRIN AZAD"	""	"SHEIBU MARANDI"	""	""	"HANSRAJ YADAV"	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"211"	"12"	"3"	""	"5"	""	"1"	""	"10"	""	""	"2"	""	""	"21"	""	""	"3"	""	""	"311"	""	""	"2"	""	"0"	""	"0"	""	"2"	""	"0"	""	"3"	""	"6"	""	"0"	""	"0"	""	"1"	""	"1"	""	""	"2"	"385"	""	"0"	""	"385"	""	""	""	""	""	""	""
"262"	"Total no. of votes record"	"11047"	"1148"	""	"5299"	""	"1193"	""	"24611"	""	""	"3251"	""	""	"7207"	""	""	"3662"	""	""	"45451"	""	""	"3026"	""	"1946"	""	"916"	""	"2425"	""	"841"	""	"735"	""	"2801"	""	"3538"	""	"587"	""	"396"	""	"864"	""	""	"1041"	"121985"	""	"0"	""	"121985"	""	""	"0"	""	""	""	""
"263"	"Nomber s of votes record on postal ballot papers. (To be filled in"	"0"	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	"0"	""	"0"	""	"0"	""	""	"0"	""	""	""	""
"264"	"Total votes polled"	"11047"	"1148"	""	"5299"	""	"1193"	""	"24611"	""	""	"3251"	""	""	"7207"	""	""	"3662"	""	""	"45451"	""	""	"3026"	""	"1946"	""	"916"	""	"2425"	""	"841"	""	"735"	""	"2801"	""	"3538"	""	"587"	""	"396"	""	"864"	""	""	"1041"	"121985"	""	"0"	""	"121985"	""	""	"0"	""	""	""	""
"265"	"Place ----------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Date :-------------------------------------                                                       Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
