"Election.to.the.Bihar.Legislative.Assembly.from.the.235.Bodhgaya..SC..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……        1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""	""
"4"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAN D MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	"TILESHWAR
CHAUDHARY ALIAS TALKESHWA R CHAUDHARY"	""	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	""	"RAJENDRA MANJHI"	""	"RAM UDAY PRASAD"	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of tendered"	""	""	""	""
"252"	"169"	"6"	"544"	""	"1"	""	"1"	""	"0"	""	"7"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"560"	""	""	"0"	""	""	"560"	""	""	""	""	""
"253"	"170"	"7"	"876"	""	"1"	""	"0"	""	"0"	""	"2"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"5"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"891"	""	""	"0"	""	""	"891"	""	""	""	""	""
"254"	"171"	"66"	"377"	""	"17"	""	"5"	""	"6"	""	"76"	""	""	"16"	""	""	"8"	""	"39"	""	"1"	""	"2"	""	"4"	""	"6"	""	""	"11"	""	""	"8"	""	""	"19"	""	""	"661"	""	""	"0"	""	""	"661"	""	""	""	""	""
"255"	"172"	"7"	"470"	""	"25"	""	"6"	""	"1"	""	"20"	""	""	"2"	""	""	"3"	""	"2"	""	"3"	""	"4"	""	"1"	""	"3"	""	""	"5"	""	""	"2"	""	""	"4"	""	""	"558"	""	""	"0"	""	""	"558"	""	""	""	""	""
"256"	"173"	"11"	"896"	""	"4"	""	"2"	""	"0"	""	"29"	""	""	"1"	""	""	"3"	""	"0"	""	"1"	""	"12"	""	"0"	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"960"	""	""	"0"	""	""	"960"	""	""	""	""	""
"257"	"174"	"45"	"647"	""	"3"	""	"1"	""	"1"	""	"83"	""	""	"5"	""	""	"8"	""	"0"	""	"0"	""	"0"	""	"0"	""	"2"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"795"	""	""	"0"	""	""	"795"	""	""	""	""	""
"258"	"175"	"33"	"294"	""	"8"	""	"2"	""	"3"	""	"17"	""	""	"2"	""	""	"1"	""	"1"	""	"2"	""	"42"	""	"0"	""	"6"	""	""	"7"	""	""	"2"	""	""	"6"	""	""	"426"	""	""	"0"	""	""	"426"	""	""	""	""	""
"259"	"176"	"38"	"156"	""	"11"	""	"6"	""	"0"	""	"79"	""	""	"8"	""	""	"7"	""	"3"	""	"3"	""	"14"	""	"7"	""	"11"	""	""	"9"	""	""	"10"	""	""	"35"	""	""	"397"	""	""	"0"	""	""	"397"	""	""	""	""	""
"260"	"177"	"0"	"353"	""	"6"	""	"0"	""	"0"	""	"7"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"22"	""	"3"	""	"1"	""	""	"19"	""	""	"1"	""	""	"0"	""	""	"412"	""	""	"0"	""	""	"412"	""	""	""	""	""
"261"	"178"	"2"	"621"	""	"4"	""	"0"	""	"0"	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"2"	""	"49"	""	"0"	""	"0"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	"682"	""	""	"0"	""	""	"682"	""	""	""	""	""
"262"	"179"	"2"	"629"	""	"1"	""	"0"	""	"0"	""	"3"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"635"	""	""	"0"	""	""	"635"	""	""	""	""	""
"263"	"180"	"0"	"86"	""	"0"	""	"0"	""	"0"	""	"5"	""	""	"0"	""	""	"0"	""	"1"	""	"2"	""	"77"	""	"3"	""	"0"	""	""	"0"	""	""	"1"	""	""	"4"	""	""	"179"	""	""	"0"	""	""	"179"	""	""	""	""	""
"264"	"181"	"23"	"256"	""	"4"	""	"2"	""	"1"	""	"1"	""	""	"3"	""	""	"7"	""	"44"	""	"5"	""	"131"	""	"1"	""	"2"	""	""	"2"	""	""	"3"	""	""	"7"	""	""	"492"	""	""	"0"	""	""	"492"	""	""	""	""	""
"265"	"182"	"5"	"707"	""	"16"	""	"2"	""	"1"	""	"3"	""	""	"0"	""	""	"2"	""	"1"	""	"0"	""	"47"	""	"1"	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"786"	""	""	"0"	""	""	"786"	""	""	""	""	""
"266"	"Total"	"245"	"6912"	""	"101"	""	"27"	""	"13"	""	"333"	""	""	"38"	""	""	"39"	""	"91"	""	"19"	""	"405"	""	"20"	""	"31"	""	""	"54"	""	""	"29"	""	""	"77"	""	""	"8434"	""	""	"0"	""	""	"8434"	""	""	""	""	""
"267"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"268"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"269"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"270"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"271"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"272"	"183"	"12"	"188"	""	"6"	""	"1"	""	"1"	""	"33"	""	""	"2"	""	""	"5"	""	"1"	""	"2"	""	"21"	""	"7"	""	"10"	""	""	"3"	""	""	"2"	""	""	"6"	""	""	"300"	""	""	"0"	""	""	"300"	""	""	""	""	""
"273"	"184"	"22"	"72"	""	"3"	""	"4"	""	"2"	""	"19"	""	""	"2"	""	""	"0"	""	"0"	""	"5"	""	"28"	""	"1"	""	"2"	""	""	"3"	""	""	"8"	""	""	"8"	""	""	"179"	""	""	"0"	""	""	"179"	""	""	""	""	""
"274"	"185"	"14"	"299"	""	"9"	""	"3"	""	"1"	""	"20"	""	""	"1"	""	""	"0"	""	"1"	""	"5"	""	"109"	""	"1"	""	"5"	""	""	"4"	""	""	"3"	""	""	"4"	""	""	"479"	""	""	"0"	""	""	"479"	""	""	""	""	""
"275"	"186"	"10"	"119"	""	"5"	""	"2"	""	"0"	""	"26"	""	""	"3"	""	""	"1"	""	"4"	""	"3"	""	"192"	""	"6"	""	"4"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"377"	""	""	"0"	""	""	"377"	""	""	""	""	""
"276"	"187"	"12"	"87"	""	"16"	""	"9"	""	"3"	""	"50"	""	""	"12"	""	""	"3"	""	"5"	""	"6"	""	"17"	""	"1"	""	"8"	""	""	"6"	""	""	"2"	""	""	"1"	""	""	"238"	""	""	"0"	""	""	"238"	""	""	""	""	""
"277"	"188"	"11"	"156"	""	"54"	""	"2"	""	"2"	""	"114"	""	""	"10"	""	""	"5"	""	"0"	""	"1"	""	"26"	""	"0"	""	"1"	""	""	"1"	""	""	"1"	""	""	"6"	""	""	"390"	""	""	"0"	""	""	"390"	""	""	""	""	""
"278"	"189"	"135"	"215"	""	"57"	""	"5"	""	"2"	""	"96"	""	""	"9"	""	""	"8"	""	"2"	""	"4"	""	"43"	""	"1"	""	"7"	""	""	"5"	""	""	"4"	""	""	"8"	""	""	"601"	""	""	"0"	""	""	"601"	""	""	""	""	""
"279"	"190"	"47"	"74"	""	"83"	""	"14"	""	"2"	""	"164"	""	""	"11"	""	""	"7"	""	"3"	""	"4"	""	"39"	""	"4"	""	"7"	""	""	"4"	""	""	"1"	""	""	"16"	""	""	"480"	""	""	"0"	""	""	"480"	""	""	""	""	""
"280"	"191"	"7"	"179"	""	"3"	""	"0"	""	"6"	""	"144"	""	""	"5"	""	""	"6"	""	"4"	""	"6"	""	"87"	""	"12"	""	"8"	""	""	"13"	""	""	"5"	""	""	"10"	""	""	"495"	""	""	"0"	""	""	"495"	""	""	""	""	""
"281"	"192"	"7"	"287"	""	"2"	""	"0"	""	"0"	""	"27"	""	""	"0"	""	""	"0"	""	"1"	""	"0"	""	"12"	""	"0"	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"338"	""	""	"0"	""	""	"338"	""	""	""	""	""
"282"	"193"	"29"	"254"	""	"7"	""	"4"	""	"2"	""	"59"	""	""	"7"	""	""	"5"	""	"5"	""	"4"	""	"53"	""	"0"	""	"6"	""	""	"3"	""	""	"1"	""	""	"1"	""	""	"440"	""	""	"0"	""	""	"440"	""	""	""	""	""
"283"	"194"	"71"	"355"	""	"14"	""	"0"	""	"2"	""	"22"	""	""	"3"	""	""	"1"	""	"2"	""	"2"	""	"38"	""	"0"	""	"5"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"518"	""	""	"0"	""	""	"518"	""	""	""	""	""
"284"	"195"	"122"	"200"	""	"23"	""	"14"	""	"5"	""	"18"	""	""	"1"	""	""	"4"	""	"5"	""	"1"	""	"148"	""	"2"	""	"3"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	"550"	""	""	"0"	""	""	"550"	""	""	""	""	""
"285"	"196"	"18"	"474"	""	"99"	""	"2"	""	"1"	""	"21"	""	""	"15"	""	""	"3"	""	"2"	""	"1"	""	"5"	""	"1"	""	"2"	""	""	"2"	""	""	"1"	""	""	"6"	""	""	"653"	""	""	"0"	""	""	"653"	""	""	""	""	""
"286"	"Total"	"517"	"2959"	""	"381"	""	"60"	""	"29"	""	"813"	""	""	"81"	""	""	"48"	""	"35"	""	"44"	""	"818"	""	"36"	""	"69"	""	""	"50"	""	""	"30"	""	""	"68"	""	""	"6038"	""	""	"0"	""	""	"6038"	""	""	""	""	""
"287"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""
"288"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of"	""	""	""
"289"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	""	"votes"	""	""	""	""	"tendered"	""	""	""
"290"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""
"291"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""
"292"	"197"	"64"	"530"	""	"19"	""	"1"	""	"0"	""	"3"	""	""	"8"	""	""	"0"	""	"1"	""	"1"	""	"33"	""	"0"	""	"1"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"664"	""	""	"0"	""	""	"664"	""	""	""	""	""
"293"	"198"	"5"	"521"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"529"	""	""	"0"	""	""	"529"	""	""	""	""	""
"294"	"199"	"36"	"244"	""	"11"	""	"5"	""	"2"	""	"148"	""	""	"5"	""	""	"4"	""	"1"	""	"2"	""	"120"	""	"4"	""	"3"	""	""	"6"	""	""	"1"	""	""	"14"	""	""	"606"	""	""	"0"	""	""	"606"	""	""	""	""	""
"295"	"200"	"26"	"99"	""	"7"	""	"3"	""	"3"	""	"2"	""	""	"5"	""	""	"2"	""	"1"	""	"0"	""	"15"	""	"1"	""	"2"	""	""	"1"	""	""	"0"	""	""	"5"	""	""	"172"	""	""	"0"	""	""	"172"	""	""	""	""	""
"296"	"201"	"66"	"79"	""	"5"	""	"4"	""	"3"	""	"184"	""	""	"15"	""	""	"12"	""	"4"	""	"6"	""	"2"	""	"1"	""	"9"	""	""	"2"	""	""	"2"	""	""	"7"	""	""	"401"	""	""	"0"	""	""	"401"	""	""	""	""	""
"297"	"202"	"46"	"367"	""	"21"	""	"1"	""	"1"	""	"6"	""	""	"1"	""	""	"2"	""	"0"	""	"3"	""	"228"	""	"6"	""	"0"	""	""	"15"	""	""	"2"	""	""	"1"	""	""	"700"	""	""	"0"	""	""	"700"	""	""	""	""	""
"298"	"203"	"91"	"222"	""	"8"	""	"8"	""	"1"	""	"3"	""	""	"1"	""	""	"5"	""	"4"	""	"4"	""	"3"	""	"0"	""	"2"	""	""	"3"	""	""	"4"	""	""	"7"	""	""	"366"	""	""	"0"	""	""	"366"	""	""	""	""	""
"299"	"204"	"74"	"231"	""	"8"	""	"0"	""	"3"	""	"5"	""	""	"2"	""	""	"0"	""	"0"	""	"1"	""	"5"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"330"	""	""	"0"	""	""	"330"	""	""	""	""	""
"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"Total"	"408"	"2293"	""	"79"	""	"22"	""	"13"	""	"351"	""	""	"38"	""	""	"25"	""	"11"	""	"17"	""	"408"	""	"12"	""	"17"	""	""	"28"	""	""	"9"	""	""	"37"	""	""	"3768"	""	""	"0"	""	""	"3768"	""	""	""	""	""
"307"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"Election to the Bihar Legislative Assembly from the 235-Bodhgaya (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Total No. of Electors in Assembly Constituenc"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Round"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	"No. of"	"Total no."	""	"Total"	""	""
"312"	"No."	"ANIL KUMAR PRASAD"	""	"PHOOLCHAND MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	"TILESHWAR CHAUDHARY ALIAS TALKESHWAR CHAUDHARY"	""	""	"NIRANJAN RAM"	""	""	"BALCHAND CHAUDHARY"	""	"MAMTA KUMARI"	""	""	"RAJKUMAR PASWAN"	""	"RAJENDRA MANJHI"	""	""	"RAM UDAY PRASAD"	""	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	"rejected"	"of votes"	""	"No. of"	""	""
"313"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid"	""	"votes"	""	""	"tendered"	""	""
"314"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	"votes"	""	""
"315"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	"17"	""	""	"18"	""	"19"	"20"	""	"21"	""	""
"316"	"1"	"2161"	""	"3565"	""	"247"	""	"47"	""	"18"	""	""	"1098"	""	""	"79"	""	"68"	""	""	"724"	""	""	"35"	""	"867"	""	""	"25"	""	"68"	""	""	"165"	""	""	"26"	""	""	"57"	""	""	"9250"	""	"0"	"9250"	""	""	""	""
"317"	"2"	"132"	""	"2774"	""	"205"	""	"29"	""	"11"	""	""	"1040"	""	""	"37"	""	"34"	""	""	"12"	""	""	"23"	""	"1092"	""	""	"19"	""	"28"	""	""	"44"	""	""	"13"	""	""	"27"	""	""	"5520"	""	"0"	"5520"	""	""	""	""
"318"	"3"	"739"	""	"2738"	""	"282"	""	"464"	""	"39"	""	""	"1422"	""	""	"69"	""	"53"	""	""	"20"	""	""	"41"	""	"1501"	""	""	"22"	""	"41"	""	""	"174"	""	""	"27"	""	""	"66"	""	""	"7698"	""	"0"	"7698"	""	""	""	""
"319"	"4"	"304"	""	"4140"	""	"160"	""	"56"	""	"30"	""	""	"1244"	""	""	"78"	""	"79"	""	""	"33"	""	""	"37"	""	"681"	""	""	"20"	""	"98"	""	""	"202"	""	""	"37"	""	""	"67"	""	""	"7266"	""	"0"	"7266"	""	""	""	""
"320"	"5"	"882"	""	"3723"	""	"351"	""	"63"	""	"46"	""	""	"1093"	""	""	"90"	""	"76"	""	""	"44"	""	""	"58"	""	"334"	""	""	"37"	""	"209"	""	""	"130"	""	""	"50"	""	""	"125"	""	""	"7311"	""	"0"	"7311"	""	""	""	""
"321"	"6"	"649"	""	"1408"	""	"89"	""	"56"	""	"43"	""	""	"2624"	""	""	"174"	""	"151"	""	""	"59"	""	""	"90"	""	"165"	""	""	"42"	""	"136"	""	""	"118"	""	""	"58"	""	""	"95"	""	""	"5957"	""	"0"	"5957"	""	""	""	""
"322"	"7"	"791"	""	"1165"	""	"178"	""	"57"	""	"53"	""	""	"2337"	""	""	"189"	""	"97"	""	""	"35"	""	""	"479"	""	"995"	""	""	"31"	""	"102"	""	""	"88"	""	""	"27"	""	""	"81"	""	""	"6705"	""	"0"	"6705"	""	""	""	""
"323"	"8"	"407"	""	"2398"	""	"126"	""	"42"	""	"31"	""	""	"908"	""	""	"123"	""	"70"	""	""	"78"	""	""	"30"	""	"157"	""	""	"32"	""	"74"	""	""	"101"	""	""	"39"	""	""	"96"	""	""	"4712"	""	"0"	"4712"	""	""	""	""
"324"	"9"	"141"	""	"2661"	""	"259"	""	"24"	""	"20"	""	""	"2734"	""	""	"78"	""	"40"	""	""	"14"	""	""	"22"	""	"192"	""	""	"8"	""	"29"	""	""	"35"	""	""	"34"	""	""	"37"	""	""	"6328"	""	"0"	"6328"	""	""	""	""
"325"	"10"	"1192"	""	"2815"	""	"130"	""	"31"	""	"13"	""	""	"3807"	""	""	"41"	""	"41"	""	""	"12"	""	""	"8"	""	"151"	""	""	"11"	""	"21"	""	""	"32"	""	""	"26"	""	""	"31"	""	""	"8362"	""	"0"	"8362"	""	""	""	""
"326"	"11"	"2901"	""	"2431"	""	"124"	""	"44"	""	"14"	""	""	"395"	""	""	"19"	""	"31"	""	""	"13"	""	""	"14"	""	"153"	""	""	"10"	""	"22"	""	""	"24"	""	""	"20"	""	""	"50"	""	""	"6265"	""	"0"	"6265"	""	""	""	""
"327"	"12"	"656"	""	"3182"	""	"186"	""	"50"	""	"25"	""	""	"1567"	""	""	"69"	""	"51"	""	""	"42"	""	""	"29"	""	"144"	""	""	"13"	""	"78"	""	""	"61"	""	""	"25"	""	""	"61"	""	""	"6239"	""	"0"	"6239"	""	""	""	""
"328"	"13"	"245"	""	"6912"	""	"101"	""	"27"	""	"13"	""	""	"333"	""	""	"38"	""	"39"	""	""	"91"	""	""	"19"	""	"405"	""	""	"20"	""	"31"	""	""	"54"	""	""	"29"	""	""	"77"	""	""	"8434"	""	"0"	"8434"	""	""	""	""
"329"	"14"	"517"	""	"2959"	""	"381"	""	"60"	""	"29"	""	""	"813"	""	""	"81"	""	"48"	""	""	"35"	""	""	"44"	""	"818"	""	""	"36"	""	"69"	""	""	"50"	""	""	"30"	""	""	"68"	""	""	"6038"	""	"0"	"6038"	""	""	""	""
"330"	"15"	"408"	""	"2293"	""	"79"	""	"22"	""	"13"	""	""	"351"	""	""	"38"	""	"25"	""	""	"11"	""	""	"17"	""	"408"	""	""	"12"	""	"17"	""	""	"28"	""	""	"9"	""	""	"37"	""	""	"3768"	""	"0"	"3768"	""	""	""	""
"331"	"Total no. of votes recorded at polling station"	"12125"	""	"45164"	""	"2898"	""	"1072"	""	"398"	""	""	"21766"	""	""	"1203"	""	"903"	""	""	"1223"	""	""	"946"	""	"8063"	""	""	"338"	""	"1023"	""	""	"1306"	""	""	"450"	""	""	"975"	""	""	"99853"	""	"0"	"99853"	""	""	""	""
"332"	"No. of vote recorded on postal ballot papers"	"1"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	"0"	"1"	""	""	""	""
"333"	"Total vote
polled"	"12126"	""	"45164"	""	"2898"	""	"1072"	""	"398"	""	""	"21766"	""	""	"1203"	""	"903"	""	""	"1223"	""	""	"946"	""	"8063"	""	""	"338"	""	"1023"	""	""	"1306"	""	""	"450"	""	""	"975"	""	""	"99854"	""	"0"	"99854"	""	""	""	""
