"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 238-Atri  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"315"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"317"	"239"	"6"	""	""	"2"	""	""	"9"	""	"183"	""	""	"0"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"201"	""	""	"0"	""	""	"201"	""	""	""	""	""	""	""	""
"318"	"240"	"3"	""	""	"38"	""	""	"790"	""	"18"	""	""	"14"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"863"	""	""	"0"	""	""	"863"	""	""	""	""	""	""	""	""
"319"	"241"	"2"	""	""	"7"	""	""	"121"	""	"103"	""	""	"13"	""	""	"2"	""	""	"2"	""	"10"	""	"4"	""	"3"	""	""	"267"	""	""	"0"	""	""	"267"	""	""	""	""	""	""	""	""
"320"	"242"	"232"	""	""	"2"	""	""	"3"	""	"5"	""	""	"10"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"253"	""	""	"0"	""	""	"253"	""	""	""	""	""	""	""	""
"321"	"243"	"243"	""	""	"0"	""	""	"0"	""	"3"	""	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"247"	""	""	"0"	""	""	"247"	""	""	""	""	""	""	""	""
"322"	"244"	"271"	""	""	"0"	""	""	"8"	""	"23"	""	""	"6"	""	""	"0"	""	""	"0"	""	"2"	""	"0"	""	"0"	""	""	"310"	""	""	"0"	""	""	"310"	""	""	""	""	""	""	""	""
"323"	"245"	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""
"324"	"246"	"5"	""	""	"0"	""	""	"3"	""	"104"	""	""	"10"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"122"	""	""	"0"	""	""	"122"	""	""	""	""	""	""	""	""
"325"	"247"	"313"	""	""	"6"	""	""	"21"	""	"70"	""	""	"16"	""	""	"3"	""	""	"11"	""	"10"	""	"1"	""	"12"	""	""	"463"	""	""	"0"	""	""	"463"	""	""	""	""	""	""	""	""
"326"	"248"	"0"	""	""	"1"	""	""	"23"	""	"3"	""	""	"523"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"551"	""	""	"0"	""	""	"551"	""	""	""	""	""	""	""	""
"327"	"249"	"5"	""	""	"4"	""	""	"56"	""	"35"	""	""	"151"	""	""	"0"	""	""	"6"	""	"0"	""	"1"	""	"0"	""	""	"258"	""	""	"0"	""	""	"258"	""	""	""	""	""	""	""	""
"328"	"250"	"99"	""	""	"2"	""	""	"24"	""	"1"	""	""	"171"	""	""	"2"	""	""	"1"	""	"4"	""	"0"	""	"2"	""	""	"306"	""	""	"0"	""	""	"306"	""	""	""	""	""	""	""	""
"329"	"251"	"13"	""	""	"23"	""	""	"72"	""	"6"	""	""	"141"	""	""	"3"	""	""	"10"	""	"0"	""	"3"	""	"6"	""	""	"277"	""	""	"0"	""	""	"277"	""	""	""	""	""	""	""	""
"330"	"252"	"0"	""	""	"0"	""	""	"236"	""	"1"	""	""	"18"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"255"	""	""	"0"	""	""	"255"	""	""	""	""	""	""	""	""
"331"	"Total"	"1192"	""	""	"85"	""	""	"1366"	""	"555"	""	""	"1074"	""	""	"10"	""	""	"31"	""	"26"	""	"10"	""	"24"	""	""	"4373"	""	""	"0"	""	""	"4373"	""	""	""	""	""	""	""	""
"332"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"333"	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	""	"RAJENDRA PRASAD YADAV"	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""
"335"	"253"	"928"	""	""	"9"	""	""	"3"	""	"40"	""	""	"72"	""	""	"0"	""	""	"4"	""	"0"	""	"0"	""	"0"	""	""	"1056"	""	""	"0"	""	""	"1056"	""	""	""	""	""	""	""	""
"336"	"254"	"0"	""	""	"1"	""	""	"670"	""	"1"	""	""	"20"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"692"	""	""	"0"	""	""	"692"	""	""	""	""	""	""	""	""
"337"	"255"	"2"	""	""	"3"	""	""	"18"	""	"6"	""	""	"334"	""	""	"1"	""	""	"2"	""	"0"	""	"1"	""	"0"	""	""	"367"	""	""	"0"	""	""	"367"	""	""	""	""	""	""	""	""
"338"	"256"	"30"	""	""	"0"	""	""	"20"	""	"1"	""	""	"199"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"251"	""	""	"0"	""	""	"251"	""	""	""	""	""	""	""	""
"339"	"257"	"14"	""	""	"0"	""	""	"38"	""	"4"	""	""	"28"	""	""	"1"	""	""	"0"	""	"2"	""	"3"	""	"3"	""	""	"93"	""	""	"0"	""	""	"93"	""	""	""	""	""	""	""	""
"340"	"258"	"23"	""	""	"3"	""	""	"77"	""	"16"	""	""	"40"	""	""	"0"	""	""	"1"	""	"7"	""	"1"	""	"3"	""	""	"171"	""	""	"0"	""	""	"171"	""	""	""	""	""	""	""	""
"341"	"259"	"520"	""	""	"1"	""	""	"83"	""	"4"	""	""	"93"	""	""	"1"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"703"	""	""	"0"	""	""	"703"	""	""	""	""	""	""	""	""
"342"	"260"	"10"	""	""	"3"	""	""	"214"	""	"12"	""	""	"207"	""	""	"3"	""	""	"8"	""	"3"	""	"5"	""	"6"	""	""	"471"	""	""	"0"	""	""	"471"	""	""	""	""	""	""	""	""
"343"	"261"	"1"	""	""	"2"	""	""	"75"	""	"6"	""	""	"462"	""	""	"1"	""	""	"1"	""	"1"	""	"1"	""	"0"	""	""	"550"	""	""	"0"	""	""	"550"	""	""	""	""	""	""	""	""
"344"	"262"	"2"	""	""	"5"	""	""	"233"	""	"11"	""	""	"537"	""	""	"3"	""	""	"1"	""	"1"	""	"1"	""	"3"	""	""	"797"	""	""	"0"	""	""	"797"	""	""	""	""	""	""	""	""
"345"	"263"	"25"	""	""	"4"	""	""	"32"	""	"8"	""	""	"482"	""	""	"1"	""	""	"0"	""	"0"	""	"1"	""	"2"	""	""	"555"	""	""	"0"	""	""	"555"	""	""	""	""	""	""	""	""
"346"	"264"	"9"	""	""	"1"	""	""	"111"	""	"9"	""	""	"831"	""	""	"8"	""	""	"6"	""	"1"	""	"0"	""	"6"	""	""	"982"	""	""	"0"	""	""	"982"	""	""	""	""	""	""	""	""
"347"	"265"	"21"	""	""	"3"	""	""	"82"	""	"6"	""	""	"460"	""	""	"4"	""	""	"0"	""	"0"	""	"0"	""	"2"	""	""	"578"	""	""	"0"	""	""	"578"	""	""	""	""	""	""	""	""
"348"	"266"	"833"	""	""	"1"	""	""	"1"	""	"67"	""	""	"19"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"921"	""	""	"0"	""	""	"921"	""	""	""	""	""	""	""	""
"349"	"Total"	"2418"	""	""	"36"	""	""	"1657"	""	"191"	""	""	"3784"	""	""	"23"	""	""	"24"	""	"15"	""	"14"	""	"25"	""	""	"8187"	""	""	"0"	""	""	"8187"	""	""	""	""	""	""	""	""
"350"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Election to the Bihar Legislative Assembly from the 238-Atri  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Round No."	""	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""
"355"	""	""	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	"RAJENDRA PRASAD YADAV"	""	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"1"	""	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""
"357"	"1"	""	""	"32"	""	""	"27"	""	"7768"	""	""	"39"	""	""	"1238"	""	""	"20"	""	"8"	""	"13"	""	"0"	""	"9"	""	""	"9154"	""	""	"0"	""	""	"9154"	""	""	""	""	""	""	""
"358"	"2"	""	""	"166"	""	""	"45"	""	"5095"	""	""	"114"	""	""	"151"	""	""	"43"	""	"25"	""	"26"	""	"25"	""	"43"	""	""	"5733"	""	""	"0"	""	""	"5733"	""	""	""	""	""	""	""
"359"	"3"	""	""	"78"	""	""	"81"	""	"6516"	""	""	"175"	""	""	"573"	""	""	"43"	""	"19"	""	"45"	""	"25"	""	"58"	""	""	"7613"	""	""	"0"	""	""	"7613"	""	""	""	""	""	""	""
"360"	"4"	""	""	"20"	""	""	"33"	""	"6700"	""	""	"89"	""	""	"365"	""	""	"20"	""	"9"	""	"7"	""	"8"	""	"12"	""	""	"7263"	""	""	"0"	""	""	"7263"	""	""	""	""	""	""	""
"361"	"5"	""	""	"49"	""	""	"20"	""	"4469"	""	""	"216"	""	""	"2171"	""	""	"30"	""	"6"	""	"17"	""	"2"	""	"13"	""	""	"6993"	""	""	"0"	""	""	"6993"	""	""	""	""	""	""	""
"362"	"6"	""	""	"142"	""	""	"61"	""	"3333"	""	""	"141"	""	""	"1587"	""	""	"45"	""	"23"	""	"177"	""	"16"	""	"54"	""	""	"5579"	""	""	"0"	""	""	"5579"	""	""	""	""	""	""	""
"363"	"7"	""	""	"91"	""	""	"63"	""	"3544"	""	""	"148"	""	""	"1394"	""	""	"59"	""	"43"	""	"43"	""	"25"	""	"61"	""	""	"5471"	""	""	"0"	""	""	"5471"	""	""	""	""	""	""	""
"364"	"8"	""	""	"912"	""	""	"32"	""	"2551"	""	""	"445"	""	""	"1952"	""	""	"21"	""	"20"	""	"62"	""	"14"	""	"16"	""	""	"6025"	""	""	"0"	""	""	"6025"	""	""	""	""	""	""	""
"365"	"9"	""	""	"205"	""	""	"32"	""	"1781"	""	""	"282"	""	""	"1991"	""	""	"19"	""	"12"	""	"23"	""	"8"	""	"42"	""	""	"4395"	""	""	"0"	""	""	"4395"	""	""	""	""	""	""	""
"366"	"10"	""	""	"338"	""	""	"293"	""	"2088"	""	""	"179"	""	""	"2694"	""	""	"29"	""	"6"	""	"27"	""	"25"	""	"34"	""	""	"5713"	""	""	"0"	""	""	"5713"	""	""	""	""	""	""	""
"367"	"11"	""	""	"191"	""	""	"45"	""	"1821"	""	""	"154"	""	""	"3778"	""	""	"51"	""	"16"	""	"30"	""	"16"	""	"48"	""	""	"6150"	""	""	"0"	""	""	"6150"	""	""	""	""	""	""	""
"368"	"12"	""	""	"175"	""	""	"56"	""	"1688"	""	""	"255"	""	""	"2039"	""	""	"36"	""	"26"	""	"44"	""	"22"	""	"57"	""	""	"4398"	""	""	"0"	""	""	"4398"	""	""	""	""	""	""	""
"369"	"13"	""	""	"56"	""	""	"23"	""	"2514"	""	""	"638"	""	""	"2753"	""	""	"50"	""	"19"	""	"16"	""	"19"	""	"27"	""	""	"6115"	""	""	"0"	""	""	"6115"	""	""	""	""	""	""	""
"370"	"14"	""	""	"90"	""	""	"422"	""	"2684"	""	""	"116"	""	""	"2258"	""	""	"48"	""	"50"	""	"37"	""	"21"	""	"50"	""	""	"5776"	""	""	"0"	""	""	"5776"	""	""	""	""	""	""	""
"371"	"15"	""	""	"41"	""	""	"66"	""	"3530"	""	""	"138"	""	""	"2894"	""	""	"29"	""	"10"	""	"7"	""	"7"	""	"28"	""	""	"6750"	""	""	"0"	""	""	"6750"	""	""	""	""	""	""	""
"372"	"16"	""	""	"261"	""	""	"27"	""	"2169"	""	""	"662"	""	""	"3713"	""	""	"33"	""	"10"	""	"12"	""	"8"	""	"19"	""	""	"6914"	""	""	"0"	""	""	"6914"	""	""	""	""	""	""	""
"373"	"17"	""	""	"340"	""	""	"36"	""	"2647"	""	""	"2017"	""	""	"323"	""	""	"15"	""	"6"	""	"12"	""	"9"	""	"9"	""	""	"5414"	""	""	"0"	""	""	"5414"	""	""	""	""	""	""	""
"374"	"18"	""	""	"1192"	""	""	"85"	""	"1366"	""	""	"555"	""	""	"1074"	""	""	"10"	""	"31"	""	"26"	""	"10"	""	"24"	""	""	"4373"	""	""	"0"	""	""	"4373"	""	""	""	""	""	""	""
"375"	"19"	""	""	"2418"	""	""	"36"	""	"1657"	""	""	"191"	""	""	"3784"	""	""	"23"	""	"24"	""	"15"	""	"14"	""	"25"	""	""	"8187"	""	""	"0"	""	""	"8187"	""	""	""	""	""	""	""
"376"	"Total no. of votes recorded at polling
station"	""	""	"6797"	""	""	"1483"	""	"63921"	""	""	"6554"	""	""	"36732"	""	""	"624"	""	"363"	""	"639"	""	"274"	""	"629"	""	""	"118016"	""	""	"0"	""	""	"118016"	""	""	""	""	""	""	""
"377"	"No. of vote recorded on postal ballot papers"	""	""	"1"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""
"378"	"Total vote polled"	""	""	"6798"	""	""	"1483"	""	"63921"	""	""	"6554"	""	""	"36732"	""	""	"624"	""	"363"	""	"639"	""	"274"	""	"629"	""	""	"118017"	""	""	"0"	""	""	"118017"	""	""	""	""	""	""	""
"379"	"Place             Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Date              27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
