"390"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"392"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"393"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"394"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"395"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"396"	"Total No. of Votes recorded of polling
stations"	"53910"	"23077"	"2335"	"530"	"455"	"404"	"806"	"24974"	"907"	"560"	"1628"	"383"	"1265"	"525"	"1348"	"2269"	"1656"	"489"	"589"	"635"	"118745"	"0"	"118745"	"0"
"397"	"No. of Votes Recorded on Postal Ballot Papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"398"	"Total Votes Polled"	"53910"	"23077"	"2335"	"530"	"455"	"404"	"806"	"24974"	"907"	"560"	"1628"	"383"	"1265"	"525"	"1348"	"2269"	"1656"	"489"	"589"	"635"	"118745"	"0"	"118745"	"0"
"399"	"Place :- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"Date :- 27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"45- Hajipur Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
