"Election.to.the.Bihar.Legislative.Assembly.from.the.234.Gurua..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"307"	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"309"	"224"	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""
"310"	"225"	"14"	""	""	"6"	""	""	"73"	""	""	"4"	""	""	"130"	""	""	"6"	""	""	"1"	""	"1"	""	"5"	""	"0"	""	"10"	""	"250"	""	""	"0"	""	""	"250"	""	""	""	""	""	""	""
"311"	"226"	"11"	""	""	"5"	""	""	"464"	""	""	"8"	""	""	"172"	""	""	"7"	""	""	"5"	""	"5"	""	"6"	""	"1"	""	"16"	""	"700"	""	""	"0"	""	""	"700"	""	""	""	""	""	""	""
"312"	"227"	"56"	""	""	"10"	""	""	"107"	""	""	"7"	""	""	"588"	""	""	"7"	""	""	"4"	""	"1"	""	"2"	""	"2"	""	"6"	""	"790"	""	""	"0"	""	""	"790"	""	""	""	""	""	""	""
"313"	"228"	"97"	""	""	"10"	""	""	"105"	""	""	"14"	""	""	"310"	""	""	"9"	""	""	"5"	""	"14"	""	"10"	""	"5"	""	"31"	""	"610"	""	""	"0"	""	""	"610"	""	""	""	""	""	""	""
"314"	"229"	"24"	""	""	"5"	""	""	"64"	""	""	"4"	""	""	"263"	""	""	"3"	""	""	"3"	""	"4"	""	"1"	""	"0"	""	"10"	""	"381"	""	""	"0"	""	""	"381"	""	""	""	""	""	""	""
"315"	"230"	"25"	""	""	"9"	""	""	"162"	""	""	"15"	""	""	"355"	""	""	"12"	""	""	"5"	""	"7"	""	"7"	""	"6"	""	"27"	""	"630"	""	""	"0"	""	""	"630"	""	""	""	""	""	""	""
"316"	"231"	"42"	""	""	"5"	""	""	"66"	""	""	"9"	""	""	"115"	""	""	"6"	""	""	"10"	""	"0"	""	"3"	""	"0"	""	"6"	""	"262"	""	""	"0"	""	""	"262"	""	""	""	""	""	""	""
"317"	"232"	"76"	""	""	"15"	""	""	"62"	""	""	"4"	""	""	"270"	""	""	"2"	""	""	"1"	""	"1"	""	"1"	""	"1"	""	"5"	""	"438"	""	""	"0"	""	""	"438"	""	""	""	""	""	""	""
"318"	"233"	"21"	""	""	"4"	""	""	"131"	""	""	"3"	""	""	"372"	""	""	"6"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"5"	""	"542"	""	""	"0"	""	""	"542"	""	""	""	""	""	""	""
"319"	"234"	"7"	""	""	"22"	""	""	"212"	""	""	"4"	""	""	"303"	""	""	"6"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"554"	""	""	"0"	""	""	"554"	""	""	""	""	""	""	""
"320"	"235"	"25"	""	""	"16"	""	""	"368"	""	""	"30"	""	""	"218"	""	""	"8"	""	""	"10"	""	"8"	""	"5"	""	"1"	""	"11"	""	"700"	""	""	"0"	""	""	"700"	""	""	""	""	""	""	""
"321"	"235(Ka)"	"1"	""	""	"1"	""	""	"187"	""	""	"14"	""	""	"47"	""	""	"2"	""	""	"2"	""	"1"	""	"1"	""	"0"	""	"8"	""	"264"	""	""	"0"	""	""	"264"	""	""	""	""	""	""	""
"322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"Total"	"399"	""	""	"108"	""	""	"2001"	""	""	"116"	""	""	"3143"	""	""	"74"	""	""	"46"	""	"42"	""	"41"	""	"16"	""	"135"	""	"6121"	""	""	"0"	""	""	"6121"	""	""	""	""	""	""	""
"324"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Election to the Bihar Legislative Assembly from the 234-Gurua  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Round No."	""	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""
"329"	""	""	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"1"	""	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""
"331"	"1"	""	""	"912"	""	""	"439"	""	""	"4490"	""	""	"70"	""	""	"1690"	""	""	"54"	""	"125"	""	"29"	""	"49"	""	"25"	""	"119"	""	"8002"	""	""	"0"	""	""	"8002"	""	""	""	""	""	""
"332"	"2"	""	""	"786"	""	""	"616"	""	""	"2469"	""	""	"80"	""	""	"2248"	""	""	"41"	""	"31"	""	"22"	""	"32"	""	"18"	""	"93"	""	"6436"	""	""	"0"	""	""	"6436"	""	""	""	""	""	""
"333"	"3"	""	""	"1242"	""	""	"341"	""	""	"2196"	""	""	"89"	""	""	"2147"	""	""	"71"	""	"55"	""	"56"	""	"50"	""	"42"	""	"252"	""	"6541"	""	""	"0"	""	""	"6541"	""	""	""	""	""	""
"334"	"4"	""	""	"706"	""	""	"307"	""	""	"2510"	""	""	"56"	""	""	"1959"	""	""	"37"	""	"72"	""	"23"	""	"18"	""	"10"	""	"66"	""	"5764"	""	""	"0"	""	""	"5764"	""	""	""	""	""	""
"335"	"5"	""	""	"807"	""	""	"370"	""	""	"3272"	""	""	"63"	""	""	"1997"	""	""	"54"	""	"47"	""	"14"	""	"20"	""	"18"	""	"74"	""	"6736"	""	""	"0"	""	""	"6736"	""	""	""	""	""	""
"336"	"6"	""	""	"1444"	""	""	"214"	""	""	"1912"	""	""	"84"	""	""	"1860"	""	""	"53"	""	"51"	""	"49"	""	"38"	""	"25"	""	"116"	""	"5846"	""	""	"0"	""	""	"5846"	""	""	""	""	""	""
"337"	"7"	""	""	"599"	""	""	"277"	""	""	"2261"	""	""	"93"	""	""	"3060"	""	""	"44"	""	"29"	""	"43"	""	"32"	""	"18"	""	"86"	""	"6542"	""	""	"0"	""	""	"6542"	""	""	""	""	""	""
"338"	"8"	""	""	"1171"	""	""	"472"	""	""	"1731"	""	""	"84"	""	""	"2352"	""	""	"82"	""	"57"	""	"51"	""	"83"	""	"23"	""	"199"	""	"6305"	""	""	"0"	""	""	"6305"	""	""	""	""	""	""
"339"	"9"	""	""	"824"	""	""	"193"	""	""	"3344"	""	""	"71"	""	""	"1791"	""	""	"62"	""	"21"	""	"37"	""	"30"	""	"22"	""	"119"	""	"6514"	""	""	"0"	""	""	"6514"	""	""	""	""	""	""
"340"	"10"	""	""	"1585"	""	""	"185"	""	""	"3055"	""	""	"65"	""	""	"1007"	""	""	"40"	""	"24"	""	"25"	""	"24"	""	"21"	""	"85"	""	"6116"	""	""	"0"	""	""	"6116"	""	""	""	""	""	""
"341"	"11"	""	""	"780"	""	""	"453"	""	""	"2580"	""	""	"60"	""	""	"2598"	""	""	"54"	""	"38"	""	"36"	""	"24"	""	"16"	""	"93"	""	"6732"	""	""	"0"	""	""	"6732"	""	""	""	""	""	""
"342"	"12"	""	""	"723"	""	""	"205"	""	""	"3371"	""	""	"84"	""	""	"2131"	""	""	"51"	""	"37"	""	"20"	""	"16"	""	"14"	""	"77"	""	"6729"	""	""	"0"	""	""	"6729"	""	""	""	""	""	""
"343"	"13"	""	""	"1407"	""	""	"151"	""	""	"2814"	""	""	"77"	""	""	"1065"	""	""	"50"	""	"30"	""	"48"	""	"28"	""	"23"	""	"110"	""	"5803"	""	""	"0"	""	""	"5803"	""	""	""	""	""	""
"344"	"14"	""	""	"1365"	""	""	"150"	""	""	"3890"	""	""	"103"	""	""	"1848"	""	""	"59"	""	"47"	""	"68"	""	"52"	""	"30"	""	"147"	""	"7759"	""	""	"0"	""	""	"7759"	""	""	""	""	""	""
"345"	"15"	""	""	"1016"	""	""	"255"	""	""	"2184"	""	""	"123"	""	""	"1977"	""	""	"81"	""	"51"	""	"50"	""	"65"	""	"33"	""	"177"	""	"6012"	""	""	"0"	""	""	"6012"	""	""	""	""	""	""
"346"	"16"	""	""	"656"	""	""	"117"	""	""	"4886"	""	""	"59"	""	""	"1100"	""	""	"36"	""	"22"	""	"33"	""	"34"	""	"17"	""	"92"	""	"7052"	""	""	"0"	""	""	"7052"	""	""	""	""	""	""
"347"	"17"	""	""	"399"	""	""	"108"	""	""	"2001"	""	""	"116"	""	""	"3143"	""	""	"74"	""	"46"	""	"42"	""	"41"	""	"16"	""	"135"	""	"6121"	""	""	"0"	""	""	"6121"	""	""	""	""	""	""
"348"	"Total no. of votes recorded at polling"	""	""	"16422"	""	""	"4853"	""	""	"48966"	""	""	"1377"	""	""	"33973"	""	""	"943"	""	"783"	""	"646"	""	"636"	""	"371"	""	"2040"	""	"111010"	""	""	"0"	""	""	"111010"	""	""	""	""	""	""
"349"	"No. of vote recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Total vote polled"	""	""	"16422"	""	""	"4853"	""	""	"48966"	""	""	"1377"	""	""	"33973"	""	""	"943"	""	"783"	""	"646"	""	"636"	""	"371"	""	"2040"	""	"111010"	""	""	"0"	""	""	"111010"	""	""	""	""	""	""
"351"	"Place             Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Date              27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
