"Election.to.the.Bihar.Legislative.Assembly.from.the.232.Gaya.Town.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"127"	"of"	"PREM KUMAR"	""	""	"DR. BHIM SINGH YADAV"	""	""	""	"MASOOD MANJAR"	""	""	""	""	"LALITA DEVI"	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""
"128"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""
"129"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""
"131"	"78"	"213"	""	""	"21"	""	""	""	"198"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"469"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"469"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"79"	"81"	""	""	"24"	""	""	""	"90"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"47"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"80"	"196"	""	""	"12"	""	""	""	"27"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"81"	"347"	""	""	"9"	""	""	""	"12"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"396"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"396"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"82"	"275"	""	""	"37"	""	""	""	"23"	""	""	""	""	"14"	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"100"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"496"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"496"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"83"	"210"	""	""	"19"	""	""	""	"26"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"58"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"332"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"332"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"83(Ka)"	"173"	""	""	"11"	""	""	""	"82"	""	""	""	""	"29"	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"333"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"333"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"84"	"363"	""	""	"25"	""	""	""	"29"	""	""	""	""	"35"	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"502"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"85"	"314"	""	""	"21"	""	""	""	"46"	""	""	""	""	"42"	""	""	""	""	"0"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"506"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"506"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"86"	"353"	""	""	"32"	""	""	""	"21"	""	""	""	""	"19"	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"470"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"470"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"87"	"341"	""	""	"10"	""	""	""	"68"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"492"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"492"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"88"	"3"	""	""	"24"	""	""	""	"174"	""	""	""	""	"6"	""	""	""	""	"11"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"222"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"89"	"99"	""	""	"97"	""	""	""	"245"	""	""	""	""	"12"	""	""	""	""	"20"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"490"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"490"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"90"	"25"	""	""	"28"	""	""	""	"470"	""	""	""	""	"0"	""	""	""	""	"15"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"549"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"549"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Total"	"2993"	""	""	"370"	""	""	""	"1511"	""	""	""	""	"178"	""	""	""	""	"72"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"271"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"69"	""	""	""	""	""	""	"34"	""	""	""	""	""	""	""	"105"	""	""	""	""	""	""	""	"80"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"37"	""	""	""	""	""	""	""	"5768"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"5768"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""
"147"	"of"	"PREM KUMAR"	""	""	""	"DR. BHIM SINGH YADAV"	""	""	"MASOOD MANJAR"	""	""	""	""	"LALITA DEVI"	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	""	"AKHAURI
ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""	""
"148"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""
"149"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"1"	"2"	""	""	""	"3"	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""
"151"	"91"	"122"	""	""	""	"72"	""	""	"96"	""	""	""	""	"6"	""	""	""	""	"12"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"33"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"92"	"118"	""	""	""	"28"	""	""	"99"	""	""	""	""	"1"	""	""	""	""	"15"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"13"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"93"	"86"	""	""	""	"14"	""	""	"127"	""	""	""	""	"1"	""	""	""	""	"9"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"246"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"246"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"94"	"6"	""	""	""	"33"	""	""	"438"	""	""	""	""	"4"	""	""	""	""	"44"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"535"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"535"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"95"	"2"	""	""	""	"12"	""	""	"188"	""	""	""	""	"3"	""	""	""	""	"51"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"265"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"95(Ka)"	"2"	""	""	""	"7"	""	""	"210"	""	""	""	""	"1"	""	""	""	""	"56"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"96"	"87"	""	""	""	"49"	""	""	"47"	""	""	""	""	"138"	""	""	""	""	"10"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"335"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"335"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"96(Ka)"	"132"	""	""	""	"27"	""	""	"26"	""	""	""	""	"89"	""	""	""	""	"15"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"97"	"157"	""	""	""	"24"	""	""	"25"	""	""	""	""	"148"	""	""	""	""	"11"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"393"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"393"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"98"	"10"	""	""	""	"12"	""	""	"299"	""	""	""	""	"5"	""	""	""	""	"13"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"345"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"345"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"98(Ka)"	"4"	""	""	""	"11"	""	""	"453"	""	""	""	""	"4"	""	""	""	""	"15"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"494"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"494"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"99"	"4"	""	""	""	"16"	""	""	"296"	""	""	""	""	"1"	""	""	""	""	"14"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"357"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"357"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"100"	"24"	""	""	""	"57"	""	""	"267"	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"380"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"101"	"2"	""	""	""	"38"	""	""	"422"	""	""	""	""	"3"	""	""	""	""	"12"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"493"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"493"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Total"	"756"	""	""	""	"400"	""	""	"2993"	""	""	""	""	"408"	""	""	""	""	"286"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"62"	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"30"	""	""	""	""	""	""	"34"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"26"	""	""	""	""	""	""	"5063"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"5063"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"167"	"of"	""	"PREM KUMAR"	""	""	"DR. BHIM SINGH YADAV"	""	""	""	"MASOOD MANJAR"	""	""	""	"LALITA DEVI"	""	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""
"168"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"169"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
