"Candidate.s..Name"	"ANANT.KUMAR.SATYARTHY"	"PRITAM.SINGH"	"RAKESH.KUMAR"	"RAJEEV.RANJAN.SINGH"	"SHABNAM.PERWIN"	"KAILASH.SINGH.NISHAD"	"CHHAVI.KUMAR"	"ZAFAR.AHMAD"	"TRIDEO.SINGH"	"MANOJ.KUMAR.YADAY"	"RAMDEO.SINGH.YADAV"	"RAMBILASH.NISHAD"	"VIRENDRA.BHARTI"	"SUNIL.SOLANKI..SAHA."	"UCHIT.KUMAR"	"DASRATH.DAS"	"DEVAN.YADAV"	"NACHI.KETA"	"MUKESH.KUMAR.SINGH"	"SUNIL.KUMAR"	"Total"
"1"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"531"	"214"	"198"	"11"	"4"	"2"	"88"	"1"	"1"	"0"	"0"	"1"	"7"	"2"	"29"	"4"	"2"	"10"	"3"	"3"	"15"	"1"	"382"
"532"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"533"	"215"	"82"	"36"	"2"	"6"	"225"	"7"	"8"	"1"	"1"	"2"	"1"	"26"	"38"	"5"	"2"	"4"	"10"	"1"	"31"	"1"	"489"
"534"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"535"	"216"	"166"	"24"	"4"	"88"	"80"	"1"	"3"	"2"	"1"	"0"	"2"	"2"	"22"	"5"	"1"	"4"	"1"	"4"	"43"	"0"	"453"
"536"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"537"	"217"	"170"	"29"	"3"	"14"	"62"	"2"	"4"	"2"	"3"	"1"	"2"	"5"	"32"	"5"	"3"	"5"	"8"	"1"	"62"	"2"	"415"
"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"539"	"218"	"425"	"12"	"0"	"1"	"15"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"33"	"3"	"1"	"4"	"1"	"0"	"12"	"0"	"509"
"540"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"541"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"542"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"543"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"544"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"545"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"546"	"219"	"282"	"19"	"3"	"6"	"170"	"1"	"2"	"1"	"3"	"0"	"3"	"10"	"56"	"5"	"1"	"0"	"1"	"0"	"9"	"5"	"577"
"547"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"548"	"220"	"197"	"34"	"1"	"65"	"53"	"4"	"3"	"0"	"2"	"0"	"2"	"4"	"48"	"2"	"2"	"13"	"6"	"2"	"12"	"1"	"451"
"549"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"550"	"221"	"220"	"24"	"3"	"34"	"69"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"52"	"2"	"1"	"6"	"1"	"1"	"40"	"1"	"459"
"551"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"552"	"222"	"256"	"11"	"5"	"70"	"163"	"6"	"3"	"0"	"3"	"0"	"2"	"4"	"74"	"7"	"2"	"5"	"6"	"8"	"75"	"7"	"707"
"553"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"554"	"223"	"267"	"21"	"1"	"6"	"177"	"7"	"2"	"2"	"1"	"3"	"1"	"7"	"41"	"6"	"2"	"4"	"7"	"10"	"22"	"5"	"592"
"555"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"556"	"224"	"98"	"12"	"4"	"4"	"157"	"1"	"3"	"1"	"1"	"0"	"1"	"10"	"45"	"8"	"1"	"4"	"6"	"2"	"176"	"6"	"540"
"557"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"558"	"225"	"194"	"49"	"4"	"1"	"68"	"8"	"0"	"3"	"1"	"0"	"1"	"1"	"30"	"8"	"9"	"10"	"5"	"4"	"54"	"3"	"453"
"559"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"560"	"226"	"226"	"8"	"3"	"6"	"177"	"2"	"2"	"4"	"1"	"4"	"1"	"7"	"41"	"5"	"5"	"20"	"10"	"2"	"5"	"4"	"533"
"561"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"562"	"227"	"124"	"9"	"1"	"8"	"56"	"0"	"3"	"0"	"0"	"0"	"1"	"2"	"38"	"4"	"2"	"8"	"5"	"0"	"8"	"4"	"273"
"563"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"564"	"228"	"243"	"29"	"2"	"14"	"79"	"4"	"1"	"1"	"0"	"5"	"0"	"5"	"113"	"9"	"2"	"14"	"7"	"3"	"1"	"0"	"532"
"565"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"566"	"229"	"37"	"18"	"2"	"4"	"384"	"5"	"4"	"1"	"3"	"1"	"2"	"3"	"15"	"4"	"1"	"7"	"11"	"2"	"3"	"13"	"520"
"567"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"568"	"230"	"145"	"42"	"2"	"8"	"32"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"23"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"257"
"569"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"570"	"231"	"236"	"24"	"1"	"5"	"39"	"1"	"1"	"0"	"1"	"0"	"4"	"5"	"96"	"13"	"7"	"34"	"7"	"0"	"11"	"2"	"487"
"571"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"572"	"232"	"88"	"47"	"2"	"29"	"83"	"1"	"6"	"3"	"2"	"0"	"4"	"2"	"49"	"5"	"5"	"7"	"13"	"3"	"7"	"11"	"367"
"573"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"574"	"233"	"91"	"20"	"2"	"3"	"67"	"3"	"5"	"1"	"1"	"2"	"2"	"1"	"26"	"1"	"0"	"3"	"0"	"1"	"1"	"3"	"233"
"575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"576"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"577"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"578"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"579"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"580"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"581"	"234"	"113"	"11"	"3"	"3"	"315"	"2"	"4"	"1"	"3"	"1"	"0"	"31"	"27"	"8"	"2"	"8"	"12"	"1"	"83"	"3"	"631"
"582"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"583"	"235"	"93"	"16"	"0"	"2"	"202"	"2"	"2"	"0"	"2"	"1"	"2"	"15"	"36"	"0"	"2"	"6"	"0"	"0"	"52"	"0"	"433"
"584"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"585"	"236"	"178"	"15"	"0"	"1"	"9"	"2"	"1"	"1"	"0"	"0"	"1"	"2"	"27"	"3"	"2"	"2"	"0"	"11"	"87"	"1"	"343"
"586"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"587"	"237"	"177"	"6"	"2"	"4"	"36"	"0"	"3"	"0"	"0"	"1"	"0"	"2"	"39"	"6"	"3"	"15"	"4"	"5"	"85"	"2"	"390"
"588"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"589"	"238"	"71"	"25"	"0"	"1"	"76"	"3"	"3"	"0"	"2"	"1"	"2"	"17"	"29"	"11"	"4"	"13"	"7"	"4"	"154"	"5"	"428"
"590"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"591"	"239"	"107"	"9"	"2"	"3"	"154"	"1"	"2"	"0"	"2"	"2"	"4"	"12"	"21"	"10"	"4"	"6"	"6"	"1"	"86"	"7"	"439"
"592"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"593"	"240"	"431"	"11"	"3"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"51"	"5"	"2"	"7"	"14"	"5"	"35"	"3"	"591"
"594"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"595"	"241"	"77"	"64"	"7"	"2"	"110"	"10"	"6"	"4"	"11"	"5"	"14"	"152"	"44"	"12"	"6"	"34"	"9"	"7"	"121"	"7"	"702"
"596"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"597"	"242"	"74"	"21"	"3"	"9"	"299"	"11"	"10"	"6"	"7"	"4"	"9"	"23"	"43"	"12"	"8"	"22"	"1"	"1"	"79"	"4"	"646"
"598"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"599"	"243"	"127"	"14"	"2"	"18"	"147"	"1"	"5"	"4"	"6"	"4"	"1"	"3"	"69"	"10"	"3"	"6"	"3"	"1"	"42"	"4"	"470"
"600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"601"	"244"	"46"	"65"	"1"	"9"	"89"	"3"	"2"	"3"	"2"	"1"	"5"	"8"	"31"	"18"	"5"	"13"	"3"	"2"	"79"	"3"	"388"
"602"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"603"	"245"	"63"	"71"	"4"	"2"	"48"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"23"	"2"	"0"	"0"	"1"	"1"	"67"	"0"	"287"
"604"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"605"	"246"	"25"	"3"	"2"	"2"	"98"	"7"	"0"	"1"	"0"	"3"	"4"	"219"	"27"	"9"	"5"	"17"	"5"	"0"	"21"	"4"	"452"
"606"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"607"	"247"	"177"	"51"	"2"	"2"	"118"	"1"	"2"	"0"	"1"	"0"	"2"	"4"	"70"	"11"	"1"	"9"	"8"	"1"	"5"	"6"	"471"
"608"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"609"	"248"	"89"	"75"	"4"	"1"	"49"	"3"	"4"	"1"	"1"	"0"	"1"	"1"	"31"	"103"	"6"	"4"	"5"	"5"	"6"	"14"	"403"
"610"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"611"	"249"	"43"	"19"	"0"	"7"	"288"	"5"	"8"	"1"	"1"	"1"	"1"	"7"	"22"	"41"	"4"	"14"	"4"	"1"	"5"	"14"	"486"
"612"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"613"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"614"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"615"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"616"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"617"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"618"	"250"	"185"	"12"	"1"	"2"	"205"	"3"	"2"	"1"	"4"	"2"	"5"	"8"	"42"	"9"	"3"	"22"	"0"	"1"	"11"	"1"	"519"
"619"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"620"	"250A"	"99"	"3"	"1"	"2"	"162"	"4"	"4"	"1"	"4"	"3"	"8"	"17"	"52"	"9"	"4"	"30"	"8"	"8"	"25"	"4"	"448"
"621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"622"	"251"	"101"	"75"	"7"	"30"	"320"	"6"	"10"	"4"	"6"	"3"	"5"	"23"	"46"	"39"	"6"	"46"	"5"	"4"	"34"	"2"	"772"
"623"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"624"	"252"	"59"	"31"	"1"	"2"	"268"	"28"	"13"	"2"	"5"	"0"	"3"	"47"	"66"	"9"	"4"	"9"	"4"	"0"	"68"	"4"	"623"
"625"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"626"	"253"	"19"	"17"	"2"	"10"	"359"	"5"	"5"	"1"	"0"	"2"	"6"	"10"	"12"	"1"	"1"	"11"	"2"	"0"	"6"	"7"	"476"
"627"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"628"	"254"	"69"	"21"	"2"	"0"	"109"	"3"	"2"	"1"	"6"	"1"	"4"	"6"	"34"	"9"	"2"	"12"	"3"	"1"	"6"	"0"	"291"
"629"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"630"	"255"	"61"	"34"	"1"	"0"	"173"	"3"	"1"	"1"	"0"	"1"	"0"	"1"	"40"	"3"	"0"	"12"	"1"	"3"	"3"	"4"	"342"
"631"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"632"	"256"	"453"	"55"	"3"	"0"	"46"	"1"	"3"	"2"	"0"	"1"	"4"	"7"	"38"	"15"	"6"	"27"	"18"	"4"	"4"	"2"	"689"
"633"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"634"	"257"	"239"	"7"	"3"	"9"	"194"	"2"	"7"	"0"	"2"	"2"	"6"	"4"	"46"	"5"	"2"	"10"	"5"	"24"	"6"	"2"	"575"
"635"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"636"	"258"	"351"	"79"	"1"	"4"	"85"	"1"	"3"	"1"	"2"	"2"	"3"	"20"	"52"	"12"	"4"	"13"	"15"	"2"	"41"	"3"	"694"
"637"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"638"	"259"	"90"	"21"	"2"	"6"	"194"	"5"	"7"	"2"	"2"	"1"	"4"	"11"	"34"	"4"	"5"	"12"	"5"	"2"	"4"	"1"	"412"
"639"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"640"	"Total:"	"55074"	"7626"	"375"	"1233"	"37466"	"1140"	"933"	"238"	"335"	"310"	"529"	"3641"	"11408"	"1269"	"550"	"2270"	"1409"	"771"	"2306"	"747"	"129630"
"641"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"642"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"643"	"ostal Ball"	"12"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"19"
"644"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"645"	"Gr. Total:"	"55086"	"7626"	"375"	"1233"	"37473"	"1140"	"933"	"238"	"335"	"310"	"529"	"3641"	"11408"	"1269"	"550"	"2270"	"1409"	"771"	"2306"	"747"	"129649"
"646"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"647"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"648"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"649"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"650"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"651"	"Place:                                                                                                                                                                                                                                       Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"652"	"Date: 11/24/2010                                                                                                                                                                                                       Assembly Constituency :165---Munger"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"653"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                                                                                                                           Page -1 of 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
