"fo.kku.l.Hkk.fuokZpu..ks..dh.l.a....k...oa.uke...210.fnukj.k..........................................fuokZpdksa.dh.dyq"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"369"	"8"	"241"	"127"	"7"	"2"	"162"	"3"	"21"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"5"	"6"	"338"	"0"	"338"	"0"
"370"	"9"	"242"	"113"	"13"	"8"	"25"	"1"	"38"	"1"	"0"	"0"	"4"	"1"	"2"	"29"	"5"	"1"	"3"	"0"	"244"	"0"	"244"	"0"
"371"	"10"	"243"	"57"	"2"	"2"	"15"	"0"	"406"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"489"	"0"	"489"	"0"
"372"	"11"	"244"	"362"	"4"	"4"	"3"	"0"	"27"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"9"	"0"	"1"	"2"	"415"	"0"	"415"	"0"
"373"	"12"	"245"	"13"	"7"	"3"	"1"	"2"	"222"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"255"	"0"	"255"	"0"
"374"	"13"	"246"	"202"	"7"	"9"	"31"	"4"	"196"	"3"	"5"	"5"	"5"	"2"	"0"	"6"	"12"	"3"	"11"	"6"	"507"	"0"	"507"	"0"
"375"	"14"	"247"	"304"	"3"	"9"	"2"	"1"	"79"	"1"	"2"	"0"	"1"	"1"	"0"	"2"	"7"	"0"	"11"	"6"	"429"	"0"	"429"	"0"
"376"	"; ksx"	""	"46226"	"2675"	"10009"	"8244"	"1483"	"29955"	"695"	"857"	"401"	"803"	"1105"	"461"	"3546"	"6191"	"612"	"3315"	"1681"	"118259"	"0"	"118259"	"0"
"377"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"380"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"381"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"382"	"fi Ny s  dk  ; ksx"	""	"46226"	"2675"	"10009"	"8244"	"1483"	"29955"	"695"	"857"	"401"	"803"	"1105"	"461"	"3546"	"6191"	"612"	"3315"	"1681"	"118259"	"0"	"118259"	"0"
"383"	"1"	"248"	"333"	"3"	"8"	"1"	"2"	"105"	"1"	"9"	"3"	"3"	"1"	"1"	"13"	"11"	"3"	"13"	"5"	"515"	"0"	"515"	"0"
"384"	"2"	"249"	"207"	"12"	"7"	"3"	"4"	"290"	"8"	"3"	"6"	"3"	"2"	"4"	"2"	"4"	"2"	"8"	"10"	"575"	"0"	"575"	"0"
"385"	"3"	"250"	"315"	"4"	"60"	"32"	"3"	"159"	"5"	"2"	"6"	"2"	"4"	"0"	"4"	"6"	"2"	"10"	"1"	"615"	"0"	"615"	"0"
"386"	"4"	"251"	"59"	"2"	"10"	"107"	"3"	"40"	"3"	"1"	"3"	"2"	"4"	"0"	"2"	"2"	"1"	"3"	"2"	"244"	"0"	"244"	"0"
"387"	"; ksx"	""	"47140"	"2696"	"10094"	"8387"	"1495"	"30549"	"712"	"872"	"419"	"813"	"1116"	"466"	"3567"	"6214"	"620"	"3349"	"1699"	"120208"	"0"	"120208"	"0"
"388"	"er nku dsUnzksa i j vfHkfyf[ kr  er ksa dh
dqy  l a[ ; k"	""	"47140"	"2696"	"10094"	"8387"	"1495"	"30549"	"712"	"872"	"419"	"813"	"1116"	"466"	"3567"	"6214"	"620"	"3349"	"1699"	"120208"	"0"	"120208"	"0"
"389"	"Mkd  er i =ksa i j vfHkfyf[ kr  er ksa dh
l a[ ; k"	""	"36"	"4"	"4"	"0"	"0"	"17"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"65"	"0"	"65"	"0"
"390"	"Mkyss x,  dqy  er"	""	"47176"	"2700"	"10098"	"8387"	"1495"	"30566"	"712"	"875"	"419"	"813"	"1116"	"466"	"3568"	"6214"	"620"	"3349"	"1699"	"120273"	"0"	"120273"	"0"
