"314"	"dsUnzksa dh
dze l a0"	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj
fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	"fof/kekU
;  er"	"dh   l a[ ; k"	""	"l a[ ; k"
"315"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"316"	"148"	"2"	"3"	"47"	"9"	"243"	"2"	"2"	""	"6"	""	""	"2"	""	"5"	""	"2"	""	"6"	""	""	"7"	""	"4"	"5"	"5"	"2"	"5"	"357"	""	"357"	""
"317"	"149"	"4"	"9"	"70"	"54"	"413"	"8"	"6"	""	"26"	""	""	"3"	""	"13"	""	"2"	""	"9"	""	""	"5"	""	"6"	"92"	"18"	"9"	"6"	"753"	""	"753"	""
"318"	"150"	"10"	"2"	"39"	"0"	"425"	"5"	"0"	""	"1"	""	""	"1"	""	"3"	""	"4"	""	"2"	""	""	"6"	""	"3"	"3"	"4"	"5"	"2"	"515"	""	"515"	""
"319"	"151"	"4"	"8"	"163"	"6"	"297"	"15"	"7"	""	"17"	""	""	"11"	""	"17"	""	"9"	""	"19"	""	""	"11"	""	"16"	"100"	"42"	"6"	"12"	"760"	""	"760"	""
"320"	"152"	"4"	"8"	"129"	"6"	"264"	"6"	"3"	""	"8"	""	""	"19"	""	"8"	""	"7"	""	"10"	""	""	"8"	""	"12"	"51"	"9"	"10"	"18"	"580"	""	"580"	""
"321"	"153"	"3"	"3"	"34"	"3"	"111"	"5"	"0"	""	"1"	""	""	"1"	""	"2"	""	"2"	""	"4"	""	""	"3"	""	"1"	"22"	"7"	"1"	"0"	"203"	""	"203"	""
"322"	"154"	"10"	"4"	"44"	"5"	"324"	"10"	"11"	""	"14"	""	""	"7"	""	"16"	""	"11"	""	"40"	""	""	"13"	""	"12"	"13"	"15"	"2"	"3"	"554"	""	"554"	""
"323"	"; ksx"	"37"	"37"	"526"	"83"	"2077"	"51"	"29"	""	"73"	""	""	"44"	""	"64"	""	"37"	""	"90"	""	""	"53"	""	"54"	"286"	"100"	"35"	"46"	"3722"	""	"3722"	""
"324"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"914"	"2097"	"21487"	"1825"	"36511"	"668"	"473"	""	"1322"	""	""	"471"	""	"1139"	""	"655"	""	"1826"	""	""	"991"	""	"1131"	"3893"	"1682"	"1796"	"971"	"79852"	""	"79852"	""
"325"	"d qy  ; ksx"	"951"	"2134"	"22013"	"1908"	"38588"	"719"	"502"	""	"1395"	""	""	"515"	""	"1203"	""	"692"	""	"1916"	""	""	"1044"	""	"1185"	"4179"	"1782"	"1831"	"1017"	"83574"	""	"83574"	""
"326"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"pÿ  l a0  %&  24"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"er nku"	"fuEufyf[ kr"	""	""	""	""	""	""	"ds"	""	"i {k"	"esa"	"fn; s"	"x; s"	""	"fof/kekU;"	""	"er ksa"	""	"dh"	"l"	""	"a0"	""	""	""	""	""	"dqy"	"i zfr {ksfi"	"; ksx"	"fufonŸk"
"329"	"s   z a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"r  er ksa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"er ksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"dsUnzksa dh
dze l a0"	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er vyh"	"fof/kekU
;  er"	"dh   l a[ ; k"	""	"l a[ ; k"
"333"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"334"	"155"	"14"	"4"	"95"	"8"	"397"	"9"	"7"	""	"16"	""	""	"2"	""	"17"	""	"0"	""	"7"	""	""	"3"	""	"6"	"46"	"5"	"9"	"3"	"648"	""	"648"	""
"335"	"156"	"1"	"5"	"35"	"13"	"447"	"6"	"4"	""	"2"	""	""	"2"	""	"4"	""	"5"	""	"6"	""	""	"15"	""	"4"	"24"	"9"	"1"	"2"	"585"	""	"585"	""
"336"	"157"	"8"	"9"	"320"	"6"	"236"	"5"	"3"	""	"4"	""	""	"3"	""	"8"	""	"6"	""	"10"	""	""	"10"	""	"9"	"18"	"9"	"0"	"1"	"665"	""	"665"	""
"337"	"158"	"3"	"2"	"81"	"27"	"119"	"0"	"1"	""	"1"	""	""	"0"	""	"1"	""	"0"	""	"5"	""	""	"5"	""	"4"	"5"	"1"	"0"	"1"	"256"	""	"256"	""
"338"	"159"	"8"	"4"	"191"	"9"	"245"	"5"	"7"	""	"10"	""	""	"1"	""	"8"	""	"8"	""	"18"	""	""	"14"	""	"17"	"45"	"18"	"5"	"5"	"618"	""	"618"	""
"339"	"160"	"0"	"3"	"108"	"2"	"147"	"1"	"0"	""	"5"	""	""	"0"	""	"2"	""	"0"	""	"1"	""	""	"0"	""	"2"	"3"	"3"	"1"	"2"	"280"	""	"280"	""
"340"	"161"	"3"	"4"	"42"	"4"	"229"	"8"	"4"	""	"2"	""	""	"0"	""	"3"	""	"2"	""	"10"	""	""	"24"	""	"6"	"39"	"14"	"6"	"3"	"403"	""	"403"	""
"341"	"; ksx"	"37"	"31"	"872"	"69"	"1820"	"34"	"26"	""	"40"	""	""	"8"	""	"43"	""	"21"	""	"57"	""	""	"71"	""	"48"	"180"	"59"	"22"	"17"	"3455"	""	"3455"	""
"342"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"951"	"2134"	"22013"	"1908"	"38588"	"719"	"502"	""	"1395"	""	""	"515"	""	"1203"	""	"692"	""	"1916"	""	""	"1044"	""	"1185"	"4179"	"1782"	"1831"	"1017"	"83574"	""	"83574"	""
"343"	"d qy  ; ksx"	"988"	"2165"	"22885"	"1977"	"40408"	"753"	"528"	""	"1435"	""	""	"523"	""	"1246"	""	"713"	""	"1973"	""	""	"1115"	""	"1233"	"4359"	"1841"	"1853"	"1034"	"87029"	"0"	"87029"	""
"344"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"pÿ  l a0  %&  25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"er nku"	"fuEufyf[ kr"	""	""	""	""	""	""	"ds"	""	"i {k"	"esa"	"fn; s"	"x; s"	""	"fof/kekU;"	""	"er ksa"	""	"dh"	"l"	""	"a0"	""	""	""	""	""	"dqy"	"i zfr {ksfi"	"; ksx"	"fufonŸk"
"347"	"s   z a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"r  er ksa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"er ksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"dsUnzksa dh
dze l a0"	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj
fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz dqekj
i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj  j geku"	""	"t dfj ; k [ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	"fof/kekU
;  er"	"dh   l a[ ; k"	""	"l a[ ; k"
"351"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"352"	"162"	"7"	"4"	"54"	"9"	"572"	"3"	"3"	""	"5"	""	""	"3"	""	"10"	""	"0"	""	"13"	""	""	"81"	""	"6"	"64"	"6"	"1"	"0"	"841"	""	"841"	""
"353"	"163"	"0"	"8"	"62"	"72"	"248"	"8"	"3"	""	"10"	""	""	"1"	""	"3"	""	"4"	""	"5"	""	""	"15"	""	"1"	"1"	"10"	"3"	"1"	"455"	""	"455"	""
"354"	"163d"	"1"	"2"	"45"	"21"	"125"	"3"	"1"	""	"5"	""	""	"1"	""	"7"	""	"3"	""	"10"	""	""	"117"	""	"5"	"31"	"13"	"2"	"2"	"394"	""	"394"	""
"355"	"164"	"0"	"9"	"158"	"5"	"148"	"4"	"1"	""	"6"	""	""	"3"	""	"2"	""	"5"	""	"5"	""	""	"60"	""	"11"	"54"	"16"	"2"	"3"	"492"	""	"492"	""
"356"	"165"	"2"	"18"	"31"	"2"	"135"	"2"	"0"	""	"7"	""	""	"0"	""	"2"	""	"2"	""	"3"	""	""	"11"	""	"0"	"2"	"0"	"1"	"0"	"218"	""	"218"	""
"357"	"166"	"15"	"10"	"182"	"9"	"130"	"2"	"0"	""	"2"	""	""	"2"	""	"3"	""	"0"	""	"5"	""	""	"34"	""	"3"	"8"	"8"	"21"	"72"	"506"	""	"506"	""
"358"	"167"	"9"	"5"	"63"	"6"	"271"	"1"	"2"	""	"2"	""	""	"3"	""	"0"	""	"1"	""	"7"	""	""	"12"	""	"0"	"2"	"3"	"6"	"0"	"393"	""	"393"	""
"359"	"; ksx"	"34"	"56"	"595"	"124"	"1629"	"23"	"10"	""	"37"	""	""	"13"	""	"27"	""	"15"	""	"48"	""	""	"330"	""	"26"	"162"	"56"	"36"	"78"	"3299"	""	"3299"	""
"360"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"988"	"2165"	"22885"	"1977"	"40408"	"753"	"528"	""	"1435"	""	""	"523"	""	"1246"	""	"713"	""	"1973"	""	""	"1115"	""	"1233"	"4359"	"1841"	"1853"	"1034"	"87029"	"0"	"87029"	""
"361"	"d qy  ; ksx"	"1022"	"2221"	"23480"	"2101"	"42037"	"776"	"538"	""	"1472"	""	""	"536"	""	"1273"	""	"728"	""	"2021"	""	""	"1445"	""	"1259"	"4521"	"1897"	"1889"	"1112"	"90328"	"0"	"90328"	""
"362"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"pÿ  l a0  %&  26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"er nku"	"fuEufyf[ kr"	""	""	""	""	""	""	"ds"	""	"i {k"	"esa"	"fn; s"	"x; s"	""	"fof/kekU;"	""	"er ksa"	""	"dh"	"l"	""	"a0"	""	""	""	""	""	"dqy"	"i zfr {ksfi"	"; ksx"	"fufonŸk"
"365"	"s   z a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"r  er ksa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"er ksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"dsUnzksa dh
dze l a0"	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	"fof/kekU
;  er"	"dh   l a[ ; k"	""	"l a[ ; k"
"369"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"370"	"168"	"10"	"4"	"64"	"9"	"457"	"8"	"0"	""	"15"	""	""	"8"	""	"6"	""	"8"	""	"16"	""	""	"102"	""	"4"	"64"	"23"	"3"	"2"	"803"	""	"803"	""
"371"	"169"	"8"	"8"	"233"	"9"	"331"	"1"	"9"	""	"9"	""	""	"2"	""	"7"	""	"11"	""	"28"	""	""	"169"	""	"12"	"16"	"15"	"2"	"4"	"874"	""	"874"	""
"372"	"170"	"1"	"4"	"7"	"6"	"253"	"5"	"5"	""	"12"	""	""	"5"	""	"7"	""	"9"	""	"18"	""	""	"68"	""	"2"	"5"	"5"	"4"	"5"	"421"	""	"421"	""
"373"	"170d"	"6"	"4"	"2"	"5"	"288"	"4"	"0"	""	"5"	""	""	"3"	""	"7"	""	"4"	""	"12"	""	""	"57"	""	"0"	"6"	"11"	"2"	"7"	"423"	""	"423"	""
"374"	"171"	"2"	"17"	"100"	"4"	"159"	"7"	"3"	""	"3"	""	""	"6"	""	"4"	""	"5"	""	"7"	""	""	"134"	""	"11"	"10"	"6"	"6"	"1"	"485"	""	"485"	""
"375"	"172"	"8"	"12"	"70"	"11"	"303"	"1"	"7"	""	"13"	""	""	"6"	""	"25"	""	"10"	""	"23"	""	""	"163"	""	"4"	"11"	"10"	"2"	"3"	"682"	""	"682"	""
"376"	"173"	"9"	"13"	"182"	"9"	"166"	"5"	"3"	""	"2"	""	""	"0"	""	"9"	""	"1"	""	"5"	""	""	"14"	""	"6"	"42"	"2"	"9"	"3"	"480"	""	"480"	""
"377"	"; ksx"	"44"	"62"	"658"	"53"	"1957"	"31"	"27"	""	"59"	""	""	"30"	""	"65"	""	"48"	""	"109"	""	""	"707"	""	"39"	"154"	"72"	"28"	"25"	"4168"	""	"4168"	""
"378"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"1022"	"2221"	"23480"	"2101"	"42037"	"776"	"538"	""	"1472"	""	""	"536"	""	"1273"	""	"728"	""	"2021"	""	""	"1445"	""	"1259"	"4521"	"1897"	"1889"	"1112"	"90328"	"0"	"90328"	""
"379"	"d qy  ; ksx"	"1066"	"2283"	"24138"	"2154"	"43994"	"807"	"565"	""	"1531"	""	""	"566"	""	"1338"	""	"776"	""	"2130"	""	""	"2152"	""	"1298"	"4675"	"1969"	"1917"	"1137"	"94496"	""	"94496"	""
"380"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"pÿ  l a0  %&  27"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"383"	""	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke
cgknqj fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yyk
g"	"gl er vyh"	""	""	""	""
"384"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"385"	"174"	"11"	"9"	"34"	"4"	"384"	"0"	"2"	""	"6"	""	""	"2"	""	"7"	""	"5"	""	"16"	""	""	"32"	""	"8"	"40"	"10"	"2"	"2"	"574"	""	"574"	""
"386"	"175"	"1"	"10"	"32"	"14"	"320"	"6"	"4"	""	"6"	""	""	"1"	""	"8"	""	"3"	""	"8"	""	""	"49"	""	"6"	"10"	"9"	"0"	"1"	"488"	""	"488"	""
"387"	"176"	"1"	"5"	"19"	"10"	"329"	"3"	"4"	""	"13"	""	""	"1"	""	"8"	""	"3"	""	"18"	""	""	"142"	""	"3"	"6"	"10"	"1"	"1"	"577"	""	"577"	""
"388"	"177"	"6"	"3"	"115"	"105"	"254"	"5"	"8"	""	"7"	""	""	"1"	""	"41"	""	"6"	""	"13"	""	""	"16"	""	"7"	"19"	"16"	"5"	"5"	"632"	""	"632"	""
"389"	"178"	"3"	"10"	"80"	"8"	"168"	"3"	"2"	""	"10"	""	""	"6"	""	"11"	""	"10"	""	"19"	""	""	"63"	""	"14"	"72"	"24"	"10"	"11"	"524"	""	"524"	""
"390"	"179"	"2"	"4"	"20"	"10"	"403"	"4"	"1"	""	"16"	""	""	"7"	""	"39"	""	"14"	""	"4"	""	""	"19"	""	"3"	"55"	"8"	"2"	"1"	"612"	""	"612"	""
"391"	"180"	"14"	"6"	"212"	"6"	"328"	"14"	"1"	""	"9"	""	""	"4"	""	"10"	""	"4"	""	"21"	""	""	"19"	""	"25"	"14"	"19"	"23"	"3"	"732"	""	"732"	""
"392"	"; ksx"	"38"	"47"	"512"	"157"	"2186"	"35"	"22"	""	"67"	""	""	"22"	""	"124"	""	"45"	""	"99"	""	""	"340"	""	"66"	"216"	"96"	"43"	"24"	"4139"	""	"4139"	""
"393"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"1066"	"2283"	"24138"	"2154"	"43994"	"807"	"565"	""	"1531"	""	""	"566"	""	"1338"	""	"776"	""	"2130"	""	""	"2152"	""	"1298"	"4675"	"1969"	"1917"	"1137"	"94496"	"0"	"94496"	""
"394"	"d qy  ; ksx"	"1104"	"2330"	"24650"	"2311"	"46180"	"842"	"587"	""	"1598"	""	""	"588"	""	"1462"	""	"821"	""	"2229"	""	""	"2492"	""	"1364"	"4891"	"2065"	"1960"	"1161"	"98635"	""	"98635"	""
"395"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"pÿ  l a0  %&  28"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"397"	"er nku"	"fuEufyf[ kr"	""	""	""	""	""	""	"ds"	""	"i {k"	"esa"	"fn; s"	"x; s"	""	"fof/kekU;"	""	"er ksa"	""	"dh"	"l"	""	"a0"	""	""	""	""	""	"dqy"	"i zfr {ksfi"	"; ksx"	"fufonŸk"
"398"	"s   z a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"r  er ksa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"er ksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"dsUnzksa dh
dze l a0"	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er vyh"	"fof/kekU
;  er"	"dh   l a[ ; k"	""	"l a[ ; k"
"402"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"403"	"181"	"18"	"13"	"161"	"120"	"173"	"7"	"3"	""	"6"	""	""	"0"	""	"13"	""	"1"	""	"1"	""	""	"18"	""	"9"	"22"	"8"	"3"	"1"	"577"	""	"577"	""
"404"	"182"	"6"	"4"	"33"	"82"	"330"	"5"	"6"	""	"5"	""	""	"3"	""	"2"	""	"1"	""	"7"	""	""	"12"	""	"3"	"1"	"6"	"3"	"2"	"511"	""	"511"	""
"405"	"183"	"1"	"1"	"43"	"83"	"250"	"9"	"0"	""	"10"	""	""	"2"	""	"6"	""	"5"	""	"13"	""	""	"27"	""	"3"	"16"	"8"	"4"	"4"	"485"	""	"485"	""
"406"	"184"	"27"	"11"	"155"	"43"	"139"	"1"	"4"	""	"14"	""	""	"1"	""	"16"	""	"2"	""	"9"	""	""	"16"	""	"8"	"9"	"8"	"5"	"3"	"471"	""	"471"	""
"407"	"185"	"9"	"11"	"104"	"7"	"348"	"1"	"4"	""	"13"	""	""	"4"	""	"11"	""	"3"	""	"13"	""	""	"44"	""	"4"	"33"	"4"	"6"	"5"	"624"	""	"624"	""
"408"	"186"	"37"	"5"	"152"	"9"	"284"	"9"	"4"	""	"16"	""	""	"5"	""	"13"	""	"4"	""	"11"	""	""	"37"	""	"8"	"10"	"18"	"0"	"2"	"624"	""	"624"	""
"409"	"187"	"5"	"5"	"73"	"13"	"263"	"3"	"2"	""	"6"	""	""	"3"	""	"3"	""	"3"	""	"9"	""	""	"29"	""	"2"	"2"	"12"	"3"	"3"	"439"	""	"439"	""
"410"	"; ksx"	"103"	"50"	"721"	"357"	"1787"	"35"	"23"	""	"70"	""	""	"18"	""	"64"	""	"19"	""	"63"	""	""	"183"	""	"37"	"93"	"64"	"24"	"20"	"3731"	""	"3731"	""
"411"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"1104"	"2330"	"24650"	"2311"	"46180"	"842"	"587"	""	"1598"	""	""	"588"	""	"1462"	""	"821"	""	"2229"	""	""	"2492"	""	"1364"	"4891"	"2065"	"1960"	"1161"	"98635"	""	"85308"	""
"412"	"d qy  ; ksx"	"1207"	"2380"	"25371"	"2668"	"47967"	"877"	"610"	""	"1668"	""	""	"606"	""	"1526"	""	"840"	""	"2292"	""	""	"2675"	""	"1401"	"4984"	"2129"	"1984"	"1181"	"102366"	""	"102366"	""
"413"	"110&  cM+gfj ; k  fo/kku  l Hkk  fuokZpu  {ks=  esa  fcgkj  fo/kku  l Hkk  d s  fy ; s  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"pÿ  l a0  %&  29"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"er nku"	"fuEufyf[ kr"	""	""	""	""	""	""	"ds"	""	"i {k"	"esa"	"fn; s"	"x; s"	""	"fof/kekU;"	""	"er ksa"	""	"dh"	"l"	""	"a0"	""	""	""	""	""	"dqy"	"i zfr {ksfi"	"; ksx"	"fufonŸk"
"416"	"s   z a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"r  er ksa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"er ksa dh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"dsUnzksa dh
dze l a0"	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj
fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	"fof/kekU
;  er"	"dh   l a[ ; k"	""	"l a[ ; k"
"420"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"421"	"188"	"12"	"51"	"158"	"8"	"156"	"8"	"0"	""	"7"	""	""	"6"	""	"4"	""	"1"	""	"6"	""	""	"77"	""	"20"	"49"	"13"	"7"	"13"	"596"	""	"596"	""
"422"	"189"	"2"	"19"	"106"	"24"	"400"	"2"	"1"	""	"15"	""	""	"4"	""	"22"	""	"9"	""	"6"	""	""	"45"	""	"6"	"21"	"6"	"7"	"4"	"699"	""	"699"	""
"423"	"190"	"13"	"6"	"19"	"11"	"280"	"7"	"5"	""	"17"	""	""	"4"	""	"14"	""	"3"	""	"10"	""	""	"65"	""	"6"	"6"	"10"	"6"	"8"	"490"	""	"490"	""
"424"	"191"	"9"	"11"	"139"	"8"	"196"	"8"	"1"	""	"3"	""	""	"2"	""	"8"	""	"3"	""	"3"	""	""	"15"	""	"4"	"22"	"6"	"11"	"1"	"450"	""	"450"	""
