"SL..NO..OF.POLLING.STATION"	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"TOTAL.OF.VALID.VOTES"	"NO..OF.REJECTED.VOTES"	"TOTAL"	"NO..OF.TENDERED.VOTES"
"328"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"329"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"330"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"331"	"197"	"9"	"5"	"538"	"33"	"12"	"1"	"0"	"6"	"1"	"3"	"0"	"6"	"3"	"10"	"0"	"3"	"2"	"4"	"0"	"1"	"0"	"1"	"638"	"0"	"638"	"0"
"332"	"198"	"13"	"3"	"503"	"38"	"9"	"3"	"1"	"2"	"1"	"3"	"1"	"3"	"1"	"3"	"0"	"1"	"1"	"3"	"4"	"2"	"1"	"11"	"607"	"0"	"607"	"0"
"333"	"199"	"3"	"4"	"179"	"7"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"204"	"0"	"204"	"0"
"334"	"200"	"12"	"7"	"519"	"27"	"10"	"2"	"3"	"1"	"3"	"6"	"0"	"12"	"9"	"4"	"2"	"1"	"10"	"4"	"7"	"8"	"2"	"11"	"660"	"0"	"660"	"0"
"335"	"201"	"7"	"4"	"357"	"22"	"2"	"0"	"2"	"1"	"3"	"1"	"1"	"4"	"4"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"8"	"423"	"0"	"423"	"0"
"336"	"201K"	"3"	"6"	"260"	"21"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"0"	"1"	"1"	"3"	"3"	"1"	"3"	"0"	"12"	"323"	"0"	"323"	"0"
"337"	"202"	"4"	"2"	"266"	"23"	"23"	"1"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"12"	"340"	"0"	"340"	"0"
"338"	"202K"	"12"	"5"	"347"	"25"	"10"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"2"	"1"	"2"	"0"	"3"	"0"	"0"	"2"	"0"	"6"	"420"	"0"	"420"	"0"
"339"	"203"	"7"	"4"	"246"	"61"	"1"	"0"	"1"	"1"	"0"	"0"	"4"	"2"	"1"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"335"	"0"	"335"	"0"
"340"	"203K"	"5"	"0"	"182"	"37"	"4"	"1"	"0"	"0"	"0"	"0"	"5"	"1"	"0"	"1"	"1"	"1"	"4"	"1"	"3"	"0"	"0"	"0"	"246"	"0"	"246"	"0"
"341"	"204"	"6"	"1"	"245"	"22"	"10"	"1"	"2"	"0"	"1"	"2"	"1"	"2"	"2"	"2"	"0"	"0"	"1"	"0"	"2"	"2"	"1"	"4"	"307"	"0"	"307"	"0"
"342"	"204K"	"4"	"2"	"254"	"37"	"4"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"2"	"1"	"2"	"1"	"2"	"0"	"1"	"316"	"0"	"316"	"0"
"343"	"205"	"23"	"7"	"422"	"88"	"23"	"6"	"1"	"11"	"4"	"1"	"0"	"5"	"9"	"4"	"0"	"11"	"7"	"0"	"5"	"2"	"1"	"13"	"643"	"0"	"643"	"0"
"344"	"206"	"12"	"0"	"300"	"65"	"14"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"3"	"1"	"4"	"2"	"4"	"1"	"5"	"3"	"2"	"7"	"428"	"0"	"428"	"0"
"345"	"Total"	"120"	"50"	"4618"	"506"	"127"	"16"	"12"	"26"	"14"	"22"	"13"	"47"	"36"	"33"	"14"	"24"	"42"	"19"	"30"	"25"	"9"	"87"	"5890"	"0"	"5890"	"0"
"346"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                       Signature of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"SL. NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"348"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"349"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"350"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"351"	"207"	"5"	"1"	"242"	"52"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"5"	"1"	"1"	"0"	"1"	"3"	"0"	"2"	"2"	"0"	"0"	"318"	"0"	"318"	"0"
"352"	"207K"	"4"	"1"	"123"	"205"	"5"	"0"	"1"	"1"	"0"	"1"	"1"	"12"	"2"	"0"	"23"	"0"	"2"	"0"	"1"	"2"	"0"	"1"	"385"	"0"	"385"	"0"
"353"	"208"	"6"	"4"	"301"	"102"	"5"	"0"	"0"	"6"	"0"	"0"	"2"	"64"	"5"	"2"	"5"	"2"	"8"	"1"	"5"	"9"	"0"	"3"	"530"	"0"	"530"	"0"
"354"	"209"	"9"	"4"	"252"	"190"	"3"	"1"	"1"	"5"	"1"	"1"	"4"	"8"	"4"	"11"	"1"	"2"	"4"	"2"	"4"	"6"	"2"	"3"	"518"	"0"	"518"	"0"
"355"	"210"	"7"	"3"	"294"	"19"	"15"	"0"	"0"	"1"	"0"	"1"	"3"	"4"	"0"	"0"	"2"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"354"	"0"	"354"	"0"
"356"	"211"	"2"	"3"	"328"	"42"	"3"	"0"	"1"	"1"	"0"	"1"	"0"	"6"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"393"	"0"	"393"	"0"
"357"	"212"	"9"	"5"	"441"	"62"	"42"	"1"	"0"	"1"	"1"	"2"	"8"	"1"	"4"	"3"	"2"	"1"	"3"	"0"	"3"	"2"	"0"	"3"	"594"	"0"	"594"	"0"
"358"	"213"	"10"	"3"	"368"	"72"	"13"	"0"	"1"	"0"	"2"	"0"	"2"	"4"	"4"	"4"	"1"	"0"	"3"	"0"	"2"	"2"	"0"	"2"	"493"	"0"	"493"	"0"
"359"	"214"	"19"	"1"	"390"	"144"	"3"	"2"	"0"	"11"	"1"	"0"	"6"	"7"	"4"	"7"	"0"	"7"	"5"	"2"	"2"	"4"	"2"	"41"	"658"	"0"	"658"	"0"
"360"	"215"	"4"	"4"	"310"	"163"	"1"	"2"	"2"	"0"	"1"	"1"	"0"	"2"	"2"	"0"	"9"	"1"	"1"	"1"	"3"	"6"	"0"	"2"	"515"	"0"	"515"	"0"
"361"	"215K"	"6"	"0"	"191"	"100"	"2"	"2"	"0"	"2"	"0"	"1"	"0"	"3"	"1"	"0"	"3"	"3"	"0"	"0"	"2"	"4"	"1"	"1"	"322"	"0"	"322"	"0"
"362"	"216"	"3"	"3"	"180"	"85"	"13"	"1"	"0"	"3"	"1"	"2"	"3"	"0"	"3"	"3"	"0"	"4"	"2"	"2"	"4"	"8"	"0"	"19"	"339"	"0"	"339"	"0"
"363"	"217"	"10"	"8"	"236"	"34"	"161"	"4"	"5"	"3"	"6"	"3"	"5"	"7"	"6"	"2"	"5"	"4"	"6"	"2"	"4"	"4"	"8"	"75"	"598"	"0"	"598"	"0"
"364"	"218"	"18"	"5"	"414"	"111"	"3"	"24"	"6"	"3"	"0"	"2"	"3"	"5"	"4"	"6"	"4"	"5"	"6"	"5"	"11"	"10"	"0"	"15"	"660"	"0"	"660"	"0"
"365"	"Total"	"112"	"45"	"4070"	"1381"	"270"	"37"	"17"	"38"	"13"	"15"	"38"	"128"	"40"	"39"	"56"	"35"	"43"	"15"	"45"	"59"	"13"	"168"	"6677"	"0"	"6677"	"0"
"366"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                  Signature of Ret"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"FORM- 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"FINAL RESULT SHEET [SEE RULE 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY, 2010  FROM 118- CHAPRA  ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"Total No, of Electors in the Assembly constituency- 254790                                                                                                            Round No. 19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"SL. NO. OF POLLING STATION
1"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"372"	""	"ANIL KUMAR SINGH"	"AMITA DEVI"	"JANARDAN SINGH SIGRIWAL"	"PRAMENDRA RANJAN SINGH"	"RAJESHNATH PRASAD"	"JITENDRA KUMAR SINGH"	"RAJENDRA MAHTO"	"RAMBABU RAI"	"SANDEEP KUMAR"	"AMITESHWAR SAHAY"	"ARIF KHAN"	"INDRAJIT RAI"	"GYANI KUMAR SHARMA"	"TARKESHWAR SINGH"	"PRAVEEN KUMAR ALIAS PIKU YADAV"	"MUKESH KUMAR SINGH"	"RANDHIR RAI"	"RAJNARAYAN GUPTA"	"RAMJEE SINGH"	"SIYARAM SINGH"	"SUNITA KUMARI"	"SUBHASH RAY"	""	""	""	""
"373"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"374"	"BF"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"375"	"219"	"5"	"6"	"354"	"167"	"7"	"5"	"1"	"10"	"1"	"3"	"1"	"3"	"4"	"7"	"1"	"1"	"5"	"3"	"7"	"9"	"1"	"7"	"608"	"0"	"608"	"0"
"376"	"220"	"11"	"3"	"124"	"228"	"2"	"1"	"0"	"5"	"0"	"0"	"0"	"6"	"7"	"0"	"1"	"3"	"12"	"4"	"11"	"20"	"2"	"8"	"448"	"0"	"448"	"0"
"377"	"221"	"7"	"7"	"396"	"89"	"12"	"48"	"2"	"7"	"2"	"2"	"0"	"6"	"3"	"4"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"594"	"0"	"594"	"0"
"378"	"222"	"11"	"7"	"272"	"156"	"30"	"1"	"1"	"3"	"3"	"0"	"0"	"4"	"46"	"3"	"4"	"6"	"8"	"3"	"8"	"8"	"2"	"79"	"655"	"0"	"655"	"0"
"379"	"223"	"13"	"19"	"252"	"82"	"18"	"3"	"11"	"5"	"1"	"3"	"1"	"3"	"36"	"0"	"1"	"4"	"5"	"2"	"3"	"0"	"1"	"42"	"505"	"0"	"505"	"0"
"380"	"224"	"7"	"3"	"141"	"42"	"3"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"4"	"1"	"1"	"0"	"15"	"225"	"0"	"225"	"0"
"381"	"225"	"8"	"3"	"86"	"153"	"4"	"4"	"3"	"10"	"1"	"1"	"4"	"7"	"10"	"3"	"75"	"6"	"15"	"5"	"12"	"18"	"11"	"95"	"534"	"0"	"534"	"0"
"382"	"226"	"11"	"2"	"27"	"220"	"4"	"4"	"4"	"6"	"2"	"1"	"0"	"8"	"11"	"5"	"7"	"5"	"5"	"4"	"6"	"9"	"0"	"49"	"390"	"0"	"390"	"0"
"383"	"227"	"26"	"23"	"213"	"146"	"11"	"6"	"5"	"7"	"3"	"5"	"19"	"18"	"17"	"14"	"141"	"13"	"7"	"2"	"0"	"4"	"0"	"20"	"700"	"0"	"700"	"0"
"384"	"228"	"1"	"0"	"2"	"21"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"1"	"1"	"0"	"2"	"0"	"1"	"48"	"89"	"0"	"89"	"0"
"385"	"229"	"2"	"4"	"20"	"191"	"10"	"0"	"0"	"13"	"3"	"0"	"1"	"2"	"2"	"1"	"18"	"1"	"4"	"3"	"10"	"14"	"2"	"13"	"314"	"0"	"314"	"0"
"386"	"230"	"23"	"13"	"357"	"51"	"4"	"15"	"4"	"4"	"2"	"1"	"0"	"5"	"2"	"1"	"3"	"5"	"4"	"0"	"4"	"3"	"1"	"33"	"535"	"0"	"535"	"0"
"387"	"Total"	"125"	"90"	"2244"	"1546"	"107"	"89"	"32"	"71"	"19"	"16"	"26"	"63"	"143"	"38"	"260"	"46"	"66"	"31"	"65"	"86"	"22"	"412"	"5597"	"0"	"5597"	"0"
"388"	"Total No. of Votes Recorded AT Polling Stations"	"4298"	"1057"	"60684"	"25006"	"2043"	"955"	"339"	"1188"	"264"	"366"	"956"	"759"	"839"	"888"	"1295"	"840"	"1178"	"523"	"1048"	"1306"	"352"	"7601"	"113785"	"0"	"113785"	"0"
"389"	"No. of Votes Recorded on Postal Ballot Papers"	"24"	"2"	"361"	"168"	"20"	"1"	"0"	"1"	"0"	"3"	"2"	"6"	"0"	"4"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"25"	"621"	"20"	"641"	"0"
"390"	"Total Votes Polled"	"4322"	"1059"	"61045"	"25174"	"2063"	"956"	"339"	"1189"	"264"	"369"	"958"	"765"	"839"	"892"	"1297"	"840"	"1178"	"525"	"1048"	"1306"	"352"	"7626"	"114406"	"20"	"114426"	"0"
"391"	"Signature of Compiling Officer                                                    Signature of Asst. Returning Officer                                                                                       Signature of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
