"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy,  mi ; ksx esa yk; k t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"------------------------------------------------- fuokZpu {ks= esa   --------------------------------------------- ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"¼l l anh;  vkSj  fo/kku  l Hkk  nksuksa  fuokZpuksa  d s  fy ,  mi ; ksx  esa  y k; k  t k, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ -------------------------------           l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k --------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"283"	"er nku  d sUnz  dh
Øe  l a0"	""	""	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	""	""	"i zfr {ksfi r
er ksa  dh l a[ ; k"	""	""	"; ksx"	""	""	"fufonÙk  er ksa
dh  l a[ ; k"	""	""	""	""
"284"	""	""	""	"pUnz  Hkkuq
i kl oku"	""	""	"uj s' k  nkl"	""	""	"i zsey r k
nsoh"	""	""	"euh\"k
d qekj"	""	""	"eankj s' oj
d qekj  eUVq"	""	""	"equh  y ky
i kl oku"	""	""	""	"nsosUnz
nkl"	""	""	""	"l qxU/kk  nsoh"	""	""	"l hr k  j ke
nkl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"257"	"18"	""	""	"91"	""	""	"7"	""	""	"162"	""	""	""	"19"	""	"254"	""	""	""	"4"	""	""	""	"3"	""	""	"16"	""	""	"574"	""	""	""	"0"	""	""	"574"	""	"0"	""	""	""	""	""	""
"286"	"258"	"7"	""	""	"149"	""	""	"8"	""	""	"102"	""	""	""	"9"	""	"274"	""	""	""	"3"	""	""	""	"2"	""	""	"8"	""	""	"562"	""	""	""	"0"	""	""	"562"	""	"0"	""	""	""	""	""	""
"287"	"259"	"4"	""	""	"30"	""	""	"1"	""	""	"118"	""	""	""	"10"	""	"190"	""	""	""	"4"	""	""	""	"3"	""	""	"10"	""	""	"370"	""	""	""	"0"	""	""	"370"	""	"0"	""	""	""	""	""	""
"288"	"260"	"36"	""	""	"209"	""	""	"9"	""	""	"64"	""	""	""	"14"	""	"47"	""	""	""	"6"	""	""	""	"4"	""	""	"9"	""	""	"398"	""	""	""	"0"	""	""	"398"	""	"0"	""	""	""	""	""	""
"289"	"261"	"15"	""	""	"127"	""	""	"13"	""	""	"132"	""	""	""	"11"	""	"277"	""	""	""	"16"	""	""	""	"4"	""	""	"6"	""	""	"601"	""	""	""	"0"	""	""	"601"	""	"0"	""	""	""	""	""	""
"290"	"262"	"12"	""	""	"86"	""	""	"2"	""	""	"249"	""	""	""	"66"	""	"187"	""	""	""	"12"	""	""	""	"7"	""	""	"16"	""	""	"637"	""	""	""	"0"	""	""	"637"	""	"0"	""	""	""	""	""	""
"291"	"263"	"11"	""	""	"220"	""	""	"2"	""	""	"26"	""	""	""	"7"	""	"97"	""	""	""	"2"	""	""	""	"1"	""	""	"5"	""	""	"371"	""	""	""	"0"	""	""	"371"	""	"0"	""	""	""	""	""	""
"292"	"264"	"11"	""	""	"45"	""	""	"7"	""	""	"123"	""	""	""	"14"	""	"176"	""	""	""	"5"	""	""	""	"5"	""	""	"6"	""	""	"392"	""	""	""	"0"	""	""	"392"	""	"0"	""	""	""	""	""	""
"293"	"265"	"7"	""	""	"22"	""	""	"8"	""	""	"119"	""	""	""	"70"	""	"152"	""	""	""	"6"	""	""	""	"6"	""	""	"11"	""	""	"401"	""	""	""	"0"	""	""	"401"	""	"0"	""	""	""	""	""	""
"294"	"266"	"10"	""	""	"17"	""	""	"11"	""	""	"158"	""	""	""	"22"	""	"124"	""	""	""	"6"	""	""	""	"2"	""	""	"8"	""	""	"358"	""	""	""	"0"	""	""	"358"	""	"0"	""	""	""	""	""	""
"295"	"267"	"3"	""	""	"24"	""	""	"3"	""	""	"94"	""	""	""	"20"	""	"271"	""	""	""	"7"	""	""	""	"3"	""	""	"5"	""	""	"430"	""	""	""	"0"	""	""	"430"	""	"0"	""	""	""	""	""	""
"296"	"268"	"10"	""	""	"14"	""	""	"5"	""	""	"104"	""	""	""	"15"	""	"170"	""	""	""	"2"	""	""	""	"3"	""	""	"7"	""	""	"330"	""	""	""	"0"	""	""	"330"	""	"0"	""	""	""	""	""	""
"297"	"269"	"4"	""	""	"16"	""	""	"6"	""	""	"50"	""	""	""	"5"	""	"41"	""	""	""	"7"	""	""	""	"1"	""	""	"3"	""	""	"133"	""	""	""	"0"	""	""	"133"	""	"0"	""	""	""	""	""	""
"298"	"270"	"11"	""	""	"54"	""	""	"15"	""	""	"122"	""	""	""	"18"	""	"58"	""	""	""	"4"	""	""	""	"3"	""	""	"8"	""	""	"293"	""	""	""	"0"	""	""	"293"	""	"0"	""	""	""	""	""	""
"299"	"er nku dsUnzksa i j
vfHkfyf[ kr  er ksa dh dqy  l a[ ; k"	""	""	"3203"	""	""	"31915"	""	""	"2263"	""	""	"40251"	""	""	"4892"	""	""	"25265"	""	""	""	"1435"	""	""	""	"1059"	""	""	"2459"	""	""	"112742"	""	""	"0"	""	""	"112742"	""	""	"0"	""	""	""	""
"300"	"Mkd  er i =ksa i j
vfHkfyf[ kr  er ksa dh l a[ ; k"	""	""	"0"	""	""	"4"	""	""	"0"	""	""	"10"	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Mky s  x,  d qy  er"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"LFkku   %"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"r kj h[ k %                                                                                                                                                            fj VfuZax vkWfQl j"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
