"X."	"No..of.valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"389"	"281"	"26"	"1"	"72"	"237"	"3"	"1"	"1"	"0"	"2"	"3"	"3"	"0"	"3"	"1"	"3"	"2"	"1"	"7"	"366"	"0"	"366"	""
"390"	"282"	"66"	"21"	"277"	"124"	"1"	"5"	"1"	"1"	"2"	"1"	"1"	"3"	"8"	"10"	"35"	"8"	"0"	"1"	"565"	"0"	"565"	""
"391"	"283"	"155"	"13"	"158"	"183"	"4"	"1"	"2"	"0"	"3"	"21"	"1"	"1"	"2"	"2"	"53"	"10"	"10"	"1"	"620"	"0"	"620"	""
"392"	"284"	"42"	"39"	"332"	"208"	"0"	"4"	"1"	"1"	"2"	"3"	"0"	"2"	"4"	"9"	"51"	"7"	"2"	"2"	"709"	"0"	"709"	""
"393"	"285"	"45"	"11"	"257"	"17"	"1"	"7"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"12"	"2"	"0"	"2"	"359"	"0"	"359"	""
"394"	"286"	"3"	"5"	"97"	"124"	"1"	"2"	"0"	"0"	"3"	"4"	"1"	"1"	"2"	"2"	"63"	"4"	"2"	"3"	"317"	"0"	"317"	""
"395"	"287"	"3"	"6"	"102"	"121"	"3"	"0"	"3"	"0"	"0"	"2"	"2"	"1"	"3"	"5"	"189"	"3"	"0"	"0"	"443"	"0"	"443"	""
"396"	"288"	"14"	"78"	"386"	"164"	"9"	"3"	"7"	"3"	"7"	"7"	"10"	"2"	"4"	"11"	"49"	"21"	"1"	"3"	"779"	"0"	"779"	""
"397"	"TOTAL"	"20792"	"10886"	"53094"	"40095"	"1396"	"847"	"1137"	"559"	"901"	"3700"	"807"	"723"	"1961"	"1994"	"3600"	"2253"	"655"	"1184"	"146584"	"0"	"146584"	""
"398"	"B.F."	"20792"	"10886"	"53094"	"40095"	"1396"	"847"	"1137"	"559"	"901"	"3700"	"807"	"723"	"1961"	"1994"	"3600"	"2253"	"655"	"1184"	"146584"	"0"	"146584"	""
"399"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"Sl. No. of Polling Station"	"ALOK KUMAR SINGH"	"JAG NARAIN SINGH"	"RAM DHANI SINGH"	"SHIV SHANKAR SINGH"	"AMAR ANIL SINGH"	"AMAR PRATAP SINGH"	"JAI SHANKAR PRASAD"	"NARENDRA KUMAR
RAI"	"BINDE KUMAR"	"RAM AWATAR GUPTA"	"RAM ASHISH SINGH"	"SATYENDRA TIWARI"	"KAMAKHAYA SINGH"	"DILIP KUMAR"	"PARASU RAM GUPTA"	"SHANKAR SINGH"	"SANJAY KUMAR"	"SURENDRA KUMAR"	"Total No. of valid votes"	"No. of rejected votes"	"No. of Total votes"	"votes"
"401"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"402"	"289"	"17"	"12"	"150"	"185"	"10"	"4"	"0"	"1"	"4"	"49"	"3"	"0"	"1"	"1"	"4"	"3"	"2"	"3"	"449"	"0"	"449"	""
"403"	"290"	"63"	"1"	"67"	"68"	"4"	"2"	"1"	"0"	"1"	"0"	"1"	"29"	"6"	"1"	"4"	"4"	"1"	"0"	"253"	"0"	"253"	""
"404"	"291"	"188"	"1"	"97"	"91"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"44"	"4"	"11"	"0"	"445"	"0"	"445"	""
"405"	"292"	"42"	"63"	"263"	"138"	"14"	"3"	"6"	"4"	"7"	"17"	"2"	"4"	"6"	"7"	"40"	"6"	"3"	"8"	"633"	"0"	"633"	""
"406"	"293"	"94"	"24"	"69"	"150"	"6"	"2"	"1"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"357"	"0"	"357"	""
"407"	"294"	"65"	"35"	"264"	"174"	"7"	"7"	"4"	"2"	"6"	"22"	"5"	"8"	"26"	"27"	"23"	"8"	"7"	"0"	"690"	"0"	"690"	""
"408"	"TOTAL"	"21261"	"11022"	"54004"	"40901"	"1442"	"865"	"1149"	"566"	"921"	"3794"	"818"	"764"	"2002"	"2031"	"3715"	"2280"	"680"	"1196"	"149411"	"0"	"149411"	""
"409"	"Total No. of votes
recorded at Polling Stations"	"29"	"13"	"181"	"90"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"319"	"1"	"320"	""
"410"	"No. of votes recorded on
postal ballot papers"	"2"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"13"	"22"	""
"411"	"Total votes Polled"	"21292"	"11035"	"54190"	"40993"	"1442"	"867"	"1151"	"567"	"921"	"3794"	"818"	"764"	"2002"	"2032"	"3715"	"2280"	"680"	"1196"	"149739"	"14"	"149753"	""
"412"	"Place : SASARAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"Date : 24.11.2010                                                                                                                                                                                                                    RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
