"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"
"264"	"125"	""	""	""	""	""	"33"	""	"297"	""	"104"	""	"4"	""	"1"	""	"2"	"0"	"2"	"3"	""	"13"	""	"2"	"0"	"5"	""	"26"	""	"3"	""	"2"	"10"	""	"11"	""	"3"	""	"5"	""	"6"	""	"3"	"14"	""	"1"	"3"	"6"	"1"	""	"8"	""	"15"	""	"583"	""	""
"265"	"Round"	""	""	""	""	""	"1130"	""	"2727"	""	"1126"	""	"51"	""	"40"	""	"41"	"13"	"25"	"33"	""	"46"	""	"116"	"28"	"20"	""	"247"	""	"37"	""	"33"	"61"	""	"46"	""	"75"	""	"48"	""	"61"	""	"12"	"56"	""	"7"	"26"	"34"	"99"	""	"34"	""	"72"	""	"57375"	""	""
"266"	"126"	""	""	""	""	""	"92"	""	"182"	""	"97"	""	"6"	""	"1"	""	"0"	"6"	"4"	"8"	""	"75"	""	"5"	"2"	"3"	""	"87"	""	"17"	""	"0"	"11"	""	"7"	""	"3"	""	"5"	""	"7"	""	"5"	"3"	""	"6"	"6"	"6"	"5"	""	"3"	""	"10"	""	"662"	""	""
"267"	"127"	""	""	""	""	""	"68"	""	"372"	""	"129"	""	"10"	""	"6"	""	"2"	"3"	"5"	"2"	""	"6"	""	"1"	"2"	"2"	""	"9"	""	"8"	""	"9"	"10"	""	"11"	""	"11"	""	"5"	""	"7"	""	"4"	"2"	""	"2"	"0"	"8"	"3"	""	"4"	""	"14"	""	"715"	""	""
"268"	"128"	""	""	""	""	""	"212"	""	"29"	""	"31"	""	"131"	""	"4"	""	"3"	"1"	"7"	"4"	""	"1"	""	"3"	"1"	"0"	""	"15"	""	"6"	""	"7"	"6"	""	"2"	""	"2"	""	"2"	""	"0"	""	"1"	"3"	""	"2"	"2"	"0"	"1"	""	"2"	""	"0"	""	"478"	""	""
"269"	"129"	""	""	""	""	""	"368"	""	"68"	""	"27"	""	"23"	""	"4"	""	"2"	"5"	"1"	"2"	""	"5"	""	"3"	"1"	"1"	""	"30"	""	"1"	""	"2"	"3"	""	"2"	""	"0"	""	"1"	""	"0"	""	"0"	"1"	""	"0"	"0"	"0"	"0"	""	"0"	""	"1"	""	"551"	""	""
"270"	"130"	""	""	""	""	""	"7"	""	"44"	""	"132"	""	"4"	""	"1"	""	"2"	"0"	"1"	"0"	""	"5"	""	"4"	"0"	"1"	""	"47"	""	"4"	""	"1"	"5"	""	"1"	""	"1"	""	"2"	""	"1"	""	"2"	"5"	""	"3"	"2"	"0"	"1"	""	"1"	""	"4"	""	"281"	""	""
"271"	"131"	""	""	""	""	""	"104"	""	"45"	""	"397"	""	"7"	""	"2"	""	"3"	"6"	"6"	"6"	""	"2"	""	"4"	"7"	"2"	""	"41"	""	"6"	""	"1"	"12"	""	"5"	""	"3"	""	"3"	""	"2"	""	"2"	"5"	""	"3"	"5"	"16"	"9"	""	"5"	""	"15"	""	"724"	""	""
"272"	"132"	""	""	""	""	""	"29"	""	"202"	""	"346"	""	"7"	""	"7"	""	"1"	"2"	"6"	"6"	""	"1"	""	"2"	"3"	"4"	""	"64"	""	"2"	""	"7"	"8"	""	"3"	""	"4"	""	"4"	""	"4"	""	"0"	"1"	""	"3"	"16"	"6"	"2"	""	"4"	""	"4"	""	"748"	""	""
"273"	"133"	""	""	""	""	""	"199"	""	"56"	""	"3"	""	"4"	""	"0"	""	"0"	"0"	"1"	"0"	""	"1"	""	"0"	"0"	"1"	""	"2"	""	"0"	""	"0"	"0"	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	"8"	""	"0"	"0"	"0"	"2"	""	"0"	""	"3"	""	"282"	""	""
"274"	"134"	""	""	""	""	""	"14"	""	"195"	""	"95"	""	"5"	""	"1"	""	"0"	"2"	"1"	"3"	""	"5"	""	"3"	"5"	"3"	""	"20"	""	"15"	""	"6"	"3"	""	"12"	""	"7"	""	"5"	""	"7"	""	"0"	"0"	""	"0"	"1"	"3"	"5"	""	"8"	""	"3"	""	"427"	""	""
"275"	"135"	""	""	""	""	""	"8"	""	"79"	""	"100"	""	"0"	""	"1"	""	"1"	"3"	"4"	"2"	""	"0"	""	"2"	"5"	"6"	""	"24"	""	"16"	""	"5"	"6"	""	"4"	""	"3"	""	"4"	""	"1"	""	"1"	"0"	""	"1"	"4"	"5"	"0"	""	"2"	""	"2"	""	"289"	""	""
"276"	"136"	""	""	""	""	""	"28"	""	"118"	""	"152"	""	"15"	""	"5"	""	"1"	"7"	"3"	"4"	""	"8"	""	"8"	"6"	"5"	""	"125"	""	"13"	""	"5"	"19"	""	"11"	""	"10"	""	"13"	""	"7"	""	"1"	"3"	""	"8"	"13"	"13"	"14"	""	"10"	""	"17"	""	"642"	""	""
"277"	"137"	""	""	""	""	""	"6"	""	"131"	""	"89"	""	"5"	""	"5"	""	"23"	"1"	"2"	"9"	""	"0"	""	"2"	"4"	"0"	""	"30"	""	"3"	""	"1"	"10"	""	"21"	""	"8"	""	"12"	""	"6"	""	"2"	"4"	""	"4"	"103"	"10"	"6"	""	"3"	""	"14"	""	"514"	""	""
"278"	"138"	""	""	""	""	""	"95"	""	"237"	""	"155"	""	"5"	""	"3"	""	"0"	"1"	"1"	"1"	""	"1"	""	"0"	"0"	"1"	""	"22"	""	"4"	""	"0"	"7"	""	"6"	""	"4"	""	"4"	""	"4"	""	"1"	"1"	""	"4"	"1"	"4"	"7"	""	"2"	""	"4"	""	"575"	""	""
"279"	"139"	""	""	""	""	""	"16"	""	"252"	""	"191"	""	"5"	""	"2"	""	"2"	"0"	"31"	"3"	""	"5"	""	"1"	"3"	"3"	""	"62"	""	"3"	""	"5"	"3"	""	"6"	""	"4"	""	"3"	""	"5"	""	"4"	"10"	""	"4"	"17"	"4"	"3"	""	"3"	""	"11"	""	"661"	""	""
"280"	"Round"	""	""	""	""	""	"1246"	""	"2010"	""	"1944"	""	"227"	""	"42"	""	"40"	"37"	"73"	"50"	""	"115"	""	"38"	"39"	"32"	""	"578"	""	"98"	""	"49"	"103"	""	"92"	""	"60"	""	"63"	""	"52"	""	"23"	"46"	""	"40"	"170"	"75"	"58"	""	"47"	""	"102"	""	"64924"	""	""
"281"	"140"	""	""	""	""	""	"26"	""	"437"	""	"149"	""	"2"	""	"0"	""	"1"	"0"	"3"	"4"	""	"5"	""	"1"	"1"	"0"	""	"103"	""	"5"	""	"4"	"3"	""	"5"	""	"5"	""	"3"	""	"4"	""	"1"	"1"	""	"2"	"0"	"2"	"0"	""	"2"	""	"3"	""	"772"	""	""
"282"	"141"	""	""	""	""	""	"99"	""	"230"	""	"50"	""	"1"	""	"1"	""	"1"	"2"	"3"	"3"	""	"1"	""	"2"	"1"	"1"	""	"14"	""	"10"	""	"8"	"20"	""	"11"	""	"7"	""	"2"	""	"4"	""	"5"	"3"	""	"17"	"5"	"12"	"4"	""	"7"	""	"18"	""	"542"	""	""
"283"	"142"	""	""	""	""	""	"30"	""	"14"	""	"212"	""	"4"	""	"0"	""	"5"	"3"	"7"	"7"	""	"1"	""	"3"	"4"	"2"	""	"30"	""	"1"	""	"2"	"2"	""	"3"	""	"4"	""	"2"	""	"0"	""	"0"	"0"	""	"2"	"3"	"4"	"2"	""	"0"	""	"3"	""	"350"	""	""
"284"	"143"	""	""	""	""	""	"84"	""	"94"	""	"38"	""	"8"	""	"5"	""	"5"	"0"	"0"	"0"	""	"2"	""	"60"	"0"	"1"	""	"24"	""	"1"	""	"9"	"17"	""	"6"	""	"8"	""	"4"	""	"26"	""	"5"	"2"	""	"7"	"8"	"6"	"24"	""	"3"	""	"12"	""	"459"	""	""
"285"	"144"	""	""	""	""	""	"35"	""	"127"	""	"49"	""	"4"	""	"2"	""	"8"	"0"	"3"	"5"	""	"4"	""	"44"	"1"	"6"	""	"68"	""	"7"	""	"4"	"13"	""	"6"	""	"32"	""	"2"	""	"10"	""	"3"	"3"	""	"2"	"5"	"2"	"4"	""	"4"	""	"4"	""	"457"	""	""
"286"	"145"	""	""	""	""	""	"67"	""	"13"	""	"32"	""	"1"	""	"0"	""	"1"	"1"	"2"	"5"	""	"2"	""	"121"	"4"	"2"	""	"30"	""	"2"	""	"4"	"1"	""	"0"	""	"1"	""	"1"	""	"1"	""	"3"	"8"	""	"0"	"3"	"1"	"2"	""	"0"	""	"1"	""	"309"	""	""
"287"	"146"	""	""	""	""	""	"15"	""	"122"	""	"25"	""	"1"	""	"3"	""	"4"	"3"	"0"	"10"	""	"3"	""	"370"	"3"	"0"	""	"8"	""	"3"	""	"3"	"6"	""	"0"	""	"6"	""	"3"	""	"4"	""	"5"	"0"	""	"3"	"4"	"0"	"9"	""	"1"	""	"3"	""	"617"	""	""
"288"	"147"	""	""	""	""	""	"10"	""	"26"	""	"63"	""	"2"	""	"2"	""	"6"	"0"	"1"	"2"	""	"4"	""	"152"	"3"	"2"	""	"7"	""	"2"	""	"3"	"8"	""	"2"	""	"4"	""	"2"	""	"2"	""	"3"	"2"	""	"3"	"7"	"2"	"5"	""	"1"	""	"0"	""	"326"	""	""
"289"	"148"	""	""	""	""	""	"33"	""	"73"	""	"41"	""	"5"	""	"2"	""	"3"	"0"	"3"	"7"	""	"0"	""	"194"	"2"	"2"	""	"7"	""	"1"	""	"1"	"1"	""	"0"	""	"1"	""	"1"	""	"1"	""	"1"	"1"	""	"0"	"5"	"0"	"0"	""	"0"	""	"1"	""	"386"	""	""
"290"	"149"	""	""	""	""	""	"217"	""	"145"	""	"154"	""	"5"	""	"1"	""	"2"	"3"	"6"	"6"	""	"4"	""	"63"	"2"	"6"	""	"17"	""	"3"	""	"7"	"15"	""	"6"	""	"7"	""	"13"	""	"5"	""	"11"	"16"	""	"7"	"13"	"5"	"13"	""	"2"	""	"18"	""	"772"	""	""
"291"	"150"	""	""	""	""	""	"328"	""	"81"	""	"42"	""	"2"	""	"4"	""	"5"	"3"	"6"	"7"	""	"3"	""	"122"	"3"	"6"	""	"34"	""	"6"	""	"7"	"5"	""	"2"	""	"7"	""	"4"	""	"4"	""	"1"	"8"	""	"1"	"2"	"0"	"3"	""	"0"	""	"2"	""	"698"	""	""
"292"	"151"	""	""	""	""	""	"69"	""	"49"	""	"162"	""	"4"	""	"3"	""	"4"	"6"	"3"	"3"	""	"2"	""	"14"	"1"	"3"	""	"29"	""	"12"	""	"7"	"1"	""	"0"	""	"11"	""	"0"	""	"0"	""	"4"	"1"	""	"0"	"0"	"1"	"1"	""	"0"	""	"0"	""	"390"	""	""
"293"	"151"	""	""	"A"	""	""	"230"	""	"109"	""	"83"	""	"6"	""	"0"	""	"0"	"2"	"6"	"0"	""	"2"	""	"8"	"5"	"14"	""	"0"	""	"1"	""	"4"	"4"	""	"2"	""	"3"	""	"0"	""	"2"	""	"0"	"9"	""	"0"	"1"	"1"	"1"	""	"1"	""	"4"	""	"498"	""	""
"294"	"152"	""	""	""	""	""	"261"	""	"106"	""	"230"	""	"3"	""	"5"	""	"4"	"1"	"2"	"3"	""	"0"	""	"13"	"1"	"5"	""	"5"	""	"2"	""	"1"	"2"	""	"1"	""	"15"	""	"2"	""	"2"	""	"0"	"31"	""	"0"	"1"	"1"	"1"	""	"1"	""	"1"	""	"700"	""	""
"295"	"Round"	""	""	""	""	""	"1504"	""	"1626"	""	"1330"	""	"48"	""	"28"	""	"49"	"24"	"45"	"62"	""	"33"	""	"1167"	"31"	"50"	""	"376"	""	"56"	""	"64"	"98"	""	"44"	""	"111"	""	"39"	""	"65"	""	"42"	"85"	""	"44"	"57"	"37"	"69"	""	"22"	""	"70"	""	"72200"	""	""
"296"	"153"	""	""	""	""	""	"6"	""	"38"	""	"49"	""	"1"	""	"1"	""	"3"	"0"	"0"	"3"	""	"0"	""	"12"	"0"	"2"	""	"3"	""	"2"	""	"0"	"4"	""	"1"	""	"1"	""	"3"	""	"7"	""	"0"	"0"	""	"0"	"2"	"3"	"1"	""	"0"	""	"1"	""	"143"	""	""
"297"	"154"	""	""	""	""	""	"19"	""	"118"	""	"258"	""	"4"	""	"5"	""	"3"	"1"	"4"	"3"	""	"2"	""	"19"	"1"	"3"	""	"29"	""	"0"	""	"6"	"9"	""	"4"	""	"4"	""	"2"	""	"3"	""	"2"	"1"	""	"0"	"0"	"4"	"3"	""	"4"	""	"3"	""	"514"	""	""
"298"	"155"	""	""	""	""	""	"58"	""	"74"	""	"206"	""	"20"	""	"6"	""	"5"	"0"	"4"	"3"	""	"2"	""	"112"	"6"	"1"	""	"7"	""	"6"	""	"8"	"3"	""	"3"	""	"3"	""	"0"	""	"8"	""	"2"	"3"	""	"2"	"5"	"2"	"17"	""	"0"	""	"1"	""	"567"	""	""
"299"	"0"	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"0"	"653"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"0"	"422"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"0"	"566"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"0"	"529"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"0"	"373"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"0"	"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"0"	"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"0"	"435"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"0"	"598"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"0"	"336"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"0"	"583"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"0"	"57375"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"0"	"662"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"0"	"715"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"0"	"478"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"0"	"551"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"0"	"281"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"0"	"724"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"0"	"748"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"0"	"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"0"	"427"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"0"	"289"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"0"	"642"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"0"	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"0"	"575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"0"	"661"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"0"	"64924"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"0"	"772"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"0"	"542"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"0"	"350"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"0"	"459"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"0"	"457"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"0"	"309"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"0"	"617"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"0"	"326"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"0"	"386"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"0"	"772"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"0"	"698"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"0"	"390"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"0"	"498"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"0"	"700"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"0"	"72200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"0"	"143"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"0"	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"0"	"567"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"156"	""	""	""	""	""	"103"	""	"196"	""	"171"	""	"7"	""	"5"	""	"2"	"3"	"4"	"5"	""	"27"	""	"7"	"2"	"4"	""	"65"	""	"28"	""	"5"	"13"	""	"6"	""	"5"	""	"2"	""	"4"	""	"0"	"1"	""	"4"	"5"	"9"	"3"	""	"3"	""	"13"	""	"702"	""	""
"346"	"157"	""	""	""	""	""	"107"	""	"223"	""	"52"	""	"1"	""	"2"	""	"0"	"2"	"0"	"3"	""	"2"	""	"0"	"1"	"1"	""	"13"	""	"8"	""	"8"	"5"	""	"2"	""	"1"	""	"4"	""	"2"	""	"0"	"2"	""	"3"	"4"	"1"	"1"	""	"0"	""	"2"	""	"450"	""	""
"347"	"158"	""	""	""	""	""	"184"	""	"82"	""	"225"	""	"2"	""	"1"	""	"2"	"1"	"3"	"2"	""	"4"	""	"1"	"2"	"2"	""	"7"	""	"2"	""	"1"	"4"	""	"0"	""	"1"	""	"2"	""	"2"	""	"1"	"1"	""	"3"	"0"	"3"	"1"	""	"0"	""	"5"	""	"544"	""	""
"348"	"159"	""	""	""	""	""	"66"	""	"134"	""	"86"	""	"3"	""	"1"	""	"0"	"1"	"0"	"4"	""	"8"	""	"13"	"4"	"2"	""	"106"	""	"8"	""	"3"	"6"	""	"0"	""	"1"	""	"0"	""	"13"	""	"0"	"1"	""	"2"	"3"	"3"	"6"	""	"0"	""	"0"	""	"474"	""	""
"349"	"160"	""	""	""	""	""	"121"	""	"190"	""	"126"	""	"3"	""	"1"	""	"2"	"0"	"1"	"0"	""	"2"	""	"3"	"2"	"1"	""	"5"	""	"12"	""	"4"	"5"	""	"5"	""	"4"	""	"3"	""	"4"	""	"0"	"1"	""	"1"	"0"	"1"	"2"	""	"1"	""	"5"	""	"505"	""	""
"350"	"161"	""	""	""	""	""	"152"	""	"286"	""	"66"	""	"1"	""	"1"	""	"2"	"0"	"1"	"3"	""	"10"	""	"1"	"2"	"0"	""	"24"	""	"0"	""	"6"	"5"	""	"3"	""	"0"	""	"7"	""	"5"	""	"4"	"0"	""	"1"	"1"	"2"	"1"	""	"1"	""	"7"	""	"592"	""	""
"351"	"162"	""	""	""	""	""	"178"	""	"105"	""	"58"	""	"1"	""	"1"	""	"1"	"1"	"0"	"0"	""	"1"	""	"16"	"0"	"4"	""	"28"	""	"3"	""	"0"	"5"	""	"8"	""	"6"	""	"4"	""	"4"	""	"0"	"10"	""	"4"	"1"	"6"	"1"	""	"2"	""	"2"	""	"450"	""	""
"352"	"162"	""	""	"A"	""	""	"52"	""	"80"	""	"148"	""	"4"	""	"2"	""	"3"	"1"	"2"	"2"	""	"0"	""	"10"	"2"	"2"	""	"27"	""	"15"	""	"3"	"7"	""	"5"	""	"2"	""	"7"	""	"4"	""	"0"	"4"	""	"2"	"2"	"5"	"2"	""	"4"	""	"4"	""	"401"	""	""
"353"	"163"	""	""	""	""	""	"81"	""	"81"	""	"268"	""	"2"	""	"0"	""	"2"	"0"	"1"	"2"	""	"0"	""	"25"	"0"	"1"	""	"3"	""	"8"	""	"2"	"5"	""	"2"	""	"2"	""	"3"	""	"2"	""	"0"	"17"	""	"1"	"3"	"3"	"17"	""	"3"	""	"4"	""	"538"	""	""
