"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X261312.83.261395.39.Phulparas"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"374"	"254"	"43"	"127"	"16"	"11"	"271"	"19"	"16"	"5"	"2"	"3"	"4"	"5"	"0"	"21"	"1"	"2"	"1"	"30"	"6"	"1"	"584"	""	"584"	""
"375"	"255"	"21"	"217"	"5"	"15"	"96"	"10"	"10"	"4"	"4"	"10"	"12"	"15"	"4"	"5"	"18"	"12"	"4"	"78"	"3"	"7"	"550"	""	"550"	""
"376"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"377"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"378"	"Total -19"	"275"	"1215"	"116"	"113"	"2037"	"120"	"140"	"147"	"248"	"119"	"134"	"97"	"57"	"182"	"104"	"176"	"88"	"171"	"42"	"172"	"5753"	"0"	"5753"	"0"
"379"	""	""	""	""	""	""	"261312+83=261395
39-Phulparas"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"381"	""	"Anita Yadav"	"Guljar Devi"	"Gauri Shankar Yadav"	"Vikram Shila Devi"	"Virendra Kumar Chaudhary"	"Hitendra Narayan Thakur"	"Upendra Kumar Yadav"	"Md. Ainul"	"Chandra Shekhar Suman"	"Ram Kumar Yadav"	"Laleshwar Prasad Singh"	"Shekharjee Mishra"	"Ganga Prasad Yadav"	"Deo Nath Deon"	"Babue Lal Yadav"	"Bharat Bhushan Mandal"	"Mrityunjay Yadav"	"Ram Narayan Mandal"	"Vijay Kumar Jha"	"Satya Narayan Agrawal"	""	""	""	""
"382"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"383"	"Total No. of votes recorded at Polling stations"	"4677"	"36112"	"2316"	"3358"	"23769"	"5544"	"5416"	"1521"	"1007"	"6437"	"4035"	"1195"	"1324"	"2099"	"1567"	"6477"	"1785"	"8066"	"960"	"9108"	"126773"	"0"	"126773"	"0"
"384"	"No. of Votes recorded on postal ballot papers"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"5"	""
"385"	"TOTAL VOTES POLLED"	"4677"	"36113"	"2316"	"3358"	"23769"	"5544"	"5416"	"1521"	"1007"	"6437"	"4035"	"1195"	"1324"	"2099"	"1567"	"6477"	"1785"	"8066"	"960"	"9108"	"126774"	"4"	"126778"	"0"
