"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"
"325"	"I"	""	""	"2"	""	""	""	"j"	""	""	"4"	""	""	":,"	""	""	"()"	""	""	""	"7"	""	""	""	"lS"	""	""	"':}"	""	""	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	"I'.>"	""	""	""	""	""	""
"326"	"200"	""	""	"10"	""	""	""	"10"	""	""	"97"	""	""	"16"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"7"	""	""	""	"0"	""	"1"	""	"18"	""	"0"	""	"1"	""	"162"	""	""	""	""	""	""
"327"	"201"	""	""	"2"	""	""	""	"50"	""	""	"67"	""	""	"43"	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	"8"	""	""	""	"1"	""	"5"	""	"145"	""	"3"	""	"2"	""	"332"	""	""	""	""	""	""
"328"	"202"	""	""	"5"	""	""	""	"314"	""	""	"3"	""	""	"3"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"325"	""	""	""	""	""	""
"329"	"203"	""	""	"34"	""	""	""	"117"	""	""	"149"	""	""	"25"	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	"1"	""	"6"	""	"0"	""	"0"	""	"337"	""	""	""	""	""	""
"330"	"204"	""	""	"89"	""	""	""	"26"	""	""	"42"	""	""	"5"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"4"	""	""	""	"0"	""	"0"	""	"112"	""	"1"	""	"1"	""	"280"	""	""	""	""	""	""
"331"	"205"	""	""	"5"	""	""	""	"61"	""	""	"98"	""	""	"9"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	"0"	""	"1"	""	"1"	""	"5"	""	"183"	""	""	""	""	""	""
"332"	"206"	""	""	"2"	""	""	""	"28"	""	""	"84"	""	""	"28"	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	"6"	""	""	""	"1"	""	"1"	""	"22"	""	"1"	""	"2"	""	"178"	""	""	""	""	""	""
"333"	"207"	""	""	"45"	""	""	""	"18"	""	""	"214"	""	""	"15"	""	""	"1"	""	""	""	"4"	""	""	""	"4"	""	""	"8"	""	""	""	"1"	""	"3"	""	"62"	""	"3"	""	"1"	""	"379"	""	""	""	""	""	""
"334"	"208"	""	""	"15"	""	""	""	"56"	""	""	"101"	""	""	"53"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	"0"	""	"0"	""	"1"	""	"4"	""	"233"	""	""	""	""	""	""
"335"	"209"	""	""	"14"	""	""	""	"18"	""	""	"47"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"3"	""	""	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	"84"	""	""	""	""	""	""
"336"	"210"	""	""	"9"	""	""	""	"58"	""	""	"135"	""	""	"22"	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	"5"	""	""	""	"3"	""	"2"	""	"79"	""	"1"	""	"3"	""	"321"	""	""	""	""	""	""
"337"	"211"	""	""	"26"	""	""	""	"70"	""	""	"73"	""	""	"147"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	"10"	""	""	""	"1"	""	"0"	""	"4"	""	"5"	""	"3"	""	"342"	""	""	""	""	""	""
"338"	"212"	""	""	"6"	""	""	""	"17"	""	""	"132"	""	""	"8"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"3"	""	""	""	"0"	""	"0"	""	"7"	""	"2"	""	"0"	""	"176"	""	""	""	""	""	""
"339"	"213"	""	""	"5"	""	""	""	"232"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"240"	""	""	""	""	""	""
"340"	"214"	""	""	"2"	""	""	""	"59"	""	""	"174"	""	""	"13"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"1"	""	"93"	""	"0"	""	"0"	""	"345"	""	""	""	""	""	""
"341"	"215"	""	""	"1"	""	""	""	"108"	""	""	"33"	""	""	"31"	""	""	"0"	""	""	""	"7"	""	""	""	"0"	""	""	"1"	""	""	""	"58"	""	"0"	""	"2"	""	"2"	""	"2"	""	"245"	""	""	""	""	""	""
"342"	"216"	""	""	"30"	""	""	""	"52"	""	""	"108"	""	""	"4"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	"0"	""	"3"	""	"0"	""	"0"	""	"199"	""	""	""	""	""	""
"343"	"217"	""	""	"5"	""	""	""	"37"	""	""	"16"	""	""	"102"	""	""	"2"	""	""	""	"4"	""	""	""	"3"	""	""	"4"	""	""	""	"1"	""	"0"	""	"51"	""	"4"	""	"1"	""	"230"	""	""	""	""	""	""
"344"	"218"	""	""	"20"	""	""	""	"1"	""	""	"10"	""	""	"13"	""	""	"2"	""	""	""	"0"	""	""	""	"4"	""	""	"5"	""	""	""	"135"	""	"5"	""	"2"	""	"1"	""	"1"	""	"199"	""	""	""	""	""	""
"345"	"219"	""	""	"6"	""	""	""	"75"	""	""	"51"	""	""	"30"	""	""	"0"	""	""	""	"13"	""	""	""	"0"	""	""	"2"	""	""	""	"35"	""	"0"	""	"1"	""	"0"	""	"0"	""	"213"	""	""	""	""	""	""
"346"	"220"	""	""	"41"	""	""	""	"180"	""	""	"91"	""	""	"67"	""	""	"0"	""	""	""	"17"	""	""	""	"0"	""	""	"2"	""	""	""	"2"	""	"1"	""	"0"	""	"0"	""	"2"	""	"403"	""	""	""	""	""	""
"347"	"221"	""	""	"2"	""	""	""	"57"	""	""	"35"	""	""	"5"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"100"	""	""	""	""	""	""
"348"	"222"	""	""	"5"	""	""	""	"190"	""	""	"88"	""	""	"69"	""	""	"0"	""	""	""	"6"	""	""	""	"0"	""	""	"4"	""	""	""	"0"	""	"1"	""	"10"	""	"1"	""	"1"	""	"375"	""	""	""	""	""	""
"349"	"223"	""	""	"20"	""	""	""	"140"	""	""	"63"	""	""	"95"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	"3"	""	""	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"325"	""	""	""	""	""	""
"350"	"224"	""	""	"10"	""	""	""	"86"	""	""	"148"	""	""	"33"	""	""	"2"	""	""	""	"4"	""	""	""	"2"	""	""	"8"	""	""	""	"2"	""	"2"	""	"6"	""	"0"	""	"0"	""	"303"	""	""	""	""	""	""
"351"	"225"	""	""	"17"	""	""	""	"51"	""	""	"220"	""	""	"43"	""	""	"1"	""	""	""	"5"	""	""	""	"0"	""	""	"6"	""	""	""	"1"	""	"0"	""	"6"	""	"3"	""	"5"	""	"358"	""	""	""	""	""	""
"352"	"226"	""	""	"39"	""	""	""	"237"	""	""	"111"	""	""	"56"	""	""	"3"	""	""	""	"5"	""	""	""	"1"	""	""	"2"	""	""	""	"2"	""	"3"	""	"3"	""	"2"	""	"4"	""	"468"	""	""	""	""	""	""
"353"	"227"	""	""	"3"	""	""	""	"236"	""	""	"3"	""	""	"5"	""	""	"{)"	""	""	""	"8"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"257"	""	""	""	""	""	""
"354"	"228"	""	""	"26"	""	""	""	"45"	""	""	"76"	""	""	"80"	""	""	"1 ' 4"	""	""	""	""	""	""	""	"0"	""	""	"9"	""	""	""	"1"	""	"0"	""	"1"	""	"1"	""	"0"	""	"244"	""	""	""	""	""	""
"355"	"2 9"	""	""	"12"	""	""	""	"81"	""	""	"62"	""	""	"147"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	"3"	""	"1"	""	"1"	""	"308"	""	""	""	""	""	""
"356"	"230"	""	""	"2"	""	""	""	"181"	""	""	"124"	""	""	"33"	""	""	"2"	""	""	""	"11"	""	""	""	"1"	""	""	"8"	""	""	""	"2"	""	"1"	""	"5"	""	"0"	""	"3"	""	"373"	""	""	""	""	""	""
"357"	"231"	""	""	"7"	""	""	""	"231"	""	""	"10"	""	""	"3"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	"0"	""	"1"	""	"1"	""	"1"	""	"255"	""	""	""	""	""	""
"358"	"232"	""	""	""	""	"5"	""	"196"	""	""	"6"	""	""	"1"	""	""	"1"	""	""	""	"·
0"	""	""	""	",
2"	""	""	"0"	""	""	""	"0"	""	"1"	""	"1"	""	"0"	""	"0"	""	"213"	""	""	""	""	""	""
"359"	"23"	""	""	""	""	"6"	""	"196"	""	""	"7"	""	""	"89"	""	""	"3"	""	""	""	"2"	""	""	""	"6"	""	""	"1"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"2"	""	"312"	""	""	""	""	""	""
"360"	"234"	""	""	"."	""	""	""	"116"	""	""	"84"	""	""	"71"	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	"3"	""	""	""	"3"	""	"0"	""	"2"	""	"1"	""	"3"	""	"309"	""	""	""	""	""	""
"361"	"235"	""	""	"·"	""	"5"	""	"42"	""	""	"20"	""	""	"29"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	"0"	""	"2"	""	"0"	""	"2"	""	"103"	""	""	""	""	""	""
"362"	"236"	""	""	"1"	""	""	""	"137"	""	""	"18"	""	""	"3"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	""	"6"	""	"0"	""	"13"	""	"1"	""	"0"	""	"183"	""	""	""	""	""	""
"363"	"237"	""	""	"13"	""	""	""	"25"	""	""	"19"	""	""	"168"	""	""	"1"	""	""	""	"38"	""	""	""	"1"	""	""	"5"	""	""	""	"1"	""	"1"	""	"12"	""	"0"	""	"0"	""	"284"	""	""	""	""	""	""
"364"	"238"	""	""	"4"	""	""	""	"347"	""	""	"72"	""	""	"133"	""	""	"3"	""	""	""	"2"	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"1"	""	"564"	""	""	""	""	""	""
"365"	"239"	""	""	"1"	""	""	""	"4"	""	""	"175"	""	""	"19"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"202"	""	""	""	""	""	""
"366"	"240"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	""	""	""	""
"367"	"241"	""	""	"4"	""	""	""	"104"	""	""	"176"	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"288"	""	""	""	""	""	""
"368"	"242"	""	""	"9"	""	""	""	"48"	""	""	"33"	""	""	"2"	""	""	"0"	""	""	""	"13"	""	""	""	"1"	""	""	"5"	""	""	""	"1"	""	"0"	""	"32"	""	"2"	""	"0"	""	"146"	""	""	""	""	""	""
"369"	"243"	""	""	"18"	""	""	""	"268"	""	""	"5"	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	"1"	""	"0"	""	"0"	""	"0"	""	"298"	""	""	""	""	""	""
"370"	"244"	""	""	"22"	""	""	""	"40"	""	""	"278"	""	""	"21"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"363"	""	""	""	""	""	""
"371"	"245"	""	""	"2"	""	""	""	"166"	""	""	"6"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"175"	""	""	""	""	""	""
"372"	"246"	""	""	"8"	""	""	""	"147"	""	""	"96"	""	""	"86"	""	""	"3"	""	""	""	"8"	""	""	""	"1"	""	""	"7"	""	""	""	"1"	""	"1"	""	"4"	""	"0"	""	"3"	""	"365"	""	""	""	""	""	""
"373"	"247"	""	""	"15"	""	""	""	"40"	""	""	"151"	""	""	"5"	""	""	"1"	""	""	""	"4"	""	""	""	"0"	""	""	"5"	""	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"223"	""	""	""	""	""	""
"374"	"248"	""	""	"17"	""	""	""	"84"	""	""	"232"	""	""	"8"	""	""	"1"	""	""	""	"4"	""	""	""	"1"	""	""	"6"	""	""	""	"4"	""	"2"	""	"8"	""	"2"	""	"5"	""	"374"	""	""	""	""	""	""
"375"	"249"	""	""	"14"	""	""	""	"319"	""	""	"68"	""	""	"29"	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	"0"	""	"- 0"	""	"0"	""	"1"	""	"436"	""	""	""	""	""	""
"376"	"250"	""	""	"11"	""	""	""	"109"	""	""	"103"	""	""	"127"	""	""	"5"	""	""	""	"3"	""	""	""	"3"	""	""	"11"	""	""	""	"21"	""	"2"	""	"0"	""	"2"	""	"0"	""	"397"	""	""	""	""	""	""
"377"	"251"	""	""	"9"	""	""	""	"37"	""	""	"2"	""	""	"140"	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	"3"	""	""	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"197"	""	""	""	""	""	""
"378"	"Total:"	""	""	"2977"	""	""	""	"25235"	""	""	"24199"	""	""	"14295"	""	""	"338"	""	""	""	"1418"	""	""	""	"276"	""	""	"724"	""	""	""	"2853"	""	"231"	""	"3137"	""	"203"	""	"415"	""	"76301 I"	""	""	""	""	""	""
"379"	"-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"Date: 16/05/2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	".-             oq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	".   Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"RET LRN11 JC'  -\" Fr/C ER   v"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"·n.gYAR PARL  J.\"EN1AR { CONSTITUENC '"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"/"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics  Centre,Bihar                                                                                                                            Page 4 of 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33·BUXAR CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"Parliament Constituency :33---BUXAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"Assembly Constituency :210---Dinara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"Form-20  (Part-1-B)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"No of Voters :229181"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"Candidates Name
----->
BOOTH NO
:
I I I
v"	""	"E
c:,  ,-..
.::: <
I
\"O.      I
c,s   t:
.. ec,:s.
.£
.Ccl) .<..;i
.=e= foo-
fo-"	""	""	""	""	"No of valid votes caste in favour <lf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-m
0
>
:5?
\"iii
0
I-"	""	""	""	""	""
"397"	""	""	""	""	""	""	""	"0
:c
(!)
ezn
<..,"	""	""	""	":c
(!)
zen z
<(
0
<(
0"	""	""	">w
0
m
a."	""	""	"!::
0
z
<(
a.
z
:3
:::,
:c
a."	""	""	""	";z
fl)
0
z.w.,"	""	""	""	"z
<z(
a.
:::,
a:
z
:3
..J  I-
::3"	""	""	"z
<(
:c
(.)
>::;:"	""	""	""	"a:
<(
::::E
:::,
::,i::  >-
z w
::::, m
::::,
U> O"	""	"«
:::,
::,i::
0  -
faf:i <(
:::, :c U> UI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"I"	""	"IS"	""	""	""	""	"16"	""	""	""	"17"	""	""	"18"	""	""	"19"	""	""	""	":.w"	""	""	""	"21"	""	""	"U> 22"	""	""	""	"23"	""	"24"	""	"L:>"	""	"LO"	""	"27"	""	"28"	""	""	""	""	""
"399"	"1"	""	"536"	""	""	""	""	"4"	""	""	""	"163"	""	""	"6"	""	""	"2"	""	""	""	"0"	""	""	""	"3"	""	""	"0"	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"711"	""	""	""	""	""
"400"	"2"	""	"306"	""	""	""	""	"1"	""	""	""	"129"	""	""	"5"	""	""	"5"	""	""	""	"2"	""	""	""	"1"	""	""	"2"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"451"	""	""	""	""	""
"401"	"3"	""	"210"	""	""	""	""	"3"	""	""	""	"142"	""	""	"12"	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	"1"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"371"	""	""	""	""	""
"402"	"4"	""	"312"	""	""	""	""	"5"	""	""	""	"43"	""	""	"5"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"1"	""	""	""	""	""	""	""	"36!"	""	""	""	""	""
"403"	"5"	""	"409"	""	""	""	""	"3"	""	""	""	"38"	""	""	"14"	""	""	"0"	""	""	""	"3"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	"0"	""	""	""	""	""	""	""	"471"	""	""	""	""	""
"404"	"6"	""	"215"	""	""	""	""	"3"	""	""	""	"84"	""	""	"9"	""	""	"4"	""	""	""	"4"	""	""	""	"0"	""	""	"2"	""	""	""	"1"	""	"4"	""	""	""	""	""	""	""	"321"	""	""	""	""	""
"405"	"7"	""	"154"	""	""	""	""	"3"	""	""	""	"159"	""	""	"5"	""	""	"1"	""	""	""	"3"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"1"	""	""	""	""	""	""	""	"321"	""	""	""	""	""
"406"	"8"	""	"343"	""	""	""	""	"6"	""	""	""	"111"	""	""	"18"	""	""	"6"	""	""	""	"7"	""	""	""	"17"	""	""	"8"	""	""	""	"3"	""	"7"	""	""	""	""	""	""	""	"521"	""	""	""	""	""
"407"	"9"	""	"263 '"	""	""	""	""	"1"	""	""	""	"79"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"341"	""	""	""	""	""
"408"	"10"	""	"313"	""	""	""	""	"4"	""	""	""	"79"	""	""	"6"	""	""	"1"	""	""	""	"2"	""	""	""	"14"	""	""	"11"	""	""	""	"2"	""	"3"	""	""	""	""	""	""	""	"43i"	""	""	""	""	""
"409"	"11"	""	"223"	""	""	""	""	"2"	""	""	""	"120"	""	""	"3"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"5"	""	""	""	""	""	""	""	"35•"	""	""	""	""	""
"410"	"12"	""	"285"	""	""	""	""	"1"	""	""	""	"36"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"32"	""	""	""	""	""
"411"	"13"	""	"257"	""	""	""	""	"1"	""	""	""	"49"	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"31("	""	""	""	""	""
"412"	"14"	""	"270"	""	""	""	""	"4"	""	""	""	"262"	""	""	"6"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"1"	""	""	""	""	""	""	""	"54<"	""	""	""	""	""
"413"	"15"	""	"231"	""	""	""	""	"2"	""	""	""	"130"	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"5"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"37("	""	""	""	""	""
"414"	"16"	""	"167"	""	""	""	""	"3"	""	""	""	"55"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"22i"	""	""	""	""	""
"415"	"17"	""	"233"	""	""	""	""	"8"	""	""	""	"96"	""	""	"6"	""	""	"2"	""	""	""	"2"	""	""	""	"6"	""	""	"1"	""	""	""	"1"	""	"2"	""	""	""	""	""	""	""	"35i"	""	""	""	""	""
"416"	"18"	""	"346"	""	""	""	""	"4"	""	""	""	"248"	""	""	"8"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	"1"	""	""	""	""	""	""	""	"60!"	""	""	""	""	""
"417"	"19"	""	"283"	""	""	""	""	"1"	""	""	""	"37"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	"3"	""	"1"	""	""	""	""	""	""	""	"321"	""	""	""	""	""
"418"	"20"	""	"422"	""	""	""	""	"5"	""	""	""	"117"	""	""	"5"	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"55"	""	""	""	""	""
"419"	"21"	""	"333"	""	""	""	""	"0"	""	""	""	"58"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	"2"	""	""	""	""	""	""	""	"39•"	""	""	""	""	""
"420"	"22"	""	"337"	""	""	""	""	"1"	""	""	""	"50"	""	""	"0"	""	""	"0"	""	""	""	"5"	""	""	""	"10"	""	""	"4"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"40"	""	""	""	""	""
"421"	"23"	""	"369"	""	""	""	""	"0"	""	""	""	"7"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	"0"	""	""	""	""	""	""	""	"381"	""	""	""	""	""
"422"	"24"	""	"160"	""	""	""	""	"2"	""	""	""	"45"	""	""	"1"	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	"1"	""	""	""	"0"	""	"5"	""	""	""	""	""	""	""	"21!"	""	""	""	""	""
"423"	"25"	""	"158"	""	""	""	""	"0"	""	""	""	"12"	""	""	"0"	""	""	"0"	""	""	""	"'"	"0"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	""	""	""	""	"171"	""	""	""	""	""
"424"	"26"	""	"371"	""	""	""	""	"3"	""	""	""	"35"	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	"9"	""	""	"2"	""	""	""	"0"	""	"2"	""	""	""	""	""	""	""	"42"	""	""	""	""	""
"425"	"27"	""	"391"	""	""	""	""	"2"	""	""	""	"91"	""	""	"8"	""	""	"2"	""	""	""	"8"	""	""	""	"4"	""	""	"0"	""	""	""	"0"	""	"1"	""	""	""	""	""	""	""	"50"	""	""	""	""	""
"426"	"28"	""	"357"	""	""	""	""	"2"	""	""	""	"32"	""	""	"4"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	"1"	""	""	""	""	""	""	""	"391"	""	""	""	""	""
"427"	"29"	""	"445"	""	""	""	""	"1"	""	""	""	"77"	""	""	"7"	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	"2"	""	""	""	""	""	""	""	"53"	""	""	""	""	""
"428"	"30"	""	"332"	""	""	""	""	","	"3"	""	""	"17"	""	""	"5"	""	""	"0"	""	""	""	"3"	""	""	""	"4"	""	""	"0"	""	""	""	"0"	""	"2"	""	""	""	""	""	""	""	"361"	""	""	""	""	""
"429"	"31"	""	"3ll-3f"	""	""	""	""	"1"	""	""	""	"8"	""	""	"3"	""	""	"0"	""	""	""	"3"	""	""	""	"3"	""	""	"0"	""	""	""	"0"	""	"1"	""	""	""	""	""	""	""	"40"	""	""	""	""	""
"430"	"32"	""	",• ,;'\""	""	""	"3l4"	""	"0"	""	""	""	"39"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	"0"	""	""	""	""	""	""	""	"351"	""	""	""	""	""
