"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"
"543"	"122"	""	""	""	""	"257"	""	""	""	""	""	"2"	""	""	""	""	"84"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	"2"	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"360"	""	""	""	""	""	""	""
"544"	"123"	""	""	""	""	"28"	""	""	""	""	""	"70"	""	""	""	""	"77"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"183"	""	""	""	""	""	""	""
"545"	"124"	""	""	""	""	"152"	""	""	""	""	""	"93"	""	""	""	""	"238"	""	""	""	""	""	""	""	"8"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"491"	""	""	""	""	""	""	""
"546"	"125"	""	""	""	""	"178"	""	""	""	""	""	"1"	""	""	""	""	"66"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""
"547"	"126"	""	""	""	""	"195"	""	""	""	""	""	"2"	""	""	""	""	"46"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"3"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"247"	""	""	""	""	""	""	""
"548"	"127"	""	""	""	""	"429"	""	""	""	""	""	"1"	""	""	""	""	"56"	""	""	""	""	""	""	""	"3"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"490"	""	""	""	""	""	""	""
"549"	"128"	""	""	""	""	"342"	""	""	""	""	""	"5"	""	""	""	""	"68"	""	""	""	""	""	""	""	"10"	""	""	"2"	""	""	""	""	"4"	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"434"	""	""	""	""	""	""	""
"550"	"129"	""	""	""	""	"307"	""	""	""	""	""	"5"	""	""	""	""	"79"	""	""	""	""	""	""	""	"2"	""	""	"11"	""	""	""	""	"9"	""	""	"3"	""	""	""	"3"	""	""	""	""	"1"	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"423"	""	""	""	""	""	""	""
"551"	"130"	""	""	""	""	"365"	""	""	""	""	""	"3"	""	""	""	""	"101"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	"4"	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"483"	""	""	""	""	""	""	""
"552"	"131"	""	""	""	""	"367"	""	""	""	""	""	"· 5"	""	""	""	""	"240             1"	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"617"	""	""	""	""	""	""	""
"553"	"132"	""	""	""	""	"254"	""	""	""	""	""	"4"	""	""	""	""	"64"	""	""	""	""	"         2"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"326"	""	""	""	""	""	""	""
"554"	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"555"	";"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"556"	"I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"557"	"I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"558"	"I!"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"559"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"560"	"Printed Usinfl RO/ARO Countinf[ Tool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                                  Page 2 o/ 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"561"	""	""	""	"stitu- ,33--BUXAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20  (Part-1-B)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"562"	"...."	""	""	"y         ituency :201-Dumraon"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of Voters:221301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"563"	"......."	"Candidates
Name
->
BOOTH NO
I
vI"	""	""	""	""	""	"e
Q  ,...,
.:: <
I
\"O.    I
Gii  t:
... eG:i:i.
Q
=
=e o"	""	""	""	""	""	"No of v"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"lidvotes r.::i!i:te In favn11r of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"I
:E!
.'-c.i.j
0"	""	""	""	""	""	""
"564"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Q;:
::c Cz> ci5
-,"	""	""	""	""	"::c
C>
z
ci5
c
c(
c"	""	""	""	""	""	"c m
Q."	""	""	""	""	"I-
i5
z
z:s
:::::>
::c
Q."	""	""	""	"z
i
c z
w-,"	""	""	"z
IQ.
:a:::::>:
si"	""	""	""	"z
c(
::c
(.)
>::;:"	""	""	""	""	"a::
<-
:::::e
:::::>
::ir::  >
::! w
z m
:::::> ::>
U)  Q"	""	""	"a::
c(
:E
::>
::ir::
c _
faf:i: Iii:
c(
u:::::>, :m:c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"565"	""	"l"	""	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	"17"	""	""	""	""	""	"18"	""	""	""	""	"19"	""	""	""	"Lll"	""	""	"21"	""	""	""	"fl)  LL"	""	""	""	""	"23"	""	""	"24"	""	""	""	"25"	""	""	":.l()"	""	""	"LI"	""	""	"LIS"	""	""	""	""	""	""
"566"	""	"133"	""	""	""	""	""	"387"	""	""	""	""	""	"9"	""	""	""	""	"29"	""	""	""	""	""	"20"	""	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"449"	""	""	""	""	""	""
"567"	""	"134"	""	""	""	""	""	"337"	""	""	""	""	""	"8"	""	""	""	""	"66"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"2"	""	""	"3"	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"424"	""	""	""	""	""	""
"568"	""	"135"	""	""	""	""	""	"444"	""	""	""	""	""	"2"	""	""	""	""	"42"	""	""	""	""	""	"11"	""	""	""	""	"5"	""	""	""	"3"	""	""	"6"	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"514"	""	""	""	""	""	""
"569"	""	"136"	""	""	""	""	""	"260"	""	""	""	""	""	"1"	""	""	""	""	"19"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"3"	""	""	"3"	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"291"	""	""	""	""	""	""
"570"	""	"137"	""	""	""	""	""	"411"	""	""	""	""	""	"4"	""	""	""	""	"246"	""	""	""	""	""	"22"	""	""	""	""	"2"	""	""	""	"1"	""	""	"9"	""	""	""	"4"	""	""	""	""	"3"	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	"706"	""	""	""	""	""	""
"571"	""	"138"	""	""	""	""	""	"160"	""	""	""	""	""	"1"	""	""	""	""	"145"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"312"	""	""	""	""	""	""
"572"	""	"139"	""	""	""	""	""	"234"	""	""	""	""	""	"0"	""	""	""	""	"\".24"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"0"	""	""	"4"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"265"	""	""	""	""	""	""
"573"	""	"140"	""	""	""	""	""	"259"	""	""	""	""	""	"1"	""	""	""	""	"109"	""	""	""	""	""	"10"	""	""	""	""	"1"	""	""	""	"0"	""	""	"4"	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"385"	""	""	""	""	""	""
"574"	""	"141"	""	""	""	""	""	"m"	""	""	""	""	""	"1"	""	""	""	""	"85"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"3"	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"868"	""	""	""	""	""	""
"575"	""	"142"	""	""	""	""	""	"197"	""	""	""	""	""	"10"	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"1"	""	""	"3"	""	""	""	"1"	""	""	""	""	"1"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	"226"	""	""	""	""	""	""
"576"	""	"143"	""	""	""	""	""	"97"	""	""	""	""	""	"63"	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"5"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"173"	""	""	""	""	""	""
"577"	""	"144"	""	""	""	""	""	"278"	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"287"	""	""	""	""	""	""
"578"	""	"145"	""	""	""	""	""	"226"	""	""	""	""	""	"9"	""	""	""	""	"107"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"347"	""	""	""	""	""	""
"579"	""	"146"	""	""	""	""	""	"200"	""	""	""	""	""	"3"	""	""	""	""	"83"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"289"	""	""	""	""	""	""
"580"	""	"147"	""	""	""	""	""	"182"	""	""	""	""	""	"0"	""	""	""	""	"23"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"209"	""	""	""	""	""	""
"581"	""	"148"	""	""	""	""	""	"340"	""	""	""	""	""	"11"	""	""	""	""	"273"	""	""	""	""	""	"'1J"	""	""	""	""	"5"	""	""	""	"17"	""	""	"17"	""	""	""	"9"	""	""	""	""	"2"	""	""	"6"	""	""	""	""	""	""	""	""	""	""	""	""	"707"	""	""	""	""	""	""
"582"	""	"149"	""	""	""	""	""	"215"	""	""	""	""	""	"1"	""	""	""	""	"159"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	""	"1"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	"385"	""	""	""	""	""	""
"583"	""	"150"	""	""	""	""	""	"309"	""	""	""	""	""	"4"	""	""	""	""	"217"	""	""	""	""	""	"6"	""	""	""	""	"9"	""	""	""	"4"	""	""	"3"	""	""	""	"3"	""	""	""	""	"4"	""	""	"7"	""	""	""	""	""	""	""	""	""	""	""	""	"566"	""	""	""	""	""	""
"584"	""	"151"	""	""	""	""	""	"548"	""	""	""	""	""	"1"	""	""	""	""	"114"	""	""	""	""	""	"7"	""	""	""	""	"1"	""	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	""	""	"7"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"682"	""	""	""	""	""	""
"585"	""	"152"	""	""	""	""	""	"123"	""	""	""	""	""	"1"	""	""	""	""	"65"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"191"	""	""	""	""	""	""
"586"	""	"153"	""	""	""	""	""	"313"	""	""	""	""	""	"1"	""	""	""	""	"17"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"4"	""	""	"8"	""	""	""	"3"	""	""	""	""	"2"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	"356"	""	""	""	""	""	""
"587"	""	"154"	""	""	""	""	""	"252"	""	""	""	""	""	"0"	""	""	""	""	"21"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"276"	""	""	""	""	""	""
"588"	""	"155"	""	""	""	""	""	"231"	""	""	""	""	""	"0"	""	""	""	""	"51"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"284"	""	""	""	""	""	""
"589"	""	"156"	""	""	""	""	""	"309"	""	""	""	""	""	"2"	""	""	""	""	"19"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"333"	""	""	""	""	""	""
"590"	""	"157"	""	""	""	""	""	"283"	""	""	""	""	""	"2"	""	""	""	""	"46"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"339"	""	""	""	""	""	""
"591"	""	"158"	""	""	""	""	""	"200"	""	""	""	""	""	"3"	""	""	""	""	"14"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"220"	""	""	""	""	""	""
"592"	""	"159"	""	""	""	""	""	"322"	""	""	""	""	""	"4"	""	""	""	""	"296"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"627"	""	""	""	""	""	""
"593"	""	"160"	""	""	""	""	""	"149"	""	""	""	""	""	"1"	""	""	""	""	"16"	""	""	""	""	""	"1"	""	""	""	""	"()-"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"168"	""	""	""	""	""	""
"594"	""	"161"	""	""	""	""	""	"397"	""	""	""	""	""	"1"	""	""	""	""	"45"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	"'     0"	""	""	"2"	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"452"	""	""	""	""	""	""
"595"	""	"162"	""	""	""	""	""	"359"	""	""	""	""	""	"1"	""	""	""	""	"35"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"399"	""	""	""	""	""	""
"596"	""	"163"	""	""	""	""	""	"229"	""	""	""	""	""	"2"	""	""	""	""	"36"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"3"	""	""	"6"	""	""	""	"0"	""	""	""	""	"1"	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"283"	""	""	""	""	""	""
"597"	""	"164"	""	""	""	""	""	"268·"	""	""	""	""	""	"2"	""	""	""	""	"113"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"393"	""	""	""	""	""	""
"598"	""	"165"	""	""	""	""	""	"166"	""	""	""	""	""	"5"	""	""	""	""	"121"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"298"	""	""	""	""	""	""
"599"	""	"166"	""	""	""	""	""	"304"	""	""	""	""	""	"1"	""	""	""	""	"20"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"327"	""	""	""	""	""	""
"600"	""	"167"	""	""	""	""	""	"249'"	""	""	""	""	""	"0"	""	""	""	""	"52"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	""	"2"	""	""	""	""	"1"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	"311"	""	""	""	""	""	""
"601"	""	"168"	""	""	""	""	""	""	""	""	"274"	""	""	"2"	""	""	""	""	"140"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"422"	""	""	""	""	""	""
"602"	""	"169"	""	""	""	""	""	"171"	""	""	""	""	""	"1"	""	""	""	""	"47"	""	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"226"	""	""	""	""	""	""
"603"	""	"170"	""	""	""	""	""	"- 116"	""	""	""	""	""	"2"	""	""	""	""	"22"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"3"	""	""	"5"	""	""	""	"     1"	""	""	""	""	"0"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	"155"	""	""	""	""	""	""
"604"	""	"171"	""	""	""	""	""	"328"	""	""	""	""	""	"1"	""	""	""	""	"58"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"393"	""	""	""	""	""	""
"605"	""	"172"	""	""	""	""	""	"456"	""	""	""	""	""	"4"	""	""	""	""	"26"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"492"	""	""	""	""	""	""
"606"	""	"173"	""	""	""	""	""	"412"	""	""	""	""	""	"3"	""	""	""	""	"56"	""	""	""	""	""	"14"	""	""	""	""	"3"	""	""	""	"9"	""	""	"12"	""	""	""	"1"	""	""	""	""	"1"	""	""	"8"	""	""	""	""	""	""	""	""	""	""	""	""	"519"	""	""	""	""	""	""
"607"	""	"174"	""	""	""	""	""	"461"	""	""	""	""	""	"1"	""	""	""	""	"89"	""	""	""	""	""	"3"	""	""	""	""	"9"	""	""	""	"9"	""	""	"5"	""	""	""	"3"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"582"	""	""	""	""	""	""
"608"	""	"175"	""	""	""	""	""	"312"	""	""	""	""	""	"2"	""	""	""	""	"24"	""	""	""	""	""	"7"	""	""	""	""	"9"	""	""	""	"2"	""	""	"1"	""	""	""	"2"	""	""	""	""	"1"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	"362"	""	""	""	""	""	""
"609"	""	"176"	""	""	""	""	""	"259"	""	""	""	""	""	"3"	""	""	""	""	"152"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"0"	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"424"	""	""	""	""	""	""
"610"	""	"177"	""	""	""	""	""	"333"	""	""	""	""	""	"5"	""	""	""	""	"169"	""	""	""	""	""	"15"	""	""	""	""	"4"	""	""	""	"0"	""	""	"1"	""	""	""	"7"	""	""	""	""	"1"	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	"539"	""	""	""	""	""	""
"611"	""	"178"	""	""	""	""	""	"264"	""	""	""	""	""	"6"	""	""	""	""	"197"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"3"	""	""	"0"	""	""	""	"3"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"476"	""	""	""	""	""	""
"612"	""	"179"	""	""	""	""	""	"361"	""	""	""	""	""	"0"	""	""	""	""	"18"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"9"	""	""	""	""	""	""	""	""	""	""	""	""	"388"	""	""	""	""	""	""
"613"	""	"180"	""	""	""	""	""	"253"	""	""	""	""	""	"4"	""	""	""	""	"129"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	"394"	""	""	""	""	""	""
"614"	""	"181"	""	""	""	""	""	"370"	""	""	""	""	""	"11"	""	""	""	""	"50"	""	""	""	""	""	"17"	""	""	""	""	"3"	""	""	""	"5"	""	""	"2"	""	""	""	"0"	""	""	""	""	"2"	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	"462"	""	""	""	""	""	""
"615"	""	"182"	""	""	""	""	""	"367"	""	""	""	""	""	"5"	""	""	""	""	"151"	""	""	""	""	""	"13"	""	""	""	""	"1"	""	""	""	"3"	""	""	"4"	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"548"	""	""	""	""	""	""
"616"	""	"183"	""	""	""	""	""	"461"	""	""	""	""	""	"2"	""	""	""	""	"235"	""	""	""	""	""	"8"	""	""	""	""	"0"	""	""	""	"4"	""	""	"1"	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"712"	""	""	""	""	""	""
"617"	""	"184"	""	""	""	""	""	"395"	""	""	""	""	""	"0"	""	""	""	""	"49"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"6"	""	""	"4"	""	""	""	"11"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"468"	""	""	""	""	""	""
"618"	""	"185"	""	""	""	""	""	"404"	""	""	""	""	""	"3"	""	""	""	""	"91"	""	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	"1"	""	""	"3"	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"517"	""	""	""	""	""	""
"619"	""	"186"	""	""	""	""	""	"131"	""	""	""	""	""	"1"	""	""	""	""	"104"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"236"	""	""	""	""	""	""
"620"	""	"187"	""	""	""	""	""	"268"	""	""	""	""	""	"1"	""	""	""	""	"94"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"4"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"370"	""	""	""	""	""	""
"621"	""	"188"	""	""	""	""	""	"410"	""	""	""	""	""	"1"	""	""	""	""	"214"	""	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	"3"	""	""	"3"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"637"	""	""	""	""	""	""
"622"	""	"189"	""	""	""	""	""	"292"	""	""	""	""	""	"0"	""	""	""	""	"46"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"340"	""	""	""	""	""	""
"623"	""	"190"	""	""	""	""	""	"474"	""	""	""	""	""	"0"	""	""	""	""	"43"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	"518"	""	""	""	""	""	""
