"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X17..U.0938..U.0940...U.092E..U.0947...U.0939...U.0924..U.093E...U.0930...U.0915..U.0947....U.092C..U.093E..U.0926...U.092E..U.0924..U.0926..U.093E..U.0928...U.0938..U.0947...U.0907..U.0928..U.0915..U.093E..U.0930...U.0915..U.0930..U.0928..U.0947...U.0935..U.093E..U.0932....U.0915....U.0938..U.0902...U.092F..U.093E."
"241"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"242"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"243"	""	"203"	"22"	"19"	"80"	"165"	"3"	"0"	"0"	"1"	"4"	"2"	"8"	"2"	"2"	"0"	"1"	"4"	"313"	"0"	"313"	"0"	"0"
"244"	""	"204"	"8"	"136"	"144"	"60"	"2"	"2"	"0"	"4"	"2"	"2"	"7"	"6"	"4"	"8"	"4"	"7"	"396"	"0"	"396"	"0"	"0"
"245"	""	"205"	"73"	"2"	"140"	"49"	"4"	"2"	"0"	"1"	"1"	"4"	"2"	"3"	"5"	"9"	"1"	"6"	"302"	"0"	"302"	"0"	"0"
"246"	""	"206"	"10"	"47"	"470"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"552"	"0"	"552"	"0"	"0"
"247"	""	"207"	"27"	"27"	"132"	"36"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"0"	"225"	"0"	"0"
"248"	""	"208"	"3"	"0"	"37"	"358"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"401"	"0"	"401"	"0"	"0"
"249"	""	"209"	"5"	"7"	"78"	"209"	"3"	"0"	"0"	"0"	"4"	"3"	"3"	"0"	"0"	"0"	"0"	"2"	"314"	"0"	"314"	"0"	"0"
"250"	""	"210"	"42"	"3"	"35"	"104"	"3"	"1"	"0"	"1"	"1"	"0"	"4"	"3"	"11"	"3"	"4"	"5"	"220"	"0"	"220"	"0"	"0"
"251"	"<U+092F><U+094B><U+0917>"	""	"538"	"470"	"1713"	"1866"	"30"	"11"	"5"	"19"	"90"	"22"	"35"	"23"	"29"	"30"	"21"	"43"	"4945"	"0"	"4945"	"0"	"0"
"252"	""	"211"	"2"	"1"	"496"	"41"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"550"	"0"	"550"	"0"	"0"
"253"	""	"212"	"75"	"11"	"159"	"67"	"2"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"322"	"0"	"322"	"0"	"0"
"254"	""	"213"	"23"	"1"	"219"	"53"	"5"	"2"	"0"	"1"	"1"	"1"	"2"	"7"	"10"	"16"	"6"	"9"	"356"	"0"	"356"	"0"	"0"
"255"	""	"214"	"4"	"5"	"102"	"30"	"1"	"2"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"3"	"1"	"6"	"158"	"0"	"158"	"0"	"0"
"256"	""	"215"	"25"	"3"	"30"	"81"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"144"	"0"	"144"	"0"	"0"
"257"	""	"216"	"58"	"2"	"65"	"376"	"6"	"1"	"1"	"0"	"4"	"1"	"4"	"0"	"1"	"3"	"0"	"0"	"522"	"0"	"522"	"0"	"0"
"258"	""	"217"	"8"	"40"	"28"	"179"	"8"	"2"	"1"	"2"	"3"	"2"	"6"	"4"	"10"	"3"	"1"	"5"	"302"	"0"	"302"	"0"	"0"
"259"	""	"218"	"20"	"9"	"226"	"46"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"306"	"0"	"306"	"0"	"0"
"260"	""	"219"	"6"	"0"	"263"	"38"	"2"	"0"	"2"	"2"	"3"	"0"	"3"	"2"	"0"	"1"	"0"	"2"	"324"	"0"	"324"	"0"	"0"
"261"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"262"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"263"	""	"220"	"38"	"13"	"105"	"102"	"0"	"1"	"2"	"3"	"0"	"0"	"6"	"2"	"10"	"5"	"1"	"9"	"297"	"0"	"297"	"0"	"0"
"264"	""	"221"	"12"	"2"	"160"	"100"	"2"	"1"	"2"	"1"	"1"	"0"	"4"	"2"	"11"	"17"	"8"	"13"	"336"	"0"	"336"	"0"	"0"
"265"	""	"222"	"1"	"0"	"303"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"315"	"0"	"315"	"0"	"0"
"266"	""	"223"	"39"	"3"	"153"	"14"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"0"	"7"	"3"	"2"	"3"	"231"	"0"	"231"	"0"	"0"
"267"	""	"224"	"0"	"0"	"405"	"57"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"468"	"0"	"468"	"0"	"0"
"268"	"<U+092F><U+094B><U+0917>"	""	"311"	"90"	"2714"	"1191"	"30"	"11"	"10"	"12"	"17"	"8"	"32"	"19"	"57"	"59"	"20"	"50"	"4631"	"0"	"4631"	"0"	"0"
"269"	""	"225"	"46"	"21"	"3"	"487"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"560"	"0"	"560"	"0"	"0"
"270"	""	"226"	"8"	"12"	"83"	"124"	"6"	"2"	"4"	"1"	"1"	"1"	"0"	"0"	"3"	"4"	"3"	"2"	"254"	"0"	"254"	"0"	"0"
"271"	""	"227"	"15"	"7"	"368"	"167"	"3"	"5"	"4"	"2"	"1"	"2"	"2"	"2"	"1"	"7"	"0"	"4"	"590"	"0"	"590"	"0"	"0"
"272"	""	"228"	"8"	"9"	"7"	"307"	"1"	"2"	"0"	"2"	"0"	"0"	"2"	"0"	"2"	"1"	"2"	"2"	"345"	"0"	"345"	"0"	"0"
"273"	""	"229"	"1"	"24"	"16"	"204"	"2"	"0"	"0"	"1"	"11"	"0"	"2"	"0"	"4"	"0"	"0"	"1"	"266"	"0"	"266"	"0"	"0"
"274"	""	"230"	"32"	"62"	"227"	"243"	"7"	"5"	"1"	"3"	"5"	"5"	"15"	"8"	"15"	"8"	"4"	"4"	"644"	"0"	"644"	"0"	"0"
"275"	""	"231"	"28"	"50"	"13"	"128"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"226"	"0"	"226"	"0"	"0"
"276"	""	"232"	"31"	"62"	"256"	"147"	"6"	"3"	"1"	"3"	"4"	"2"	"4"	"4"	"2"	"10"	"2"	"9"	"546"	"0"	"546"	"0"	"0"
"277"	""	"233"	"10"	"62"	"33"	"186"	"1"	"2"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"3"	"304"	"0"	"304"	"0"	"0"
"278"	""	"234"	"119"	"3"	"81"	"15"	"0"	"1"	"1"	"0"	"4"	"0"	"0"	"0"	"4"	"2"	"0"	"2"	"232"	"0"	"232"	"0"	"0"
"279"	""	"235"	"30"	"98"	"79"	"165"	"4"	"2"	"0"	"2"	"13"	"0"	"10"	"5"	"3"	"4"	"5"	"10"	"430"	"0"	"430"	"0"	"0"
"280"	""	"236"	"24"	"12"	"148"	"133"	"5"	"4"	"2"	"12"	"46"	"1"	"16"	"4"	"9"	"8"	"3"	"10"	"437"	"0"	"437"	"0"	"0"
"281"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"17 <U+0938><U+0940> <U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>  <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"282"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"283"	""	"237"	"4"	"5"	"107"	"73"	"0"	"0"	"0"	"1"	"26"	"1"	"3"	"0"	"4"	"1"	"1"	"2"	"228"	"0"	"228"	"0"	"0"
"284"	""	"238"	"21"	"2"	"181"	"67"	"1"	"0"	"1"	"3"	"30"	"0"	"1"	"1"	"5"	"0"	"0"	"0"	"313"	"0"	"313"	"0"	"0"
"285"	"<U+092F><U+094B><U+0917>"	""	"377"	"429"	"1602"	"2446"	"39"	"26"	"16"	"31"	"141"	"13"	"57"	"26"	"54"	"45"	"23"	"50"	"5375"	"0"	"5375"	"0"	"0"
"286"	""	"239"	"83"	"7"	"39"	"141"	"8"	"5"	"2"	"13"	"101"	"8"	"9"	"1"	"6"	"3"	"0"	"7"	"433"	"0"	"433"	"0"	"0"
"287"	""	"240"	"3"	"0"	"333"	"44"	"2"	"4"	"0"	"3"	"34"	"0"	"1"	"4"	"5"	"5"	"3"	"3"	"444"	"0"	"444"	"0"	"0"
"288"	""	"241"	"29"	"9"	"401"	"7"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"1"	"454"	"0"	"454"	"0"	"0"
"289"	""	"242"	"37"	"51"	"48"	"172"	"5"	"0"	"2"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"322"	"0"	"322"	"0"	"0"
"290"	""	"243"	"33"	"67"	"80"	"79"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"3"	"3"	"272"	"0"	"272"	"0"	"0"
"291"	""	"244"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"292"	""	"245"	"11"	"87"	"164"	"27"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"2"	"3"	"3"	"2"	"303"	"0"	"303"	"0"	"0"
"293"	""	"246"	"24"	"26"	"179"	"106"	"3"	"1"	"1"	"3"	"71"	"4"	"2"	"1"	"4"	"3"	"3"	"3"	"434"	"0"	"434"	"0"	"0"
"294"	""	"247"	"79"	"5"	"132"	"46"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"0"	"2"	"271"	"0"	"271"	"0"	"0"
"295"	""	"248"	"23"	"0"	"366"	"43"	"1"	"0"	"1"	"2"	"25"	"0"	"0"	"0"	"4"	"4"	"3"	"2"	"474"	"0"	"474"	"0"	"0"
"296"	""	"249"	"9"	"67"	"270"	"61"	"1"	"1"	"0"	"2"	"13"	"1"	"6"	"1"	"4"	"5"	"2"	"3"	"446"	"0"	"446"	"0"	"0"
"297"	""	"250"	"25"	"41"	"85"	"587"	"1"	"0"	"0"	"3"	"2"	"1"	"1"	"3"	"3"	"1"	"4"	"3"	"760"	"0"	"760"	"0"	"0"
"298"	""	"251"	"23"	"126"	"216"	"133"	"2"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"509"	"0"	"509"	"0"	"0"
"299"	"<U+092F><U+094B><U+0917>"	""	"379"	"486"	"2313"	"1446"	"30"	"13"	"7"	"28"	"249"	"16"	"22"	"14"	"33"	"30"	"23"	"33"	"5122"	"0"	"5122"	"0"	"0"
