"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."
"255"	"<U+092F><U+094B><U+0917>"	""	"1141"	"50"	"850"	"1966"	"43"	"1005"	"19"	"12"	"67"	"20"	"211"	"13"	"45"	"27"	"15"	"52"	"5536"	""	"5536"	""
"256"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"257"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"258"	""	"211"	"61"	"0"	"37"	"173"	"5"	"188"	"2"	"2"	"3"	"1"	"19"	"1"	"2"	"2"	"2"	"5"	"503"	""	"503"	""
"259"	""	"212"	"43"	"3"	"44"	"88"	"2"	"65"	"1"	"1"	"0"	"1"	"4"	"1"	"1"	"1"	"0"	"4"	"259"	""	"259"	""
"260"	""	"213"	"89"	"2"	"70"	"61"	"1"	"60"	"2"	"0"	"2"	"1"	"58"	"1"	"0"	"3"	"0"	"4"	"354"	""	"354"	""
"261"	""	"214"	"62"	"2"	"51"	"199"	"4"	"299"	"2"	"3"	"3"	"2"	"10"	"1"	"4"	"5"	"1"	"5"	"653"	""	"653"	""
"262"	""	"215"	"136"	"2"	"59"	"49"	"1"	"34"	"2"	"1"	"6"	"0"	"58"	"1"	"1"	"0"	"0"	"4"	"354"	""	"354"	""
"263"	""	"216"	"72"	"1"	"105"	"105"	"5"	"111"	"2"	"1"	"2"	"0"	"37"	"0"	"0"	"1"	"2"	"3"	"447"	""	"447"	""
"264"	""	"217"	"41"	"1"	"133"	"96"	"1"	"100"	"3"	"2"	"0"	"2"	"1"	"2"	"3"	"3"	"2"	"2"	"392"	""	"392"	""
"265"	""	"218"	"51"	"1"	"77"	"116"	"3"	"138"	"3"	"1"	"5"	"2"	"14"	"6"	"5"	"1"	"2"	"3"	"428"	""	"428"	""
"266"	""	"219"	"63"	"2"	"80"	"143"	"3"	"94"	"1"	"0"	"4"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"396"	""	"396"	""
"267"	""	"220"	"64"	"2"	"103"	"102"	"4"	"61"	"2"	"0"	"2"	"2"	"5"	"2"	"2"	"0"	"1"	"1"	"353"	""	"353"	""
"268"	""	"221"	"111"	"0"	"73"	"68"	"2"	"170"	"5"	"4"	"4"	"3"	"30"	"0"	"1"	"0"	"1"	"2"	"474"	""	"474"	""
"269"	""	"222"	"86"	"3"	"55"	"46"	"1"	"210"	"0"	"0"	"4"	"0"	"7"	"0"	"1"	"1"	"0"	"5"	"419"	""	"419"	""
"270"	""	"223"	"8"	"1"	"22"	"26"	"0"	"91"	"2"	"0"	"9"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"163"	""	"163"	""
"271"	""	"224"	"95"	"3"	"76"	"50"	"1"	"93"	"2"	"0"	"4"	"0"	"12"	"0"	"1"	"0"	"0"	"1"	"338"	""	"338"	""
"272"	"<U+092F><U+094B><U+0917>"	""	"982"	"23"	"985"	"1322"	"33"	"1714"	"29"	"15"	"48"	"15"	"257"	"15"	"22"	"18"	"14"	"41"	"5533"	""	"5533"	""
"273"	""	"<U+092E><U+0924><U+0926><U+093E><U+0928> <U+0915><U+0947>   
<U+0915>  <U+0938><U+0902>0"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>
 <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"  <U+0924> <U+0947> <U+092A><U+0924> <U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"
"274"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"275"	""	"225"	"54"	"22"	"92"	"43"	"3"	"201"	"7"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"428"	""	"428"	""
"276"	""	"226"	"30"	"2"	"98"	"33"	"4"	"139"	"0"	"1"	"4"	"1"	"11"	"0"	"5"	"2"	"1"	"1"	"332"	""	"332"	""
"277"	""	"227"	"74"	"5"	"89"	"151"	"2"	"209"	"7"	"2"	"18"	"6"	"9"	"1"	"7"	"5"	"2"	"3"	"590"	""	"590"	""
"278"	""	"228"	"73"	"5"	"62"	"252"	"9"	"124"	"4"	"1"	"7"	"3"	"4"	"5"	"5"	"3"	"1"	"5"	"563"	""	"563"	""
"279"	""	"229"	"21"	"3"	"10"	"125"	"5"	"82"	"1"	"6"	"20"	"4"	"6"	"2"	"11"	"2"	"1"	"10"	"309"	""	"309"	""
"280"	""	"230"	"52"	"1"	"95"	"37"	"4"	"91"	"2"	"0"	"1"	"0"	"6"	"0"	"1"	"0"	"0"	"3"	"293"	""	"293"	""
"281"	""	"231"	"47"	"1"	"39"	"73"	"0"	"22"	"0"	"1"	"9"	"0"	"2"	"0"	"1"	"0"	"0"	"2"	"197"	""	"197"	""
"282"	""	"232"	"46"	"1"	"42"	"52"	"2"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"150"	""	"150"	""
"283"	""	"233"	"75"	"3"	"62"	"107"	"2"	"35"	"2"	"0"	"2"	"0"	"6"	"0"	"3"	"2"	"0"	"2"	"301"	""	"301"	""
"284"	"<U+092F><U+094B><U+0917>"	""	"472"	"43"	"589"	"873"	"31"	"908"	"23"	"11"	"62"	"14"	"46"	"8"	"34"	"16"	"5"	"28"	"3163"	""	"3163"	""
