"X.U.091F..U.0947..U.092C..U.0941..U.0932."	"X.U.092E..U.0924..U.0926..U.093E..U.0928."	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X.U.0915..U.0941...U.0932."	"X...U.0924...U.0947...U.092A."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924."	"X17..U.0938..U.0940."
"254"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"255"	"6"	"202"	"77"	"1"	"14"	"23"	"2"	"2"	"0"	"1"	"47"	"2"	"1"	"1"	"2"	"1"	"0"	"1"	"175"	""	"175"	""	""
"256"	"7"	"203"	"7"	"2"	"28"	"22"	"5"	"7"	"1"	"0"	"52"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	"129"	""	"129"	""	""
"257"	"8"	"204"	"34"	"45"	"141"	"126"	"7"	"19"	"6"	"6"	"61"	"1"	"6"	"1"	"5"	"5"	"4"	"8"	"475"	""	"475"	""	""
"258"	"9"	"205"	"0"	"7"	"79"	"91"	"5"	"3"	"1"	"5"	"193"	"2"	"5"	"0"	"4"	"4"	"2"	"10"	"411"	""	"411"	""	""
"259"	"10"	"206"	"2"	"3"	"15"	"66"	"5"	"5"	"0"	"0"	"51"	"0"	"0"	"2"	"2"	"0"	"0"	"1"	"152"	""	"152"	""	""
"260"	"11"	"207"	"5"	"0"	"138"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"151"	""	"151"	""	""
"261"	"12"	"208"	"45"	"47"	"238"	"29"	"4"	"13"	"1"	"0"	"17"	"0"	"1"	"0"	"1"	"2"	"0"	"2"	"400"	""	"400"	""	""
"262"	"13"	"209"	"0"	"1"	"205"	"10"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	""	"219"	""	""
"263"	"14"	"210"	"122"	"8"	"146"	"69"	"8"	"7"	"1"	"1"	"23"	"1"	"2"	"0"	"4"	"4"	"1"	"2"	"399"	""	"399"	""	""
"264"	"<U+092F><U+094B><U+0917>"	""	"536"	"186"	"1410"	"527"	"81"	"91"	"15"	"21"	"871"	"19"	"36"	"15"	"31"	"41"	"17"	"54"	"3951"	"0"	"3951"	"0"	"0"
"265"	"1"	"211"	"31"	"1"	"148"	"31"	"3"	"26"	"0"	"3"	"34"	"2"	"0"	"1"	"2"	"5"	"0"	"5"	"292"	""	"292"	""	""
"266"	"2"	"212"	"15"	"6"	"34"	"41"	"7"	"5"	"1"	"1"	"22"	"5"	"5"	"1"	"2"	"4"	"2"	"10"	"161"	""	"161"	""	""
"267"	"3"	"213"	"6"	"2"	"84"	"191"	"15"	"11"	"1"	"10"	"264"	"7"	"12"	"4"	"5"	"8"	"2"	"4"	"626"	""	"626"	""	""
"268"	"4"	"214"	"18"	"1"	"163"	"127"	"3"	"5"	"0"	"1"	"48"	"3"	"3"	"1"	"3"	"2"	"0"	"2"	"380"	""	"380"	""	""
"269"	"5"	"215"	"15"	"13"	"5"	"196"	"16"	"3"	"1"	"0"	"165"	"8"	"8"	"5"	"6"	"1"	"0"	"2"	"444"	""	"444"	""	""
"270"	"6"	"216"	"13"	"1"	"213"	"13"	"15"	"0"	"0"	"1"	"51"	"1"	"1"	"1"	"1"	"2"	"5"	"2"	"320"	""	"320"	""	""
"271"	"7"	"217"	"56"	"6"	"80"	"60"	"2"	"1"	"0"	"0"	"30"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"238"	""	"238"	""	""
"272"	"8"	"218"	"46"	"7"	"54"	"127"	"18"	"3"	"2"	"14"	"187"	"3"	"9"	"7"	"12"	"4"	"3"	"15"	"511"	""	"511"	""	""
"273"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"274"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"275"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"276"	"9"	"219"	"21"	"2"	"8"	"113"	"3"	"15"	"2"	"0"	"9"	"1"	"3"	"0"	"4"	"1"	"0"	"3"	"185"	""	"185"	""	""
"277"	"10"	"220"	"31"	"12"	"16"	"101"	"5"	"3"	"0"	"2"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"180"	""	"180"	""	""
"278"	"11"	"221"	"9"	"6"	"133"	"119"	"3"	"30"	"3"	"0"	"12"	"3"	"5"	"2"	"5"	"1"	"2"	"4"	"337"	""	"337"	""	""
"279"	"12"	"222"	"20"	"22"	"31"	"83"	"7"	"41"	"1"	"3"	"19"	"2"	"8"	"3"	"2"	"4"	"2"	"10"	"258"	""	"258"	""	""
"280"	"13"	"223"	"6"	"6"	"173"	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"5"	"0"	"2"	"208"	""	"208"	""	""
"281"	"14"	"224"	"39"	"6"	"364"	"21"	"3"	"2"	"0"	"1"	"4"	"1"	"0"	"2"	"0"	"5"	"0"	"6"	"454"	""	"454"	""	""
"282"	"<U+092F><U+094B><U+0917>"	""	"326"	"91"	"1506"	"1235"	"101"	"146"	"11"	"36"	"851"	"37"	"57"	"27"	"45"	"42"	"16"	"67"	"4594"	"0"	"4594"	"0"	"0"
"283"	"1"	"225"	"84"	"40"	"161"	"75"	"2"	"7"	"4"	"0"	"3"	"0"	"2"	"5"	"7"	"9"	"1"	"9"	"409"	""	"409"	""	""
"284"	"2"	"226"	"10"	"0"	"252"	"9"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"283"	""	"283"	""	""
"285"	"3"	"227"	"3"	"4"	"175"	"59"	"3"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"2"	"1"	"1"	"2"	"254"	""	"254"	""	""
"286"	"4"	"228"	"1"	"1"	"285"	"8"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"2"	"305"	""	"305"	""	""
"287"	"5"	"229"	"64"	"1"	"110"	"86"	"3"	"3"	"1"	"0"	"2"	"1"	"0"	"1"	"3"	"8"	"0"	"5"	"288"	""	"288"	""	""
"288"	"6"	"230"	"10"	"3"	"103"	"213"	"4"	"6"	"1"	"1"	"10"	"0"	"7"	"1"	"2"	"2"	"1"	"2"	"366"	""	"366"	""	""
"289"	"7"	"231"	"151"	"0"	"57"	"69"	"2"	"0"	"0"	"0"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	""	"302"	""	""
"290"	"8"	"232"	"37"	"5"	"112"	"153"	"4"	"6"	"0"	"2"	"7"	"3"	"7"	"4"	"5"	"4"	"2"	"7"	"358"	""	"358"	""	""
"291"	"9"	"233"	"17"	"5"	"267"	"231"	"13"	"4"	"2"	"4"	"10"	"7"	"5"	"3"	"16"	"11"	"3"	"19"	"617"	""	"617"	""	""
"292"	"10"	"234"	"11"	"11"	"117"	"125"	"6"	"2"	"0"	"3"	"27"	"1"	"4"	"2"	"7"	"7"	"2"	"4"	"329"	""	"329"	""	""
"293"	"11"	"235"	"12"	"31"	"12"	"109"	"8"	"7"	"1"	"0"	"25"	"1"	"2"	"7"	"2"	"0"	"2"	"4"	"223"	""	"223"	""	""
"294"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"295"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"296"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"297"	"12"	"236"	"6"	"3"	"234"	"129"	"2"	"6"	"1"	"0"	"12"	"0"	"2"	"0"	"6"	"4"	"0"	"8"	"413"	""	"413"	""	""
"298"	"13"	"237"	"121"	"18"	"61"	"166"	"15"	"1"	"2"	"11"	"35"	"3"	"4"	"1"	"9"	"7"	"2"	"9"	"465"	""	"465"	""	""
"299"	"14"	"238"	"1"	"1"	"233"	"11"	"3"	"0"	"0"	"0"	"24"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"278"	""	"278"	""	""
"300"	"<U+092F><U+094B><U+0917>"	""	"528"	"123"	"2179"	"1443"	"65"	"51"	"12"	"21"	"180"	"18"	"33"	"26"	"63"	"59"	"15"	"74"	"4890"	"0"	"4890"	"0"	"0"
"301"	"1"	"239"	"18"	"15"	"244"	"24"	"2"	"1"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	""	"313"	""	""
"302"	"2"	"240"	"3"	"2"	"129"	"100"	"2"	"2"	"0"	"0"	"26"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"267"	""	"267"	""	""
"303"	"3"	"241"	"81"	"44"	"221"	"97"	"6"	"2"	"1"	"2"	"19"	"4"	"7"	"1"	"2"	"1"	"1"	"7"	"496"	""	"496"	""	""
"304"	"4"	"242"	"33"	"50"	"107"	"46"	"5"	"2"	"0"	"1"	"20"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"268"	""	"268"	""	""
"305"	"5"	"243"	"86"	"16"	"79"	"83"	"5"	"3"	"0"	"3"	"40"	"3"	"4"	"1"	"3"	"3"	"1"	"9"	"339"	""	"339"	""	""
"306"	"6"	"244"	"62"	"12"	"251"	"169"	"8"	"8"	"0"	"0"	"26"	"0"	"5"	"3"	"9"	"6"	"2"	"5"	"566"	""	"566"	""	""
"307"	"7"	"245"	"112"	"8"	"15"	"14"	"0"	"1"	"1"	"1"	"44"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"200"	""	"200"	""	""
"308"	"8"	"246"	"47"	"4"	"84"	"58"	"5"	"0"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"5"	"0"	"1"	"211"	""	"211"	""	""
"309"	"9"	"247"	"29"	"7"	"187"	"76"	"3"	"7"	"0"	"2"	"5"	"7"	"5"	"2"	"3"	"12"	"3"	"8"	"356"	""	"356"	""	""
"310"	"10"	"248"	"47"	"4"	"102"	"48"	"1"	"2"	"1"	"0"	"3"	"2"	"1"	"1"	"6"	"3"	"1"	"1"	"223"	""	"223"	""	""
"311"	"11"	"249"	"12"	"46"	"246"	"62"	"2"	"1"	"0"	"0"	"16"	"0"	"0"	"1"	"3"	"3"	"5"	"7"	"404"	""	"404"	""	""
"312"	"12"	"250"	"22"	"9"	"35"	"273"	"7"	"6"	"0"	"1"	"27"	"0"	"1"	"1"	"4"	"3"	"0"	"1"	"390"	""	"390"	""	""
"313"	"13"	"251"	"77"	"5"	"51"	"99"	"1"	"2"	"0"	"1"	"9"	"2"	"1"	"1"	"2"	"1"	"0"	"5"	"257"	""	"257"	""	""
"314"	"14"	"252"	"46"	"2"	"90"	"55"	"3"	"7"	"0"	"0"	"9"	"3"	"1"	"1"	"3"	"1"	"0"	"4"	"225"	""	"225"	""	""
"315"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"316"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"317"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"318"	"<U+092F><U+094B><U+0917>"	""	"675"	"224"	"1841"	"1204"	"50"	"44"	"4"	"13"	"254"	"22"	"27"	"13"	"38"	"42"	"15"	"49"	"4515"	"0"	"4515"	"0"	"0"
"319"	"1"	"253"	"88"	"22"	"8"	"15"	"3"	"1"	"0"	"2"	"141"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"284"	""	"284"	""	""
"320"	"2"	"254"	"29"	"4"	"183"	"90"	"3"	"9"	"1"	"1"	"32"	"0"	"0"	"0"	"3"	"3"	"1"	"1"	"360"	""	"360"	""	""
"321"	"3"	"255"	"92"	"3"	"59"	"117"	"2"	"3"	"0"	"1"	"54"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"335"	""	"335"	""	""
"322"	"4"	"256"	"15"	"32"	"22"	"39"	"13"	"4"	"0"	"2"	"218"	"6"	"3"	"1"	"1"	"0"	"3"	"4"	"363"	""	"363"	""	""
"323"	"5"	"257"	"3"	"60"	"68"	"76"	"7"	"4"	"1"	"4"	"120"	"6"	"5"	"1"	"4"	"6"	"3"	"2"	"370"	""	"370"	""	""
"324"	"6"	"258"	"8"	"76"	"174"	"137"	"1"	"5"	"0"	"0"	"23"	"0"	"1"	"4"	"7"	"3"	"1"	"2"	"442"	""	"442"	""	""
"325"	"7"	"259"	"45"	"3"	"170"	"148"	"7"	"9"	"0"	"1"	"112"	"1"	"2"	"1"	"0"	"2"	"0"	"1"	"502"	""	"502"	""	""
"326"	"8"	"260"	"56"	"4"	"81"	"59"	"5"	"3"	"2"	"1"	"77"	"4"	"6"	"0"	"2"	"5"	"3"	"3"	"311"	""	"311"	""	""
"327"	"9"	"261"	"56"	"4"	"78"	"146"	"5"	"14"	"2"	"1"	"31"	"1"	"2"	"2"	"3"	"0"	"2"	"2"	"349"	""	"349"	""	""
"328"	"10"	"262"	"9"	"11"	"350"	"144"	"3"	"36"	"3"	"0"	"6"	"4"	"5"	"1"	"1"	"5"	"4"	"6"	"588"	""	"588"	""	""
"329"	"11"	"263"	"61"	"1"	"101"	"225"	"3"	"52"	"2"	"0"	"19"	"1"	"2"	"1"	"4"	"5"	"5"	"15"	"497"	""	"497"	""	""
"330"	"12"	"264"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"331"	"13"	"265"	"46"	"10"	"55"	"70"	"7"	"10"	"3"	"4"	"136"	"6"	"11"	"2"	"3"	"2"	"2"	"14"	"381"	""	"381"	""	""
"332"	"14"	"266"	"54"	"22"	"154"	"68"	"19"	"25"	"3"	"5"	"184"	"5"	"6"	"3"	"5"	"8"	"2"	"7"	"570"	""	"570"	""	""
"333"	"<U+092F><U+094B><U+0917>"	""	"562"	"252"	"1503"	"1334"	"78"	"175"	"17"	"22"	"1153"	"35"	"45"	"16"	"33"	"39"	"26"	"62"	"5352"	"0"	"5352"	"0"	"0"
"334"	"1"	"267"	"29"	"21"	"225"	"18"	"0"	"4"	"0"	"0"	"2"	"2"	"1"	"0"	"1"	"1"	"0"	"4"	"308"	""	"308"	""	""
"335"	"2"	"268"	"12"	"2"	"207"	"82"	"2"	"3"	"0"	"0"	"13"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"324"	""	"324"	""	""
"336"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"337"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
