"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"442"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"443"	"225"	"84"	"140"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"0"	"229"	"0"	""
"444"	"226"	"180"	"165"	"12"	"4"	"1"	"5"	"4"	"0"	"1"	"1"	"1"	"3"	"1"	"1"	"3"	"10"	"392"	"0"	"392"	"0"	""
"445"	"227"	"61"	"130"	"16"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"2"	"3"	"222"	"0"	"222"	"0"	""
"446"	"228"	"19"	"196"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"222"	"0"	"222"	"0"	""
"447"	"229"	"13"	"190"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"211"	"0"	"211"	"0"	""
"448"	"230"	"19"	"168"	"7"	"1"	"0"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"5"	"1"	"213"	"0"	"213"	"0"	""
"449"	"Total :-"	"376"	"989"	"41"	"6"	"4"	"14"	"6"	"2"	"4"	"3"	"6"	"4"	"3"	"3"	"12"	"16"	"1489"	"0"	"1489"	"0"	""
"450"	"Till Last
Total :-"	"33229"	"34242"	"4110"	"393"	"210"	"940"	"272"	"155"	"234"	"202"	"338"	"179"	"267"	"285"	"687"	"1380"	"77123"	"0"	"77123"	"0"	""
"451"	"Grand
Total :-"	"33605"	"35231"	"4151"	"399"	"214"	"954"	"278"	"157"	"238"	"205"	"344"	"183"	"270"	"288"	"699"	"1396"	"78612"	"0"	"78612"	"0"	""
"452"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"453"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"454"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"455"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"456"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
