"X.U.091F..U.0947..U.092C..U.0941..U.0932."	"X.U.092E..U.0924..U.0926..U.093E..U.0928."	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X.U.0915..U.0941...U.0932."	"X...U.0924...U.0947...U.092A..U.0924."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924."	"X17..U.0938..U.0940...U.092E..U.0947."
"244"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"245"	"12"	"194"	"18"	"28"	"34"	"71"	"5"	"56"	"1"	"3"	"21"	"1"	"5"	"3"	"11"	"2"	"4"	"7"	"270"	""	"270"	""	""
"246"	"13"	"195"	"26"	"1"	"25"	"51"	"4"	"6"	"1"	"1"	"94"	"3"	"4"	"1"	"2"	"2"	"1"	"7"	"229"	""	"229"	""	""
"247"	"14"	"196"	"5"	"3"	"282"	"123"	"9"	"6"	"2"	"3"	"30"	"1"	"3"	"0"	"2"	"10"	"1"	"6"	"486"	""	"486"	""	""
"248"	"<U+092F><U+094B><U+0917>"	""	"960"	"134"	"1408"	"1029"	"82"	"353"	"19"	"34"	"1047"	"28"	"54"	"22"	"51"	"55"	"25"	"88"	"5389"	"0"	"5389"	"0"	"0"
"249"	"1"	"197"	"20"	"2"	"69"	"64"	"11"	"3"	"2"	"15"	"197"	"4"	"4"	"2"	"3"	"1"	"1"	"3"	"401"	""	"401"	""	""
"250"	"2"	"198"	"69"	"4"	"54"	"44"	"4"	"1"	"0"	"2"	"176"	"3"	"3"	"1"	"0"	"18"	"0"	"2"	"381"	""	"381"	""	""
"251"	"3"	"199"	"28"	"10"	"54"	"69"	"12"	"26"	"1"	"6"	"102"	"0"	"1"	"0"	"0"	"1"	"1"	"3"	"314"	""	"314"	""	""
"252"	"4"	"200"	"15"	"10"	"160"	"52"	"6"	"15"	"3"	"5"	"90"	"5"	"10"	"4"	"7"	"9"	"3"	"21"	"415"	""	"415"	""	""
"253"	"5"	"201"	"53"	"3"	"126"	"52"	"1"	"11"	"0"	"2"	"44"	"1"	"1"	"1"	"0"	"4"	"1"	"1"	"301"	""	"301"	""	""
"254"	"6"	"202"	"102"	"4"	"43"	"4"	"0"	"1"	"1"	"0"	"11"	"1"	"1"	"1"	"2"	"4"	"1"	"5"	"181"	""	"181"	""	""
"255"	"7"	"203"	"192"	"6"	"16"	"4"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"221"	""	"221"	""	""
"256"	"8"	"204"	"145"	"4"	"46"	"52"	"4"	"54"	"5"	"2"	"38"	"6"	"5"	"1"	"2"	"3"	"7"	"15"	"389"	""	"389"	""	""
"257"	"9"	"205"	"76"	"24"	"112"	"67"	"12"	"15"	"2"	"5"	"88"	"12"	"9"	"1"	"3"	"5"	"5"	"14"	"450"	""	"450"	""	""
"258"	"10"	"206"	"60"	"3"	"32"	"50"	"5"	"5"	"0"	"2"	"55"	"3"	"3"	"1"	"1"	"1"	"0"	"2"	"223"	""	"223"	""	""
"259"	"11"	"207"	"46"	"2"	"14"	"103"	"0"	"3"	"0"	"0"	"17"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"189"	""	"189"	""	""
"260"	"12"	"208"	"21"	"4"	"60"	"47"	"15"	"2"	"2"	"10"	"170"	"8"	"8"	"7"	"3"	"4"	"4"	"18"	"383"	""	"383"	""	""
"261"	"13"	"209"	"14"	"2"	"292"	"58"	"9"	"5"	"3"	"5"	"48"	"5"	"4"	"8"	"14"	"9"	"2"	"12"	"490"	""	"490"	""	""
"262"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"263"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"264"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"265"	"14"	"210"	"39"	"27"	"69"	"31"	"7"	"6"	"3"	"2"	"138"	"5"	"7"	"1"	"5"	"2"	"1"	"9"	"352"	""	"352"	""	""
"266"	"<U+092F><U+094B><U+0917>"	""	"880"	"105"	"1147"	"697"	"86"	"147"	"22"	"56"	"1175"	"54"	"56"	"29"	"41"	"62"	"27"	"106"	"4690"	"0"	"4690"	"0"	"0"
"267"	"1"	"211"	"157"	"3"	"286"	"93"	"2"	"11"	"3"	"1"	"54"	"2"	"4"	"4"	"5"	"4"	"2"	"3"	"634"	""	"634"	""	""
"268"	"2"	"212"	"149"	"2"	"139"	"61"	"8"	"11"	"5"	"5"	"174"	"1"	"4"	"3"	"1"	"4"	"1"	"7"	"575"	""	"575"	""	""
"269"	"3"	"213"	"115"	"4"	"106"	"222"	"5"	"37"	"2"	"5"	"41"	"4"	"6"	"2"	"4"	"3"	"5"	"12"	"573"	""	"573"	""	""
"270"	"4"	"214"	"42"	"3"	"55"	"283"	"10"	"31"	"3"	"5"	"38"	"7"	"7"	"7"	"8"	"6"	"4"	"7"	"516"	""	"516"	""	""
"271"	"5"	"215"	"63"	"1"	"22"	"371"	"9"	"33"	"2"	"7"	"57"	"2"	"5"	"3"	"12"	"7"	"1"	"4"	"599"	""	"599"	""	""
"272"	"6"	"216"	"41"	"14"	"274"	"226"	"2"	"15"	"1"	"1"	"34"	"3"	"9"	"2"	"9"	"12"	"0"	"4"	"647"	""	"647"	""	""
"273"	"7"	"217"	"137"	"1"	"132"	"108"	"3"	"8"	"4"	"1"	"20"	"2"	"4"	"0"	"4"	"1"	"2"	"4"	"431"	""	"431"	""	""
"274"	"8"	"218"	"145"	"8"	"183"	"68"	"4"	"0"	"0"	"2"	"35"	"0"	"3"	"0"	"2"	"1"	"1"	"3"	"455"	""	"455"	""	""
"275"	"9"	"219"	"8"	"1"	"88"	"201"	"4"	"18"	"1"	"0"	"3"	"1"	"3"	"4"	"1"	"2"	"0"	"1"	"336"	""	"336"	""	""
"276"	"10"	"220"	"25"	"7"	"100"	"119"	"2"	"28"	"1"	"4"	"9"	"0"	"3"	"3"	"4"	"2"	"3"	"7"	"317"	""	"317"	""	""
"277"	"11"	"221"	"17"	"2"	"55"	"191"	"4"	"68"	"0"	"4"	"34"	"4"	"10"	"3"	"11"	"4"	"4"	"7"	"418"	""	"418"	""	""
"278"	"12"	"222"	"12"	"3"	"32"	"161"	"8"	"46"	"4"	"10"	"82"	"5"	"5"	"1"	"5"	"5"	"2"	"10"	"391"	""	"391"	""	""
"279"	"13"	"223"	"16"	"32"	"18"	"176"	"14"	"13"	"2"	"9"	"306"	"10"	"4"	"5"	"4"	"0"	"1"	"6"	"616"	""	"616"	""	""
"280"	"14"	"224"	"32"	"0"	"24"	"135"	"7"	"81"	"2"	"6"	"147"	"5"	"6"	"6"	"8"	"2"	"2"	"7"	"470"	""	"470"	""	""
"281"	"<U+092F><U+094B><U+0917>"	""	"959"	"81"	"1514"	"2415"	"82"	"400"	"30"	"60"	"1034"	"46"	"73"	"43"	"78"	"53"	"28"	"82"	"6978"	"0"	"6978"	"0"	"0"
"282"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"283"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"284"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"285"	"1"	"225"	"70"	"4"	"139"	"43"	"1"	"48"	"5"	"3"	"46"	"1"	"0"	"1"	"6"	"1"	"0"	"2"	"370"	""	"370"	""	""
"286"	"2"	"226"	"193"	"1"	"81"	"83"	"4"	"14"	"1"	"2"	"102"	"5"	"1"	"2"	"4"	"3"	"2"	"5"	"503"	""	"503"	""	""
"287"	"3"	"227"	"105"	"39"	"131"	"77"	"3"	"5"	"0"	"0"	"27"	"0"	"3"	"1"	"4"	"9"	"3"	"2"	"409"	""	"409"	""	""
"288"	"4"	"228"	"34"	"16"	"17"	"13"	"3"	"1"	"6"	"4"	"186"	"2"	"2"	"3"	"3"	"0"	"0"	"1"	"291"	""	"291"	""	""
"289"	"5"	"229"	"59"	"43"	"45"	"136"	"7"	"11"	"4"	"5"	"42"	"4"	"3"	"1"	"3"	"3"	"4"	"2"	"372"	""	"372"	""	""
"290"	"6"	"230"	"51"	"28"	"103"	"92"	"11"	"6"	"1"	"5"	"161"	"5"	"9"	"3"	"6"	"4"	"1"	"6"	"492"	""	"492"	""	""
"291"	"7"	"231"	"232"	"5"	"53"	"79"	"4"	"3"	"1"	"2"	"69"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"454"	""	"454"	""	""
"292"	"8"	"232"	"64"	"1"	"172"	"50"	"5"	"2"	"1"	"3"	"21"	"0"	"0"	"0"	"2"	"3"	"0"	"2"	"326"	""	"326"	""	""
"293"	"9"	"233"	"11"	"8"	"186"	"47"	"5"	"2"	"0"	"1"	"19"	"2"	"2"	"0"	"3"	"1"	"1"	"3"	"291"	""	"291"	""	""
"294"	"10"	"234"	"7"	"3"	"164"	"12"	"2"	"0"	"1"	"2"	"28"	"2"	"2"	"0"	"2"	"5"	"0"	"0"	"230"	""	"230"	""	""
"295"	"11"	"235"	"29"	"19"	"143"	"128"	"6"	"6"	"1"	"2"	"69"	"2"	"5"	"1"	"5"	"2"	"0"	"4"	"422"	""	"422"	""	""
"296"	"12"	"236"	"45"	"5"	"63"	"124"	"9"	"4"	"4"	"3"	"107"	"1"	"5"	"4"	"4"	"2"	"1"	"1"	"382"	""	"382"	""	""
"297"	"13"	"237"	"68"	"18"	"12"	"26"	"3"	"10"	"0"	"1"	"20"	"0"	"0"	"0"	"2"	"1"	"0"	"3"	"164"	""	"164"	""	""
"298"	"14"	"238"	"30"	"22"	"208"	"70"	"11"	"38"	"1"	"3"	"45"	"5"	"6"	"3"	"11"	"10"	"5"	"15"	"483"	""	"483"	""	""
"299"	"<U+092F><U+094B><U+0917>"	""	"998"	"212"	"1517"	"980"	"74"	"150"	"26"	"36"	"942"	"30"	"38"	"20"	"57"	"44"	"18"	"47"	"5189"	"0"	"5189"	"0"	"0"
"300"	"1"	"239"	"54"	"4"	"104"	"216"	"14"	"13"	"2"	"3"	"49"	"6"	"19"	"10"	"14"	"5"	"8"	"20"	"541"	""	"541"	""	""
"301"	"<U+092F><U+094B><U+0917>"	""	"54"	"4"	"104"	"216"	"14"	"13"	"2"	"3"	"49"	"6"	"19"	"10"	"14"	"5"	"8"	"20"	"541"	"0"	"541"	"0"	"0"
