"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"
"179"	"Total:-"	"906"	""	"1183"	""	""	"1989"	""	""	""	""	"263"	""	""	""	""	"2462"	""	""	""	""	""	"83"	""	""	""	""	"49"	""	""	""	"33"	""	""	""	"40"	""	""	""	"48"	""	""	""	"59"	""	""	""	""	"110"	""	""	""	"45"	""	""	"241"	""	""	""	""	"7511"	""	""	""	""	""	""	""	""	""	""	""	""	"7511"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"Round  No.09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"187"	""	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	""	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""
"189"	"100"	""	"45"	""	"13"	""	""	"8"	""	""	""	""	"7"	""	""	""	""	""	"290"	""	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	"12"	""	""	""	"395"	""	""	""	""	""	""	"0"	""	""	""	""	""	"395"	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"101"	""	"21"	""	"8"	""	""	"40"	""	""	""	""	"48"	""	""	""	""	""	"177"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	"4"	""	""	""	"314"	""	""	""	""	""	""	"0"	""	""	""	""	""	"314"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"102"	""	"106"	""	"14"	""	""	"5"	""	""	""	""	"19"	""	""	""	""	""	"431"	""	""	""	""	""	"10"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	"17"	""	""	""	"620"	""	""	""	""	""	""	"0"	""	""	""	""	""	"620"	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"103"	""	"172"	""	"24"	""	""	"48"	""	""	""	""	"52"	""	""	""	""	""	"184"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"4"	""	""	""	"10"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	"3"	""	""	"29"	""	""	""	"550"	""	""	""	""	""	""	"0"	""	""	""	""	""	"550"	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"104"	""	"91"	""	"42"	""	""	"50"	""	""	""	""	"19"	""	""	""	""	""	"268"	""	""	""	""	""	"5"	""	""	""	""	"8"	""	""	""	"5"	""	""	""	"4"	""	""	""	"9"	""	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"11"	""	""	""	"523"	""	""	""	""	""	""	"0"	""	""	""	""	""	"523"	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"105"	""	"13"	""	"1"	""	""	"3"	""	""	""	""	"25"	""	""	""	""	""	"390"	""	""	""	""	""	"11"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	"13"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	"7"	""	""	""	"476"	""	""	""	""	""	""	"0"	""	""	""	""	""	"476"	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"106"	""	"82"	""	"120"	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"16"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"6"	""	""	""	"232"	""	""	""	""	""	""	"0"	""	""	""	""	""	"232"	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"107"	""	"75"	""	"81"	""	""	"105"	""	""	""	""	"7"	""	""	""	""	""	"533"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	"5"	""	""	""	"825"	""	""	""	""	""	""	"0"	""	""	""	""	""	"825"	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"108"	""	"116"	""	"5"	""	""	"80"	""	""	""	""	"3"	""	""	""	""	""	"331"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"4"	""	""	""	"12"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	"16"	""	""	""	"585"	""	""	""	""	""	""	"0"	""	""	""	""	""	"585"	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"109"	""	"77"	""	"109"	""	""	"105"	""	""	""	""	"73"	""	""	""	""	""	"48"	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	"16"	""	""	""	"451"	""	""	""	""	""	""	"0"	""	""	""	""	""	"451"	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"110"	""	"14"	""	"14"	""	""	"122"	""	""	""	""	"6"	""	""	""	""	""	"92"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	"4"	""	""	"3"	""	""	""	"277"	""	""	""	""	""	""	"0"	""	""	""	""	""	"277"	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"111"	""	"76"	""	"12"	""	""	"22"	""	""	""	""	"11"	""	""	""	""	""	"264"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	"18"	""	""	""	"422"	""	""	""	""	""	""	"0"	""	""	""	""	""	"422"	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"112"	""	"25"	""	"54"	""	""	"124"	""	""	""	""	"13"	""	""	""	""	""	"163"	""	""	""	""	""	"7"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"3"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"10"	""	""	""	""	"8"	""	""	"14"	""	""	""	"442"	""	""	""	""	""	""	"0"	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"113"	""	"67"	""	"80"	""	""	"94"	""	""	""	""	"24"	""	""	""	""	""	"149"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	"11"	""	""	""	"446"	""	""	""	""	""	""	"0"	""	""	""	""	""	"446"	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Total:-"	""	"980"	""	"577"	""	""	"811"	""	""	""	""	"309"	""	""	""	""	""	"3336"	""	""	""	""	""	"58"	""	""	""	""	"46"	""	""	""	"19"	""	""	""	"35"	""	""	""	"78"	""	""	""	""	"47"	""	""	""	""	"61"	""	""	""	""	"32"	""	""	"169"	""	""	""	"-6558"	""	""	""	""	""	""	""	""	""	""	""	""	"-6558"	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"Election to the Bihar Legislative Assembly Election - 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"Round  No.10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Sl. No. of Polling Station"	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""	""	""
"211"	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	"14"	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""	""
"213"	"114"	"26"	""	"15"	""	""	"42"	""	""	""	""	"3"	""	""	""	""	"143"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	"3"	""	""	""	""	"238"	""	""	""	""	""	"0"	""	""	""	""	""	""	"238"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"115"	"26"	""	"33"	""	""	"110"	""	""	""	""	"6"	""	""	""	""	"164"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"8"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"3"	""	""	"10"	""	""	""	""	"375"	""	""	""	""	""	"0"	""	""	""	""	""	""	"375"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"115A"	"82"	""	"22"	""	""	"113"	""	""	""	""	"35"	""	""	""	""	"175"	""	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	"3"	""	""	""	"4"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"1"	""	""	"4"	""	""	""	""	"462"	""	""	""	""	""	"0"	""	""	""	""	""	""	"462"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"116"	"16"	""	"1"	""	""	"114"	""	""	""	""	"5"	""	""	""	""	"125"	""	""	""	""	""	"2"	""	""	""	""	"13"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	"4"	""	""	""	""	"288"	""	""	""	""	""	"0"	""	""	""	""	""	""	"288"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"117"	"103"	""	"72"	""	""	"38"	""	""	""	""	"10"	""	""	""	""	"205"	""	""	""	""	""	"13"	""	""	""	""	"7"	""	""	""	"2"	""	""	""	"4"	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"0"	""	""	"10"	""	""	""	""	"476"	""	""	""	""	""	"0"	""	""	""	""	""	""	"476"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"118"	"81"	""	"25"	""	""	"7"	""	""	""	""	"35"	""	""	""	""	"244"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"4"	""	""	""	"9"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"1"	""	""	"12"	""	""	""	""	"429"	""	""	""	""	""	"0"	""	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"118A"	"81"	""	"50"	""	""	"57"	""	""	""	""	"6"	""	""	""	""	"155"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	"5"	""	""	""	""	"358"	""	""	""	""	""	"0"	""	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"119"	"43"	""	"5"	""	""	"79"	""	""	""	""	"13"	""	""	""	""	"87"	""	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"3"	""	""	""	"6"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"6"	""	""	"13"	""	""	""	""	"271"	""	""	""	""	""	"0"	""	""	""	""	""	""	"271"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"120"	"77"	""	"16"	""	""	"133"	""	""	""	""	"74"	""	""	""	""	"287"	""	""	""	""	""	"4"	""	""	""	""	"35"	""	""	""	"2"	""	""	""	"0"	""	""	""	"21"	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"1"	""	""	"1"	""	""	""	""	"655"	""	""	""	""	""	"0"	""	""	""	""	""	""	"655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"121"	"89"	""	"127"	""	""	"52"	""	""	""	""	"17"	""	""	""	""	"319"	""	""	""	""	""	"5"	""	""	""	""	"44"	""	""	""	"1"	""	""	""	"3"	""	""	""	"11"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"1"	""	""	"13"	""	""	""	""	"695"	""	""	""	""	""	"0"	""	""	""	""	""	""	"695"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"122"	"14"	""	"10"	""	""	"16"	""	""	""	""	"75"	""	""	""	""	"355"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"1"	""	""	"2"	""	""	""	""	"487"	""	""	""	""	""	"0"	""	""	""	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"123"	"185"	""	"5"	""	""	"10"	""	""	""	""	"23"	""	""	""	""	"60"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"3"	""	""	""	""	"290"	""	""	""	""	""	"0"	""	""	""	""	""	""	"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"124"	"7"	""	"2"	""	""	"0"	""	""	""	""	"43"	""	""	""	""	"249"	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	""	"311"	""	""	""	""	""	"0"	""	""	""	""	""	""	"311"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"125"	"73"	""	"16"	""	""	"11"	""	""	""	""	"162"	""	""	""	""	"262"	""	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"6"	""	""	""	"11"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"2"	""	""	"7"	""	""	""	""	"571"	""	""	""	""	""	"0"	""	""	""	""	""	""	"571"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Total:-"	"903"	""	"399"	""	""	"782"	""	""	""	""	"507"	""	""	""	""	"2830"	""	""	""	""	""	"59"	""	""	""	""	"124"	""	""	""	"19"	""	""	""	"30"	""	""	""	"83"	""	""	""	"29"	""	""	""	""	"36"	""	""	""	"17"	""	""	"88"	""	""	""	""	"-5906"	""	""	""	""	""	""	""	""	""	""	""	""	"-5906"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Round  No.11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Sl. No. of Polling Station"	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""	""	""
"235"	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	"14"	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""	""
"237"	"126"	"90"	""	"22"	""	""	"64"	""	""	""	""	"198"	""	""	""	""	"143"	""	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"1"	""	""	""	"10"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"3"	""	""	"8"	""	""	""	""	"555"	""	""	""	""	""	"0"	""	""	""	""	""	""	"555"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"127"	"60"	""	"99"	""	""	"131"	""	""	""	""	"172"	""	""	""	""	"147"	""	""	""	""	""	"4"	""	""	""	""	"19"	""	""	""	"2"	""	""	""	"3"	""	""	""	"3"	""	""	""	"6"	""	""	""	""	"11"	""	""	""	"3"	""	""	"18"	""	""	""	""	"678"	""	""	""	""	""	"0"	""	""	""	""	""	""	"678"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
