"No..and.Name.of.Assembly.Constituency.44..Sonepur.Round.No..01"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"
"217"	"138"	"1"	""	"1"	""	""	"189"	""	""	""	"397"	""	""	""	""	""	""	"8"	""	""	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"615"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"139"	"10"	""	"29"	""	""	"371"	""	""	""	"173"	""	""	""	""	""	""	"6"	""	""	""	""	""	"8"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"610"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"140"	"35"	""	"9"	""	""	"399"	""	""	""	"65"	""	""	""	""	""	""	"9"	""	""	""	""	""	"13"	""	""	""	""	""	"9"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"551"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"141"	"5"	""	"0"	""	""	"214"	""	""	""	"26"	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"142"	"9"	""	"0"	""	""	"45"	""	""	""	"478"	""	""	""	""	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"551"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"143"	"7"	""	"4"	""	""	"174"	""	""	""	"122"	""	""	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"144"	"41"	""	"7"	""	""	"133"	""	""	""	"314"	""	""	""	""	""	""	"15"	""	""	""	""	""	"10"	""	""	""	""	""	"9"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"543"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"145"	"46"	""	"10"	""	""	"284"	""	""	""	"168"	""	""	""	""	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"537"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"146"	"18"	""	"3"	""	""	"174"	""	""	""	"237"	""	""	""	""	""	""	"14"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"468"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"147"	"6"	""	"8"	""	""	"14"	""	""	""	"493"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"533"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Total"	"241"	""	"88"	""	""	"3033"	""	""	""	"3599"	""	""	""	""	""	""	"110"	""	""	""	""	""	"81"	""	""	""	""	""	"64"	""	""	""	""	""	""	"99"	""	""	""	""	""	""	""	"7315"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	"Ramanu j Prasad"	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwan andan Das"	""	""	""	""	"Harendr a Ram"	""	""	""	"Total of Vaild Votes"	""	""	""	""	""	""	""	"No.of rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"148"	"4"	""	"2"	""	""	"132"	""	""	""	"430"	""	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	"0"	""	""	""	"583"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"149"	"11"	""	"3"	""	""	"159"	""	""	""	"305"	""	""	""	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	"502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"150"	"6"	""	"6"	""	""	"54"	""	""	""	"700"	""	""	""	""	""	""	"11"	""	""	""	""	""	"5"	""	""	""	""	""	"7"	""	""	""	""	"5"	""	""	""	"794"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"151"	"11"	""	"4"	""	""	"34"	""	""	""	"719"	""	""	""	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"782"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"152"	"3"	""	"1"	""	""	"168"	""	""	""	"148"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"327"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"153"	"15"	""	"3"	""	""	"234"	""	""	""	"250"	""	""	""	""	""	""	"11"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"524"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"154"	"9"	""	"5"	""	""	"224"	""	""	""	"218"	""	""	""	""	""	""	"11"	""	""	""	""	""	"5"	""	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"155"	"10"	""	"14"	""	""	"143"	""	""	""	"174"	""	""	""	""	""	""	"4"	""	""	""	""	""	"9"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"356"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"155A"	"11"	""	"1"	""	""	"214"	""	""	""	"314"	""	""	""	""	""	""	"8"	""	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"564"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"156"	"11"	""	"4"	""	""	"99"	""	""	""	"296"	""	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"423"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"157"	"16"	""	"1"	""	""	"38"	""	""	""	"493"	""	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"565"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"158"	"8"	""	"4"	""	""	"93"	""	""	""	"218"	""	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"158A"	"6"	""	"4"	""	""	"37"	""	""	""	"297"	""	""	""	""	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	"360"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"159"	"6"	""	"0"	""	""	"23"	""	""	""	"535"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"570"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Total"	"127"	""	"52"	""	""	"1652"	""	""	""	"5097"	""	""	""	""	""	""	"101"	""	""	""	""	""	"51"	""	""	""	""	""	"46"	""	""	""	""	"50"	""	""	""	"7176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	""	"Atul kumar Singh"	""	""	"Tej N.Mahto"	""	""	""	"Ramanuj Prasad"	""	""	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	"Bishwanand an Das"	""	""	""	""	""	""	"Harendra Ram"	""	""	""	""	""	""	""	"Total of Vaild Votes"	""	""	""	""	""	"No.of rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"160"	"6"	""	""	"8"	""	""	""	"160"	""	""	""	""	""	"341"	""	""	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"531"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"161"	"25"	""	""	"6"	""	""	""	"331"	""	""	""	""	""	"250"	""	""	""	""	""	"14"	""	""	""	""	"11"	""	""	""	""	"7"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"656"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"162"	"12"	""	""	"2"	""	""	""	"142"	""	""	""	""	""	"87"	""	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"264"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"163"	"12"	""	""	"3"	""	""	""	"165"	""	""	""	""	""	"78"	""	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"293"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"164"	"15"	""	""	"6"	""	""	""	"127"	""	""	""	""	""	"404"	""	""	""	""	""	"8"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"575"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"165"	"3"	""	""	"3"	""	""	""	"63"	""	""	""	""	""	"287"	""	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"166"	"7"	""	""	"13"	""	""	""	"367"	""	""	""	""	""	"13"	""	""	""	""	""	"16"	""	""	""	""	"13"	""	""	""	""	"7"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"445"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"167"	"13"	""	""	"9"	""	""	""	"380"	""	""	""	""	""	"218"	""	""	""	""	""	"17"	""	""	""	""	"11"	""	""	""	""	"7"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"666"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"168"	"9"	""	""	"5"	""	""	""	"221"	""	""	""	""	""	"385"	""	""	""	""	""	"2"	""	""	""	""	"10"	""	""	""	""	"6"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"648"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"169"	"9"	""	""	"6"	""	""	""	"441"	""	""	""	""	""	"24"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"496"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"170"	"16"	""	""	"5"	""	""	""	"220"	""	""	""	""	""	"263"	""	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"526"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"171"	"28"	""	""	"6"	""	""	""	"220"	""	""	""	""	""	"269"	""	""	""	""	""	"14"	""	""	""	""	"9"	""	""	""	""	"4"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"558"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"172"	"30"	""	""	"4"	""	""	""	"358"	""	""	""	""	""	"107"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"511"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"173"	"43"	""	""	"10"	""	""	""	"229"	""	""	""	""	""	"290"	""	""	""	""	""	"13"	""	""	""	""	"10"	""	""	""	""	"6"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"606"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Total"	"228"	""	""	"86"	""	""	""	"3424"	""	""	""	""	""	"3016"	""	""	""	""	""	"123"	""	""	""	""	"97"	""	""	""	""	"68"	""	""	""	""	""	""	"100"	""	""	""	""	""	""	""	"7142"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"No. and Name of Assembly Constituency-44- Sonepur Round No.-15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling Station"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	"Ramanu j Prasad"	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwan andan Das"	""	""	""	""	"Harendr a Ram"	""	""	""	"Total of Vaild Votes"	""	""	""	""	""	""	""	"No.of rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"174"	"18"	""	"6"	""	""	"281"	""	""	""	"147"	""	""	""	""	""	""	"15"	""	""	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	"9"	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"175"	"4"	""	"2"	""	""	"162"	""	""	""	"246"	""	""	""	""	""	""	"7"	""	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	"436"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"176"	"26"	""	"5"	""	""	"176"	""	""	""	"172"	""	""	""	""	""	""	"20"	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"415"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"177"	"1"	""	"0"	""	""	"4"	""	""	""	"292"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"177A"	"8"	""	"4"	""	""	"91"	""	""	""	"135"	""	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"245"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"178"	"4"	""	"1"	""	""	"14"	""	""	""	"184"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"214"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"179"	"23"	""	"4"	""	""	"67"	""	""	""	"267"	""	""	""	""	""	""	"12"	""	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"179A"	"12"	""	"1"	""	""	"47"	""	""	""	"183"	""	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"180"	"18"	""	"7"	""	""	"75"	""	""	""	"205"	""	""	""	""	""	""	"9"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"181"	"61"	""	"10"	""	""	"97"	""	""	""	"98"	""	""	""	""	""	""	"12"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	"11"	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Total"	"175"	""	"40"	""	""	"1014"	""	""	""	"1929"	""	""	""	""	""	""	"92"	""	""	""	""	""	"39"	""	""	""	""	""	"32"	""	""	""	""	"47"	""	""	""	"3368"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"No. and Name of Assembly Constituency-44- Sonepur Round Wise"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Serial No. of Round Wise"	"No of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	""	"Atul kumar Singh"	""	"Tej N.Mahto"	""	""	"Ramanu j Prasad"	""	""	""	"Vinay Kumar Singh"	""	""	""	""	""	""	"Raj Kumar Rai"	""	""	""	""	""	"Uday Shankar Rai"	""	""	""	""	""	"Bishwan andan Das"	""	""	""	""	"Harendr a Ram"	""	""	""	"Total of Vaild Votes"	""	""	""	""	""	""	""	"No.of rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of tendere d Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"1"	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"1"	"419"	""	"194"	""	""	"2446"	""	""	""	"3027"	""	""	""	""	""	""	"107"	""	""	""	""	""	"58"	""	""	""	""	""	"60"	""	""	""	""	"90"	""	""	""	"6401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"2"	"239"	""	"207"	""	""	"2906"	""	""	""	"3004"	""	""	""	""	""	""	"115"	""	""	""	""	""	"82"	""	""	""	""	""	"69"	""	""	""	""	"111"	""	""	""	"6733"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"3"	"276"	""	"153"	""	""	"2851"	""	""	""	"3199"	""	""	""	""	""	""	"109"	""	""	""	""	""	"70"	""	""	""	""	""	"65"	""	""	""	""	"62"	""	""	""	"6785"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"4"	"281"	""	"113"	""	""	"3225"	""	""	""	"2698"	""	""	""	""	""	""	"88"	""	""	""	""	""	"65"	""	""	""	""	""	"60"	""	""	""	""	"95"	""	""	""	"6625"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"5"	"471"	""	"74"	""	""	"2460"	""	""	""	"3307"	""	""	""	""	""	""	"120"	""	""	""	""	""	"72"	""	""	""	""	""	"64"	""	""	""	""	"90"	""	""	""	"6658"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
