"Polling.Station.No"	"Total.No.of.Electors.at.the.polling.Station"	"Votes.polled.candidate.in.desending.order"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.Vote.polled"	"X..Vote.Polled"	"Nature.of.booth.hyper.sensitive.s.ensitive"	"Type.of.force.CPMF.CR.PF.CISF.B.SF.SAP.D.AP.HG"	"Strength.of.force..1.4...2.8."	"Repoll.if.any.reasons"	"X..of.votes.polled.on.repoll"
"449"	"203"	"703"	"146"	"43.84"	"108"	"32.43"	"44"	"13.21"	"11"	"3.3"	"24"	"7.21"	"333"	"47.37"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"450"	"204"	"516"	"218"	"81.95"	"41"	"15.41"	"4"	"1.5"	"2"	"0.75"	"1"	"0.38"	"266"	"51.55"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"451"	"205"	"401"	"63"	"32.14"	"118"	"60.2"	"11"	"5.61"	"2"	"1.02"	"2"	"1.02"	"196"	"48.88"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"452"	"206"	"1199"	"291"	"50"	"183"	"31.44"	"41"	"7.04"	"37"	"6.36"	"30"	"5.15"	"582"	"48.54"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"453"	"207"	"1306"	"176"	"40.93"	"87"	"20.23"	"116"	"26.98"	"25"	"5.81"	"26"	"6.05"	"430"	"32.92"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"454"	"208"	"1151"	"187"	"34.44"	"242"	"44.57"	"98"	"18.05"	"7"	"1.29"	"9"	"1.66"	"543"	"47.18"	"Hyper sensitive"	"BMP 19"	"Half Sec."	""	""
"455"	"209"	"1286"	"246"	"42.78"	"200"	"34.78"	"72"	"12.52"	"16"	"2.78"	"41"	"7.13"	"575"	"44.71"	"Hyper sensitive"	"BMP 19"	"Half Sec."	""	""
"456"	"210"	"850"	"172"	"41.95"	"171"	"41.71"	"47"	"11.46"	"10"	"2.44"	"10"	"2.44"	"410"	"48.24"	"Hyper sensitive"	"BMP 19"	"Half Sec."	""	""
"457"	"211"	"1219"	"297"	"50.94"	"172"	"29.5"	"57"	"9.78"	"20"	"3.43"	"37"	"6.35"	"583"	"47.83"	"Hyper sensitive"	"BMP 19"	"Half Sec."	""	""
"458"	"212"	"1302"	"336"	"67.74"	"102"	"20.56"	"30"	"6.05"	"9"	"1.81"	"19"	"3.83"	"496"	"38.1"	"Hyper sensitive"	"BMP 19"	"Half Sec."	""	""
"459"	"213"	"1072"	"202"	"32.22"	"137"	"21.85"	"173"	"27.59"	"80"	"12.76"	"35"	"5.58"	"627"	"58.49"	"Hyper sensitive"	"BMP 19"	"Half Sec."	""	""
"460"	"214"	"1087"	"177"	"27.36"	"383"	"59.2"	"53"	"8.19"	"12"	"1.85"	"22"	"3.4"	"647"	"59.52"	"Hyper sensitive"	"BMP 19"	"Ful Sec."	""	""
"461"	";ksx"	"14361"	"2714"	"40.62"	"2376"	"35.56"	"969"	"14.5"	"279"	"4.18"	"343"	"5.13"	"6681"	"46.52"	""	""	""	""	""
"462"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"463"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"464"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"465"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"466"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"467"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"468"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"469"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"470"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"471"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"472"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"473"	"215"	"936"	"208"	"46.53"	"182"	"40.72"	"33"	"7.38"	"10"	"2.24"	"14"	"3.13"	"447"	"47.76"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"474"	"216"	"852"	"294"	"62.29"	"107"	"22.67"	"44"	"9.32"	"12"	"2.54"	"15"	"3.18"	"472"	"55.4"	"Hyper sensitive"	"BMP"	"Half Sec."	""	""
"475"	"217"	"1279"	"256"	"32.53"	"327"	"41.55"	"129"	"16.39"	"36"	"4.57"	"39"	"4.96"	"787"	"61.53"	"Hyper sensitive"	"DAP+BHG"	"Half Sec."	""	""
"476"	"218"	"839"	"272"	"61.96"	"115"	"26.2"	"31"	"7.06"	"6"	"1.37"	"15"	"3.42"	"439"	"52.32"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"477"	"219"	"697"	"219"	"56.01"	"122"	"31.2"	"6"	"1.53"	"8"	"2.05"	"36"	"9.21"	"391"	"56.1"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"478"	"220"	"984"	"98"	"18.99"	"355"	"68.8"	"35"	"6.78"	"11"	"2.13"	"17"	"3.29"	"516"	"52.44"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"479"	"221"	"1077"	"197"	"32.4"	"270"	"44.41"	"80"	"13.16"	"36"	"5.92"	"25"	"4.11"	"608"	"56.45"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"480"	"222"	"1278"	"294"	"43.62"	"278"	"41.25"	"40"	"5.93"	"29"	"4.3"	"33"	"4.9"	"674"	"52.74"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"481"	"223"	"1113"	"365"	"65.18"	"116"	"20.71"	"35"	"6.25"	"18"	"3.21"	"26"	"4.64"	"560"	"50.31"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"482"	"224"	"1024"	"227"	"41.65"	"252"	"46.24"	"44"	"8.07"	"9"	"1.65"	"13"	"2.39"	"545"	"53.22"	"Hyper sensitive"	"CPMF."	"Half Sec."	""	""
"483"	"225"	"1006"	"278"	"47.04"	"176"	"29.78"	"55"	"9.31"	"59"	"9.98"	"23"	"3.89"	"591"	"58.75"	"Hyper sensitive"	"CPMF."	"Ful Sec."	""	""
"484"	"226"	"1072"	"220"	"37.61"	"223"	"38.12"	"32"	"5.47"	"26"	"4.44"	"84"	"14.36"	"585"	"54.57"	"Hyper sensitive"	"CPMF."	"3_12"	""	""
"485"	"227"	"622"	"182"	"54.65"	"50"	"15.02"	"68"	"20.42"	"17"	"5.11"	"16"	"4.8"	"333"	"53.54"	"Hyper sensitive"	"CPMF."	"3_12"	""	""
"486"	"227d"	"942"	"197"	"36.69"	"182"	"33.89"	"68"	"12.66"	"14"	"2.61"	"76"	"14.15"	"537"	"57.01"	"Hyper sensitive"	"CPMF."	"3_12"	""	""
"487"	";ksx"	"13721"	"3307"	"44.18"	"2755"	"36.81"	"700"	"9.35"	"291"	"3.89"	"432"	"5.77"	"7485"	"54.55"	""	""	""	""	""
"488"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"489"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"490"	"Polling"	"Total"	"Votes polled candidate in desending order"	""	""	""	""	""	""	""	""	""	"Total"	"%"	"Nature of"	"Type of"	"Strength"	"Repoll"	"% of"
"491"	"Station"	"No of"	"I"	""	"II"	""	"III"	""	"IV"	""	"V"	""	"Vote"	"Vote"	"booth"	"force"	"of force"	"if any"	"votes"
"492"	"No"	"Electors"	"Jawahar Prasad"	""	"Dr. Ashok Kumar"	""	"Abdul Star"	""	"Bihari Prasad"	""	"Other"	""	"polled"	"Polled"	"hyper"	"CPMF/CR"	"(1-4)"	"reasons"	"polled"
"493"	""	"at the"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	"Total"	"% a"	""	""	"sensitive/s"	"PF/CISF/B"	"(2-8)"	""	"on"
"494"	""	"polling"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	"Vote"	"gainst"	""	""	"ensitive"	"SF/SAP/D"	""	""	"repoll"
"495"	""	"Station"	""	"total"	""	"total"	""	"total"	""	"total"	""	"total"	""	""	""	"AP/HG"	""	""	""
"496"	""	""	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	"vote"	""	""	""	""	""	""	""
"497"	""	""	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	"polled"	""	""	""	""	""	""	""
"498"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"499"	"228"	"276"	"61"	"40.4"	"69"	"45.7"	"13"	"8.61"	"3"	"1.99"	"5"	"3.31"	"151"	"54.71"	"Hyper sensitive"	"CPMF."	"3_12"	""	""
"500"	"229"	"1121"	"56"	"58.33"	"28"	"29.17"	"7"	"7.29"	"3"	"3.13"	"2"	"2.08"	"96"	"8.564"	"Hyper sensitive"	"CPMF."	"3_12"	""	""
"501"	"230"	"762"	"35"	"67.31"	"15"	"28.85"	"0"	"0"	"1"	"1.92"	"1"	"1.92"	"52"	"6.824"	"Hyper sensitive"	"CPMF."	"3_12"	""	""
"502"	"231"	"785"	"65"	"64.36"	"24"	"23.76"	"2"	"1.98"	"3"	"2.97"	"7"	"6.93"	"101"	"12.87"	"Hyper sensitive"	"CPMF."	"3_12"	""	""
"503"	"231d"	"726"	"87"	"61.7"	"36"	"25.53"	"4"	"2.84"	"8"	"5.67"	"6"	"4.26"	"141"	"19.42"	"Hyper sensitive"	"CPMF."	"3_12"	""	""
"504"	";ksx"	"3670"	"304"	"56.19"	"172"	"31.79"	"26"	"4.81"	"18"	"3.33"	"21"	"3.88"	"541"	"14.74"	""	""	""	""	""
"505"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"506"	"214- Sasaram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
