"X..FORM.20...FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.187.MASAURHI.ASSEMBLY.CONSTITUNECY.ROUND...1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment....................................................................230522"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	""	""	""	""	""	""	""	"i"	""	""	"r"	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""
"312"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
ROUND - 12
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"319"	"-148"	""	"5"	""	"2"	""	"8"	""	""	"368"	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"385"	""	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""
"320"	"-149"	""	"19"	""	"5"	""	"173"	""	""	"131"	""	""	"17"	""	""	"13"	""	""	""	"12"	""	""	"6"	""	""	"8"	""	""	"384"	""	""	""	""	""	""	""	"384"	""	""	""	""	""	""	""	""	""	""
"321"	"-150"	""	"521"	""	"0"	""	"3"	""	""	"39"	""	""	"7"	""	""	"3"	""	""	""	"1"	""	""	"2"	""	""	"3"	""	""	"579"	""	""	""	""	""	""	""	"579"	""	""	""	""	""	""	""	""	""	""
"322"	"-151"	""	"433"	""	"71"	""	"93"	""	""	"44"	""	""	"6"	""	""	"5"	""	""	""	"4"	""	""	"4"	""	""	"4"	""	""	"664"	""	""	""	""	""	""	""	"664"	""	""	""	""	""	""	""	""	""	""
"323"	"-152"	""	"5"	""	"1"	""	"298"	""	""	"58"	""	""	"12"	""	""	"3"	""	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"379"	""	""	""	""	""	""	""	"379"	""	""	""	""	""	""	""	""	""	""
"324"	"-153"	""	"11"	""	"1"	""	"332"	""	""	"26"	""	""	"7"	""	""	"1"	""	""	""	"3"	""	""	"5"	""	""	"1"	""	""	"387"	""	""	""	""	""	""	""	"387"	""	""	""	""	""	""	""	""	""	""
"325"	"-154"	""	"312"	""	"2"	""	"38"	""	""	"36"	""	""	"21"	""	""	"4"	""	""	""	"4"	""	""	"3"	""	""	"4"	""	""	"424"	""	""	""	""	""	""	""	"424"	""	""	""	""	""	""	""	""	""	""
"326"	"-155"	""	"136"	""	"0"	""	"29"	""	""	"3"	""	""	"22"	""	""	"2"	""	""	""	"2"	""	""	"5"	""	""	"2"	""	""	"201"	""	""	""	""	""	""	""	"201"	""	""	""	""	""	""	""	""	""	""
"327"	"-156"	""	"150"	""	"44"	""	"20"	""	""	"13"	""	""	"111"	""	""	"5"	""	""	""	"10"	""	""	"4"	""	""	"15"	""	""	"372"	""	""	""	""	""	""	""	"372"	""	""	""	""	""	""	""	""	""	""
"328"	"-157"	""	"39"	""	"3"	""	"215"	""	""	"14"	""	""	"59"	""	""	"7"	""	""	""	"6"	""	""	"0"	""	""	"6"	""	""	"349"	""	""	""	""	""	""	""	"349"	""	""	""	""	""	""	""	""	""	""
"329"	"-158"	""	"149"	""	"0"	""	"3"	""	""	"4"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"3"	""	""	"160"	""	""	""	""	""	""	""	"160"	""	""	""	""	""	""	""	""	""	""
"330"	"158A"	""	"152"	""	"2"	""	"4"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	"4"	""	""	"0"	""	""	"1"	""	""	"167"	""	""	""	""	""	""	""	"167"	""	""	""	""	""	""	""	""	""	""
"331"	"-159"	""	"46"	""	"0"	""	"111"	""	""	"10"	""	""	"3"	""	""	"0"	""	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"174"	""	""	""	""	""	""	""	"174"	""	""	""	""	""	""	""	""	""	""
"332"	"-160"	""	"203"	""	"6"	""	"77"	""	""	"30"	""	""	"6"	""	""	"3"	""	""	""	"1"	""	""	"2"	""	""	"5"	""	""	"333"	""	""	""	""	""	""	""	"333"	""	""	""	""	""	""	""	""	""	""
"333"	"Total"	""	"2181"	""	"137"	""	"1404"	""	""	"778"	""	""	"272"	""	""	"50"	""	""	""	"49"	""	""	"32"	""	""	"55"	""	""	"4958"	""	""	""	"0"	""	""	""	"4958"	""	"0"	""	""	""	""	""	""	""	""
"334"	"Till last Round"	""	"28437"	""	"1388"	""	"15376"	""	""	"3937"	""	""	"8331"	""	""	"840"	""	""	""	"1173"	""	""	"426"	""	""	"1288"	""	""	"61196"	""	""	""	"0"	""	""	""	"61196"	""	"0"	""	""	""	""	""	""	""	""
"335"	"Grand Total"	""	"30618"	""	"1525"	""	"16780"	""	""	"4715"	""	""	"8603"	""	""	"890"	""	""	""	"1222"	""	""	"458"	""	""	"1343"	""	""	"66154"	""	""	""	"0"	""	""	""	"66154"	""	"0"	""	""	""	""	""	""	""	""
"336"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
ROUND - 13
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"345"	"-161"	""	"112"	""	"0"	""	"19"	""	""	"65"	""	""	"123"	""	""	"15"	""	""	""	"3"	""	""	"7"	""	""	"8"	""	""	"352"	""	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	""	""
"346"	"-162"	""	"60"	""	"4"	""	"194"	""	""	"54"	""	""	"45"	""	""	"8"	""	""	""	"6"	""	""	"1"	""	""	"10"	""	""	"382"	""	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""
"347"	"-163"	""	"252"	""	"8"	""	"27"	""	""	"24"	""	""	"7"	""	""	"4"	""	""	""	"5"	""	""	"2"	""	""	"10"	""	""	"339"	""	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""
"348"	"-164"	""	"266"	""	"2"	""	"0"	""	""	"3"	""	""	"15"	""	""	"1"	""	""	""	"6"	""	""	"1"	""	""	"1"	""	""	"295"	""	""	""	""	""	""	""	"295"	""	""	""	""	""	""	""	""	""	""
"349"	"164A"	""	"270"	""	"26"	""	"8"	""	""	"12"	""	""	"6"	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	"4"	""	""	"328"	""	""	""	""	""	""	""	"328"	""	""	""	""	""	""	""	""	""	""
"350"	"-165"	""	"69"	""	"2"	""	"120"	""	""	"5"	""	""	"15"	""	""	"0"	""	""	""	"4"	""	""	"1"	""	""	"2"	""	""	"218"	""	""	""	""	""	""	""	"218"	""	""	""	""	""	""	""	""	""	""
"351"	"-166"	""	"171"	""	"3"	""	"20"	""	""	"105"	""	""	"68"	""	""	"13"	""	""	""	"11"	""	""	"3"	""	""	"15"	""	""	"409"	""	""	""	""	""	""	""	"409"	""	""	""	""	""	""	""	""	""	""
"352"	"-167"	""	"24"	""	"2"	""	"93"	""	""	"23"	""	""	"150"	""	""	"9"	""	""	""	"15"	""	""	"4"	""	""	"7"	""	""	"327"	""	""	""	""	""	""	""	"327"	""	""	""	""	""	""	""	""	""	""
"353"	"-168"	""	"22"	""	"3"	""	"231"	""	""	"68"	""	""	"45"	""	""	"7"	""	""	""	"10"	""	""	"3"	""	""	"11"	""	""	"400"	""	""	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""
"354"	"-169"	""	"182"	""	"2"	""	"20"	""	""	"10"	""	""	"4"	""	""	"0"	""	""	""	"26"	""	""	"1"	""	""	"0"	""	""	"245"	""	""	""	""	""	""	""	"245"	""	""	""	""	""	""	""	""	""	""
"355"	"-170"	""	"88"	""	"1"	""	"7"	""	""	"5"	""	""	"79"	""	""	"5"	""	""	""	"7"	""	""	"2"	""	""	"1"	""	""	"195"	""	""	""	""	""	""	""	"195"	""	""	""	""	""	""	""	""	""	""
"356"	"-171"	""	"68"	""	"12"	""	"187"	""	""	"20"	""	""	"115"	""	""	"8"	""	""	""	"10"	""	""	"1"	""	""	"9"	""	""	"430"	""	""	""	""	""	""	""	"430"	""	""	""	""	""	""	""	""	""	""
"357"	"-172"	""	"90"	""	"3"	""	"172"	""	""	"18"	""	""	"125"	""	""	"5"	""	""	""	"14"	""	""	"2"	""	""	"5"	""	""	"434"	""	""	""	""	""	""	""	"434"	""	""	""	""	""	""	""	""	""	""
"358"	"-173"	""	"140"	""	"4"	""	"70"	""	""	"18"	""	""	"94"	""	""	"5"	""	""	""	"9"	""	""	"2"	""	""	"9"	""	""	"351"	""	""	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	""	""
"359"	"Total"	""	"1814"	""	"72"	""	"1168"	""	""	"430"	""	""	"891"	""	""	"80"	""	""	""	"126"	""	""	"32"	""	""	"92"	""	""	"4705"	""	""	""	"0"	""	""	""	"4705"	""	"0"	""	""	""	""	""	""	""	""
"360"	"Till last Round"	""	"30618"	""	"1525"	""	"16780"	""	""	"4715"	""	""	"8603"	""	""	"890"	""	""	""	"1222"	""	""	"458"	""	""	"1343"	""	""	"66154"	""	""	""	"0"	""	""	""	"66154"	""	"0"	""	""	""	""	""	""	""	""
"361"	"Grand Total"	""	"32432"	""	"1597"	""	"17948"	""	""	"5145"	""	""	"9494"	""	""	"970"	""	""	""	"1348"	""	""	"490"	""	""	"1435"	""	""	"70859"	""	""	""	"0"	""	""	""	"70859"	""	"0"	""	""	""	""	""	""	""	""
"362"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
ROUND - 14
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"371"	"-174"	""	"206"	""	"23"	""	"156"	""	""	"74"	""	""	"16"	""	""	"5"	""	""	""	"10"	""	""	"4"	""	""	"15"	""	""	"509"	""	""	""	""	""	""	""	"509"	""	""	""	""	""	""	""	""	""	""
"372"	"-175"	""	"167"	""	"63"	""	"152"	""	""	"76"	""	""	"7"	""	""	"6"	""	""	""	"7"	""	""	"5"	""	""	"12"	""	""	"495"	""	""	""	""	""	""	""	"495"	""	""	""	""	""	""	""	""	""	""
"373"	"-176"	""	"193"	""	"1"	""	"3"	""	""	"29"	""	""	"6"	""	""	"5"	""	""	""	"1"	""	""	"3"	""	""	"4"	""	""	"245"	""	""	""	""	""	""	""	"245"	""	""	""	""	""	""	""	""	""	""
"374"	"-177"	""	"14"	""	"1"	""	"570"	""	""	"8"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	"2"	""	""	"597"	""	""	""	""	""	""	""	"597"	""	""	""	""	""	""	""	""	""	""
"375"	"-178"	""	"108"	""	"6"	""	"401"	""	""	"28"	""	""	"5"	""	""	"3"	""	""	""	"8"	""	""	"1"	""	""	"2"	""	""	"562"	""	""	""	""	""	""	""	"562"	""	""	""	""	""	""	""	""	""	""
"376"	"-179"	""	"85"	""	"1"	""	"415"	""	""	"9"	""	""	"5"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"516"	""	""	""	""	""	""	""	"516"	""	""	""	""	""	""	""	""	""	""
"377"	"-180"	""	"44"	""	"5"	""	"152"	""	""	"36"	""	""	"41"	""	""	"4"	""	""	""	"6"	""	""	"1"	""	""	"2"	""	""	"291"	""	""	""	""	""	""	""	"291"	""	""	""	""	""	""	""	""	""	""
"378"	"-181"	""	"78"	""	"72"	""	"192"	""	""	"29"	""	""	"61"	""	""	"7"	""	""	""	"10"	""	""	"4"	""	""	"10"	""	""	"463"	""	""	""	""	""	""	""	"463"	""	""	""	""	""	""	""	""	""	""
"379"	"-182"	""	"157"	""	"6"	""	"103"	""	""	"18"	""	""	"89"	""	""	"6"	""	""	""	"9"	""	""	"3"	""	""	"8"	""	""	"399"	""	""	""	""	""	""	""	"399"	""	""	""	""	""	""	""	""	""	""
"380"	"-183"	""	"136"	""	"11"	""	"170"	""	""	"30"	""	""	"121"	""	""	"11"	""	""	""	"10"	""	""	"6"	""	""	"6"	""	""	"501"	""	""	""	""	""	""	""	"501"	""	""	""	""	""	""	""	""	""	""
"381"	"-184"	""	"213"	""	"6"	""	"34"	""	""	"8"	""	""	"74"	""	""	"9"	""	""	""	"2"	""	""	"1"	""	""	"18"	""	""	"365"	""	""	""	""	""	""	""	"365"	""	""	""	""	""	""	""	""	""	""
"382"	"-185"	""	"115"	""	"13"	""	"149"	""	""	"21"	""	""	"124"	""	""	"8"	""	""	""	"12"	""	""	"5"	""	""	"7"	""	""	"454"	""	""	""	""	""	""	""	"454"	""	""	""	""	""	""	""	""	""	""
"383"	"-186"	""	"110"	""	"2"	""	"34"	""	""	"3"	""	""	"124"	""	""	"8"	""	""	""	"3"	""	""	"0"	""	""	"3"	""	""	"287"	""	""	""	""	""	""	""	"287"	""	""	""	""	""	""	""	""	""	""
"384"	"-187"	""	"36"	""	"4"	""	"199"	""	""	"17"	""	""	"54"	""	""	"4"	""	""	""	"10"	""	""	"3"	""	""	"2"	""	""	"329"	""	""	""	""	""	""	""	"329"	""	""	""	""	""	""	""	""	""	""
"385"	"Total"	""	"1662"	""	"214"	""	"2730"	""	""	"386"	""	""	"727"	""	""	"76"	""	""	""	"90"	""	""	"37"	""	""	"91"	""	""	"6013"	""	""	""	"0"	""	""	""	"6013"	""	"0"	""	""	""	""	""	""	""	""
"386"	"Till last Round"	""	"32432"	""	"1597"	""	"17948"	""	""	"5145"	""	""	"9494"	""	""	"970"	""	""	""	"1348"	""	""	"490"	""	""	"1435"	""	""	"70859"	""	""	""	"0"	""	""	""	"70859"	""	"0"	""	""	""	""	""	""	""	""
"387"	"Grand Total"	""	"34094"	""	"1811"	""	"20678"	""	""	"5531"	""	""	"10221"	""	""	"1046"	""	""	""	"1438"	""	""	"527"	""	""	"1526"	""	""	"76872"	""	""	""	"0"	""	""	""	"76872"	""	"0"	""	""	""	""	""	""	""	""
"388"	"Place :-                A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"Date                    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"187, Masaurhi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"Singnature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 187 MASAURHI ASSEMBLY CONSTITUNECY
ROUND - 15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-                                                                 230522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"Serial no. of polling station"	""	""	""	""	""	"i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	"No. of tendered
votes"	""	""	""	""	""	""	""	""
"397"	"-188"	""	"5"	""	"1"	""	"445"	""	""	"6"	""	""	"6"	""	""	"1"	""	""	""	"2"	""	""	"0"	""	""	"2"	""	""	"468"	""	""	""	""	""	""	""	"468"	""	""	""	""	""	""	""	""	""	""
"398"	"-189"	""	"15"	""	"4"	""	"156"	""	""	"44"	""	""	"1"	""	""	"4"	""	""	""	"4"	""	""	"0"	""	""	"4"	""	""	"232"	""	""	""	""	""	""	""	"232"	""	""	""	""	""	""	""	""	""	""
"399"	"-190"	""	"113"	""	"4"	""	"275"	""	""	"9"	""	""	"55"	""	""	"2"	""	""	""	"4"	""	""	"4"	""	""	"4"	""	""	"470"	""	""	""	""	""	""	""	"470"	""	""	""	""	""	""	""	""	""	""
"400"	"-191"	""	"222"	""	"5"	""	"21"	""	""	"88"	""	""	"116"	""	""	"13"	""	""	""	"8"	""	""	"8"	""	""	"12"	""	""	"493"	""	""	""	""	""	""	""	"493"	""	""	""	""	""	""	""	""	""	""
"401"	"191A"	""	"192"	""	"2"	""	"9"	""	""	"16"	""	""	"47"	""	""	"3"	""	""	""	"8"	""	""	"2"	""	""	"1"	""	""	"280"	""	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	""	""
"402"	"-192"	""	"86"	""	"7"	""	"76"	""	""	"13"	""	""	"26"	""	""	"3"	""	""	""	"7"	""	""	"3"	""	""	"7"	""	""	"228"	""	""	""	""	""	""	""	"228"	""	""	""	""	""	""	""	""	""	""
"403"	"-193"	""	"28"	""	"3"	""	"181"	""	""	"41"	""	""	"131"	""	""	"10"	""	""	""	"7"	""	""	"2"	""	""	"5"	""	""	"408"	""	""	""	""	""	""	""	"408"	""	""	""	""	""	""	""	""	""	""
"404"	"-194"	""	"105"	""	"10"	""	"201"	""	""	"35"	""	""	"110"	""	""	"6"	""	""	""	"14"	""	""	"5"	""	""	"16"	""	""	"502"	""	""	""	""	""	""	""	"502"	""	""	""	""	""	""	""	""	""	""
"405"	"-195"	""	"186"	""	"9"	""	"25"	""	""	"27"	""	""	"82"	""	""	"4"	""	""	""	"4"	""	""	"0"	""	""	"4"	""	""	"341"	""	""	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""
"406"	"195A"	""	"18"	""	"2"	""	"103"	""	""	"12"	""	""	"92"	""	""	"8"	""	""	""	"7"	""	""	"2"	""	""	"3"	""	""	"247"	""	""	""	""	""	""	""	"247"	""	""	""	""	""	""	""	""	""	""
"407"	"-196"	""	"138"	""	"3"	""	"7"	""	""	"4"	""	""	"167"	""	""	"17"	""	""	""	"7"	""	""	"1"	""	""	"11"	""	""	"355"	""	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""
"408"	"-197"	""	"102"	""	"1"	""	"11"	""	""	"5"	""	""	"91"	""	""	"5"	""	""	""	"4"	""	""	"3"	""	""	"8"	""	""	"230"	""	""	""	""	""	""	""	"230"	""	""	""	""	""	""	""	""	""	""
"409"	"-198"	""	"19"	""	"4"	""	"205"	""	""	"12"	""	""	"21"	""	""	"5"	""	""	""	"9"	""	""	"3"	""	""	"9"	""	""	"287"	""	""	""	""	""	""	""	"287"	""	""	""	""	""	""	""	""	""	""
"410"	"-199"	""	"105"	""	"4"	""	"171"	""	""	"32"	""	""	"50"	""	""	"3"	""	""	""	"6"	""	""	"2"	""	""	"5"	""	""	"378"	""	""	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""
"411"	"Total"	""	"1334"	""	"59"	""	"1886"	""	""	"344"	""	""	"995"	""	""	"84"	""	""	""	"91"	""	""	"35"	""	""	"91"	""	""	"4919"	""	""	""	"0"	""	""	""	"4919"	""	"0"	""	""	""	""	""	""	""	""
"412"	"Till last Round"	""	"34094"	""	"1811"	""	"20678"	""	""	"5531"	""	""	"10221"	""	""	"1046"	""	""	""	"1438"	""	""	"527"	""	""	"1526"	""	""	"76872"	""	""	""	"0"	""	""	""	"76872"	""	"0"	""	""	""	""	""	""	""	""
"413"	"Grand Total"	""	"35428"	""	"1870"	""	"22564"	""	""	"5875"	""	""	"11216"	""	""	"1130"	""	""	""	"1529"	""	""	"562"	""	""	"1617"	""	""	"81791"	""	""	""	"0"	""	""	""	"81791"	""	"0"	""	""	""	""	""	""	""	""
