"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"
"179"	"Round No.10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""
"181"	""	""	"URMILA DEVI"	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	""	""	"1"	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"183"	"112"	""	"22"	""	"221"	""	""	""	"40"	""	""	""	""	"22"	""	""	""	""	""	"18"	""	""	""	""	"6"	""	""	""	"180"	""	""	""	"10"	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	"10"	""	""	""	""	""	"22"	""	""	""	""	"565"	""	""	""	""	"0"	""	""	""	""	"565"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"113"	""	"10"	""	"29"	""	""	""	"29"	""	""	""	""	"121"	""	""	""	""	""	"45"	""	""	""	""	"4"	""	""	""	"6"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	"93"	""	""	""	""	"344"	""	""	""	""	"0"	""	""	""	""	"344"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"114"	""	"0"	""	"154"	""	""	""	"74"	""	""	""	""	"7"	""	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	"146"	""	""	""	"13"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	""	"14"	""	""	""	""	"430"	""	""	""	""	"0"	""	""	""	""	"430"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"115"	""	"16"	""	"75"	""	""	""	"40"	""	""	""	""	"97"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"80"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	""	""	"33"	""	""	""	""	"370"	""	""	""	""	"0"	""	""	""	""	"370"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"116"	""	"7"	""	"217"	""	""	""	"60"	""	""	""	""	"8"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"19"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"10"	""	""	""	""	"330"	""	""	""	""	"0"	""	""	""	""	"330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"116A"	""	"8"	""	"139"	""	""	""	"16"	""	""	""	""	"85"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	"35"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	"84"	""	""	""	""	"386"	""	""	""	""	"0"	""	""	""	""	"386"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"117"	""	"16"	""	"167"	""	""	""	"88"	""	""	""	""	"23"	""	""	""	""	""	"17"	""	""	""	""	"4"	""	""	""	"34"	""	""	""	"4"	""	""	""	"4"	""	""	""	""	""	"11"	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	""	""	"121"	""	""	""	""	"502"	""	""	""	""	"0"	""	""	""	""	"502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"118"	""	"6"	""	"10"	""	""	""	"94"	""	""	""	""	"145"	""	""	""	""	""	"7"	""	""	""	""	"0"	""	""	""	"5"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"8"	""	""	""	""	""	"312"	""	""	""	""	"415"	""	""	""	""	"0"	""	""	""	""	"415"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"119"	""	"20"	""	"229"	""	""	""	"42"	""	""	""	""	"65"	""	""	""	""	""	"21"	""	""	""	""	"3"	""	""	""	"9"	""	""	""	"8"	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	""	"42"	""	""	""	""	"458"	""	""	""	""	"0"	""	""	""	""	"458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"120"	""	"28"	""	"304"	""	""	""	"59"	""	""	""	""	"125"	""	""	""	""	""	"5"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	"16"	""	""	""	""	""	"96"	""	""	""	""	"679"	""	""	""	""	"0"	""	""	""	""	"679"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"121"	""	"6"	""	"114"	""	""	""	"84"	""	""	""	""	"43"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"18"	""	""	""	""	"285"	""	""	""	""	"0"	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"122"	""	"10"	""	"94"	""	""	""	"106"	""	""	""	""	"46"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"34"	""	""	""	"2"	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"44"	""	""	""	""	"353"	""	""	""	""	"0"	""	""	""	""	"353"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"123"	""	"12"	""	"152"	""	""	""	"208"	""	""	""	""	"35"	""	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	"25"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	""	"14"	""	""	""	""	"12"	""	""	""	""	"10"	""	""	""	""	""	"52"	""	""	""	""	"540"	""	""	""	""	"0"	""	""	""	""	"540"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"124"	""	"0"	""	"4"	""	""	""	"4"	""	""	""	""	"286"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"299"	""	""	""	""	"0"	""	""	""	""	"299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Total"	""	"161"	""	"1909"	""	""	""	"944"	""	""	""	""	"1108"	""	""	""	""	""	"139"	""	""	""	""	"42"	""	""	""	"594"	""	""	""	"54"	""	""	""	"40"	""	""	""	""	""	"73"	""	""	""	""	"48"	""	""	""	""	"88"	""	""	""	""	""	"943"	""	""	""	""	"6143"	""	""	""	""	""	""	""	""	""	"6143"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"199"	""	""	"URMILA DEVI"	""	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"201"	"125"	""	"0"	""	""	"4"	""	""	""	"1"	""	""	""	""	"406"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"411"	""	""	""	""	""	"0"	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"126"	""	"17"	""	""	"253"	""	""	""	"42"	""	""	""	""	"8"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"41"	""	""	""	""	"381"	""	""	""	""	""	"0"	""	""	""	""	"381"	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"127"	""	"2"	""	""	"5"	""	""	""	"8"	""	""	""	""	"77"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"2"	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"421"	""	""	""	""	"524"	""	""	""	""	""	"0"	""	""	""	""	"524"	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"128"	""	"1"	""	""	"18"	""	""	""	"3"	""	""	""	""	"237"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"0"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"153"	""	""	""	""	"427"	""	""	""	""	""	"0"	""	""	""	""	"427"	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"129"	""	"10"	""	""	"265"	""	""	""	"109"	""	""	""	""	"22"	""	""	""	""	"66"	""	""	""	""	"2"	""	""	""	""	"33"	""	""	""	"2"	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	"136"	""	""	""	""	"658"	""	""	""	""	""	"0"	""	""	""	""	"658"	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"130"	""	"3"	""	""	"20"	""	""	""	"38"	""	""	""	""	"96"	""	""	""	""	"64"	""	""	""	""	"1"	""	""	""	""	"12"	""	""	""	"2"	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	"188"	""	""	""	""	"441"	""	""	""	""	""	"0"	""	""	""	""	"441"	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"130A"	""	"4"	""	""	"23"	""	""	""	"102"	""	""	""	""	"23"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"14"	""	""	""	"3"	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	"70"	""	""	""	""	"263"	""	""	""	""	""	"0"	""	""	""	""	"263"	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"131"	""	"12"	""	""	"268"	""	""	""	"63"	""	""	""	""	"16"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"27"	""	""	""	"0"	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"32"	""	""	""	""	"415"	""	""	""	""	""	"0"	""	""	""	""	"415"	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"132"	""	"2"	""	""	"4"	""	""	""	"12"	""	""	""	""	"311"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"331"	""	""	""	""	""	"0"	""	""	""	""	"331"	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"133"	""	"4"	""	""	"54"	""	""	""	"153"	""	""	""	""	"61"	""	""	""	""	"9"	""	""	""	""	"4"	""	""	""	""	"27"	""	""	""	"5"	""	""	"5"	""	""	""	""	""	"10"	""	""	""	""	""	"12"	""	""	""	""	"9"	""	""	""	""	"78"	""	""	""	""	"431"	""	""	""	""	""	"0"	""	""	""	""	"431"	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"133A"	""	"28"	""	""	"149"	""	""	""	"38"	""	""	""	""	"13"	""	""	""	""	"19"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"261"	""	""	""	""	""	"0"	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"134"	""	"18"	""	""	"166"	""	""	""	"90"	""	""	""	""	"96"	""	""	""	""	"68"	""	""	""	""	"7"	""	""	""	""	"70"	""	""	""	"4"	""	""	"5"	""	""	""	""	""	"10"	""	""	""	""	""	"5"	""	""	""	""	"10"	""	""	""	""	"32"	""	""	""	""	"581"	""	""	""	""	""	"0"	""	""	""	""	"581"	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"135"	""	"9"	""	""	"116"	""	""	""	"149"	""	""	""	""	"192"	""	""	""	""	"12"	""	""	""	""	"3"	""	""	""	""	"39"	""	""	""	"6"	""	""	"6"	""	""	""	""	""	"13"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"25"	""	""	""	""	"577"	""	""	""	""	""	"0"	""	""	""	""	"577"	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"136"	""	"11"	""	""	"107"	""	""	""	"101"	""	""	""	""	"70"	""	""	""	""	"32"	""	""	""	""	"3"	""	""	""	""	"240"	""	""	""	"5"	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"32"	""	""	""	""	"618"	""	""	""	""	""	"0"	""	""	""	""	"618"	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"Total:-"	""	"121"	""	""	"1452"	""	""	""	"909"	""	""	""	""	"1628"	""	""	""	""	"281"	""	""	""	""	"28"	""	""	""	""	"477"	""	""	""	"31"	""	""	"39"	""	""	""	""	""	"58"	""	""	""	""	""	"48"	""	""	""	""	"57"	""	""	""	""	"1211"	""	""	""	""	"6340"	""	""	""	""	""	""	""	""	""	""	"6340"	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"217"	""	""	"URMILA DEVI"	""	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"219"	"137"	""	"3"	""	""	"33"	""	""	""	"80"	""	""	""	""	"14"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"157"	""	""	""	""	"310"	""	""	""	""	""	"0"	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"138"	""	"11"	""	""	"38"	""	""	""	"45"	""	""	""	""	"152"	""	""	""	""	"68"	""	""	""	""	"9"	""	""	""	""	"36"	""	""	""	"5"	""	""	"12"	""	""	""	""	""	"16"	""	""	""	""	""	"5"	""	""	""	""	"13"	""	""	""	""	"16"	""	""	""	""	"426"	""	""	""	""	""	"0"	""	""	""	""	"426"	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"138A"	""	"12"	""	""	"198"	""	""	""	"8"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"23"	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	"257"	""	""	""	""	""	"0"	""	""	""	""	"257"	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"139"	""	"17"	""	""	"33"	""	""	""	"156"	""	""	""	""	"365"	""	""	""	""	"28"	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	"2"	""	""	"0"	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	"636"	""	""	""	""	""	"0"	""	""	""	""	"636"	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"140"	""	"3"	""	""	"213"	""	""	""	"133"	""	""	""	""	"31"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	"0"	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	"415"	""	""	""	""	""	"0"	""	""	""	""	"415"	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"141"	""	"8"	""	""	"351"	""	""	""	"37"	""	""	""	""	"17"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"77"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"10"	""	""	""	""	"523"	""	""	""	""	""	"0"	""	""	""	""	"523"	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"142"	""	"14"	""	""	"25"	""	""	""	"181"	""	""	""	""	"116"	""	""	""	""	"66"	""	""	""	""	"10"	""	""	""	""	"23"	""	""	""	"5"	""	""	"5"	""	""	""	""	""	"18"	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"37"	""	""	""	""	"523"	""	""	""	""	""	"0"	""	""	""	""	"523"	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"143"	""	"23"	""	""	"115"	""	""	""	"100"	""	""	""	""	"158"	""	""	""	""	"38"	""	""	""	""	"6"	""	""	""	""	"54"	""	""	""	"2"	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"22"	""	""	""	""	"536"	""	""	""	""	""	"0"	""	""	""	""	"536"	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"144"	""	"12"	""	""	"76"	""	""	""	"73"	""	""	""	""	"127"	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	"19"	""	""	""	"7"	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	"9"	""	""	""	""	"16"	""	""	""	""	"366"	""	""	""	""	""	"0"	""	""	""	""	"366"	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"144A"	""	"7"	""	""	"37"	""	""	""	"65"	""	""	""	""	"112"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"19"	""	""	""	"0"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	""	"253"	""	""	""	""	""	"0"	""	""	""	""	"253"	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"145"	""	"22"	""	""	"91"	""	""	""	"166"	""	""	""	""	"159"	""	""	""	""	"12"	""	""	""	""	"3"	""	""	""	""	"9"	""	""	""	"5"	""	""	"4"	""	""	""	""	""	"10"	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	""	"495"	""	""	""	""	""	"0"	""	""	""	""	"495"	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"146"	""	"9"	""	""	"0"	""	""	""	"95"	""	""	""	""	"254"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"3"	""	""	"0"	""	""	""	""	""	"11"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	""	"389"	""	""	""	""	""	"0"	""	""	""	""	"389"	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"147"	""	"2"	""	""	"32"	""	""	""	"45"	""	""	""	""	"269"	""	""	""	""	"63"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"3"	""	""	"5"	""	""	""	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"445"	""	""	""	""	""	"0"	""	""	""	""	"445"	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"148"	""	"22"	""	""	"63"	""	""	""	"136"	""	""	""	""	"14"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"2"	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	"21"	""	""	""	""	"287"	""	""	""	""	""	"0"	""	""	""	""	"287"	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Total:-"	""	"165"	""	""	"1305"	""	""	""	"1320"	""	""	""	""	"1790"	""	""	""	""	"310"	""	""	""	""	"46"	""	""	""	""	"291"	""	""	""	"38"	""	""	"53"	""	""	""	""	""	"107"	""	""	""	""	""	"50"	""	""	""	""	"62"	""	""	""	""	"324"	""	""	""	""	"5861"	""	""	""	""	""	""	""	""	""	""	"5861"	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"235"	""	""	"URMILA DEVI"	""	""	"DEO
NARAYAN SINGH YADAV"	""	""	""	"RANJIT PRASAD KUSHWAHA"	""	""	""	""	"DR.RANVIJAY KUMAR"	""	""	""	""	"SHAMBHU SHARAN SINGH"	""	""	""	""	"RAGHUNI RAM SHASTRI"	""	""	""	""	"RAM
AYODHYA PRASAD YADAV"	""	""	""	"ARVIND RAM"	""	""	"KRISHNA MURARI SINGH"	""	""	""	""	""	"CHITRANJAN SHARMA"	""	""	""	""	""	"CHULHAN PASWAN"	""	""	""	""	"NARAYAN SHARMA"	""	""	""	""	"RAJESH KUMAR SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"237"	"149"	""	"47"	""	""	"38"	""	""	""	"49"	""	""	""	""	"245"	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	"5"	""	""	"4"	""	""	""	""	""	"11"	""	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	""	"21"	""	""	""	""	"458"	""	""	""	""	""	"0"	""	""	""	""	"458"	""	""	""	""	""	""	""	""	""	""	""	""	""
