"No..and.Name.of.Assembly.Constituency.36.BANIYAPUR.ROUND.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"
"330"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"90"	""	"51"	""	""	"2"	""	""	""	"165"	""	"8"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	"0"	""	""	"237"	""	""	""	"0"	""	""	""	"237"	""	""	""	""	""	""
"337"	"91"	""	"177"	""	""	"14"	""	""	""	"108"	""	"15"	""	""	""	""	"7"	""	""	""	""	"11"	""	""	""	""	"17"	""	""	""	""	"12"	""	""	""	"16"	""	""	"377"	""	""	""	"0"	""	""	""	"377"	""	""	""	""	""	""
"338"	"92"	""	"103"	""	""	"24"	""	""	""	"152"	""	"5"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	"6"	""	""	"304"	""	""	""	"0"	""	""	""	"304"	""	""	""	""	""	""
"339"	"93"	""	"189"	""	""	"17"	""	""	""	"109"	""	"8"	""	""	""	""	"4"	""	""	""	""	"10"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"7"	""	""	"359"	""	""	""	"0"	""	""	""	"359"	""	""	""	""	""	""
"340"	"94"	""	"130"	""	""	"25"	""	""	""	"126"	""	"6"	""	""	""	""	"8"	""	""	""	""	"8"	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	"12"	""	""	"328"	""	""	""	"0"	""	""	""	"328"	""	""	""	""	""	""
"341"	"94A"	""	"132"	""	""	"15"	""	""	""	"115"	""	"13"	""	""	""	""	"5"	""	""	""	""	"13"	""	""	""	""	"8"	""	""	""	""	"0"	""	""	""	"10"	""	""	"311"	""	""	""	"0"	""	""	""	"311"	""	""	""	""	""	""
"342"	"95"	""	"56"	""	""	"51"	""	""	""	"181"	""	"10"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"14"	""	""	""	""	"5"	""	""	""	"4"	""	""	"330"	""	""	""	"0"	""	""	""	"330"	""	""	""	""	""	""
"343"	"95A"	""	"165"	""	""	"18"	""	""	""	"78"	""	"7"	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"30"	""	""	"316"	""	""	""	"0"	""	""	""	"316"	""	""	""	""	""	""
"344"	"96"	""	"170"	""	""	"12"	""	""	""	"97"	""	"4"	""	""	""	""	"7"	""	""	""	""	"12"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"19"	""	""	"344"	""	""	""	"0"	""	""	""	"344"	""	""	""	""	""	""
"345"	"96A"	""	"116"	""	""	"7"	""	""	""	"87"	""	"4"	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	""	"2"	""	""	""	""	"20"	""	""	""	"12"	""	""	"259"	""	""	""	"0"	""	""	""	"259"	""	""	""	""	""	""
"346"	"97"	""	"309"	""	""	"24"	""	""	""	"99"	""	"8"	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"17"	""	""	"483"	""	""	""	"0"	""	""	""	"483"	""	""	""	""	""	""
"347"	"98"	""	"169"	""	""	"11"	""	""	""	"179"	""	"8"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	"9"	""	""	"397"	""	""	""	"0"	""	""	""	"397"	""	""	""	""	""	""
"348"	"99"	""	"72"	""	""	"16"	""	""	""	"231"	""	"16"	""	""	""	""	"16"	""	""	""	""	"26"	""	""	""	""	"22"	""	""	""	""	"32"	""	""	""	"35"	""	""	"466"	""	""	""	"0"	""	""	""	"466"	""	""	""	""	""	""
"349"	"100"	""	"308"	""	""	"46"	""	""	""	"56"	""	"4"	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"10"	""	""	""	"8"	""	""	"444"	""	""	""	"0"	""	""	""	"444"	""	""	""	""	""	""
"350"	"Total"	""	"2147"	""	""	"282"	""	""	""	"1783"	""	"116"	""	""	""	""	"76"	""	""	""	""	"124"	""	""	""	""	"118"	""	""	""	""	"124"	""	""	""	"185"	""	""	"4955"	""	""	""	"0"	""	""	""	"4955"	""	""	""	""	""	""
"351"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"372"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"373"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"101"	""	""	"235"	""	"17"	""	""	""	"37"	""	"20"	""	""	""	""	"7"	""	""	""	""	"9"	""	""	""	""	"8"	""	""	""	""	"37"	""	""	""	"30"	""	""	"400"	""	""	""	"0"	""	""	""	"400"	""	""	""	""	""	""
"380"	"102"	""	""	"88"	""	"17"	""	""	""	"233"	""	"8"	""	""	""	""	"4"	""	""	""	""	"12"	""	""	""	""	"10"	""	""	""	""	"157"	""	""	""	"18"	""	""	"547"	""	""	""	"0"	""	""	""	"547"	""	""	""	""	""	""
"381"	"103"	""	""	"52"	""	"7"	""	""	""	"170"	""	"5"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	"7"	""	""	""	"37"	""	""	"292"	""	""	""	"0"	""	""	""	"292"	""	""	""	""	""	""
"382"	"104"	""	""	"165"	""	"10"	""	""	""	"132"	""	"10"	""	""	""	""	"3"	""	""	""	""	"15"	""	""	""	""	"13"	""	""	""	""	"5"	""	""	""	"31"	""	""	"384"	""	""	""	"0"	""	""	""	"384"	""	""	""	""	""	""
"383"	"104A"	""	""	"192"	""	"19"	""	""	""	"79"	""	"13"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"11"	""	""	""	""	"10"	""	""	""	"20"	""	""	"351"	""	""	""	"0"	""	""	""	"351"	""	""	""	""	""	""
"384"	"105"	""	""	"92"	""	"8"	""	""	""	"22"	""	"51"	""	""	""	""	"12"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"48"	""	""	""	"8"	""	""	"246"	""	""	""	"0"	""	""	""	"246"	""	""	""	""	""	""
"385"	"105A"	""	""	"140"	""	"15"	""	""	""	"35"	""	"16"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"6"	""	""	"228"	""	""	""	"0"	""	""	""	"228"	""	""	""	""	""	""
"386"	"106"	""	""	"197"	""	"16"	""	""	""	"213"	""	"25"	""	""	""	""	"9"	""	""	""	""	"12"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	"8"	""	""	"489"	""	""	""	"0"	""	""	""	"489"	""	""	""	""	""	""
"387"	"107"	""	""	"356"	""	"17"	""	""	""	"59"	""	"37"	""	""	""	""	"9"	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	"25"	""	""	"522"	""	""	""	"0"	""	""	""	"522"	""	""	""	""	""	""
"388"	"108"	""	""	"368"	""	"26"	""	""	""	"111"	""	"22"	""	""	""	""	"16"	""	""	""	""	"19"	""	""	""	""	"13"	""	""	""	""	"12"	""	""	""	"24"	""	""	"611"	""	""	""	"0"	""	""	""	"611"	""	""	""	""	""	""
"389"	"109"	""	""	"124"	""	"10"	""	""	""	"208"	""	"39"	""	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	"3"	""	""	"418"	""	""	""	"0"	""	""	""	"418"	""	""	""	""	""	""
"390"	"110"	""	""	"169"	""	"25"	""	""	""	"201"	""	"19"	""	""	""	""	"8"	""	""	""	""	"7"	""	""	""	""	"5"	""	""	""	""	"34"	""	""	""	"22"	""	""	"490"	""	""	""	"0"	""	""	""	"490"	""	""	""	""	""	""
"391"	"111"	""	""	"102"	""	"48"	""	""	""	"237"	""	"25"	""	""	""	""	"17"	""	""	""	""	"20"	""	""	""	""	"8"	""	""	""	""	"10"	""	""	""	"23"	""	""	"490"	""	""	""	"0"	""	""	""	"490"	""	""	""	""	""	""
"392"	"112"	""	""	"50"	""	"57"	""	""	""	"100"	""	"20"	""	""	""	""	"9"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"9"	""	""	""	"12"	""	""	"265"	""	""	""	"0"	""	""	""	"265"	""	""	""	""	""	""
"393"	"Total"	""	""	"2330"	""	"292"	""	""	""	"1837"	""	"310"	""	""	""	""	"116"	""	""	""	""	"133"	""	""	""	""	"92"	""	""	""	""	"356"	""	""	""	"267"	""	""	"5733"	""	""	""	"0"	""	""	""	"5733"	""	""	""	""	""	""
"394"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"397"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"404"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"405"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"406"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"407"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"408"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"409"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"112A"	""	""	"211"	""	"16"	""	""	""	"46"	""	"41"	""	""	""	""	"9"	""	""	""	""	"7"	""	""	""	""	"9"	""	""	""	""	"15"	""	""	""	"3"	""	""	"357"	""	""	""	"0"	""	""	""	"357"	""	""	""	""	""	""
"423"	"113"	""	""	"254"	""	"27"	""	""	""	"155"	""	"73"	""	""	""	""	"18"	""	""	""	""	"15"	""	""	""	""	"9"	""	""	""	""	"17"	""	""	""	"28"	""	""	"596"	""	""	""	"0"	""	""	""	"596"	""	""	""	""	""	""
"424"	"114"	""	""	"146"	""	"26"	""	""	""	"247"	""	"13"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"15"	""	""	""	""	"7"	""	""	""	"29"	""	""	"496"	""	""	""	"0"	""	""	""	"496"	""	""	""	""	""	""
"425"	"115"	""	""	"222"	""	"20"	""	""	""	"172"	""	"15"	""	""	""	""	"6"	""	""	""	""	"15"	""	""	""	""	"8"	""	""	""	""	"73"	""	""	""	"23"	""	""	"554"	""	""	""	"0"	""	""	""	"554"	""	""	""	""	""	""
"426"	"116"	""	""	"113"	""	"10"	""	""	""	"111"	""	"3"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"6"	""	""	"259"	""	""	""	"0"	""	""	""	"259"	""	""	""	""	""	""
"427"	"116A"	""	""	"70"	""	"13"	""	""	""	"195"	""	"12"	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	"8"	""	""	"326"	""	""	""	"0"	""	""	""	"326"	""	""	""	""	""	""
"428"	"117"	""	""	"203"	""	"18"	""	""	""	"164"	""	"21"	""	""	""	""	"7"	""	""	""	""	"16"	""	""	""	""	"7"	""	""	""	""	"12"	""	""	""	"28"	""	""	"476"	""	""	""	"0"	""	""	""	"476"	""	""	""	""	""	""
"429"	"118"	""	""	"247"	""	"84"	""	""	""	"32"	""	"16"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	"21"	""	""	""	"12"	""	""	"429"	""	""	""	"0"	""	""	""	"429"	""	""	""	""	""	""
"430"	"119"	""	""	"100"	""	"186"	""	""	""	"32"	""	"6"	""	""	""	""	"11"	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	"17"	""	""	""	"4"	""	""	"365"	""	""	""	"0"	""	""	""	"365"	""	""	""	""	""	""
"431"	"120"	""	""	"139"	""	"25"	""	""	""	"121"	""	"2"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"64"	""	""	""	"14"	""	""	"373"	""	""	""	"0"	""	""	""	"373"	""	""	""	""	""	""
"432"	"120A"	""	""	"171"	""	"37"	""	""	""	"116"	""	"9"	""	""	""	""	"7"	""	""	""	""	"9"	""	""	""	""	"4"	""	""	""	""	"10"	""	""	""	"4"	""	""	"367"	""	""	""	"0"	""	""	""	"367"	""	""	""	""	""	""
"433"	"121"	""	""	"305"	""	"6"	""	""	""	"31"	""	"4"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"8"	""	""	"357"	""	""	""	"0"	""	""	""	"357"	""	""	""	""	""	""
"434"	"122"	""	""	"161"	""	"28"	""	""	""	"200"	""	"8"	""	""	""	""	"5"	""	""	""	""	"8"	""	""	""	""	"10"	""	""	""	""	"26"	""	""	""	"29"	""	""	"475"	""	""	""	"0"	""	""	""	"475"	""	""	""	""	""	""
"435"	"123"	""	""	"133"	""	"11"	""	""	""	"226"	""	"15"	""	""	""	""	"9"	""	""	""	""	"8"	""	""	""	""	"5"	""	""	""	""	"53"	""	""	""	"11"	""	""	"471"	""	""	""	"0"	""	""	""	"471"	""	""	""	""	""	""
"436"	"Total"	""	""	"2475"	""	"507"	""	""	""	"1848"	""	"238"	""	""	""	""	"97"	""	""	""	""	"116"	""	""	""	""	"88"	""	""	""	""	"325"	""	""	""	"207"	""	""	"5901"	""	""	""	"0"	""	""	""	"5901"	""	""	""	""	""	""
"437"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"438"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
