"Name.of.the.Assembly.segment...in.the.case.of.election.from.a.Parliamentary.constituency.....193.PHULWARI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"
"1"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"2"	"Serial no. of polling station"	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	"Amitesh Chaudhary"	""	""	""	"Mithilesh Paswan"	""	""	"Rajdeo Das"	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"165"	""	"155"	""	"144"	""	""	""	"9"	""	"64"	""	""	""	"1"	""	""	"3"	""	""	""	"1"	""	""	"1"	""	"2"	""	""	"3"	""	""	"6"	""	""	"20"	""	""	"409"	""	""	""	"409"	""	""	""	""	""	""	""
"278"	"166"	""	"101"	""	"166"	""	""	""	"2"	""	"54"	""	""	""	"2"	""	""	""	""	""	""	""	""	""	"1"	""	"1"	""	""	""	""	""	"1"	""	""	"12"	""	""	"340"	""	""	""	"340"	""	""	""	""	""	""	""
"279"	"167"	""	"75"	""	"245"	""	"27"	""	"11"	""	"182"	""	""	""	"4"	""	""	"3"	""	""	""	"12"	""	""	"2"	""	"3"	""	""	"2"	""	""	"15"	""	""	"21"	""	""	"602"	""	""	""	"602"	""	""	""	""	""	""	""
"280"	"168"	""	"113"	""	"332"	""	"6"	""	"52"	""	"59"	""	""	""	"3"	""	""	"6"	""	""	""	"3"	""	""	"3"	""	""	""	""	"1"	""	""	"10"	""	""	"16"	""	""	"604"	""	""	""	"604"	""	""	""	""	""	""	""
"281"	"169"	""	"6"	""	"9"	""	""	""	"1"	""	"349"	""	""	""	"1"	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	"1"	""	""	"373"	""	""	""	"373"	""	""	""	""	""	""	""
"282"	"170"	""	"53"	""	"183"	""	"7"	""	"67"	""	"157"	""	""	""	"5"	""	""	"4"	""	""	""	"9"	""	""	"3"	""	"4"	""	""	"2"	""	""	"13"	""	""	"8"	""	""	"515"	""	""	""	"515"	""	""	""	""	""	""	""
"283"	"171"	""	""	""	"282"	""	"1"	""	"3"	""	"44"	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	"333"	""	""	""	"333"	""	""	""	""	""	""	""
"284"	"171A"	""	"42"	""	"87"	""	"16"	""	"10"	""	"208"	""	""	""	"3"	""	""	"3"	""	""	""	"1"	""	""	"1"	""	"3"	""	""	"2"	""	""	"7"	""	""	"13"	""	""	"396"	""	""	""	"396"	""	""	""	""	""	""	""
"285"	"172"	""	"23"	""	"308"	""	"4"	""	""	""	"32"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"10"	""	""	"4"	""	""	"383"	""	""	""	"383"	""	""	""	""	""	""	""
"286"	"173"	""	"139"	""	"190"	""	"20"	""	"6"	""	"117"	""	""	""	"6"	""	""	"2"	""	""	""	"3"	""	""	"1"	""	""	""	""	"3"	""	""	"15"	""	""	"26"	""	""	"528"	""	""	""	"528"	""	""	""	""	""	""	""
"287"	"174"	""	"99"	""	"168"	""	"12"	""	"10"	""	"169"	""	""	""	"5"	""	""	"3"	""	""	""	"9"	""	""	"3"	""	"2"	""	""	"1"	""	""	"7"	""	""	"23"	""	""	"511"	""	""	""	"511"	""	""	""	""	""	""	""
"288"	"Total"	""	"860"	""	"2677"	""	"140"	""	"267"	""	"1720"	""	""	""	"47"	""	""	"34"	""	""	""	"54"	""	""	"27"	""	"27"	""	""	"27"	""	""	"114"	""	""	"180"	""	""	"6174"	""	""	""	"6174"	""	""	"0"	""	""	""	""
"289"	"Till Last Round"	""	"6627"	""	"25419"	""	"1026"	""	"4394"	""	"26242"	""	""	""	"800"	""	""	"391"	""	""	""	"603"	""	""	"335"	""	"325"	""	""	"330"	""	""	"1069"	""	""	"1464"	""	""	"69025"	""	"0"	""	"69025"	""	""	"0"	""	""	""	""
"290"	"Grand Total"	""	"7487"	""	"28096"	""	"1166"	""	"4661"	""	"27962"	""	""	""	"847"	""	""	"425"	""	""	""	"657"	""	""	"362"	""	"352"	""	""	"357"	""	""	"1183"	""	""	"1644"	""	""	"75199"	""	"0"	""	"75199"	""	""	"0"	""	""	""	""
"291"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"293"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"175"	""	"25"	""	"136"	""	"3"	""	"2"	""	"345"	""	""	""	"9"	""	""	"5"	""	""	""	"5"	""	""	"6"	""	"5"	""	""	"4"	""	""	"6"	""	""	"20"	""	""	"571"	""	""	""	"571"	""	""	""	""	""	""	""
"295"	"176"	""	"5"	""	"62"	""	"3"	""	"3"	""	"479"	""	""	""	"12"	""	""	"6"	""	""	""	"2"	""	""	"8"	""	"2"	""	""	"4"	""	""	"1"	""	""	"7"	""	""	"594"	""	""	""	"594"	""	""	""	""	""	""	""
"296"	"177"	""	"100"	""	"269"	""	"5"	""	"10"	""	"121"	""	""	""	"3"	""	""	"2"	""	""	""	"4"	""	""	"1"	""	"1"	""	""	"1"	""	""	"7"	""	""	"10"	""	""	"534"	""	""	""	"534"	""	""	""	""	""	""	""
"297"	"178"	""	"4"	""	"165"	""	"25"	""	"18"	""	"151"	""	""	""	"4"	""	""	"7"	""	""	""	"9"	""	""	"3"	""	"2"	""	""	"4"	""	""	"7"	""	""	"17"	""	""	"416"	""	""	""	"416"	""	""	""	""	""	""	""
"298"	"179"	""	"33"	""	"183"	""	"12"	""	"3"	""	"55"	""	""	""	"3"	""	""	"3"	""	""	""	"4"	""	""	"2"	""	"1"	""	""	""	""	""	"6"	""	""	"7"	""	""	"312"	""	""	""	"312"	""	""	""	""	""	""	""
"299"	"179A"	""	"104"	""	"26"	""	"32"	""	"10"	""	"190"	""	""	""	"4"	""	""	"3"	""	""	""	"3"	""	""	"1"	""	"2"	""	""	"2"	""	""	"6"	""	""	"14"	""	""	"397"	""	""	""	"397"	""	""	""	""	""	""	""
"300"	"180"	""	"171"	""	"116"	""	"3"	""	"2"	""	"330"	""	""	""	"2"	""	""	"10"	""	""	""	"5"	""	""	"2"	""	"2"	""	""	"3"	""	""	"8"	""	""	"37"	""	""	"691"	""	""	""	"691"	""	""	""	""	""	""	""
"301"	"181"	""	"36"	""	"223"	""	"4"	""	"5"	""	"155"	""	""	""	"6"	""	""	"5"	""	""	""	"4"	""	""	"4"	""	"3"	""	""	"2"	""	""	"20"	""	""	"6"	""	""	"473"	""	""	""	"473"	""	""	""	""	""	""	""
"302"	"182"	""	"99"	""	"210"	""	"3"	""	"3"	""	"87"	""	""	""	"6"	""	""	"5"	""	""	""	"4"	""	""	"3"	""	"3"	""	""	"2"	""	""	"6"	""	""	"9"	""	""	"440"	""	""	""	"440"	""	""	""	""	""	""	""
"303"	"183"	""	"45"	""	"185"	""	"1"	""	"8"	""	"121"	""	""	""	"4"	""	""	"3"	""	""	""	"4"	""	""	"1"	""	"2"	""	""	"3"	""	""	"11"	""	""	"7"	""	""	"395"	""	""	""	"395"	""	""	""	""	""	""	""
"304"	"184"	""	"50"	""	"254"	""	"16"	""	"2"	""	"119"	""	""	""	"4"	""	""	"1"	""	""	""	"8"	""	""	"2"	""	"1"	""	""	"3"	""	""	"13"	""	""	"10"	""	""	"483"	""	""	""	"483"	""	""	""	""	""	""	""
"305"	"185"	""	"27"	""	"197"	""	"3"	""	"2"	""	"80"	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	"5"	""	"3"	""	""	"3"	""	""	"7"	""	""	"4"	""	""	"338"	""	""	""	"338"	""	""	""	""	""	""	""
"306"	"186"	""	"5"	""	"6"	""	"1"	""	""	""	"340"	""	""	""	"5"	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"364"	""	""	""	"364"	""	""	""	""	""	""	""
"307"	"187"	""	"26"	""	"275"	""	"41"	""	"2"	""	"124"	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	"3"	""	"2"	""	""	"2"	""	""	"22"	""	""	"11"	""	""	"512"	""	""	""	"512"	""	""	""	""	""	""	""
"308"	"Total"	""	"730"	""	"2307"	""	"152"	""	"70"	""	"2697"	""	""	""	"66"	""	""	"51"	""	""	""	"58"	""	""	"43"	""	"29"	""	""	"34"	""	""	"121"	""	""	"162"	""	""	"6520"	""	""	""	"6520"	""	""	"0"	""	""	""	""
"309"	"Till Last Round"	""	"7487"	""	"28096"	""	"1166"	""	"4661"	""	"27962"	""	""	""	"847"	""	""	"425"	""	""	""	"657"	""	""	"362"	""	"352"	""	""	"357"	""	""	"1183"	""	""	"1644"	""	""	"75199"	""	"0"	""	"75199"	""	""	"0"	""	""	""	""
"310"	"Grand Total"	""	"8217"	""	"30403"	""	"1318"	""	"4731"	""	"30659"	""	""	""	"913"	""	""	"476"	""	""	""	"715"	""	""	"405"	""	"381"	""	""	"391"	""	""	"1304"	""	""	"1806"	""	""	"81719"	""	"0"	""	"81719"	""	""	"0"	""	""	""	""
"311"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"313"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"187A"	""	"6"	""	"182"	""	""	""	"4"	""	"22"	""	""	""	"1"	""	""	"2"	""	""	""	"1"	""	""	"2"	""	""	""	""	"1"	""	""	"7"	""	""	"5"	""	""	"233"	""	""	""	"233"	""	""	""	""	""	""	""
"315"	"188"	""	"8"	""	"265"	""	"50"	""	"2"	""	"172"	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	"4"	""	"1"	""	""	"1"	""	""	"8"	""	""	"10"	""	""	"528"	""	""	""	"528"	""	""	""	""	""	""	""
"316"	"188A"	""	"6"	""	"125"	""	"2"	""	"3"	""	"53"	""	""	""	"2"	""	""	"2"	""	""	""	"1"	""	""	"1"	""	"1"	""	""	"2"	""	""	"4"	""	""	"3"	""	""	"205"	""	""	""	"205"	""	""	""	""	""	""	""
"317"	"189"	""	"27"	""	"60"	""	"3"	""	"4"	""	"235"	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	"3"	""	""	"339"	""	""	""	"339"	""	""	""	""	""	""	""
"318"	"189A"	""	"42"	""	"122"	""	"1"	""	""	""	"61"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"5"	""	""	"237"	""	""	""	"237"	""	""	""	""	""	""	""
"319"	"190"	""	"36"	""	"167"	""	"1"	""	"3"	""	"130"	""	""	""	"1"	""	""	"2"	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	"6"	""	""	"11"	""	""	"360"	""	""	""	"360"	""	""	""	""	""	""	""
"320"	"191"	""	"29"	""	"104"	""	"1"	""	"3"	""	"338"	""	""	""	"9"	""	""	""	""	""	""	"6"	""	""	"10"	""	"4"	""	""	"4"	""	""	"4"	""	""	"13"	""	""	"525"	""	""	""	"525"	""	""	""	""	""	""	""
"321"	"192"	""	"33"	""	"245"	""	"8"	""	"5"	""	"225"	""	""	""	"9"	""	""	"2"	""	""	""	"7"	""	""	"5"	""	"1"	""	""	"1"	""	""	"4"	""	""	"5"	""	""	"550"	""	""	""	"550"	""	""	""	""	""	""	""
"322"	"192A"	""	"23"	""	"100"	""	"2"	""	"5"	""	"44"	""	""	""	""	""	""	"3"	""	""	""	"8"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"186"	""	""	""	"186"	""	""	""	""	""	""	""
"323"	"193"	""	"30"	""	"468"	""	"6"	""	"7"	""	"60"	""	""	""	"5"	""	""	"1"	""	""	""	"11"	""	""	""	""	"2"	""	""	""	""	""	"15"	""	""	"5"	""	""	"610"	""	""	""	"610"	""	""	""	""	""	""	""
"324"	"194"	""	"52"	""	"338"	""	"7"	""	"21"	""	"85"	""	""	""	""	""	""	""	""	""	""	"4"	""	""	"1"	""	"2"	""	""	""	""	""	"8"	""	""	"2"	""	""	"520"	""	""	""	"520"	""	""	""	""	""	""	""
"325"	"194A"	""	"14"	""	"143"	""	"3"	""	"1"	""	"27"	""	""	""	""	""	""	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	"3"	""	""	"202"	""	""	""	"202"	""	""	""	""	""	""	""
"326"	"195"	""	"23"	""	"251"	""	"16"	""	"27"	""	"165"	""	""	""	"21"	""	""	"11"	""	""	""	"11"	""	""	"3"	""	"1"	""	""	"2"	""	""	"15"	""	""	"25"	""	""	"571"	""	""	""	"571"	""	""	""	""	""	""	""
"327"	"196"	""	"20"	""	"162"	""	"2"	""	"10"	""	"211"	""	""	""	"9"	""	""	"2"	""	""	""	"7"	""	""	"1"	""	"3"	""	""	"2"	""	""	"9"	""	""	"7"	""	""	"445"	""	""	""	"445"	""	""	""	""	""	""	""
"328"	"Total"	""	"349"	""	"2732"	""	"102"	""	"95"	""	"1828"	""	""	""	"64"	""	""	"26"	""	""	""	"68"	""	""	"27"	""	"19"	""	""	"15"	""	""	"89"	""	""	"97"	""	""	"5511"	""	""	""	"5511"	""	""	"0"	""	""	""	""
"329"	"Till Last Round"	""	"8217"	""	"30403"	""	"1318"	""	"4731"	""	"30659"	""	""	""	"913"	""	""	"476"	""	""	""	"715"	""	""	"405"	""	"381"	""	""	"391"	""	""	"1304"	""	""	"1806"	""	""	"81719"	""	"0"	""	"81719"	""	""	"0"	""	""	""	""
"330"	"Grand Total"	""	"8566"	""	"33135"	""	"1420"	""	"4826"	""	"32487"	""	""	""	"977"	""	""	"502"	""	""	""	"783"	""	""	"432"	""	"400"	""	""	"406"	""	""	"1393"	""	""	"1903"	""	""	"87230"	""	"0"	""	"87230"	""	""	"0"	""	""	""	""
"331"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"333"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"196A"	""	"8"	""	"159"	""	""	""	"2"	""	"114"	""	""	""	"3"	""	""	"4"	""	""	""	"2"	""	""	"1"	""	"1"	""	""	"3"	""	""	"4"	""	""	"3"	""	""	"304"	""	""	""	"304"	""	""	""	""	""	""	""
"335"	"197"	""	"61"	""	"308"	""	"5"	""	"8"	""	"137"	""	""	""	"4"	""	""	"2"	""	""	""	"4"	""	""	"2"	""	""	""	""	"1"	""	""	"2"	""	""	"3"	""	""	"537"	""	""	""	"537"	""	""	""	""	""	""	""
"336"	"198"	""	"16"	""	"180"	""	"4"	""	"4"	""	"262"	""	""	""	"11"	""	""	"1"	""	""	""	"7"	""	""	"3"	""	"1"	""	""	"4"	""	""	"7"	""	""	"3"	""	""	"503"	""	""	""	"503"	""	""	""	""	""	""	""
"337"	"199"	""	"17"	""	"98"	""	""	""	"1"	""	"143"	""	""	""	""	""	""	"3"	""	""	""	"2"	""	""	"2"	""	"2"	""	""	"4"	""	""	"6"	""	""	"11"	""	""	"289"	""	""	""	"289"	""	""	""	""	""	""	""
"338"	"199A"	""	"14"	""	"166"	""	"1"	""	"3"	""	"47"	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	"3"	""	""	"3"	""	""	"241"	""	""	""	"241"	""	""	""	""	""	""	""
"339"	"200"	""	"20"	""	"168"	""	"4"	""	"10"	""	"330"	""	""	""	"11"	""	""	"2"	""	""	""	"5"	""	""	"3"	""	"3"	""	""	"4"	""	""	"7"	""	""	"28"	""	""	"595"	""	""	""	"595"	""	""	""	""	""	""	""
"340"	"201"	""	"11"	""	"96"	""	"5"	""	"10"	""	"334"	""	""	""	"7"	""	""	"1"	""	""	""	"3"	""	""	""	""	"2"	""	""	"1"	""	""	"6"	""	""	"6"	""	""	"482"	""	""	""	"482"	""	""	""	""	""	""	""
"341"	"202"	""	"6"	""	"155"	""	"2"	""	"12"	""	"96"	""	""	""	"3"	""	""	"1"	""	""	""	"5"	""	""	""	""	""	""	""	"4"	""	""	"6"	""	""	"9"	""	""	"299"	""	""	""	"299"	""	""	""	""	""	""	""
"342"	"203"	""	"6"	""	"102"	""	"2"	""	"19"	""	"156"	""	""	""	"4"	""	""	"1"	""	""	""	"4"	""	""	"2"	""	"2"	""	""	"1"	""	""	"1"	""	""	"5"	""	""	"305"	""	""	""	"305"	""	""	""	""	""	""	""
"343"	"203A"	""	"6"	""	"31"	""	"1"	""	"10"	""	"53"	""	""	""	"3"	""	""	"1"	""	""	""	"2"	""	""	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"114"	""	""	""	"114"	""	""	""	""	""	""	""
"344"	"204"	""	"19"	""	"462"	""	"5"	""	"7"	""	"53"	""	""	""	"2"	""	""	"1"	""	""	""	"7"	""	""	"4"	""	"4"	""	""	"4"	""	""	"30"	""	""	"14"	""	""	"612"	""	""	""	"612"	""	""	""	""	""	""	""
"345"	"205"	""	"3"	""	"123"	""	"4"	""	"6"	""	"83"	""	""	""	""	""	""	""	""	""	""	"3"	""	""	"1"	""	"1"	""	""	""	""	""	"4"	""	""	"2"	""	""	"230"	""	""	""	"230"	""	""	""	""	""	""	""
"346"	"205A"	""	"1"	""	"102"	""	"3"	""	"3"	""	"25"	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	""	"1"	""	""	"2"	""	""	"5"	""	""	"2"	""	""	"148"	""	""	""	"148"	""	""	""	""	""	""	""
"347"	"206"	""	"11"	""	"125"	""	"2"	""	"7"	""	"199"	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	"1"	""	""	"350"	""	""	""	"350"	""	""	""	""	""	""	""
"348"	"Total"	""	"199"	""	"2275"	""	"38"	""	"102"	""	"2032"	""	""	""	"50"	""	""	"18"	""	""	""	"49"	""	""	"18"	""	"20"	""	""	"31"	""	""	"85"	""	""	"92"	""	""	"5009"	""	""	""	"5009"	""	""	"0"	""	""	""	""
"349"	"Till Last Round"	""	"8566"	""	"33135"	""	"1420"	""	"4826"	""	"32487"	""	""	""	"977"	""	""	"502"	""	""	""	"783"	""	""	"432"	""	"400"	""	""	"406"	""	""	"1393"	""	""	"1903"	""	""	"87230"	""	"0"	""	"87230"	""	""	"0"	""	""	""	""
"350"	"Grand Total"	""	"8765"	""	"35410"	""	"1458"	""	"4928"	""	"34519"	""	""	""	"1027"	""	""	"520"	""	""	""	"832"	""	""	"450"	""	"420"	""	""	"437"	""	""	"1478"	""	""	"1995"	""	""	"92239"	""	"0"	""	"92239"	""	""	"0"	""	""	""	""
"351"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 193 PHULWARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"353"	"Serial no. of polling station"	""	"Ambika Prasad"	""	"Arun Manjhi"	""	"Lilawati Dayal"	""	"Vidyanad Vikal"	""	"Shyam Rajak"	""	""	""	"Yugesh Das"	""	""	"Ram Chandra
Ram"	""	""	""	"Amitesh Chaudhary"	""	""	"Mithilesh Paswan"	""	"Rajdeo Das"	""	""	"Raj Vallabh Manjhi"	""	""	"Rajesh Kumar"	""	""	"Shaym Chaudhary"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"206A"	""	"1"	""	"93"	""	"1"	""	"3"	""	"53"	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154"	""	""	""	"154"	""	""	""	""	""	""	""
"355"	"207"	""	"7"	""	"305"	""	""	""	""	""	"35"	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	"3"	""	"1"	""	""	""	""	""	"3"	""	""	"2"	""	""	"360"	""	""	""	"360"	""	""	""	""	""	""	""
"356"	"207A"	""	"2"	""	"166"	""	"6"	""	"7"	""	"57"	""	""	""	"3"	""	""	"2"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"4"	""	""	"5"	""	""	"253"	""	""	""	"253"	""	""	""	""	""	""	""
"357"	"208"	""	"4"	""	"119"	""	""	""	"2"	""	"32"	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	"5"	""	""	"1"	""	""	"168"	""	""	""	"168"	""	""	""	""	""	""	""
"358"	"208A"	""	""	""	"161"	""	"2"	""	"2"	""	"55"	""	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	""	"3"	""	""	"4"	""	""	"7"	""	""	"5"	""	""	"243"	""	""	""	"243"	""	""	""	""	""	""	""
"359"	"209"	""	"9"	""	"367"	""	"3"	""	"6"	""	"119"	""	""	""	"2"	""	""	"5"	""	""	""	"6"	""	""	"4"	""	"5"	""	""	"5"	""	""	"19"	""	""	"9"	""	""	"559"	""	""	""	"559"	""	""	""	""	""	""	""
"360"	"209A"	""	"2"	""	"209"	""	"2"	""	"6"	""	"25"	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"4"	""	""	"253"	""	""	""	"253"	""	""	""	""	""	""	""
"361"	"210"	""	"77"	""	"79"	""	"6"	""	"5"	""	"333"	""	""	""	"8"	""	""	"3"	""	""	""	"3"	""	""	"3"	""	"1"	""	""	"1"	""	""	"8"	""	""	"19"	""	""	"546"	""	""	""	"546"	""	""	""	""	""	""	""
"362"	"210A"	""	"11"	""	"84"	""	"1"	""	"2"	""	"60"	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	"163"	""	""	""	"163"	""	""	""	""	""	""	""
"363"	"211"	""	"11"	""	"79"	""	"4"	""	"7"	""	"330"	""	""	""	"14"	""	""	"1"	""	""	""	"1"	""	""	"3"	""	"2"	""	""	"5"	""	""	"6"	""	""	"24"	""	""	"487"	""	""	""	"487"	""	""	""	""	""	""	""
"364"	"211A"	""	"6"	""	"54"	""	"2"	""	"5"	""	"39"	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	"4"	""	"1"	""	""	""	""	""	"1"	""	""	"5"	""	""	"122"	""	""	""	"122"	""	""	""	""	""	""	""
"365"	"212"	""	"84"	""	"134"	""	"3"	""	"2"	""	"110"	""	""	""	"5"	""	""	"4"	""	""	""	"1"	""	""	"3"	""	"5"	""	""	"1"	""	""	"5"	""	""	"11"	""	""	"368"	""	""	""	"368"	""	""	""	""	""	""	""
"366"	"213"	""	"14"	""	"39"	""	"6"	""	"3"	""	"253"	""	""	""	"6"	""	""	"2"	""	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	"2"	""	""	"4"	""	""	"333"	""	""	""	"333"	""	""	""	""	""	""	""
"367"	"214"	""	"61"	""	"249"	""	"24"	""	"10"	""	"103"	""	""	""	"5"	""	""	"4"	""	""	""	"5"	""	""	"3"	""	"5"	""	""	"4"	""	""	"9"	""	""	"19"	""	""	"501"	""	""	""	"501"	""	""	""	""	""	""	""
"368"	"Total"	""	"289"	""	"2138"	""	"60"	""	"60"	""	"1604"	""	""	""	"53"	""	""	"23"	""	""	""	"32"	""	""	"24"	""	"27"	""	""	"20"	""	""	"70"	""	""	"110"	""	""	"4510"	""	""	""	"4510"	""	""	"0"	""	""	""	""
"369"	"Till Last Round"	""	"8765"	""	"35410"	""	"1458"	""	"4928"	""	"34519"	""	""	""	"1027"	""	""	"520"	""	""	""	"832"	""	""	"450"	""	"420"	""	""	"437"	""	""	"1478"	""	""	"1995"	""	""	"92239"	""	"0"	""	"92239"	""	""	"0"	""	""	""	""
