"ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.192.MANER.ASSEMBLY.CONSTITUNECY.ROUND.15.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"
"213"	"108"	""	""	""	"49"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	"334"	""	""	""	"77"	""	""	""	""	"18"	""	""	""	""	"4"	""	""	""	""	""	""	"10"	""	""	""	""	"35"	""	""	""	""	""	"539"	""	""	""	""	""	""	""	""	"539"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"109"	""	""	""	"89"	""	""	""	""	"2"	""	""	""	"9"	""	""	""	"184"	""	""	""	"57"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	""	""	"8"	""	""	""	""	"21"	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"Total"	""	""	""	"466"	""	""	""	""	"40"	""	""	""	"534"	""	""	""	"1850"	""	""	""	"1369"	""	""	""	""	"68"	""	""	""	""	"40"	""	""	""	""	""	""	"49"	""	""	""	""	"162"	""	""	""	""	""	"4578"	""	""	""	"0"	""	""	""	""	"4578"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"216"	"Till last round"	""	""	""	"-11386"	""	""	""	""	"-505"	""	""	""	"-1092"	""	""	""	"-18906"	""	""	""	"-7831"	""	""	""	""	"-770"	""	""	""	""	"-328"	""	""	""	""	""	""	"-305"	""	""	""	""	"-1260"	""	""	""	""	""	"-42383"	""	""	""	"0"	""	""	""	""	"-42383"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"217"	"Grand Total"	""	""	""	"11852"	""	""	""	""	"545"	""	""	""	"1626"	""	""	""	"20756"	""	""	""	"9200"	""	""	""	""	"838"	""	""	""	""	"368"	""	""	""	""	""	""	"354"	""	""	""	""	"1422"	""	""	""	""	""	"46961"	""	""	""	"0"	""	""	""	""	"46961"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"218"	"Place :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Date:-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""
"224"	"Serial no. of polling
station"	""	""	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"109A"	""	""	""	"12"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"79"	""	""	""	"69"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"176"	""	""	""	""	""	""	""	""	""	"176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"110"	""	""	""	"30"	""	""	""	""	"6"	""	""	""	"9"	""	""	""	"159"	""	""	""	"122"	""	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"12"	""	""	""	""	"350"	""	""	""	""	""	""	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"110A"	""	""	""	"78"	""	""	""	""	"3"	""	""	""	"23"	""	""	""	"128"	""	""	""	"37"	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	"282"	""	""	""	""	""	""	""	""	""	"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"111"	""	""	""	"115"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	"175"	""	""	""	"227"	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	"13"	""	""	""	""	"552"	""	""	""	""	""	""	""	""	""	"552"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"112"	""	""	""	"189"	""	""	""	""	"8"	""	""	""	"11"	""	""	""	"122"	""	""	""	"132"	""	""	""	""	"14"	""	""	""	""	""	"5"	""	""	""	""	""	"10"	""	""	""	""	""	"19"	""	""	""	""	"510"	""	""	""	""	""	""	""	""	""	"510"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"113"	""	""	""	"126"	""	""	""	""	"2"	""	""	""	"7"	""	""	""	"186"	""	""	""	"126"	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	"464"	""	""	""	""	""	""	""	""	""	"464"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"114"	""	""	""	"60"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	"105"	""	""	""	"58"	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	"241"	""	""	""	""	""	""	""	""	""	"241"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"115"	""	""	""	"59"	""	""	""	""	"5"	""	""	""	"5"	""	""	""	"23"	""	""	""	"134"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"12"	""	""	""	""	"247"	""	""	""	""	""	""	""	""	""	"247"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"116"	""	""	""	"85"	""	""	""	""	"7"	""	""	""	"21"	""	""	""	"84"	""	""	""	"120"	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	"17"	""	""	""	""	"348"	""	""	""	""	""	""	""	""	""	"348"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"116A"	""	""	""	"90"	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"115"	""	""	""	"23"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"17"	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"117"	""	""	""	"26"	""	""	""	""	"3"	""	""	""	"12"	""	""	""	"22"	""	""	""	"249"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"9"	""	""	""	""	"327"	""	""	""	""	""	""	""	""	""	"327"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"117A"	""	""	""	"26"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"94"	""	""	""	"91"	""	""	""	""	"8"	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	"7"	""	""	""	""	"236"	""	""	""	""	""	""	""	""	""	"236"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Total"	""	""	""	"896"	""	""	""	""	"43"	""	""	""	"108"	""	""	""	"1292"	""	""	""	"1388"	""	""	""	""	"77"	""	""	""	""	""	"28"	""	""	""	""	""	"35"	""	""	""	""	""	"127"	""	""	""	""	"3994"	""	""	""	""	"0"	""	""	""	""	"3994"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"238"	"Till last round"	""	""	""	"-11852"	""	""	""	""	"-545"	""	""	""	"-1626"	""	""	""	"-20756"	""	""	""	"-9200"	""	""	""	""	"-838"	""	""	""	""	""	"-368"	""	""	""	""	""	"-354"	""	""	""	""	""	"-1422"	""	""	""	""	"-46961"	""	""	""	""	"0"	""	""	""	""	"-46961"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"239"	"Grand Total"	""	""	""	"12748"	""	""	""	""	"588"	""	""	""	"1734"	""	""	""	"22048"	""	""	""	"10588"	""	""	""	""	"915"	""	""	""	""	""	"396"	""	""	""	""	""	"389"	""	""	""	""	""	"1549"	""	""	""	""	"50955"	""	""	""	""	"0"	""	""	""	""	"50955"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"240"	"Place :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Date:-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) al No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"me of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"l no. of polling
station"	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"118"	""	"95"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	"191"	""	""	""	"158"	""	""	""	"10"	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	"20"	""	""	""	""	""	"487"	""	""	""	""	""	""	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"119"	""	"9"	""	""	""	""	"1"	""	""	""	"10"	""	""	""	"18"	""	""	""	"225"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	"281"	""	""	""	""	""	""	""	""	""	"281"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"120"	""	"195"	""	""	""	""	"9"	""	""	""	"6"	""	""	""	"326"	""	""	""	"24"	""	""	""	"12"	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	""	"37"	""	""	""	""	""	"621"	""	""	""	""	""	""	""	""	""	"621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"121"	""	"74"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"316"	""	""	""	"87"	""	""	""	"8"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	""	"499"	""	""	""	""	""	""	""	""	""	"499"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"122"	""	"64"	""	""	""	""	"8"	""	""	""	"7"	""	""	""	"210"	""	""	""	"110"	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	""	"417"	""	""	""	""	""	""	""	""	""	"417"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"123"	""	"232"	""	""	""	""	"9"	""	""	""	"6"	""	""	""	"54"	""	""	""	"236"	""	""	""	"20"	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	"20"	""	""	""	""	""	"581"	""	""	""	""	""	""	""	""	""	"581"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"124"	""	"77"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"83"	""	""	""	"284"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	"461"	""	""	""	""	""	""	""	""	""	"461"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"125"	""	"20"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"99"	""	""	""	"237"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"372"	""	""	""	""	""	""	""	""	""	"372"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"126"	""	"46"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	"61"	""	""	""	"402"	""	""	""	"9"	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	""	"538"	""	""	""	""	""	""	""	""	""	"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"127"	""	"23"	""	""	""	""	"4"	""	""	""	"7"	""	""	""	"22"	""	""	""	"511"	""	""	""	"15"	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	"11"	""	""	""	""	""	"601"	""	""	""	""	""	""	""	""	""	"601"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"128"	""	"34"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"19"	""	""	""	"171"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"231"	""	""	""	""	""	""	""	""	""	"231"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"129"	""	"49"	""	""	""	""	"7"	""	""	""	"11"	""	""	""	"67"	""	""	""	"437"	""	""	""	"12"	""	""	""	""	"4"	""	""	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	""	""	"604"	""	""	""	""	""	""	""	""	""	"604"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	""	""	"918"	""	""	""	""	"56"	""	""	""	"66"	""	""	""	"1466"	""	""	""	"2882"	""	""	""	"105"	""	""	""	""	"32"	""	""	""	""	""	""	"35"	""	""	""	""	"133"	""	""	""	""	""	"5693"	""	""	""	""	"0"	""	""	""	""	"5693"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"st round"	""	"-12748"	""	""	""	""	"-588"	""	""	""	"-1734"	""	""	""	"-22048"	""	""	""	"-10588"	""	""	""	"-915"	""	""	""	""	"-396"	""	""	""	""	""	""	"-389"	""	""	""	""	"-1549"	""	""	""	""	""	"-50955"	""	""	""	""	"0"	""	""	""	""	"-50955"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"d Total"	""	"13666"	""	""	""	""	"644"	""	""	""	"1800"	""	""	""	"23514"	""	""	""	"13470"	""	""	""	"1020"	""	""	""	""	"428"	""	""	""	""	""	""	"424"	""	""	""	""	"1682"	""	""	""	""	""	"56648"	""	""	""	""	"0"	""	""	""	""	"56648"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"e :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	":-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) al No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"me of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"rial no. of
ing station"	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"130"	"35"	""	""	""	""	"6"	""	""	""	"9"	""	""	""	"43"	""	""	""	"381"	""	""	""	"8"	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"491"	""	""	""	""	""	""	""	""	""	"491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"131"	"60"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"51"	""	""	""	"175"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"295"	""	""	""	""	""	""	""	""	""	"295"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"132"	"49"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"107"	""	""	""	"372"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"541"	""	""	""	""	""	""	""	""	""	"541"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"133"	"4"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"21"	""	""	""	"300"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"336"	""	""	""	""	""	""	""	""	""	"336"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"134"	"250"	""	""	""	""	"3"	""	""	""	"7"	""	""	""	"37"	""	""	""	"251"	""	""	""	"14"	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	"22"	""	""	""	""	""	"591"	""	""	""	""	""	""	""	""	""	"591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"135"	"49"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	"139"	""	""	""	"84"	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"14"	""	""	""	""	""	"303"	""	""	""	""	""	""	""	""	""	"303"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"136"	"60"	""	""	""	""	"3"	""	""	""	"6"	""	""	""	"169"	""	""	""	"42"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"297"	""	""	""	""	""	""	""	""	""	"297"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"137"	"31"	""	""	""	""	"1"	""	""	""	"12"	""	""	""	"102"	""	""	""	"123"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"7"	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"137A"	"44"	""	""	""	""	"16"	""	""	""	"24"	""	""	""	"19"	""	""	""	"218"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	"329"	""	""	""	""	""	""	""	""	""	"329"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"138"	"110"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	"251"	""	""	""	"142"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"139"	"28"	""	""	""	""	"44"	""	""	""	"9"	""	""	""	"180"	""	""	""	"86"	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"140"	"17"	""	""	""	""	"3"	""	""	""	"7"	""	""	""	"66"	""	""	""	"208"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	"13"	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	"326"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	""	"737"	""	""	""	""	"90"	""	""	""	"88"	""	""	""	"1185"	""	""	""	"2382"	""	""	""	"65"	""	""	""	""	"32"	""	""	""	""	""	"16"	""	""	""	""	""	"82"	""	""	""	""	""	"4677"	""	""	""	""	"0"	""	""	""	""	"4677"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"st round"	"13666"	""	""	""	""	"644"	""	""	""	"1800"	""	""	""	"23514"	""	""	""	"13470"	""	""	""	"1020"	""	""	""	""	"428"	""	""	""	""	""	"424"	""	""	""	""	""	"1682"	""	""	""	""	""	"56648"	""	""	""	""	"0"	""	""	""	""	"56648"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"d Total"	"14403"	""	""	""	""	"734"	""	""	""	"1888"	""	""	""	"24699"	""	""	""	"15852"	""	""	""	"1085"	""	""	""	""	"460"	""	""	""	""	""	"440"	""	""	""	""	""	"1764"	""	""	""	""	""	"61325"	""	""	""	""	"0"	""	""	""	""	"61325"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
