"Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"
"504"	"189"	""	"123"	""	"102"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"4"	""	""	""	"249"	""	""	""	""	""	""	"249"	""	""	""	""	""	""	""	""	""	""	""
"505"	"189A"	""	"58"	""	"187"	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"256"	""	""	""	""	""	""	"256"	""	""	""	""	""	""	""	""	""	""	""
"506"	"190"	""	"50"	""	"254"	""	""	""	"2"	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	"322"	""	""	""	""	""	""	"322"	""	""	""	""	""	""	""	""	""	""	""
"507"	"190A"	""	"118"	""	"172"	""	""	""	"3"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"299"	""	""	""	""	""	""	"299"	""	""	""	""	""	""	""	""	""	""	""
"508"	"191"	""	"68"	""	"391"	""	""	""	"4"	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"4"	""	""	""	"0"	""	""	""	"3"	""	""	""	"488"	""	""	""	""	""	""	"488"	""	""	""	""	""	""	""	""	""	""	""
"509"	"192"	""	"57"	""	"400"	""	""	""	"9"	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"16"	""	""	"4"	""	""	""	"4"	""	""	""	"10"	""	""	""	"521"	""	""	""	""	""	""	"521"	""	""	""	""	""	""	""	""	""	""	""
"510"	"193"	""	"32"	""	"306"	""	""	""	"0"	""	""	"12"	""	""	""	""	""	"1"	""	""	""	""	"9"	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	"372"	""	""	""	""	""	""	"372"	""	""	""	""	""	""	""	""	""	""	""
"511"	"193A"	""	"85"	""	"109"	""	""	""	"1"	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"205"	""	""	""	""	""	""	"205"	""	""	""	""	""	""	""	""	""	""	""
"512"	"194"	""	"18"	""	"313"	""	""	""	"4"	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"4"	""	""	""	"3"	""	""	""	"353"	""	""	""	""	""	""	"353"	""	""	""	""	""	""	""	""	""	""	""
"513"	"194A"	""	"59"	""	"212"	""	""	""	"2"	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"289"	""	""	""	""	""	""	"289"	""	""	""	""	""	""	""	""	""	""	""
"514"	"195"	""	"93"	""	"299"	""	""	""	"2"	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"415"	""	""	""	""	""	""	"415"	""	""	""	""	""	""	""	""	""	""	""
"515"	"196"	""	"53"	""	"210"	""	""	""	"3"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"11"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"284"	""	""	""	""	""	""	"284"	""	""	""	""	""	""	""	""	""	""	""
"516"	"196A"	""	"58"	""	"239"	""	""	""	"0"	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	"2"	""	""	""	"2"	""	""	""	"4"	""	""	""	"324"	""	""	""	""	""	""	"324"	""	""	""	""	""	""	""	""	""	""	""
"517"	"197"	""	"163"	""	"34"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"7"	""	""	""	"219"	""	""	""	""	""	""	"219"	""	""	""	""	""	""	""	""	""	""	""
"518"	"Total"	""	"1035"	""	"3228"	""	""	""	"32"	""	""	"62"	""	""	""	""	""	"18"	""	""	""	""	"64"	""	""	""	"16"	""	""	""	"5"	""	""	""	"14"	""	""	""	""	""	"13"	""	""	""	""	"34"	""	""	"16"	""	""	""	"18"	""	""	""	"41"	""	""	""	"4596"	""	""	""	""	""	""	"4596"	""	""	""	"0"	""	""	""	""	""	""	""
"519"	"Till Last Round"	""	"17328"	""	"70849"	""	""	""	"837"	""	""	"2434"	""	""	""	""	""	"688"	""	""	""	""	"1558"	""	""	""	"192"	""	""	""	"144"	""	""	""	"188"	""	""	""	""	""	"357"	""	""	""	""	"188"	""	""	"205"	""	""	""	"268"	""	""	""	"763"	""	""	""	"95999"	""	""	""	"0"	""	""	"95999"	""	""	""	"0"	""	""	""	""	""	""	""
"520"	"Grand Total"	""	"18363"	""	"74077"	""	""	""	"869"	""	""	"2496"	""	""	""	""	""	"706"	""	""	""	""	"1622"	""	""	""	"208"	""	""	""	"149"	""	""	""	"202"	""	""	""	""	""	"370"	""	""	""	""	"222"	""	""	"221"	""	""	""	"286"	""	""	""	"804"	""	""	""	"100595"	""	""	""	"0"	""	""	"100595"	""	""	""	"0"	""	""	""	""	""	""	""
"521"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"522"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"523"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"524"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"525"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"526"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"527"	"198"	""	"259"	""	"6"	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"272"	""	""	""	""	""	""	"272"	""	""	""	""	""	""	""	""	""	""	""
"528"	"199"	""	"29"	""	"304"	""	""	""	"6"	""	""	"15"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"7"	""	""	""	"0"	""	""	""	"3"	""	""	""	"371"	""	""	""	""	""	""	"371"	""	""	""	""	""	""	""	""	""	""	""
"529"	"199A"	""	"23"	""	"247"	""	""	""	"2"	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	"3"	""	""	""	"2"	""	""	""	"6"	""	""	""	"300"	""	""	""	""	""	""	"300"	""	""	""	""	""	""	""	""	""	""	""
"530"	"200"	""	"46"	""	"380"	""	""	""	"4"	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"443"	""	""	""	""	""	""	"443"	""	""	""	""	""	""	""	""	""	""	""
"531"	"201"	""	"24"	""	"260"	""	""	""	"3"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"297"	""	""	""	""	""	""	"297"	""	""	""	""	""	""	""	""	""	""	""
"532"	"202"	""	"146"	""	"177"	""	""	""	"1"	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"7"	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	"346"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""	""
"533"	"202A"	""	"148"	""	"116"	""	""	""	"3"	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"281"	""	""	""	""	""	""	"281"	""	""	""	""	""	""	""	""	""	""	""
"534"	"203"	""	"261"	""	"11"	""	""	""	"0"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"283"	""	""	""	""	""	""	"283"	""	""	""	""	""	""	""	""	""	""	""
"535"	"203A"	""	"113"	""	"47"	""	""	""	"0"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"164"	""	""	""	""	""	""	"164"	""	""	""	""	""	""	""	""	""	""	""
"536"	"204"	""	"21"	""	"195"	""	""	""	"0"	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"225"	""	""	""	""	""	""	"225"	""	""	""	""	""	""	""	""	""	""	""
"537"	"204A"	""	"28"	""	"210"	""	""	""	"0"	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"248"	""	""	""	""	""	""	"248"	""	""	""	""	""	""	""	""	""	""	""
"538"	"205"	""	"285"	""	"167"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"14"	""	""	"1"	""	""	""	"3"	""	""	""	"9"	""	""	""	"491"	""	""	""	""	""	""	"491"	""	""	""	""	""	""	""	""	""	""	""
"539"	"206"	""	"263"	""	"23"	""	""	""	"0"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"296"	""	""	""	""	""	""	"296"	""	""	""	""	""	""	""	""	""	""	""
"540"	"207"	""	"210"	""	"20"	""	""	""	"0"	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"240"	""	""	""	""	""	""	"240"	""	""	""	""	""	""	""	""	""	""	""
"541"	"Total"	""	"1856"	""	"2163"	""	""	""	"21"	""	""	"52"	""	""	""	""	""	"12"	""	""	""	""	"28"	""	""	""	"12"	""	""	""	"6"	""	""	""	"10"	""	""	""	""	""	"10"	""	""	""	""	"26"	""	""	"16"	""	""	""	"12"	""	""	""	"33"	""	""	""	"4257"	""	""	""	""	""	""	"4257"	""	""	""	"0"	""	""	""	""	""	""	""
"542"	"Till Last Round"	""	"18363"	""	"74077"	""	""	""	"869"	""	""	"2496"	""	""	""	""	""	"706"	""	""	""	""	"1622"	""	""	""	"208"	""	""	""	"149"	""	""	""	"202"	""	""	""	""	""	"370"	""	""	""	""	"222"	""	""	"221"	""	""	""	"286"	""	""	""	"804"	""	""	""	"100595"	""	""	""	"0"	""	""	"100595"	""	""	""	"0"	""	""	""	""	""	""	""
"543"	"Grand Total"	""	"20219"	""	"76240"	""	""	""	"890"	""	""	"2548"	""	""	""	""	""	"718"	""	""	""	""	"1650"	""	""	""	"220"	""	""	""	"155"	""	""	""	"212"	""	""	""	""	""	"380"	""	""	""	""	"248"	""	""	"237"	""	""	""	"298"	""	""	""	"837"	""	""	""	"104852"	""	""	""	"0"	""	""	"104852"	""	""	""	"0"	""	""	""	""	""	""	""
"544"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"545"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"546"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"547"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"548"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"549"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"550"	"207A"	""	"136"	""	"38"	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"183"	""	""	""	""	""	""	"183"	""	""	""	""	""	""	""	""	""	""	""
"551"	"208"	""	"293"	""	"18"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"324"	""	""	""	""	""	""	"324"	""	""	""	""	""	""	""	""	""	""	""
"552"	"208A"	""	"134"	""	"38"	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"175"	""	""	""	""	""	""	"175"	""	""	""	""	""	""	""	""	""	""	""
"553"	"209"	""	"119"	""	"246"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	"382"	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""
"554"	"209A"	""	"37"	""	"272"	""	""	""	"3"	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"338"	""	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""
"555"	"210"	""	"17"	""	"298"	""	""	""	"0"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"11"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"330"	""	""	""	""	""	""	"330"	""	""	""	""	""	""	""	""	""	""	""
"556"	"211"	""	"24"	""	"295"	""	""	""	"4"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	"341"	""	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""
"557"	"212"	""	"343"	""	"54"	""	""	""	"2"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	"414"	""	""	""	""	""	""	"414"	""	""	""	""	""	""	""	""	""	""	""
"558"	"213"	""	"47"	""	"307"	""	""	""	"4"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"367"	""	""	""	""	""	""	"367"	""	""	""	""	""	""	""	""	""	""	""
"559"	"214"	""	"111"	""	"182"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	"317"	""	""	""	""	""	""	"317"	""	""	""	""	""	""	""	""	""	""	""
"560"	"214A"	""	"137"	""	"216"	""	""	""	"3"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"9"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"373"	""	""	""	""	""	""	"373"	""	""	""	""	""	""	""	""	""	""	""
"561"	"215"	""	"292"	""	"98"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"2"	""	""	""	"4"	""	""	""	"13"	""	""	""	"425"	""	""	""	""	""	""	"425"	""	""	""	""	""	""	""	""	""	""	""
"562"	"216"	""	"205"	""	"117"	""	""	""	"0"	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	"336"	""	""	""	""	""	""	"336"	""	""	""	""	""	""	""	""	""	""	""
"563"	"217"	""	"267"	""	"82"	""	""	""	"2"	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	""	"12"	""	""	""	"380"	""	""	""	""	""	""	"380"	""	""	""	""	""	""	""	""	""	""	""
"564"	"Total"	""	"2162"	""	"2261"	""	""	""	"23"	""	""	"34"	""	""	""	""	""	"7"	""	""	""	""	"40"	""	""	""	"12"	""	""	""	"7"	""	""	""	"15"	""	""	""	""	""	"28"	""	""	""	""	"23"	""	""	"12"	""	""	""	"11"	""	""	""	"50"	""	""	""	"4685"	""	""	""	""	""	""	"4685"	""	""	""	"0"	""	""	""	""	""	""	""
"565"	"Till Last Round"	""	"20219"	""	"76240"	""	""	""	"890"	""	""	"2548"	""	""	""	""	""	"718"	""	""	""	""	"1650"	""	""	""	"220"	""	""	""	"155"	""	""	""	"212"	""	""	""	""	""	"380"	""	""	""	""	"248"	""	""	"237"	""	""	""	"298"	""	""	""	"837"	""	""	""	"104852"	""	""	""	"0"	""	""	"104852"	""	""	""	"0"	""	""	""	""	""	""	""
"566"	"Grand Total"	""	"22381"	""	"78501"	""	""	""	"913"	""	""	"2582"	""	""	""	""	""	"725"	""	""	""	""	"1690"	""	""	""	"232"	""	""	""	"162"	""	""	""	"227"	""	""	""	""	""	"408"	""	""	""	""	"271"	""	""	"249"	""	""	""	"309"	""	""	""	"887"	""	""	""	"109537"	""	""	""	"0"	""	""	"109537"	""	""	""	"0"	""	""	""	""	""	""	""
"567"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"568"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"569"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"570"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
