"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"
"321"	"2"	""	"217"	""	""	"13"	""	""	"2"	""	""	"226"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"256"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"256"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"3"	""	"218"	""	""	"10"	""	""	"26"	""	""	"172"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"222"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"4"	""	"219"	""	""	"4"	""	""	"12"	""	""	"463"	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"491"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"491"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"5"	""	"220"	""	""	"23"	""	""	"121"	""	""	"204"	""	""	""	"15"	""	""	""	""	""	"15"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	"419"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"419"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"6"	""	"221"	""	""	"5"	""	""	"93"	""	""	"273"	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	"410"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"410"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"7"	""	"222"	""	""	"8"	""	""	"153"	""	""	"211"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"406"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"406"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"8"	""	"223"	""	""	"15"	""	""	"19"	""	""	"368"	""	""	""	"10"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"53"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	"472"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"472"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"9"	""	"224"	""	""	"1"	""	""	"8"	""	""	"33"	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"52"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"52"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"10"	""	"225"	""	""	"14"	""	""	"119"	""	""	"15"	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"39"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"16"	""	""	""	""	""	"223"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"223"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"11"	""	"226"	""	""	"5"	""	""	"78"	""	""	"86"	""	""	""	"6"	""	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"17"	""	""	""	""	""	"237"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"237"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"12"	""	"227"	""	""	"1"	""	""	"5"	""	""	"344"	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"355"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"13"	""	"228"	""	""	"19"	""	""	"71"	""	""	"223"	""	""	""	"6"	""	""	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	"341"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"14"	""	"229"	""	""	"9"	""	""	"10"	""	""	"519"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"15"	""	""	""	""	""	"574"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"574"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"Total"	""	""	""	""	"157"	""	""	"834"	""	""	"3268"	""	""	""	"79"	""	""	""	""	""	"51"	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"177"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	"26"	""	""	""	""	""	""	""	"31"	""	""	""	""	""	""	"81"	""	""	""	""	""	"4786"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4786"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	""	""	""	""	""	"AMRENDRA SINGH"	""	"KUNTI DEVI"	""	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"1"	""	"230"	""	""	"6"	""	"35"	""	""	""	"89"	""	""	""	"12"	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"163"	""	""	""	""	""	"0"	""	""	""	""	""	""	"163"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"2"	""	"231"	""	""	"16"	""	"56"	""	""	""	"241"	""	""	""	"15"	""	""	""	""	"20"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"385"	""	""	""	""	""	"0"	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"3"	""	"232"	""	""	"17"	""	"141"	""	""	""	"40"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"87"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"21"	""	""	""	""	""	"370"	""	""	""	""	""	"0"	""	""	""	""	""	""	"370"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"4"	""	"233"	""	""	"42"	""	"148"	""	""	""	"164"	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"25"	""	""	""	""	""	"434"	""	""	""	""	""	"0"	""	""	""	""	""	""	"434"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"5"	""	"234"	""	""	"0"	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"6"	""	"235"	""	""	"12"	""	"123"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"166"	""	""	""	""	""	"0"	""	""	""	""	""	""	"166"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"7"	""	"236"	""	""	"4"	""	"18"	""	""	""	"158"	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"209"	""	""	""	""	""	"0"	""	""	""	""	""	""	"209"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"8"	""	"237"	""	""	"8"	""	"45"	""	""	""	"93"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"31"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"210"	""	""	""	""	""	"0"	""	""	""	""	""	""	"210"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"9"	""	"238"	""	""	"40"	""	"242"	""	""	""	"37"	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	"403"	""	""	""	""	""	"0"	""	""	""	""	""	""	"403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"10"	""	"239"	""	""	"7"	""	"71"	""	""	""	"57"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"155"	""	""	""	""	""	"0"	""	""	""	""	""	""	"155"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"11"	""	"240"	""	""	"74"	""	"242"	""	""	""	"60"	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"61"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"26"	""	""	""	""	""	"522"	""	""	""	""	""	"0"	""	""	""	""	""	""	"522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"12"	""	"241"	""	""	"100"	""	"100"	""	""	""	"12"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	"270"	""	""	""	""	""	"0"	""	""	""	""	""	""	"270"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"13"	""	"242"	""	""	"0"	""	"2"	""	""	""	"309"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"316"	""	""	""	""	""	"0"	""	""	""	""	""	""	"316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"14"	""	"243"	""	""	"0"	""	"7"	""	""	""	"173"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"180"	""	""	""	""	""	"0"	""	""	""	""	""	""	"180"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Total"	""	""	""	""	"326"	""	"1230"	""	""	""	"1435"	""	""	""	"75"	""	""	""	""	"71"	""	""	""	""	""	""	"41"	""	""	""	""	""	""	"275"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	"41"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"33"	""	""	""	""	""	""	"54"	""	""	""	""	""	""	""	"131"	""	""	""	""	""	"3783"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3783"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Date   22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"357"	""	""	""	""	""	"AMRENDRA SINGH"	""	""	"KUNTI DEVI"	""	""	""	"VIRENDRA SINGH"	""	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"1"	""	"2"	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""
"359"	"1"	""	"244"	""	""	"12"	""	""	"53"	""	""	""	"165"	""	""	""	""	"3"	""	""	""	""	"9"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"36"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"10"	""	""	""	""	"12"	""	""	""	""	""	""	""	"323"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"2"	""	"245"	""	""	"2"	""	""	"11"	""	""	""	"374"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	"406"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"406"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"3"	""	"246"	""	""	"1"	""	""	"42"	""	""	""	"177"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"234"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"4"	""	"247"	""	""	"44"	""	""	"82"	""	""	""	"126"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	""	""	""	""	"309"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
