"X..See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.188...PATNA.WEST.ASSEMBLY.CONSTITUNECY.ROUND.1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"	"X..129"	"X..130"	"X..131"	"X..132"	"X..133"	"X..134"
"701"	"Serial no. of polling station"	""	""	"Anita Kumari"	""	""	""	"Ashok Kumar
Yadav"	""	""	""	""	""	"Navin Kishor Pd.
Sinha"	""	""	""	""	"Rajesh Kumar
Sinha"	""	""	""	""	"Satyanand Sharma"	""	""	""	""	"Vikash Chandra"	""	""	""	""	""	""	"Shila Devi"	""	""	""	""	"ShriKant Singh"	""	""	""	""	"Santosh Kumar"	""	""	""	""	""	""	"Anil Kumar Sinha"	""	""	""	""	""	"Kavi Kumar"	""	""	""	""	""	""	"Baidyanath Prasad"	""	""	""	""	""	""	"Suresh Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"702"	"242"	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"187"	""	""	""	""	"141"	""	""	""	""	"44"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"390"	""	""	""	""	""	""	""	""	""	""	""	""	""	"390"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"703"	"242A"	""	""	"3"	""	""	""	"0"	""	""	""	""	""	"202"	""	""	""	""	"56"	""	""	""	""	"17"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"704"	"243"	""	""	"5"	""	""	""	"3"	""	""	""	""	""	"336"	""	""	""	""	"142"	""	""	""	""	"23"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"705"	"244"	""	""	"8"	""	""	""	"9"	""	""	""	""	""	"255"	""	""	""	""	"186"	""	""	""	""	"28"	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"508"	""	""	""	""	""	""	""	""	""	""	""	""	""	"508"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"706"	"245"	""	""	"5"	""	""	""	"5"	""	""	""	""	""	"209"	""	""	""	""	"174"	""	""	""	""	"15"	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"707"	"246"	""	""	"3"	""	""	""	"8"	""	""	""	""	""	"204"	""	""	""	""	"148"	""	""	""	""	"32"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"422"	""	""	""	""	""	""	""	""	""	""	""	""	""	"422"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"708"	"246A"	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"163"	""	""	""	""	"52"	""	""	""	""	"19"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"267"	""	""	""	""	""	""	""	""	""	""	""	""	""	"267"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"709"	"247"	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"242"	""	""	""	""	"166"	""	""	""	""	"76"	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"710"	"247A"	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"139"	""	""	""	""	"95"	""	""	""	""	"64"	""	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"328"	""	""	""	""	""	""	""	""	""	""	""	""	""	"328"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"711"	"248"	""	""	"12"	""	""	""	"7"	""	""	""	""	""	"308"	""	""	""	""	"117"	""	""	""	""	"68"	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"543"	""	""	""	""	""	""	""	""	""	""	""	""	""	"543"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"712"	"248A"	""	""	"2"	""	""	""	"6"	""	""	""	""	""	"206"	""	""	""	""	"54"	""	""	""	""	"25"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"713"	"249"	""	""	"5"	""	""	""	"1"	""	""	""	""	""	"248"	""	""	""	""	"141"	""	""	""	""	"115"	""	""	""	""	"7"	""	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"526"	""	""	""	""	""	""	""	""	""	""	""	""	""	"526"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"714"	"250"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"274"	""	""	""	""	"167"	""	""	""	""	"59"	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"541"	""	""	""	""	""	""	""	""	""	""	""	""	""	"541"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"715"	"251"	""	""	"5"	""	""	""	"3"	""	""	""	""	""	"231"	""	""	""	""	"118"	""	""	""	""	"19"	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"396"	""	""	""	""	""	""	""	""	""	""	""	""	""	"396"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"716"	"Total"	""	""	"59"	""	""	""	"55"	""	""	""	""	""	"3204"	""	""	""	""	"1757"	""	""	""	""	"604"	""	""	""	""	"44"	""	""	""	""	""	""	"29"	""	""	""	""	"19"	""	""	""	""	"34"	""	""	""	""	""	""	"27"	""	""	""	""	""	"44"	""	""	""	""	""	""	"42"	""	""	""	""	""	""	"81"	""	""	""	""	""	""	""	"5999"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"5999"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"717"	"Till last round"	""	""	"-1296"	""	""	""	"-1314"	""	""	""	""	""	"-89752"	""	""	""	""	"-22976"	""	""	""	""	"-6227"	""	""	""	""	"-456"	""	""	""	""	""	""	"-377"	""	""	""	""	"-435"	""	""	""	""	"-750"	""	""	""	""	""	""	"-385"	""	""	""	""	""	"-2347"	""	""	""	""	""	""	"-444"	""	""	""	""	""	""	"-1127"	""	""	""	""	""	""	""	"-127886"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"-127886"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"718"	"Grand Total"	""	""	"1355"	""	""	""	"1369"	""	""	""	""	""	"92956"	""	""	""	""	"24733"	""	""	""	""	"6831"	""	""	""	""	"500"	""	""	""	""	""	""	"406"	""	""	""	""	"454"	""	""	""	""	"784"	""	""	""	""	""	""	"412"	""	""	""	""	""	"2391"	""	""	""	""	""	""	"486"	""	""	""	""	""	""	"1208"	""	""	""	""	""	""	""	"133885"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"133885"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"719"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"720"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"721"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"722"	"( Signature & Seal)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"723"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 188 - PATNA WEST ASSEMBLY CONSTITUNECY
ROUND-31
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"724"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188 PATNA WEST"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"725"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	""	"Total"	""	""	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"726"	"Serial no. of polling station"	""	"Anita Kumari"	""	""	""	"Ashok Kumar
Yadav"	""	""	""	""	""	"Navin Kishor Pd.
Sinha"	""	""	""	""	"Rajesh Kumar
Sinha"	""	""	""	"Satyanand Sharma"	""	""	""	""	"Vikash Chandra"	""	""	""	""	""	"Shila Devi"	""	""	""	""	""	"ShriKant Singh"	""	""	""	""	"Santosh Kumar"	""	""	""	""	"Anil Kumar Sinha"	""	""	""	""	""	""	"Kavi Kumar"	""	""	""	""	""	"Baidyanath Prasad"	""	""	""	""	""	""	"Suresh Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"727"	"251A"	""	"8"	""	""	""	"4"	""	""	""	""	""	"126"	""	""	""	""	"100"	""	""	""	"24"	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"728"	"252"	""	"3"	""	""	""	"6"	""	""	""	""	""	"177"	""	""	""	""	"151"	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"729"	"252A"	""	"7"	""	""	""	"3"	""	""	""	""	""	"147"	""	""	""	""	"192"	""	""	""	"16"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"730"	"253"	""	"8"	""	""	""	"8"	""	""	""	""	""	"297"	""	""	""	""	"132"	""	""	""	"51"	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"524"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"524"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"731"	"253A"	""	"2"	""	""	""	"1"	""	""	""	""	""	"214"	""	""	""	""	"68"	""	""	""	"25"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"732"	"254"	""	"4"	""	""	""	"3"	""	""	""	""	""	"422"	""	""	""	""	"88"	""	""	""	"14"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"555"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"555"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"733"	"254A"	""	"1"	""	""	""	"0"	""	""	""	""	""	"152"	""	""	""	""	"27"	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"193"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"193"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"734"	"255"	""	"2"	""	""	""	"0"	""	""	""	""	""	"169"	""	""	""	""	"87"	""	""	""	"127"	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"735"	"255A"	""	"4"	""	""	""	"1"	""	""	""	""	""	"99"	""	""	""	""	"44"	""	""	""	"29"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"188"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"188"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"736"	"256"	""	"12"	""	""	""	"1"	""	""	""	""	""	"222"	""	""	""	""	"199"	""	""	""	"30"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"479"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"479"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"737"	"256A"	""	"12"	""	""	""	"3"	""	""	""	""	""	"197"	""	""	""	""	"50"	""	""	""	"27"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"738"	"257"	""	"2"	""	""	""	"2"	""	""	""	""	""	"195"	""	""	""	""	"177"	""	""	""	"48"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"433"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"433"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"739"	"257A"	""	"5"	""	""	""	"4"	""	""	""	""	""	"129"	""	""	""	""	"70"	""	""	""	"36"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"740"	"258"	""	"6"	""	""	""	"6"	""	""	""	""	""	"301"	""	""	""	""	"133"	""	""	""	"64"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"538"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"741"	"Total"	""	"76"	""	""	""	"42"	""	""	""	""	""	"2847"	""	""	""	""	"1518"	""	""	""	"505"	""	""	""	""	"25"	""	""	""	""	""	"26"	""	""	""	""	""	"20"	""	""	""	""	"25"	""	""	""	""	"25"	""	""	""	""	""	""	"25"	""	""	""	""	""	"18"	""	""	""	""	""	""	"59"	""	""	""	""	""	""	"5211"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5211"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
